p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.4,0.4,0.45,0.0022,3.819444444444445e-06,0.014152777777777783,0.0007496669119011882,1.1504534171771145e-06,8.152000000000003,0.4318081412550844,0.0001375,0.5095000000000002,0.026988008828442774,4.1416323018376124e-05,1.9097222222222225e-06,0.007076388888888892,0.0003748334559505941,5.752267085885573e-07,0.000662661168294018,5000
0.45,0.4,0.47,0.4098,0.0007114583333333334,0.0474355158730159,0.001200320137909975,3.757333000731821e-05,27.32285714285716,0.6913843994361456,0.0256125,1.7076785714285725,0.0432115249647591,0.0013526398802634558,0.0003557291666666667,0.02371775793650795,0.0006001600689549875,1.8786665003659106e-05,0.021642238084215292,5000
0.47,0.45,0.485,1.9148,0.0033243055555555556,0.1995634920634922,0.0030655950829877386,8.409048042683242e-05,114.9485714285715,1.7657827678009375,0.119675,7.184285714285719,0.11036142298755859,0.003027257295365967,0.0016621527777777778,0.0997817460317461,0.0015327975414938693,4.204524021341621e-05,0.048436116725855474,5000
0.485,0.47,0.4925,4.433,0.007696180555555555,0.32481481481481456,0.003974525143760595,0.00012187757012922334,187.0933333333332,2.2893264828061026,0.2770625,11.693333333333324,0.14308290517538141,0.004387592524652041,0.0038480902777777775,0.16240740740740728,0.0019872625718802975,6.093878506461167e-05,0.07020148039443265,5000
0.4925,0.485,0.495,6.1244,0.010632638888888888,0.3987847222222219,0.0051835535852438434,0.0001347538739617471,229.69999999999982,2.9857268651004536,0.382775,14.356249999999989,0.18660792906877835,0.004851139462622896,0.005316319444444444,0.19939236111111094,0.0025917767926219217,6.737693698087355e-05,0.07761823140196633,5000
0.495,0.4925,0.4975,6.73,0.01168402777777778,0.42486111111111075,0.006451886548018296,0.00013766252730861394,244.7199999999998,3.7162866516585384,0.420625,15.294999999999987,0.23226791572865865,0.0049558509831101015,0.00584201388888889,0.21243055555555537,0.003225943274009148,6.883126365430697e-05,0.07929361572976162,5000
0.4975,0.495,0.5,7.348,0.012756944444444444,0.4252777777777774,0.006395309652602132,0.00013930608890868514,244.9599999999998,3.683698359898828,0.45925,15.309999999999988,0.23023114749367676,0.005015019200712665,0.006378472222222222,0.2126388888888887,0.003197654826301066,6.965304445434257e-05,0.08024030721140264,5000
0.5,0.4975,0.5025,7.9548,0.013810416666666665,0.42256944444444877,0.006462172864572321,0.00013993541005751284,243.40000000000248,3.722211569993657,0.497175,15.212500000000155,0.23263822312460355,0.005037674762070462,0.006905208333333333,0.21128472222222439,0.0032310864322861606,6.996770502875642e-05,0.0806027961931274,5000
0.5025,0.5,0.505,8.565,0.014869791666666667,0.4235416666666663,0.006343858830242489,0.0001392924091348934,243.9599999999998,3.6540626862196737,0.5353125,15.247499999999988,0.2283789178887296,0.005014526728856162,0.007434895833333333,0.21177083333333316,0.0031719294151212447,6.96462045674467e-05,0.0802324276616986,5000
0.505,0.5025,0.5075,9.1746,0.015928125,0.41590277777777745,0.006389292262991793,0.00013782058053874978,239.5599999999998,3.6802323434832727,0.5734125,14.972499999999988,0.23001452146770454,0.004961540899394992,0.0079640625,0.20795138888888873,0.0031946461314958964,6.891029026937489e-05,0.07938465439031987,5000
0.5075,0.505,0.515,9.7628,0.016949305555555558,0.40027777777777745,0.005194137912419804,0.00013560314112271,230.5599999999998,2.9918234375538075,0.610175,14.409999999999988,0.18698896484711297,0.00488171308041756,0.008474652777777779,0.20013888888888873,0.002597068956209902,6.7801570561355e-05,0.07810740928668096,5000
0.515,0.5075,0.53,11.4802,0.019930902777777777,0.33066358024691245,0.004010066982562687,0.0001239371874004707,190.46222222222158,2.309798581956108,0.7175125,11.903888888888849,0.14436241137225675,0.004461738746416945,0.009965451388888888,0.16533179012345622,0.0020050334912813435,6.196859370023535e-05,0.07138781994267113,5000
0.53,0.515,0.55,14.0482,0.02438923611111111,0.2033531746031744,0.003117260920168343,8.650350013838814e-05,117.13142857142846,1.7955422900169657,0.8780125,7.320714285714279,0.11222139312606036,0.0031141260049819728,0.012194618055555556,0.1016765873015872,0.0015586304600841716,4.325175006919407e-05,0.049826016079711564,5000
0.55,0.53,0.6,15.5798,0.02704826388888889,0.04837797619047623,0.0012350213956194224,3.8584856815601455e-05,27.865714285714308,0.7113723238767873,0.9737375,1.7416071428571442,0.044460770242299205,0.0013890548453616525,0.013524131944444445,0.024188988095238114,0.0006175106978097112,1.9292428407800728e-05,0.02222487752578644,5000
0.6,0.55,0.6,15.9988,0.027775694444444443,0.01454861111111113,0.0007699147846297924,9.817488902263363e-07,8.380000000000011,0.4434709159467604,0.999925,0.5237500000000007,0.027716932246672526,3.5342960048148105e-05,0.013887847222222222,0.007274305555555565,0.0003849573923148962,4.908744451131681e-07,0.0005654873607703697,5000
