p,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
0.45,0.0,0.0,0.00030952380952381026,0.0,6.964285714285731,0.0,0.0077380952380952574,0.0,0.0,0.00015476190476190513,0.0,0.0,200
0.47,0.195,8.666666666666666e-06,0.2710513227513222,5.916871455996679e-06,6098.65476190475,0.00021666666666666668,6.776283068783055,0.00014792178639991697,4.333333333333333e-06,0.1355256613756611,2.9584357279983393e-06,0.13312960775992527,200
0.485,160.175,0.007118888888888889,0.7332543209876536,0.00019791215894050657,16498.222222222208,0.17797222222222223,18.33135802469134,0.004947803973512664,0.0035594444444444445,0.3666271604938268,9.895607947025329e-05,4.453023576161398,200
0.4925,305.785,0.013590444444444445,0.8569851851851835,0.00020389528300615684,19282.166666666628,0.3397611111111111,21.424629629629592,0.005097382075153921,0.0067952222222222225,0.42849259259259176,0.00010194764150307842,4.587643867638529,200
0.495,353.88,0.015728,0.8383111111111106,0.00021853752774510487,18861.999999999985,0.3932,20.95777777777778,0.005463438193627622,0.007864,0.4191555555555553,0.00010926876387255244,4.91709437426486,200
0.4975,400.095,0.017782000000000003,0.8973333333333322,0.00020658808625971905,20189.99999999997,0.44455000000000006,22.43333333333331,0.005164702156492976,0.008891000000000001,0.4486666666666661,0.00010329404312985952,4.6482319408436785,200
0.5,454.83,0.020214666666666666,0.8723111111111175,0.00021249161838497008,19627.000000000146,0.5053666666666666,21.807777777777943,0.005312290459624252,0.010107333333333333,0.43615555555555874,0.00010624580919248504,4.781061413661827,200
0.5025,498.23,0.022143555555555555,0.8510666666666635,0.00020517547307194074,19148.999999999913,0.5535888888888889,21.27666666666657,0.005129386826798518,0.011071777777777778,0.42553333333333176,0.00010258773653597037,4.616448144118666,200
0.505,550.575,0.024470000000000002,0.8967555555555533,0.00022848928108924104,20176.99999999994,0.61175,22.418888888888816,0.005712232027231026,0.012235000000000001,0.44837777777777665,0.00011424464054462052,5.1410088245079235,200
0.5075,599.115,0.026627333333333333,0.8481555555555658,0.00019609265298924908,19083.500000000244,0.6656833333333333,21.20388888888916,0.004902316324731227,0.013313666666666666,0.4240777777777829,9.804632649462454e-05,4.412084692258104,200
0.515,734.76,0.032656,0.6985975308641927,0.0001997346064704352,15718.444444444325,0.8164,17.464938271604808,0.00499336516176088,0.016328,0.34929876543209637,9.98673032352176e-05,4.494028645584792,200
0.53,899.51,0.03997822222222222,0.27940846560846555,1.2925034512668413e-05,6286.690476190473,0.9994555555555555,6.985211640211634,0.00032312586281671034,0.01998911111111111,0.13970423280423278,6.4625172563342065e-06,0.2908132765350393,200
0.55,900.0,0.04,0.0007777777777781547,0.0,17.49999999999909,1.0,0.019444444444447484,0.0,0.02,0.00038888888888907736,0.0,0.0,200
0.6,900.0,0.04,-2.220446049250313e-16,0.0,-3.637978807091713e-12,1.0,-3.552713678800501e-15,0.0,0.02,-1.1102230246251565e-16,0.0,0.0,200
0.625,900.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,200
0.65,900.0,0.04,1.6653345369377348e-16,0.0,2.7284841053187847e-12,1.0,3.552713678800501e-15,0.0,0.02,8.326672684688674e-17,0.0,0.0,200
0.7,900.0,0.04,0.0,0.0,1.8189894035458565e-12,1.0,4.440892098500626e-16,0.0,0.02,0.0,0.0,0.0,200
0.8,900.0,0.04,-2.7755575615628914e-17,0.0,0.0,1.0,0.0,0.0,0.02,-1.3877787807814457e-17,0.0,0.0,200
0.9,900.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,200
1.0,900.0,0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,200
