p,p_low,p_high,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,runs
0.4,0.4,0.4025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4025,0.4,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.405,0.4025,0.4075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4075,0.405,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.41,0.4075,0.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4125,0.41,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.415,0.4125,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4175,0.415,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.42,0.4175,0.4225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4225,0.42,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.425,0.4225,0.4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4275,0.425,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.43,0.4275,0.4325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4325,0.43,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.435,0.4325,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0.4375,0.435,0.44,0.0,0.0,1.8016394919376618e-05,1.8016394919376618e-05,0.0,0.19999999999999982,0.19999999999999982,0.0,0.19999999999999982,0.19999999999999982,0.0,0.0,9.008197459688309e-06,9.008197459688309e-06,0.0,0.0,1000
0.44,0.4375,0.4425,0.001,9.008197459688316e-08,1.8016394919376618e-05,1.8016394919376618e-05,9.008197459688316e-08,0.19999999999999982,0.19999999999999982,0.001,0.19999999999999982,0.19999999999999982,0.001,4.504098729844158e-08,9.008197459688309e-06,9.008197459688309e-06,4.504098729844158e-08,0.001,1000
0.4425,0.44,0.445,0.001,9.008197459688316e-08,0.0,0.0,9.008197459688316e-08,0.0,0.0,0.001,0.0,0.0,0.001,4.504098729844158e-08,0.0,0.0,4.504098729844158e-08,0.001,1000
0.445,0.4425,0.4475,0.001,9.008197459688316e-08,0.0,0.0,9.008197459688316e-08,0.0,0.0,0.001,0.0,0.0,0.001,4.504098729844158e-08,0.0,0.0,4.504098729844158e-08,0.001,1000
0.4475,0.445,0.45,0.001,9.008197459688316e-08,0.0,0.0,9.008197459688316e-08,0.0,0.0,0.001,0.0,0.0,0.001,4.504098729844158e-08,0.0,0.0,4.504098729844158e-08,0.001,1000
0.45,0.4475,0.4525,0.001,9.008197459688316e-08,1.8016394919376618e-05,1.801639491937662e-05,9.008197459688316e-08,0.19999999999999982,0.19999999999999987,0.001,0.19999999999999982,0.19999999999999987,0.001,4.504098729844158e-08,9.008197459688309e-06,9.00819745968831e-06,4.504098729844158e-08,0.001,1000
0.4525,0.45,0.455,0.002,1.8016394919376633e-07,3.6032789838753236e-05,2.5466274579908533e-05,1.273313728995427e-07,0.39999999999999963,0.2827011141115646,0.002,0.39999999999999963,0.2827011141115646,0.0014135055705578234,9.008197459688316e-08,1.8016394919376618e-05,1.2733137289954267e-05,6.366568644977135e-08,0.0014135055705578234,1000
0.455,0.4525,0.4575,0.003,2.702459237906495e-07,5.4049184758129853e-05,3.117405917209156e-05,1.5587029586045793e-07,0.5999999999999995,0.3460632308693884,0.003,0.5999999999999995,0.3460632308693884,0.0017303161543469434,1.3512296189532476e-07,2.7024592379064927e-05,1.558702958604578e-05,7.793514793022897e-08,0.0017303161543469434,1000
0.4575,0.455,0.46,0.005,4.5040987298441585e-07,9.008197459688309e-05,4.0205150434103006e-05,2.0102575217051521e-07,0.9999999999999992,0.4463173749689775,0.005,0.9999999999999992,0.4463173749689775,0.0022315868748448895,2.2520493649220792e-07,4.5040987298441545e-05,2.0102575217051503e-05,1.0051287608525761e-07,0.0022315868748448895,1000
0.46,0.4575,0.4625,0.008,7.206557967750653e-07,5.4049184758129853e-05,3.117405917209156e-05,2.538960724713537e-07,0.5999999999999995,0.3460632308693884,0.008,0.5999999999999995,0.3460632308693884,0.0028185003005044974,3.6032789838753266e-07,2.7024592379064927e-05,1.558702958604578e-05,1.2694803623567684e-07,0.0028185003005044974,1000
0.4625,0.46,0.465,0.008,7.206557967750653e-07,9.008197459688309e-05,4.0205150434103006e-05,2.538960724713537e-07,0.9999999999999992,0.4463173749689775,0.008,0.9999999999999992,0.4463173749689775,0.0028185003005044974,3.6032789838753266e-07,4.5040987298441545e-05,2.0102575217051503e-05,1.2694803623567684e-07,0.0028185003005044974,1000
0.465,0.4625,0.4675,0.013,1.171065669759481e-06,0.00014413115935501294,5.077921449427069e-05,3.2283856313878585e-07,1.5999999999999985,0.5637000601008989,0.013,1.5999999999999985,0.5637000601008989,0.0035838308894036615,5.855328348797405e-07,7.206557967750647e-05,2.5389607247135345e-05,1.6141928156939292e-07,0.0035838308894036615,1000
0.4675,0.465,0.47,0.016,1.4413115935501306e-06,0.0002702459237906523,6.928654309527089e-05,3.576125025060264e-07,3.000000000000031,0.7691499149006021,0.016,3.000000000000031,0.7691499149006021,0.003969856390319399,7.206557967750653e-07,0.00013512296189532614,3.4643271547635445e-05,1.788062512530132e-07,0.003969856390319399,1000
0.47,0.4675,0.4725,0.028,2.5222952887127285e-06,0.0004864426628231741,9.238967749347549e-05,4.7018341000000723e-07,5.400000000000055,1.0256178098550714,0.028,5.400000000000055,1.0256178098550714,0.00521950603441008,1.2611476443563642e-06,0.00024322133141158704,4.6194838746737745e-05,2.3509170500000361e-07,0.00521950603441008,1000
0.4725,0.47,0.475,0.043,3.8735249076659755e-06,0.00048644266282316865,9.238967749347449e-05,5.781564165210107e-07,5.399999999999995,1.0256178098550603,0.043,5.399999999999995,1.0256178098550603,0.006418114379799739,1.9367624538329878e-06,0.00024322133141158433,4.6194838746737244e-05,2.8907820826050536e-07,0.006418114379799739,1000
