p,p_low,p_high,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_error_total_dp,exact_error_total_dp_stderr,exact_error_total_norm_dp,exact_error_total_norm_dp_stderr,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_dp_stderr,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_dp_stderr,exact_stabilizer_total_dp,exact_stabilizer_total_dp_stderr,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_dp_stderr,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_error_component_norm_dp,exact_x_error_component_norm_dp_stderr,exact_x_error_dp,exact_x_error_dp_stderr,exact_x_error_norm_dp,exact_x_error_norm_dp_stderr,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_dp_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_dp_stderr,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_dp_stderr,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_dp_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_dp_stderr,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_dp_stderr,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_error_component_norm_dp,exact_z_error_component_norm_dp_stderr,exact_z_error_dp,exact_z_error_dp_stderr,exact_z_error_norm_dp,exact_z_error_norm_dp_stderr,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_dp_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_dp_stderr,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_dp_stderr,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_dp_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_dp_stderr,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_dp_stderr,runs
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.015740853657086468,0.002011764705882353,9.259325680639098e-05,0.342,0.015740853657086468,0.002011764705882353,9.259325680639098e-05,0.342,0.015740853657086468,0.002011764705882353,9.259325680639098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021411764705882353,0.0001303117377413489,0.182,0.011076497708014655,0.0010705882352941177,6.515586887067445e-05,0.0021411764705882353,0.0001303117377413489,0.182,0.011076497708014655,0.0010705882352941177,6.515586887067445e-05,0.0021411764705882353,0.0001303117377413489,0.182,0.011076497708014655,0.0010705882352941177,6.515586887067445e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018823529411764706,0.0001220549778309267,0.16,0.01037467311562877,0.0009411764705882353,6.102748891546335e-05,0.0018823529411764706,0.0001220549778309267,0.16,0.01037467311562877,0.0009411764705882353,6.102748891546335e-05,0.0018823529411764706,0.0001220549778309267,0.16,0.01037467311562877,0.0009411764705882353,6.102748891546335e-05,15000
0.1,0.0,0.2,0.005,0.0012903918038334303,0.0025,0.0006451959019167151,2.9411764705882354e-05,7.59054002254959e-06,1.696,0.02623518284647417,0.009976470588235293,0.00015432460497925984,1.691,0.026169792413775653,0.009947058823529411,0.0001539399553751509,1.691,0.026169792413775653,0.009947058823529411,0.0001539399553751509,4.313725490196078e-05,1.3002035257678304e-05,0.0036666666666666666,0.0011051729969026559,0.0036666666666666666,0.0011051729969026559,2.156862745098039e-05,6.501017628839152e-06,0.009929411764705883,0.00019991430887992816,0.844,0.016992716254793892,0.004964705882352941,9.995715443996408e-05,0.009886274509803922,0.00019932512684335974,0.8403333333333334,0.01694263578168558,0.004943137254901961,9.966256342167987e-05,0.009886274509803922,0.00019932512684335974,0.8403333333333334,0.01694263578168558,0.004943137254901961,9.966256342167987e-05,1.568627450980392e-05,7.842352849660567e-06,0.0013333333333333333,0.0006665999922211483,0.0013333333333333333,0.0006665999922211483,7.84313725490196e-06,3.9211764248302836e-06,0.010023529411764705,0.0002030386735239454,0.852,0.01725828724953536,0.005011764705882353,0.0001015193367619727,0.010007843137254903,0.00020278711590491724,0.8506666666666667,0.017236904851917964,0.005003921568627451,0.00010139355795245862,0.010007843137254903,0.00020278711590491724,0.8506666666666667,0.017236904851917964,0.005003921568627451,0.00010139355795245862,15000
0.2,0.1,0.25,0.04622222222222223,0.004560397478817524,0.023111111111111114,0.002280198739408762,0.00027189542483660136,2.682586752245602e-05,4.6946666666666665,0.05311341231493807,0.027615686274509804,0.0003124318371466945,4.648444444444444,0.05258591317683387,0.027343790849673203,0.00030932890104019926,4.648444444444444,0.05258591317683387,0.027343790849673203,0.00030932890104019926,0.00025098039215686274,3.616909701765287e-05,0.021333333333333333,0.003074373246500494,0.021333333333333333,0.003074373246500494,0.00012549019607843137,1.8084548508826434e-05,0.0274718954248366,0.00039072754617202016,2.335111111111111,0.03321184142462171,0.0137359477124183,0.00019536377308601008,0.027220915032679743,0.0003875471877994541,2.313777777777778,0.0329415109629536,0.013610457516339871,0.00019377359389972706,0.027220915032679743,0.0003875471877994541,2.313777777777778,0.0329415109629536,0.013610457516339871,0.00019377359389972706,0.0002928104575163399,3.905663711123839e-05,0.02488888888888889,0.0033198141544552627,0.02488888888888889,0.0033198141544552627,0.00014640522875816994,1.9528318555619193e-05,0.027759477124183002,0.00039560486995705873,2.359555555555555,0.03362641394634999,0.013879738562091501,0.00019780243497852937,0.027466666666666667,0.00039246262537437706,2.3346666666666667,0.03335932315682205,0.013733333333333334,0.00019623131268718853,0.027466666666666667,0.00039246262537437706,2.3346666666666667,0.03335932315682205,0.013733333333333334,0.00019623131268718853,15000
0.25,0.2,0.3,0.30133333333333345,0.014366793410829479,0.15066666666666673,0.0071833967054147395,0.0017725490196078438,8.451054947546753e-05,11.236000000000004,0.10636319866801183,0.06609411764705884,0.0006256658745177167,10.93466666666667,0.10301790920196738,0.064321568627451,0.0006059877011880434,10.93466666666667,0.10301790920196738,0.064321568627451,0.0006059877011880434,0.0017333333333333341,0.00011573835997656571,0.1473333333333334,0.009837760598008085,0.1473333333333334,0.009837760598008085,0.0008666666666666671,5.7869179988282854e-05,0.0658823529411765,0.0007624654981058404,5.600000000000002,0.06480956733899643,0.03294117647058825,0.0003812327490529202,0.06414901960784315,0.0007451337724232622,5.452666666666668,0.06333637065597729,0.032074509803921576,0.0003725668862116311,0.06414901960784315,0.0007451337724232622,5.452666666666668,0.06333637065597729,0.032074509803921576,0.0003725668862116311,0.0018117647058823536,0.00011828786626901937,0.15400000000000005,0.010054468632866647,0.15400000000000005,0.010054468632866647,0.0009058823529411768,5.9143933134509684e-05,0.0663058823529412,0.0007632447350087769,5.636000000000002,0.06487580247574604,0.0331529411764706,0.00038162236750438844,0.06449411764705884,0.000744963985884846,5.482000000000002,0.06332193880021192,0.03224705882352942,0.000372481992942423,0.06449411764705884,0.000744963985884846,5.482000000000002,0.06332193880021192,0.03224705882352942,0.000372481992942423,15000
0.3,0.25,0.35,1.0200000000000005,0.026263988607678833,0.5100000000000002,0.013131994303839416,0.006000000000000003,0.0001544940506334049,18.994000000000007,0.1469730659562682,0.11172941176470592,0.0008645474468015776,17.974000000000007,0.138541895273615,0.10572941176470592,0.0008149523251389118,17.974000000000007,0.138541895273615,0.10572941176470592,0.0008149523251389118,0.006007843137254904,0.0002114640415216672,0.5106666666666668,0.017974443529341712,0.5106666666666668,0.017974443529341712,0.003003921568627452,0.0001057320207608336,0.11105098039215691,0.0010158896426807147,9.439333333333337,0.08635061962786075,0.055525490196078456,0.0005079448213403574,0.105043137254902,0.0009689958598790236,8.92866666666667,0.08236464808971701,0.052521568627451,0.0004844979299395118,0.105043137254902,0.0009689958598790236,8.92866666666667,0.08236464808971701,0.052521568627451,0.0004844979299395118,0.0059921568627451,0.00021120263470521248,0.5093333333333335,0.01795222394994306,0.5093333333333335,0.01795222394994306,0.00299607843137255,0.00010560131735260624,0.11240784313725495,0.0010119580772024888,9.554666666666671,0.08601643656221156,0.056203921568627475,0.0005059790386012444,0.10641568627450985,0.0009667220937420387,9.045333333333337,0.08217137796807329,0.05320784313725493,0.00048336104687101935,0.10641568627450985,0.0009667220937420387,9.045333333333337,0.08217137796807329,0.05320784313725493,0.00048336104687101935,15000
0.35,0.3,0.37,1.8914285714285712,0.04262569403678561,0.9457142857142856,0.021312847018392804,0.011126050420168065,0.0002507393766869742,26.3047619047619,0.2077228765491673,0.15473389355742295,0.0012218992738186312,24.41333333333333,0.1935278302225323,0.1436078431372549,0.0011383990013090137,24.41333333333333,0.1935278302225323,0.1436078431372549,0.0011383990013090137,0.010946778711484592,0.00033863229311429716,0.9304761904761903,0.02878374491471526,0.9304761904761903,0.02878374491471526,0.005473389355742296,0.00016931614655714858,0.15389355742296917,0.0014183027018814145,13.080952380952379,0.12055572965992023,0.07694677871148459,0.0007091513509407073,0.14294677871148456,0.0013401351567197935,12.150476190476189,0.11391148832118245,0.07147338935574228,0.0006700675783598968,0.14294677871148456,0.0013401351567197935,12.150476190476189,0.11391148832118245,0.07147338935574228,0.0006700675783598968,0.01130532212885154,0.00034374040479520467,0.9609523809523809,0.0292179344075924,0.9609523809523809,0.0292179344075924,0.00565266106442577,0.00017187020239760233,0.15557422969187673,0.0014231541766251202,13.223809523809523,0.12096810501313521,0.07778711484593837,0.0007115770883125601,0.14426890756302518,0.001341743015636261,12.26285714285714,0.11404815632908219,0.07213445378151259,0.0006708715078181305,0.14426890756302518,0.001341743015636261,12.26285714285714,0.11404815632908219,0.07213445378151259,0.0006708715078181305,15000
0.37,0.35,0.39,3.1733333333333302,0.07330393154013015,1.5866666666666651,0.036651965770065076,0.018666666666666647,0.00043119959729488326,36.2533333333333,0.3152560026993361,0.21325490196078412,0.0018544470747019772,33.07999999999997,0.2927702149087121,0.19458823529411748,0.0017221777347571298,33.07999999999997,0.2927702149087121,0.19458823529411748,0.0017221777347571298,0.01870588235294116,0.000586069594659993,1.5899999999999985,0.0498159155460994,1.5899999999999985,0.0498159155460994,0.00935294117647058,0.0002930347973299965,0.214627450980392,0.0021598150747670665,18.243333333333318,0.18358428135520063,0.107313725490196,0.0010799075373835332,0.1959215686274508,0.0020275598806961392,16.653333333333318,0.17234258985917184,0.0979607843137254,0.0010137799403480696,0.1959215686274508,0.0020275598806961392,16.653333333333318,0.17234258985917184,0.0979607843137254,0.0010137799403480696,0.018627450980392143,0.0005849229155963935,1.5833333333333321,0.04971844782569344,1.5833333333333321,0.04971844782569344,0.009313725490196071,0.00029246145779819675,0.21188235294117627,0.002151165381669993,18.009999999999984,0.1828490574419494,0.10594117647058814,0.0010755826908349965,0.19325490196078413,0.0020326692978361468,16.42666666666665,0.17277689031607246,0.09662745098039206,0.0010163346489180734,0.19325490196078413,0.0020326692978361468,16.42666666666665,0.17277689031607246,0.09662745098039206,0.0010163346489180734,15000
0.39,0.37,0.41,4.246666666666669,0.08328909197423856,2.1233333333333344,0.04164454598711928,0.024980392156862756,0.0004899358351425798,42.765000000000015,0.3491005884543429,0.25155882352941183,0.0020535328732608406,38.51833333333335,0.32133225293445616,0.22657843137254913,0.0018901897231438597,38.51833333333335,0.32133225293445616,0.22657843137254913,0.0018901897231438597,0.025686274509803934,0.0006780099124043782,2.1833333333333345,0.05763084255437215,2.1833333333333345,0.05763084255437215,0.012843137254901967,0.0003390049562021891,0.2554705882352942,0.0023709267936736136,21.71500000000001,0.20152877746225714,0.1277352941176471,0.0011854633968368068,0.22978431372549027,0.0022057019137794263,19.531666666666673,0.18748466267125125,0.11489215686274513,0.0011028509568897131,0.22978431372549027,0.0022057019137794263,19.531666666666673,0.18748466267125125,0.11489215686274513,0.0011028509568897131,0.024274509803921585,0.0006608452464964797,2.063333333333335,0.056171845952200775,2.063333333333335,0.056171845952200775,0.012137254901960793,0.00033042262324823983,0.2476470588235295,0.0023441414562272813,21.050000000000008,0.19925202377931892,0.12382352941176475,0.0011720707281136407,0.22337254901960796,0.00219721546774193,18.986666666666675,0.18676331475806404,0.11168627450980398,0.001098607733870965,0.22337254901960796,0.00219721546774193,18.986666666666675,0.18676331475806404,0.11168627450980398,0.001098607733870965,15000
0.41,0.39,0.43,5.355000000000004,0.0928107712280768,2.677500000000002,0.0464053856140384,0.03150000000000002,0.0005459457131063341,50.38000000000002,0.382876730489716,0.2963529411764707,0.0022522160617042116,45.02500000000001,0.3528297225902299,0.2648529411764707,0.002075468956413117,45.02500000000001,0.3528297225902299,0.2648529411764707,0.002075468956413117,0.032078431372549045,0.0007486150511356965,2.726666666666669,0.0636322793465342,2.726666666666669,0.0636322793465342,0.016039215686274522,0.00037430752556784824,0.2968627450980394,0.002555784837478707,25.23333333333335,0.21724171118569008,0.1484313725490197,0.0012778924187393534,0.2647843137254903,0.0023802162062079007,22.506666666666675,0.20231837752767157,0.13239215686274514,0.0011901081031039503,0.2647843137254903,0.0023802162062079007,22.506666666666675,0.20231837752767157,0.13239215686274514,0.0011901081031039503,0.030921568627451,0.000736612887942206,2.628333333333335,0.0626120954750875,2.628333333333335,0.0626120954750875,0.0154607843137255,0.000368306443971103,0.29584313725490213,0.002562605007009782,25.146666666666682,0.21782142559583145,0.14792156862745107,0.001281302503504891,0.26492156862745114,0.002391367882230197,22.518333333333345,0.20326626998956676,0.13246078431372557,0.0011956839411150985,0.26492156862745114,0.002391367882230197,22.518333333333345,0.20326626998956676,0.13246078431372557,0.0011956839411150985,15000
0.43,0.41,0.45,6.391666666666661,0.10081283883757501,3.1958333333333306,0.050406419418787506,0.03759803921568624,0.0005930166990445589,58.623333333333285,0.41808262729104906,0.3448431372549017,0.0024593095723002886,52.23166666666662,0.38682131631080036,0.3072450980392154,0.0022754195077105905,52.23166666666662,0.38682131631080036,0.3072450980392154,0.0022754195077105905,0.03792156862745095,0.0008048190232998288,3.2233333333333305,0.06840961698048545,3.2233333333333305,0.06840961698048545,0.018960784313725474,0.0004024095116499144,0.34296078431372523,0.0027574404867270006,29.151666666666642,0.23438244137179506,0.17148039215686262,0.0013787202433635003,0.30503921568627423,0.002579863974743074,25.92833333333331,0.2192884378531613,0.15251960784313712,0.001289931987371537,0.30503921568627423,0.002579863974743074,25.92833333333331,0.2192884378531613,0.15251960784313712,0.001289931987371537,0.03727450980392153,0.0007989301315731739,3.1683333333333303,0.06790906118371978,3.1683333333333303,0.06790906118371978,0.018637254901960765,0.00039946506578658695,0.3467254901960781,0.0027491854229652764,29.471666666666643,0.2336807609520485,0.17336274509803906,0.0013745927114826382,0.30945098039215657,0.0025724697519831003,26.30333333333331,0.21865992891856353,0.15472549019607829,0.0012862348759915502,0.30945098039215657,0.0025724697519831003,26.30333333333331,0.21865992891856353,0.15472549019607829,0.0012862348759915502,15000
