p,posterior_x_error_mcmc,posterior_x_error_mcmc_stderr,posterior_x_error_component_norm_mcmc,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,posterior_x_degeneracy_gain_mcmc,posterior_x_degeneracy_gain_mcmc_stderr,posterior_x_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_x_class_component_norm_mcmc_isotonic,posterior_x_class_component_norm_dp_mcmc,scaled_posterior_x_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,0.08011995269873351,0.038751303496719756,0.0005563885604078716,0.04008588542310285,0.027991795665778803,0.00027837420432710316,0.04003406727563065,0.027993195779067063,0.0002780143560807684,78.0,1.16,0.00027837420432710316,0.03854333344150545,0.09345779779668777
0.02,0.2519454621257673,0.07098121384432568,0.001749621264762273,0.23194546212576733,0.06948147920994682,0.0016107323758733842,0.02,0.019999999999999993,0.0001388888888888889,78.0,1.34,0.001085104932160251,0.04486669771663323,0.10879035071966112
0.03,0.12756015019236297,0.05435494335251028,0.0008858343763358539,0.08056475833638498,0.037131335612450134,0.0005594774884471179,0.046995391855978,0.02694370642263744,0.00032635688788873614,78.0,1.84,0.001085104932160251,0.05494454233300435,0.1332265652420152
0.04,0.2590700204615407,0.07099885580326573,0.0017990973643162548,0.21367922018710528,0.060540099174717574,0.0014838834735215645,0.04539080027443547,0.02550614197786904,0.0003152138907946908,78.0,2.22,0.0014838834735215645,0.06794363718713406,0.16474606991228297
0.05,0.5645319830263936,0.1147143335835767,0.003920360993238845,0.49975462095503853,0.10603730415432926,0.0034705182010766563,0.06477736207135519,0.02783126243003479,0.0004498427921621888,78.0,4.26,0.003216402981957455,0.07476348454418967,0.18128246825642896
0.06,0.4967156953547175,0.11003462384665402,0.003449414551074427,0.4265694378487086,0.09174360741219355,0.002962287762838254,0.07014625750600881,0.031880631741130074,0.0004871267882361723,78.0,4.98,0.003216402981957455,0.07402935752378542,0.17950239662006806
0.07,0.7131278939717457,0.12788024584798832,0.004952277041470456,0.5735572846304287,0.10850943851714631,0.0039830366988224215,0.13957060934131704,0.041699688407556695,0.0009692403426480351,78.0,7.16,0.0039830366988224215,0.07506098052057386,0.18200382046765992
0.08,0.961363024883092,0.13961918491269734,0.006676132117243694,0.8539023408045824,0.1324971231677197,0.0059298773666984885,0.1074606840785095,0.03917169487273766,0.0007462547505452049,78.0,9.3,0.005281629599918276,0.07700649045840499,0.1867211881197653
0.09,0.7998685012780197,0.13065302499240783,0.005554642369986248,0.6672069839718813,0.1122330093848202,0.004633381833138064,0.13266151730613832,0.036864247927966894,0.0009212605368481828,78.0,8.04,0.005281629599918276,0.079891966436881,0.19371773477167514
0.1,1.173719666173338,0.1450013088451422,0.008150831015092626,0.9696893033349476,0.1319948292429055,0.00673395349538158,0.2040303628383904,0.044059290906590894,0.0014168775197110446,78.0,13.1,0.00673395349538158,0.07816429504085377,0.18952857027623582
0.11,1.2745228356748834,0.16338106655201665,0.008850853025520024,1.0721209587019773,0.14342154410037597,0.007445284435430398,0.20240187697290604,0.0451074632050383,0.0014055685900896252,78.0,15.4,0.007445284435430398,0.07561307747033048,0.1833425153984663
0.12,1.3241621238325518,0.14175842750556167,0.009195570304392721,1.1185651694093013,0.12005978532369795,0.007767813676453481,0.20559695442325046,0.03895533227225441,0.0014277566279392393,78.0,15.4,0.007767813676453481,0.07505963198301942,0.18200055060647172
0.13,1.6253345844607605,0.1597262832355976,0.011287045725421947,1.26042220541973,0.13991468787663897,0.008752931982081458,0.3649123790410307,0.05810575569376853,0.002534113743340491,78.0,18.1,0.008752931982081458,0.0734551859342953,0.1781101762924566
0.14,1.7621438097556492,0.183484821099128,0.012237109789969787,1.5164740690426377,0.17048528457848844,0.010531069923907206,0.24566974071301156,0.04248404688258114,0.0017060398660625803,78.0,25.42,0.009881658418107609,0.07057257276548615,0.17112057122714772
0.15,1.6666218513429853,0.15932364441243127,0.011573762856548509,1.3294435553723536,0.13715737311622253,0.009232246912308012,0.3371782959706318,0.05776691059619861,0.002341515944240499,78.0,27.64,0.009881658418107609,0.07031420300371105,0.17049409015255668
0.16,1.9402327108092265,0.14930801444274103,0.013473838269508518,1.5631847301444586,0.1405826585567117,0.010855449514892073,0.37704798066476813,0.056112016654998584,0.0026183887546164454,78.0,39.5,0.010855449514892073,0.08281038196346371,0.20079415146469454
0.17,2.132783836016876,0.16142855098106101,0.014810998861228306,1.687049709737535,0.1369922526604834,0.011715622984288437,0.44573412627934134,0.06182752205218433,0.0030953758769398706,78.0,37.16,0.011715622984288437,0.1042543856795445,0.25279041604026364
0.18,2.1835490779422737,0.16796788214515357,0.015163535263488011,1.8074024667559585,0.1469645136899711,0.012551406019138601,0.37614661118631526,0.04794532064694386,0.0026121292443494117,78.0,53.24,0.012551406019138601,0.12208238498713586,0.2960187879956107
0.19,2.460720204629497,0.18768697608527335,0.017088334754371506,2.109798201755707,0.17055908148806787,0.014651376401081297,0.35092200287379016,0.04710019070244826,0.0024369583532902095,78.0,68.3,0.014651376401081297,0.1177952550401008,0.28562358633703616
0.2,2.565972241482151,0.14154362294103875,0.017819251676959382,2.2631182367018687,0.13042273601161292,0.015716098865985198,0.30285400478028185,0.040350796015413096,0.0021031528109741794,78.0,69.7,0.015716098865985198,0.09058583636762806,0.21964765427821178
0.21,2.7184565329832613,0.14854200378115906,0.018878170367939314,2.341970233922896,0.13605770668582462,0.01626368218002011,0.37648629906036474,0.042223907191030106,0.0026144881879191996,78.0,89.04,0.01626368218002011,0.06965270858921137,0.16889013414476164
0.22,3.027376374223573,0.18124005381705274,0.021023447043219255,2.6178766875982067,0.17074814600952476,0.01817969921943199,0.40949968662536645,0.04657535468825286,0.002843747823787267,78.0,120.96,0.01663309133695369,0.06960933575200057,0.16878496602649115
0.23,2.518926799437829,0.17959622675780895,0.017492547218318256,2.1724536174444555,0.17316073270720583,0.015086483454475386,0.346473181993373,0.0522745459026589,0.0024060637638428682,78.0,128.68,0.01663309133695369,0.09373195664464738,0.2272761971788916
0.24,3.2393931840360977,0.185922168005284,0.022495786000250678,2.860831163329292,0.17577549830879835,0.019866883078675637,0.3785620207068059,0.04265205370451127,0.002628902921575041,78.0,188.1,0.019291478751514872,0.1103739320380746,0.2676287622629879
0.25,3.144589136235751,0.1627298857940262,0.021837424557192717,2.6951147171069914,0.16116404830241143,0.018716074424354107,0.44947441912875924,0.049954797528533934,0.0031213501328386057,78.0,274.6,0.019291478751514872,0.11737104587789524,0.28459498682150447
0.26,3.479560049649592,0.15475472665020845,0.024163611455899944,3.055029564947012,0.15301396649150958,0.021215483089909806,0.4245304847025811,0.040895624567657024,0.0029481283659901466,78.0,312.96,0.021215483089909806,0.11743015547726758,0.2847383125925971
0.27,3.508068629395222,0.18827979140151624,0.024361587704133485,3.117518152104803,0.1687671465886243,0.02164943161183891,0.3905504772904196,0.044569117605274905,0.0027121560922945803,78.0,402.9,0.02164943161183891,0.1349573689858387,0.32723735535207654
0.28,3.834211481453229,0.1753078658423301,0.02662646862120298,3.5104772604760086,0.17382177393093912,0.02437831430886117,0.32373422097722043,0.027999026605055197,0.0022481543123418087,78.0,525.28,0.023879190368414512,0.16655541509049024,0.4038545947016681
0.29,3.7542894978539794,0.20472281958772476,0.02607145484620819,3.366729565627371,0.1914508194937337,0.023380066427967854,0.3875599322266082,0.03868490017904279,0.0026913884182403346,78.0,616.74,0.023879190368414512,0.19964398140283443,0.4840859671255
0.3,4.607554994171864,0.1470385355215756,0.03199690968174906,4.225903067453303,0.15381644164285335,0.029346549079536828,0.3816519267185607,0.039864991227901186,0.002650360602212227,78.0,790.98,0.0290809673781572,0.21515437857753486,0.5216947423265184
0.31,4.4988708942788325,0.18874475245894573,0.03124215898804745,4.14941553745597,0.18687837109982305,0.028815385676777567,0.34945535682286355,0.025011149335390805,0.002426773311269886,78.0,914.94,0.0290809673781572,0.21622303625077202,0.5242859658617336
0.32,4.959182924732003,0.13478981829162684,0.03443877031063891,4.591407483402932,0.13661265342898019,0.03188477419029814,0.3677754413290711,0.024938104526501352,0.0025539961203407714,78.0,1139.14,0.03188477419029814,0.2177302917361867,0.5279406777355162
0.33,5.27264850818733,0.1294456881445328,0.03661561464018979,4.890599725326139,0.12844169702696218,0.03396249809254263,0.3820487828611907,0.02625228616891421,0.0026531165476471577,78.0,1369.96,0.03396249809254263,0.22364936823096543,0.5422929354361037
0.34,5.685288309311396,0.11612735901557572,0.03948116881466247,5.331615526226219,0.11318254146572947,0.03702510782101541,0.3536727830851777,0.0197463901381176,0.0024560609936470673,78.0,1635.1,0.03702510782101541,0.23604789483042146,0.5723562145675611
0.35000000000000003,5.728328502986663,0.1476478625265561,0.039780059048518494,5.388379281567486,0.14289518128397338,0.037419300566440876,0.3399492214191774,0.018540749377174145,0.0023607584820776206,78.0,1920.68,0.037419300566440876,0.26522273464491974,0.6430977938933902
0.36,6.483259607922854,0.1273710509158569,0.045022636166130926,6.102794883128987,0.1255774060088369,0.042380520021729075,0.3804647247938672,0.018663309232570174,0.002642116144401856,78.0,2218.12,0.042380520021729075,0.3008172820277766,0.7294055341675983
0.37,6.601872749455339,0.1589341558920474,0.0458463385378843,6.287686824524343,0.14855050233180445,0.0436644918369746,0.3141859249309965,0.01663569575694512,0.0021818467009096978,78.0,2564.16,0.0436644918369746,0.3399595143391222,0.8243155096687167
0.38,7.522841312392014,0.10246342981179168,0.052241953558277876,7.129447853197284,0.09975716905577085,0.04951005453609225,0.39339345919473134,0.012142380068429538,0.0027318990221856343,78.0,2956.22,0.04951005453609225,0.3755360603268402,0.9105796011301025
0.39,7.742982576514185,0.1285489321634537,0.053770712336904065,7.293503935630242,0.1300784704042395,0.050649332886321126,0.4494786408839434,0.0168881539602023,0.0031213794505829404,78.0,3390.88,0.050649332886321126,0.40059356799890167,0.971337695363402
0.4,8.772200358480431,0.0793559011263404,0.06091805804500299,8.279810889634152,0.0761990195783338,0.0574986867335705,0.49238946884628065,0.008022955891259054,0.0034193713114325044,78.0,3852.1,0.0574986867335705,0.41241431266499906,1.0
0.41000000000000003,9.300041764743973,0.0749735258430956,0.0645836233662776,8.75660773001706,0.0682386471118117,0.060809775902896254,0.5434340347269133,0.01028327893836658,0.0037738474633813423,78.0,4314.62,0.060809775902896254,0.3917899031284935,0.9499910432224532
0.42,9.873947645089622,0.059840811070820926,0.06856908086867793,9.247612281801352,0.055357059262337235,0.0642195297347316,0.6263353632882694,0.008714146872115419,0.004349551133946316,78.0,4841.34,0.0642195297347316,0.36932738261803977,0.8955251340126053
0.43,10.550582101212441,0.03023920750533854,0.07326793125841974,9.814929362819349,0.025551616936688143,0.06815923168624548,0.7356527383930894,0.00705020532832979,0.005108699572174232,78.0,5377.36,0.06815923168624548,0.33614266171174073,0.8150606111112026
0.44,11.178147844999263,0.020985538462471812,0.07762602670138377,10.30618850357522,0.01790019629571011,0.07157075349705014,0.8719593414240407,0.00485762105583554,0.006055273204333616,78.0,5968.02,0.07157075349705014,0.2980358702702881,0.7226613168306317
0.45,11.718769906889534,0.012740810673281297,0.08138034657562176,10.69707119960312,0.009907004120807814,0.07428521666391055,1.0216987072864139,0.004195169633651832,0.007095129911711208,78.0,6577.74,0.07428521666391055,0.24411009243707732,0.5919049968456503
0.46,12.181538357937297,0.007768988665744061,0.08459401637456457,10.994549298482617,0.006661838362107874,0.07635103679501817,1.1869890594546775,0.0034320752159245032,0.008242979579546372,78.0,7205.54,0.07635103679501817,0.18804993764523126,0.4559733546347184
0.47000000000000003,12.583506734758997,0.0036049615465443005,0.08738546343582637,11.223539780492858,0.0027961956325662234,0.07794124847564485,1.3599669542661417,0.002613200913134233,0.00944421496018154,78.0,7866.54,0.07794124847564485,0.15608837881734378,0.3784746892238271
0.48,12.895553858442401,0.0015960737938420764,0.08955245735029445,11.381003452608583,0.0019678824679312595,0.07903474619867072,1.5145504058338188,0.0020797261402968215,0.010517711151623742,78.0,8526.8,0.07903474619867072,0.16795398646541143,0.4072457752014032
0.49,13.12557620192996,0.000666008839985412,0.09114983473562471,11.486616686737536,0.001520981697954581,0.07976817143567733,1.6389595151924232,0.0015139887969274016,0.011381663299947383,78.0,9192.48,0.07976817143567733,0.22569048952022952,0.5472421363405885
0.5,78.0,0.0,0.5416666666666666,12.0,0.0,0.08333333333333333,66.0,0.0,0.4583333333333333,78.0,4096.0,0.08333333333333333,0.0,0.0
