p,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,mean_affine_dimension,mean_list_size,mean_acceptance_rate,logical_00_chain_entropy_mcmc,logical_00_chain_entropy_mcmc_stderr,logical_00_chain_component_norm_mcmc,logical_01_chain_entropy_mcmc,logical_01_chain_entropy_mcmc_stderr,logical_01_chain_component_norm_mcmc,logical_02_chain_entropy_mcmc,logical_02_chain_entropy_mcmc_stderr,logical_02_chain_component_norm_mcmc,logical_03_chain_entropy_mcmc,logical_03_chain_entropy_mcmc_stderr,logical_03_chain_component_norm_mcmc,logical_04_chain_entropy_mcmc,logical_04_chain_entropy_mcmc_stderr,logical_04_chain_component_norm_mcmc,logical_05_chain_entropy_mcmc,logical_05_chain_entropy_mcmc_stderr,logical_05_chain_component_norm_mcmc,logical_07_chain_entropy_mcmc,logical_07_chain_entropy_mcmc_stderr,logical_07_chain_component_norm_mcmc,logical_06_chain_entropy_mcmc,logical_06_chain_entropy_mcmc_stderr,logical_06_chain_component_norm_mcmc,logical_10_chain_entropy_mcmc,logical_10_chain_entropy_mcmc_stderr,logical_10_chain_component_norm_mcmc,logical_09_chain_entropy_mcmc,logical_09_chain_entropy_mcmc_stderr,logical_09_chain_component_norm_mcmc,logical_08_chain_entropy_mcmc,logical_08_chain_entropy_mcmc_stderr,logical_08_chain_component_norm_mcmc,logical_11_chain_entropy_mcmc,logical_11_chain_entropy_mcmc_stderr,logical_11_chain_component_norm_mcmc,posterior_x_class_component_norm_dp_decomp_mcmc,scaled_posterior_x_class_component_norm_dp_decomp_mcmc,logical_00_chain_component_norm_dp_mcmc,scaled_logical_00_chain_component_norm_dp_mcmc,logical_01_chain_component_norm_dp_mcmc,scaled_logical_01_chain_component_norm_dp_mcmc,logical_02_chain_component_norm_dp_mcmc,scaled_logical_02_chain_component_norm_dp_mcmc,logical_03_chain_component_norm_dp_mcmc,scaled_logical_03_chain_component_norm_dp_mcmc,logical_04_chain_component_norm_dp_mcmc,scaled_logical_04_chain_component_norm_dp_mcmc,logical_05_chain_component_norm_dp_mcmc,scaled_logical_05_chain_component_norm_dp_mcmc,logical_07_chain_component_norm_dp_mcmc,scaled_logical_07_chain_component_norm_dp_mcmc,logical_06_chain_component_norm_dp_mcmc,scaled_logical_06_chain_component_norm_dp_mcmc,logical_10_chain_component_norm_dp_mcmc,scaled_logical_10_chain_component_norm_dp_mcmc,logical_09_chain_component_norm_dp_mcmc,scaled_logical_09_chain_component_norm_dp_mcmc,logical_08_chain_component_norm_dp_mcmc,scaled_logical_08_chain_component_norm_dp_mcmc,logical_11_chain_component_norm_dp_mcmc,scaled_logical_11_chain_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.04008588542310285,0.027991795665778803,0.00027837420432710316,78.0,1.16,0.001383333333333333,0.020080266070727205,0.019998522928433175,0.00013944629215782782,5.61935237565243e-06,5.619352375652431e-06,3.902328038647521e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.019999999999999993,0.0001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038543333441505435,0.09345779779668772,0.009157135571383859,0.02220372884784464,0.0029178575002144235,0.007075063620754055,5.091785397101987e-08,1.2346286830345786e-07,2.692890869054706e-08,6.529576657156708e-08,7.1575022121059635e-06,1.7355125640171334e-05,0.0,0.0,0.02213139377156882,0.0536630109380951,6.754366591726613e-05,0.00016377624113189136,0.001080092817536121,0.0026189508568619244,0.0015881614581611764,0.003850888316408232,9.817592752533104e-06,2.3805169828108895e-05,0.0015840957149964724,0.0038410299214887357
0.02,0.23194546212576733,0.06948147920994682,0.0016107323758733842,78.0,1.34,0.003601666666666666,0.02,0.019999999999999993,0.0001388888888888889,0.02,0.019999999999999993,0.0001388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13847050666004004,0.04900856243856328,0.0009616007406947225,0.0,0.0,0.0,0.013334258328187479,0.013334258328187479,9.25990161679686e-05,0.020105515529756063,0.01999812487211459,0.00013962163562330598,3.5181607783734136e-05,3.5181607783734136e-05,2.443167207203759e-07,0.02,0.019999999999999993,0.0001388888888888889,0.0404381440038162,0.09805223233526279,0.009141833882752175,0.02216662613787125,0.006577267109672767,0.015948202833143257,3.867913870813709e-05,9.378709108855747e-05,1.0023885599181513e-05,2.430537760536899e-05,1.4315108911733901e-05,3.4710504636055035e-05,7.06332023413013e-10,1.7126758255520606e-09,0.016841537189249887,0.04083645177205607,0.002947185074235644,0.007146175541753371,0.0017267943610193128,0.00418703790821628,0.0010095707540112887,0.0024479527577195292,1.4206854245081686e-05,3.44480145542907e-05,0.0021167299390789595,0.005132532683942913
0.03,0.08056475833638496,0.037131335612450134,0.0005594774884471178,78.0,1.84,0.0024983333333333333,0.01955002648341195,0.01835561872047775,0.00013576407280147188,0.00043871273123344045,0.000306488911697712,3.0466161891211142e-06,1.4763405324364887e-12,1.4763405324364887e-12,1.0252364808586726e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05898483817492164,0.03301097456322517,0.00040961693177028914,0.0003808101182917112,0.0002904067662285179,2.6445147103591056e-06,0.00029554847547711685,0.00022416661135668601,2.0524199685910893e-06,0.00047667802742935595,0.00030818251312203027,3.3102640793705275e-06,3.348535912526401e-14,3.3485359125264006e-14,2.3253721614766673e-16,0.0004381443241099375,0.0003066372963231505,3.0426689174301215e-06,0.05051598862018731,0.12248844685761683,0.011382738152645561,0.02760025004731509,0.011493931001503296,0.02786986447495028,0.0021773475053326664,0.0052795148918638735,9.242147127856449e-05,0.0002240986028863594,5.24275023211246e-05,0.00012712338226658745,5.069397613855986e-06,1.2292002140027129e-05,0.009192475629649645,0.022289419516622406,0.007724308407868826,0.01872948675800013,0.0028587493434519065,0.006931741347624,0.0018546575156056456,0.004497073594805546,0.0005542368668535461,0.0013438836864610672,0.0031276258260626733,0.007583698552681462
0.04,0.21367922018710528,0.06054009917471756,0.0014838834735215645,78.0,2.22,0.003756666666666667,0.07793183676053696,0.037016623608010425,0.0005411933108370622,0.034730963533588406,0.02403264588060509,0.0002411872467610306,1.3197878222477708e-06,1.3083233504737475e-06,9.165193210053964e-09,6.9799731325898e-07,6.979973132589801e-07,4.847203564298473e-09,0.00018552245733778662,0.00018348425325760367,1.2883503981790739e-06,0.0,0.0,0.0,0.09873503688914063,0.04216667521672979,0.00068565997839681,0.0009891115839921153,0.000543787024987078,6.8688304443896895e-06,0.0007363922232070786,0.0005149336130565943,5.11383488338249e-06,7.578811668790264e-07,7.578811668790264e-07,5.2630636588821274e-09,0.00018410878851121915,0.0001841087885112191,1.278533253550133e-06,0.0001834722844887038,0.00018347228448870376,1.2741130867271096e-06,0.06794363718713405,0.1647460699122829,0.015251845900817403,0.036981854005649795,0.01646250089859635,0.03991738500106012,0.00603680413939571,0.014637717348814125,0.001392818798328131,0.0033772319620233616,0.00014736311680126318,0.00035731814409885695,1.6975500169581804e-05,4.116127798738855e-05,0.0030459438986610576,0.007385640617024982,0.01049243484316012,0.025441490561660122,0.004242251677914996,0.01028638325013939,0.004246129288809422,0.010295785472068521,0.0024198656931169417,0.005867559924096474,0.004188703431363066,0.010156542347659784
0.05,0.49975462095503853,0.10603730415432926,0.0034705182010766563,78.0,4.26,0.006841666666666668,0.06207287382376585,0.03232385308095961,0.0004310616237761517,0.10014903030545018,0.03971691612200246,0.0006954793771211818,0.000999923696717737,0.000819159557577472,6.943914560539841e-06,0.00025842312010426695,0.00018290426366234547,1.794605000724076e-06,2.7083165695643197e-09,2.7083165695643205e-09,1.8807753955307774e-11,1.8308126046865302e-08,1.618714333774408e-08,1.2713976421434238e-10,0.1410928938172327,0.04624494853350562,0.0009798117626196715,0.07365119371962027,0.032256295049297785,0.0005114666230529185,0.04269462844025223,0.024866827379135044,0.0002964904752795294,0.025213202126780174,0.017711105979477375,0.00017509168143597343,2.4084943108465625e-08,1.7618727155763658e-08,1.6725654936434462e-10,0.053622406803729386,0.030640001472204262,0.0003723778250258985,0.07846151105671714,0.1902492436542832,0.01951007675152347,0.04730698269284207,0.015128359090146634,0.03668242984194218,0.010193635781987082,0.024716978700657494,0.0034832691463293763,0.008446043309750038,0.00048614226966905744,0.0011787715768825583,0.0003110837675767585,0.0007542991550573304,0.00036471930101291284,0.0008843517060698412,0.008255190121206225,0.020016740126843877,0.007185487093144534,0.017422981871585162,0.005923018305399107,0.014361815590552331,0.005568886997482148,0.013503137079545811,0.0020516424312398245,0.004974712002554474
0.06,0.42656943784870877,0.09174360741219355,0.0029622877628382553,78.0,4.98,0.005423333333333333,0.09519168388942177,0.03719913973123674,0.0006610533603432068,0.06817394258563979,0.030520581865128737,0.00047343015684472075,0.05443436036914269,0.029885850250591234,0.0003780163914523798,0.0018773223007053385,0.0012869179140817864,1.303696042156485e-05,0.0009878705288548367,0.000766902948757058,6.860212005936366e-06,0.00013136216989905332,0.00013135578818225117,9.12237290965648e-07,0.07555412022785246,0.03558258417251239,0.0005246813904711976,0.05093346332473533,0.028547012012726167,0.0003537046064217731,0.013905258311729856,0.011108722688879902,9.656429383145733e-05,0.03785583384811641,0.023730305551630405,0.0002628877350563639,0.014067917057502717,0.013312354005286315,9.769386845487998e-05,0.013456303235108422,0.01329492065264255,9.344655024380848e-05,0.07772738403631288,0.18846917201792224,0.01972771619733242,0.04783470309226899,0.008981087417183228,0.0217768567709203,0.010382435790941558,0.025174770787780902,0.004929360447361689,0.011952447565431052,0.0007901897386629994,0.0019160094943282543,0.0005971996083887298,0.0014480574268377303,0.0023002638553978917,0.005577555833437765,0.004196034784486101,0.010174319017619806,0.010693809830601577,0.02592977377894272,0.0048995612181311305,0.011880192000298025,0.009040786631253146,0.021921612207956773,0.0011889385165724043,0.0028828740420999157
0.07,0.573557284630429,0.10850943851714627,0.003983036698822423,78.0,7.16,0.007155,0.17997904936036307,0.05019780882462576,0.0012498545094469658,0.1309451223242805,0.041609147760808256,0.0009093411272519478,0.045605395164368456,0.021525529847526433,0.00031670413308589203,0.031830372411045985,0.018501945099725955,0.000221044252854486,0.0018439055131459282,0.0011230670479427567,1.2804899396846724e-05,0.00017724400834535968,0.00016211959320807382,1.2308611690649977e-06,0.06056752743304803,0.028085960158112887,0.0004206078293961669,0.023556217282582725,0.011277915252540807,0.0001635848422401578,0.024019003594921894,0.01997551483014835,0.0001667986360758465,0.025085986330517923,0.02026885056029882,0.00017420823840637447,0.03465739969633391,0.023956447574761005,0.0002406763867800966,0.015290061511475175,0.013781075655888354,0.0001061809827185776,0.07506098052057386,0.18200382046765992,0.01625967529982697,0.03942558441960422,0.004381294156450209,0.01062352595897684,0.005578630572501352,0.01352676277516302,0.005258620022631429,0.012750818439472941,0.0015635574162229542,0.0037912297614487007,0.000950150477874404,0.0023038736743508795,0.00712178154560782,0.017268512093063043,0.004012850916168179,0.009730144645653426,0.01384050513404285,0.03355971097270182,0.003781283639011021,0.009168652791355784,0.009423322529547919,0.022849164638964435,0.0028893088106887546,0.00700584029690482
0.08,0.8539023408045822,0.1324971231677197,0.005929877366698488,78.0,9.3,0.007611666666666667,0.17032344938781674,0.048075872962448585,0.0011828017318598384,0.08422829032640461,0.03040811385042035,0.0005849186828222543,0.06414216798067975,0.026635558069644967,0.0004454317220880538,0.02287234284398145,0.019896205123022977,0.00015883571419431563,0.007308300460496004,0.00693677236011406,5.0752086531222256e-05,0.0074460788991007444,0.005151479412894638,5.170888124375517e-05,0.1911204857486186,0.051613620119271494,0.001327225595476518,0.06773501013159705,0.031236031653882335,0.0004703820148027573,0.12579744136655882,0.04088124153090794,0.0008735933428233252,0.048701381465624645,0.01956072109094331,0.0003382040379557267,0.0472983166519372,0.02474951106289816,0.00032846053230511945,0.016929075541766637,0.01322243548389892,0.00011756302459560165,0.07121548871150932,0.17267947916579002,0.013470231959681956,0.03266189253384065,0.008522274448104722,0.020664351809310987,0.0030472166985652323,0.00738872683364038,0.004210259335507789,0.010208809942364318,0.002360048100662302,0.005722517449532239,0.0008037502408022129,0.0019488902691286879,0.007487158483400463,0.01815445840135578,0.007317704917790375,0.017743576527457935,0.00980544372084683,0.023775711510797434,0.004108735812330164,0.009962641174550257,0.005865433996252869,0.014222188261000813,0.0042172309975643885,0.010225714452810498
0.09,0.6672069839718813,0.1122330093848202,0.004633381833138064,78.0,8.04,0.007510000000000001,0.11029685399051477,0.03710757670753452,0.0007659503749341303,0.07264166096133066,0.030953744380847456,0.0005044559788981297,0.05162009638166465,0.023409542980178964,0.00035847289153933783,0.018881834520395407,0.016190293881690736,0.00013112385083607922,0.0025483564101697782,0.0016686012532464239,1.7696919515067903e-05,0.00023280465079574404,0.00019323188273767956,1.6166989638593336e-06,0.09488751235624844,0.035010413087438456,0.0006589410580295031,0.07584018751103656,0.03242396498947507,0.0005266679688266428,0.06470825068862719,0.027534459414167357,0.0004493628520043555,0.030326489224997033,0.014316303643398953,0.00021060061961803496,0.07079402253248152,0.03077667678558461,0.0004916251564755661,0.07442891474361946,0.03462412726184928,0.0005168674634973573,0.07410096468998528,0.17967602581769979,0.01988943536091971,0.04822683100495531,0.02136434905107689,0.051803122236523794,0.0045546196979540845,0.011043796391357946,0.004474299089630695,0.010849039308839733,0.0028343130456649356,0.006872489529642551,0.0005901642655337544,0.00143099850662346,0.004225383942699549,0.010245483274805244,0.008974914373262595,0.02176188870669202,0.0019010724737456252,0.0046096180839626955,0.00416534964311159,0.010099915340462664,0.00014135949590581356,0.0003427608876916907,0.0009857042504800336,0.002390082546142654
