p,posterior_x_error,posterior_x_class,posterior_x_saved_by_stabilizers,posterior_x_error_stderr,posterior_x_class_stderr,posterior_x_class_component_norm,posterior_x_class_component_norm_dp,scaled_posterior_x_class_component_norm_dp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.7346889906582454,0.005706349063068217,0.7289826415951772,0.36233672678901035,0.5128600447985247,2.5820583995783786e-05,0.0005230247879577457,0.009137447397451847
0.04,1.9983120313682363,0.004623539125546472,1.9936884922426898,0.3729429207488546,0.5277120728411784,2.092099151830983e-05,0.003082542317641126,0.0538532186741035
0.06,4.446927043968742,0.032956023151015756,4.413971020817726,0.3648744982742212,0.5169918481643039,0.00014912227670142876,0.017274450220051134,0.3017913946716608
0.08,8.222888901421527,0.15732967907079853,8.065559222350728,0.34130727388144017,0.4858612032259327,0.0007118990003203554,0.04019217236966546,0.7021729548443612
0.1,13.507487511358605,0.3882548268988586,13.119232684459746,0.28803576551427756,0.4132656234610198,0.001756809171488048,0.05723970439529985,1.0
0.12,20.5000587690746,0.6633286659252491,19.83673010314935,0.23572591269102125,0.3385418477938332,0.003001487176132349,0.048690167915960134,0.850636257303213
0.14,27.99248309967696,0.8186759112759461,27.173807188401014,0.18191144145708962,0.25974799531138426,0.003704415888126453,0.030929764227894438,0.540355065677701
0.16,35.57193030023696,0.936747781699836,34.63518251853712,0.1450422398043737,0.2070890902088424,0.004238677745248127,0.01791018174997855,0.31289787288714954
0.18,43.856521794700356,0.9770019179457563,42.8795198767546,0.11201697671461668,0.15902329533212448,0.004420823158125594,0.0073056482345493085,0.1276325290587839
0.2,51.620278214718766,1.001329712093252,50.618948502625514,0.08627232635464177,0.12196366092050369,0.004530903674630099,0.0024373433163160235,0.042581340034246615
0.22,59.114666114638325,0.99854803286199,58.116118081776335,0.06203087079745959,0.08773156210560751,0.0045183168907782355,0.0,0.0
0.24,66.43962703333554,1.000459005881936,65.4391680274536,0.04878209483932625,0.06896354966234781,0.004526963827520073,0.00010563956123380014,0.001845564409352096
0.26,73.18149025630235,0.9994818865832968,72.18200836971906,0.035939026784934595,0.05084714200462429,0.004522542473227587,0.0,0.0
0.28,79.24254984270733,0.999994430108174,78.24255541259916,0.025359842295427523,0.035865724904829505,0.00452486167469762,5.427729129336978e-05,0.0009482454856602417
0.3,84.8824005270373,0.9999616978383301,83.88243882919897,0.018806086839607522,0.02659705047436557,0.004524713564879322,1.4593766436560296e-06,2.5495880159993698e-05
0.32,89.92022533958526,1.000007330997704,88.92021800858755,0.012581216831540351,0.017792439803184124,0.004524920049763366,4.401686354960077e-06,7.689918041088827e-05
0.34,94.40532480163509,1.000000608745708,93.40532419288938,0.008448049238786181,0.011947293708403412,0.0045248896323335204,0.0,0.0
0.36,98.33726400765491,0.9999999587850397,97.33726404886987,0.005440956863979076,0.007694686037848215,0.004524886691335021,0.0,0.0
0.38,101.72926864840913,1.0000000395056219,100.72926860890351,0.003247919119902766,0.004593250813958639,0.0045248870565865245,4.270556366869904e-09,7.460828828495094e-08
0.4,104.58092101771922,0.9999999965367579,103.58092102118246,0.0017339349661998106,0.002452154281520221,0.004524886862157276,0.0,0.0
0.42,106.9024585393206,0.9999999998521929,105.90245853946841,0.0008964344603393492,0.001267749773215683,0.004524886877159244,3.9081135549956514e-10,6.827627075091185e-09
0.44,108.69926315639286,0.9999999999915303,107.69926315640133,0.0003722742729927483,0.00052647532551454,0.00452488687778973,1.672026406218663e-11,2.9210954596683044e-10
0.46,109.97866561328736,1.0,108.97866561328736,0.00010471327671089455,0.0001480869360892404,0.004524886877828055,9.581085924637023e-13,1.673853145444224e-11
0.48,110.74487463085032,1.0,109.74487463085032,1.2954307139983941e-05,1.8320156848507988e-05,0.004524886877828055,0.0,0.0
0.5,111.0,1.0,110.0,0.0,0.0,0.004524886877828055,0.0,0.0
