p,posterior_x_error_mcmc,posterior_x_error_mcmc_stderr,posterior_x_error_component_norm_mcmc,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,posterior_x_degeneracy_gain_mcmc,posterior_x_degeneracy_gain_mcmc_stderr,posterior_x_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_x_class_component_norm_mcmc_isotonic,posterior_x_class_component_norm_dp_mcmc,scaled_posterior_x_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,0.3434884849182087,0.08360501532594336,0.001192668350410447,0.07842590466627715,0.03798896246307656,0.00027231216898012897,0.2650625802519315,0.07678128027113175,0.0009203561814303178,150.0,1.72,0.00027231216898012897,0.02595218765136956,0.08799016740398864
0.02,0.7257364681891607,0.14746445532437139,0.002519918292323475,0.1702898322560155,0.05225580984818779,0.0005912841397778315,0.5554466359331451,0.1277449272375214,0.0019286341525456428,150.0,3.48,0.0005912841397778315,0.023143308686689408,0.0784667417244311
0.03,1.11066008762263,0.1535930100820523,0.0038564586375785764,0.2681886094059954,0.0715321310916889,0.000931210449326373,0.8424714782166347,0.13306265987424062,0.002925248188252204,150.0,5.56,0.0007998589405901139,0.020994520954088002,0.0711813369313112
0.04,1.0549663533466935,0.14459254314130146,0.0036630776157871303,0.1925301403739102,0.0682440118757266,0.0006685074318538548,0.8624362129727833,0.1252500819827536,0.002994570183933275,150.0,5.62,0.0007998589405901139,0.020612107297797305,0.06988477411022609
0.05,1.2680204067904546,0.16188770456048776,0.004402848634689078,0.35673752742444476,0.08003733610164147,0.0012386719702237666,0.9112828793660098,0.13621650424660958,0.003164176664465312,150.0,7.54,0.0012386719702237666,0.021725084030745297,0.07365829063855893
0.06,1.2674310971419127,0.15888083537297007,0.004400802420631641,0.4660771007436663,0.08878505066253838,0.0016183232664710636,0.8013539963982464,0.12835611642519673,0.002782479154160578,150.0,8.38,0.0014291445676240006,0.024661497296346573,0.08361411780343819
0.07,1.179093655598347,0.164283789967933,0.004094075193049816,0.35711017020775804,0.09111124486452682,0.0012399658687769375,0.8219834853905889,0.11509477521915609,0.002854109324272878,150.0,8.38,0.0014291445676240006,0.0294388020885854,0.09981143627446074
0.08,1.7952304524361642,0.17954175037914527,0.006233439070958903,0.571581146066814,0.1045561990362602,0.0019846567571764374,1.22364930636935,0.150598160884103,0.004248782313782466,150.0,14.76,0.0019846567571764374,0.03055307376723095,0.10358934328001412
0.09,2.098991930242351,0.17791527257428597,0.007288166424452607,0.8241587130915106,0.11207075240439829,0.0028616621982344116,1.27483321715084,0.1315922347585073,0.004426504226218195,150.0,18.3,0.00248838762595938,0.02497953934122507,0.08469243047388811
0.1,1.8697651802982336,0.19516116212569676,0.006492240209368867,0.6091525594610924,0.11592358424538093,0.0021151130536843487,1.2606126208371413,0.14453655407269453,0.004377127155684519,150.0,19.42,0.00248838762595938,0.016381231924161015,0.05554010932155175
0.11,1.8540001923227496,0.16216339055846332,0.006437500667787325,0.7203608683153386,0.1077938222548874,0.0025012530149838147,1.133639324007411,0.11474949192629513,0.00393624765280351,150.0,19.66,0.0025012530149838147,0.013266938679705412,0.044981185056440776
0.12,2.196322357726291,0.15797868840425994,0.0076261192976607335,0.8080259233427196,0.1230772741444609,0.0028056455671622207,1.3882964343835715,0.11619306348430686,0.004820473730498512,150.0,25.54,0.0027737830167589954,0.015407053303594813,0.052237183916706995
0.13,2.2317897417931154,0.14631492549174815,0.007749269936781651,0.7896730943104618,0.10079442157872294,0.00274192046635577,1.4421166474826534,0.12844846408806598,0.00500734947042588,150.0,31.1,0.0027737830167589954,0.017317561623220776,0.05871470901512505
0.14,2.427525888757025,0.16975479955610004,0.008428909335961892,1.0671665186228543,0.10536181236244295,0.0037054393007737996,1.3603593701341705,0.10989132724323837,0.0047234700351880925,150.0,35.06,0.0032311241563249484,0.014217976108916348,0.048205650898314155
0.15,2.763309683150435,0.14761953060856126,0.009594825288716788,0.9219777582395144,0.09874291906132802,0.0032013116605538695,1.8413319249109197,0.13591923747535736,0.006393513628162916,150.0,38.22,0.0032311241563249484,0.010395742749171627,0.03524647544462944
0.16,2.6017229541494453,0.16155695358687847,0.009033760257463351,0.9533821644309667,0.11315045937719259,0.0033103547376075234,1.6483407897184785,0.13599567938026338,0.0057234055198558285,150.0,40.44,0.0032311241563249484,0.01440663264819379,0.048845285625678
0.17,2.756771662118865,0.17477205081687347,0.009572123826801615,0.7797285867930052,0.09215210776454602,0.0027073909263646014,1.9770430753258603,0.1567102212387712,0.006864732900437015,150.0,51.02,0.0032311241563249484,0.024503983926192487,0.08308007312117831
0.18,3.1867003727909893,0.15083127600647153,0.011064931849968714,1.074336316553659,0.11455338819876204,0.0037303344324779828,2.11236405623733,0.11566218484249129,0.007334597417490729,150.0,64.5,0.0037303344324779828,0.03159533846674607,0.10712311263393462
0.19,3.1431098409223157,0.1588940154561951,0.010913575836535818,1.3164539989819308,0.11438972592507768,0.004571020829798371,1.8266558419403847,0.11499373975653363,0.006342555006737447,150.0,64.28,0.0043685563411278066,0.030184003063426574,0.10233801936667378
0.2,3.1820423331205188,0.14033555445542278,0.011048758101112912,1.2011575647171089,0.12896690091747964,0.004170685988601073,1.9808847684034097,0.11724439361213293,0.006878072112511839,150.0,73.84,0.0043685563411278066,0.02757818186694383,0.09350305537891614
0.21,3.4816596642455138,0.16193260100972,0.012089096056408033,1.2568211150353854,0.12866687926872059,0.004363962204983977,2.224838549210128,0.14480727240756866,0.007725133851424056,150.0,95.46,0.0043685563411278066,0.029507174398098492,0.10004325068027006
0.22,3.5731732359098287,0.1384272366200951,0.012406851513575795,1.4725257180008746,0.11785912453542306,0.00511293652083637,2.100647517908954,0.11495498914922447,0.007293914992739423,150.0,96.82,0.00511293652083637,0.02972170958722064,0.10077062624715827
0.23,3.5857535631109863,0.14299364923715255,0.01245053320524648,1.6024805174703511,0.12111341119781009,0.005564168463438719,1.983273045640635,0.11729629688103746,0.00688636474180776,150.0,116.74,0.005429992715658069,0.026016944154113708,0.08820972251793502
0.24,4.026846195742535,0.13902893563857754,0.013982104846328246,1.5251952867486964,0.11273833287955712,0.005295816967877418,2.501650908993838,0.11535571676686053,0.008686287878450827,150.0,153.1,0.005429992715658069,0.025447906948998296,0.08628041776683591
0.25,4.013703197764546,0.13931647629628077,0.01393646943668245,1.5761429477874664,0.12650625315453481,0.005472718568706481,2.437560249977079,0.1295937560973359,0.008463750867975968,150.0,161.5,0.005472718568706481,0.031106764571285958,0.10546661648693309
0.26,4.056947078060611,0.1312361966039347,0.014086621798821567,1.7882407998914502,0.12638522814134545,0.006209169444067536,2.2687062781691614,0.09721868418134684,0.007877452354754032,150.0,198.56,0.006209169444067536,0.034004971736414334,0.11529290693523091
0.27,4.145405404400213,0.1333502712247065,0.014393768765278517,1.9643928139474043,0.13224925429805467,0.00682080838176182,2.1810125904528097,0.1292173209519139,0.0075729603835167,150.0,215.32,0.00667126203938835,0.027211494069120178,0.09225981064175039
0.28,3.9020864223629643,0.13959359781307765,0.013548911188760292,1.9484401438548244,0.14477344891025323,0.006765417166162585,1.95364627850814,0.12051380604878147,0.006783494022597709,150.0,288.3,0.00667126203938835,0.019449786469407225,0.06594395780444585
0.29,3.892912891271813,0.1369118413082264,0.013517058650249351,1.851137444229306,0.14924028993656255,0.006427560570240646,2.0417754470425074,0.12797946525762682,0.007089498080008706,150.0,342.78,0.00667126203938835,0.02041308582917576,0.0692099973794069
