exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
0.0,0.019999999999999997,0.0,0.004999999999999999,0.0,0.0,0.0004999999999999999,0.0,0.0,0.0,0.019999999999999997,0.0,0.0004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009999999999999998,0.0,0.019999999999999997,0.0,0.009999999999999998,0.0,0.0,0.0004999999999999999,0.0,0.0,0.0,0.0,0.0009999999999999998,0.0,0.019999999999999997,0.0,0.0004999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,500
0.002,0.059999999999999984,0.0005,0.014999999999999996,0.0005,5e-05,0.0014999999999999996,5e-05,0.002,0.002,0.13999999999999993,5e-05,0.0034999999999999983,5e-05,0.002,0.0,0.07999999999999996,0.0,0.001999999999999999,0.0,0.0,0.0,0.07999999999999996,0.0,0.001999999999999999,0.0,0.0,0.0,0.0,0.001999999999999999,0.0,0.03999999999999998,0.0,0.01999999999999999,0.0,0.0,0.0009999999999999996,0.0,0.0,0.0,0.0,0.0049999999999999975,0.0,0.09999999999999995,0.0,0.0024999999999999988,0.0,0.0,0.0,0.0,0.0029999999999999988,0.0,0.05999999999999997,0.0,0.0014999999999999994,0.0,0.0,0.0,0.0,0.0029999999999999988,0.0,0.05999999999999997,0.0,0.0014999999999999994,0.0,0.0,0.002,0.0001,0.0010000000000000002,0.0001,0.02,0.001,0.01,0.001,5e-05,0.0005000000000000001,5e-05,0.002,0.002,0.0001,0.0019999999999999996,0.0001,0.039999999999999994,5e-05,0.0009999999999999998,5e-05,0.002,0.0,0.0,0.0009999999999999996,0.0,0.01999999999999999,0.0,0.0004999999999999998,0.0,0.0,0.0,0.0,0.0009999999999999996,0.0,0.01999999999999999,0.0,0.0004999999999999998,0.0,0.0,0.1,500
0.006,0.6000000000000003,0.0015,0.15000000000000008,0.0008642881394395922,0.00015000000000000001,0.015000000000000006,8.642881394395922e-05,0.003457152557758369,0.014,1.0000000000000002,0.00035,0.02500000000000001,0.00013148984431626888,0.005259593772650755,0.008,0.40000000000000013,0.0002,0.010000000000000004,9.969894562892345e-05,0.003987957825156938,0.008,0.40000000000000013,0.0002,0.010000000000000004,9.969894562892345e-05,0.003987957825156938,0.004,0.0002,0.019000000000000006,0.00014127958040594316,0.3800000000000001,0.002,0.19000000000000006,0.0014127958040594316,0.0001,0.009500000000000003,7.063979020297158e-05,0.002825591608118863,0.01,0.0005,0.03100000000000001,0.00022270877485360466,0.6200000000000002,0.00025,0.015500000000000005,0.00011135438742680233,0.004454175497072093,0.006,0.00030000000000000003,0.012000000000000004,0.00017285762788791845,0.24000000000000007,0.00015000000000000001,0.006000000000000002,8.642881394395922e-05,0.003457152557758369,0.006,0.00030000000000000003,0.012000000000000004,0.00017285762788791845,0.24000000000000007,0.00015000000000000001,0.006000000000000002,8.642881394395922e-05,0.003457152557758369,0.002,0.0001,0.011000000000000006,0.0001,0.2200000000000001,0.001,0.11000000000000006,0.001,5e-05,0.005500000000000003,5e-05,0.002,0.004,0.0002,0.01900000000000001,0.00014127958040594316,0.3800000000000002,0.0001,0.009500000000000005,7.063979020297158e-05,0.002825591608118863,0.002,0.0001,0.008000000000000004,0.0001,0.16000000000000006,5e-05,0.004000000000000002,5e-05,0.002,0.002,0.0001,0.008000000000000004,0.0001,0.16000000000000006,5e-05,0.004000000000000002,5e-05,0.002,0.15000000000000002,500
0.062,1.5800000000000005,0.0155,0.39500000000000013,0.0032078154810276475,0.00155,0.039500000000000014,0.00032078154810276474,0.01283126192411059,0.102,2.3200000000000007,0.0025499999999999997,0.05800000000000002,0.0004240928075537684,0.016963712302150737,0.04,0.7400000000000002,0.001,0.018500000000000006,0.00023044785185557642,0.009217914074223057,0.04,0.7400000000000002,0.001,0.018500000000000006,0.00023044785185557642,0.009217914074223057,0.038,0.0019,0.03600000000000001,0.0004279559470146084,0.7200000000000002,0.019,0.3600000000000001,0.004279559470146084,0.00095,0.018000000000000006,0.0002139779735073042,0.008559118940292168,0.062,0.0031,0.05300000000000002,0.000539780256633106,1.0600000000000003,0.00155,0.02650000000000001,0.000269890128316553,0.010795605132662119,0.024,0.0012000000000000001,0.017000000000000005,0.0003425707363725595,0.3400000000000001,0.0006000000000000001,0.008500000000000002,0.00017128536818627975,0.00685141472745119,0.024,0.0012000000000000001,0.017000000000000005,0.0003425707363725595,0.3400000000000001,0.0006000000000000001,0.008500000000000002,0.00017128536818627975,0.00685141472745119,0.024,0.0012000000000000001,0.04300000000000001,0.0003425707363725595,0.8600000000000002,0.012,0.4300000000000001,0.003425707363725595,0.0006000000000000001,0.021500000000000005,0.00017128536818627975,0.00685141472745119,0.04,0.002,0.06300000000000003,0.00046089570371115284,1.2600000000000005,0.001,0.031500000000000014,0.00023044785185557642,0.009217914074223057,0.016,0.0008,0.02000000000000001,0.00028085183907359775,0.40000000000000013,0.0004,0.010000000000000005,0.00014042591953679888,0.0056170367814719555,0.016,0.0008,0.02000000000000001,0.00028085183907359775,0.40000000000000013,0.0004,0.010000000000000005,0.00014042591953679888,0.0056170367814719555,0.2,500
0.164,3.0399999999999983,0.041,0.7599999999999996,0.005762326684390192,0.0041,0.07599999999999996,0.0005762326684390192,0.023049306737560768,0.246,4.339999999999997,0.00615,0.10849999999999993,0.0008326112435980742,0.03330444974392297,0.082,1.2999999999999994,0.00205,0.03249999999999998,0.00042362000403148016,0.016944800161259207,0.082,1.2999999999999994,0.00205,0.03249999999999998,0.00042362000403148016,0.016944800161259207,0.076,0.0038,0.07299999999999994,0.0006260222101612934,1.4599999999999989,0.038,0.7299999999999994,0.0062602221016129335,0.0019,0.03649999999999997,0.0003130111050806467,0.012520444203225867,0.116,0.0058000000000000005,0.10299999999999992,0.0009134488368568378,2.0599999999999983,0.0029000000000000002,0.05149999999999996,0.0004567244184284189,0.018268976737136757,0.04,0.002,0.029999999999999985,0.00046089570371115284,0.5999999999999995,0.001,0.014999999999999993,0.00023044785185557642,0.009217914074223057,0.04,0.002,0.029999999999999985,0.00046089570371115284,0.5999999999999995,0.001,0.014999999999999993,0.00023044785185557642,0.009217914074223057,0.088,0.004399999999999999,0.07899999999999996,0.0006798561677425859,1.5799999999999992,0.044,0.7899999999999996,0.006798561677425859,0.0021999999999999997,0.03949999999999998,0.00033992808387129297,0.013597123354851718,0.13,0.006500000000000001,0.11399999999999995,0.0009312542450576403,2.279999999999999,0.0032500000000000003,0.056999999999999974,0.00046562712252882013,0.018625084901152805,0.042,0.0021000000000000003,0.03499999999999998,0.0005307951459592936,0.6999999999999995,0.0010500000000000002,0.01749999999999999,0.0002653975729796468,0.010615902919185873,0.042,0.0021000000000000003,0.03499999999999998,0.0005307951459592936,0.6999999999999995,0.0010500000000000002,0.01749999999999999,0.0002653975729796468,0.010615902919185873,0.25,500
0.366,4.8599999999999985,0.0915,1.2149999999999996,0.008611260512563213,0.00915,0.12149999999999997,0.0008611260512563213,0.03444504205025285,0.536,7.779999999999999,0.0134,0.19449999999999995,0.0012605784847570837,0.050423139390283346,0.17,2.92,0.00425,0.07300000000000001,0.0005718645452519614,0.022874581810078454,0.17,2.92,0.00425,0.07300000000000001,0.0005718645452519614,0.022874581810078454,0.184,0.0092,0.11899999999999997,0.0009552722597146642,2.3799999999999994,0.092,1.1899999999999997,0.009552722597146642,0.0046,0.05949999999999998,0.0004776361298573321,0.019105445194293285,0.268,0.0134,0.18999999999999995,0.0013358326608507484,3.799999999999999,0.0067,0.09499999999999997,0.0006679163304253742,0.02671665321701497,0.084,0.004200000000000001,0.07100000000000001,0.0006823864759835224,1.42,0.0021000000000000003,0.035500000000000004,0.0003411932379917612,0.01364772951967045,0.084,0.004200000000000001,0.07100000000000001,0.0006823864759835224,1.42,0.0021000000000000003,0.035500000000000004,0.0003411932379917612,0.01364772951967045,0.182,0.0091,0.12400000000000003,0.0009830120168393167,2.48,0.091,1.24,0.009830120168393167,0.00455,0.06200000000000001,0.0004915060084196584,0.019660240336786334,0.268,0.0134,0.19899999999999995,0.001401716668673979,3.9799999999999995,0.0067,0.09949999999999998,0.0007008583343369895,0.02803433337347958,0.086,0.0043,0.075,0.0007028570381180401,1.5000000000000002,0.00215,0.0375,0.00035142851905902003,0.0140571407623608,0.086,0.0043,0.075,0.0007028570381180401,1.5000000000000002,0.00215,0.0375,0.00035142851905902003,0.0140571407623608,0.30000000000000004,500
0.65,6.9600000000000035,0.1625,1.7400000000000009,0.011166327675090633,0.01625,0.1740000000000001,0.0011166327675090632,0.04466531070036253,1.024,11.560000000000002,0.0256,0.28900000000000003,0.0017292369765425687,0.06916947906170275,0.374,4.600000000000001,0.00935,0.11500000000000005,0.0008568099243665342,0.03427239697466137,0.374,4.600000000000001,0.00935,0.11500000000000005,0.0008568099243665342,0.03427239697466137,0.314,0.0157,0.16700000000000004,0.001241007735834391,3.3400000000000016,0.157,1.6700000000000008,0.012410077358343909,0.00785,0.08350000000000002,0.0006205038679171955,0.024820154716687817,0.496,0.0248,0.2830000000000001,0.001804558911682149,5.660000000000002,0.0124,0.14150000000000004,0.0009022794558410745,0.03609117823364298,0.182,0.0091,0.11600000000000006,0.000972765411129621,2.3200000000000007,0.00455,0.05800000000000003,0.0004863827055648105,0.01945530822259242,0.182,0.0091,0.11600000000000006,0.000972765411129621,2.3200000000000007,0.00455,0.05800000000000003,0.0004863827055648105,0.01945530822259242,0.336,0.016800000000000002,0.1810000000000001,0.0012404020293391885,3.620000000000002,0.168,1.810000000000001,0.012404020293391885,0.008400000000000001,0.09050000000000005,0.0006202010146695942,0.02480804058678377,0.528,0.0264,0.2950000000000001,0.0018849897540160504,5.900000000000002,0.0132,0.14750000000000005,0.0009424948770080252,0.03769979508032101,0.192,0.009600000000000001,0.11400000000000005,0.001018702857079553,2.2800000000000007,0.0048000000000000004,0.05700000000000002,0.0005093514285397765,0.02037405714159106,0.192,0.009600000000000001,0.11400000000000005,0.001018702857079553,2.2800000000000007,0.0048000000000000004,0.05700000000000002,0.0005093514285397765,0.02037405714159106,0.35000000000000003,500
1.062,7.880000000000002,0.2655,1.9700000000000004,0.013100104024430561,0.02655,0.19700000000000004,0.0013100104024430562,0.052400416097722245,1.692,15.080000000000007,0.0423,0.3770000000000001,0.002130845137968503,0.08523380551874012,0.63,7.200000000000004,0.01575,0.1800000000000001,0.001108527250603548,0.044341090024141924,0.63,7.200000000000004,0.01575,0.1800000000000001,0.001108527250603548,0.044341090024141924,0.518,0.0259,0.2020000000000001,0.0014740167742945814,4.040000000000001,0.259,2.0200000000000005,0.014740167742945814,0.01295,0.10100000000000005,0.0007370083871472907,0.02948033548589163,0.834,0.0417,0.38400000000000023,0.002241040947653147,7.680000000000002,0.02085,0.19200000000000012,0.0011205204738265735,0.04482081895306294,0.316,0.0158,0.1820000000000001,0.001282188759907083,3.6400000000000023,0.0079,0.09100000000000005,0.0006410943799535415,0.025643775198141663,0.316,0.0158,0.1820000000000001,0.001282188759907083,3.6400000000000023,0.0079,0.09100000000000005,0.0006410943799535415,0.025643775198141663,0.544,0.027200000000000002,0.192,0.0014915661363406438,3.8400000000000007,0.272,1.9200000000000004,0.014915661363406439,0.013600000000000001,0.096,0.0007457830681703219,0.029831322726812878,0.858,0.0429,0.37000000000000016,0.0022537388219034406,7.400000000000003,0.02145,0.18500000000000008,0.0011268694109517203,0.045074776438068814,0.314,0.0157,0.1780000000000001,0.0012728945443523923,3.5600000000000014,0.00785,0.08900000000000005,0.0006364472721761961,0.025457890887047845,0.314,0.0157,0.1780000000000001,0.0012728945443523923,3.5600000000000014,0.00785,0.08900000000000005,0.0006364472721761961,0.025457890887047845,0.4,500
1.438,8.620000000000001,0.3595,2.1550000000000002,0.015255653704115068,0.035949999999999996,0.21550000000000002,0.0015255653704115068,0.06102261481646027,2.532,19.54000000000001,0.0633,0.4885000000000002,0.002951888767313087,0.11807555069252347,1.094,10.920000000000003,0.027350000000000003,0.27300000000000013,0.0017500229027988864,0.07000091611195546,1.094,10.920000000000003,0.027350000000000003,0.27300000000000013,0.0017500229027988864,0.07000091611195546,0.718,0.0359,0.21000000000000008,0.0016905904863049389,4.2,0.359,2.1,0.01690590486304939,0.01795,0.10500000000000004,0.0008452952431524694,0.03381180972609878,1.264,0.0632,0.4990000000000002,0.0030248668795962836,9.980000000000004,0.0316,0.2495000000000001,0.0015124334397981418,0.06049733759192567,0.546,0.0273,0.2890000000000001,0.0018885319976670836,5.780000000000002,0.01365,0.14450000000000005,0.0009442659988335418,0.03777063995334167,0.546,0.0273,0.2890000000000001,0.0018885319976670836,5.780000000000002,0.01365,0.14450000000000005,0.0009442659988335418,0.03777063995334167,0.72,0.036,0.22100000000000003,0.0016533199732259134,4.420000000000001,0.36,2.2100000000000004,0.016533199732259134,0.018,0.11050000000000001,0.0008266599866129567,0.03306639946451827,1.268,0.0634,0.4780000000000002,0.0030429260256528076,9.560000000000004,0.0317,0.2390000000000001,0.0015214630128264038,0.06085852051305615,0.548,0.0274,0.2570000000000001,0.0018561709892903095,5.140000000000002,0.0137,0.12850000000000006,0.0009280854946451547,0.03712341978580619,0.548,0.0274,0.2570000000000001,0.0018561709892903095,5.140000000000002,0.0137,0.12850000000000006,0.0009280854946451547,0.03712341978580619,0.45,500
