exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.04,0.019969947390987258,0.0,0.01,0.0049924868477468146,0.0,0.0,0.001,0.0004992486847746815,0.0,0.0,0.0,0.0,0.0005,0.0005000000000000001,0.0,0.01,0.010000000000000002,0.0,0.005,0.005000000000000001,0.0,0.0,0.00025,0.00025000000000000006,0.0,0.0,0.0,0.0,0.0015,0.0008651580771734715,0.0,0.03,0.01730316154346943,0.0,0.015,0.008651580771734715,0.0,0.0,0.00075,0.00043257903858673574,0.0,0.0,0.0,0.1,0.0,1000
0.004,0.28,0.04553760724581028,0.001,0.07,0.01138440181145257,0.0004992486847746816,0.0001,0.007000000000000001,0.0011384401811452571,4.992486847746816e-05,0.0019969947390987264,0.001,5e-05,0.0075,0.0013492852072747891,5.000000000000001e-05,0.15,0.02698570414549578,0.0005,0.075,0.01349285207274789,0.0005000000000000001,2.5e-05,0.00375,0.0006746426036373946,2.5000000000000005e-05,0.0010000000000000002,0.003,0.00015000000000000001,0.006500000000000001,0.0013544683771076328,8.651580771734716e-05,0.13,0.027089367542152656,0.0015,0.065,0.013544683771076328,0.0008651580771734716,7.500000000000001e-05,0.0032500000000000003,0.0006772341885538164,4.325790385867358e-05,0.0017303161543469432,0.1,0.2,0.0,1000
0.056,1.0133333333333334,0.10002691218336551,0.014,0.25333333333333335,0.025006728045841378,0.0022768803622905142,0.0014,0.025333333333333336,0.002500672804584138,0.00022768803622905142,0.009107521449162057,0.03,0.0015,0.02566666666666667,0.0029655456711698883,0.00026985704145495777,0.5133333333333334,0.05931091342339777,0.015,0.2566666666666667,0.029655456711698884,0.002698570414549578,0.00075,0.012833333333333335,0.0014827728355849442,0.00013492852072747888,0.005397140829099156,0.026,0.0013,0.025,0.002933569165755683,0.0002708936754215265,0.5,0.058671383315113665,0.013,0.25,0.029335691657556832,0.0027089367542152652,0.00065,0.0125,0.0014667845828778415,0.00013544683771076326,0.0054178735084305304,0.2,0.25,0.1,1000
0.156,2.900000000000001,0.21031936248057204,0.039,0.7250000000000002,0.05257984062014301,0.003774022157227385,0.0039,0.07250000000000002,0.005257984062014301,0.0003774022157227385,0.01509608862890954,0.078,0.0039,0.07300000000000002,0.006099853130052249,0.0004472024038285014,1.4600000000000004,0.12199706260104498,0.039,0.7300000000000002,0.06099853130052249,0.004472024038285014,0.00195,0.03650000000000001,0.0030499265650261245,0.0002236012019142507,0.008944048076570028,0.078,0.0039,0.07200000000000002,0.00607065505961695,0.0004472024038285013,1.4400000000000004,0.12141310119233899,0.039,0.7200000000000002,0.060706550596169494,0.004472024038285013,0.00195,0.03600000000000001,0.003035327529808475,0.00022360120191425065,0.008944048076570026,0.25,0.3,0.2,1000
0.346,4.810000000000001,0.25618260973284185,0.0865,1.2025000000000003,0.06404565243321046,0.005888754318820529,0.00865,0.12025000000000004,0.0064045652433210466,0.0005888754318820529,0.023555017275282118,0.176,0.008799999999999999,0.11900000000000004,0.007576040944741286,0.0006693340033256999,2.380000000000001,0.15152081889482572,0.088,1.1900000000000004,0.07576040944741286,0.0066933400332569995,0.004399999999999999,0.05950000000000002,0.003788020472370643,0.00033466700166284995,0.013386680066513999,0.17,0.0085,0.12150000000000005,0.007585861539422882,0.0006694760624534669,2.430000000000001,0.15171723078845764,0.085,1.2150000000000005,0.07585861539422882,0.006694760624534669,0.00425,0.060750000000000026,0.003792930769711441,0.00033473803122673344,0.013389521249069338,0.3,0.35,0.25,1000
0.637,5.942857142857142,0.3595852422505734,0.15925,1.4857142857142855,0.08989631056264336,0.007566980685629949,0.015925,0.14857142857142855,0.008989631056264335,0.0007566980685629949,0.030267922742519795,0.316,0.0158,0.14499999999999996,0.010251853913899536,0.0008666666666666666,2.8999999999999995,0.20503707827799073,0.158,1.4499999999999997,0.10251853913899536,0.008666666666666666,0.0079,0.07249999999999998,0.005125926956949768,0.0004333333333333333,0.017333333333333333,0.321,0.016050000000000002,0.1521428571428571,0.010590977360683752,0.0008692831260027732,3.0428571428571423,0.21181954721367502,0.1605,1.5214285714285711,0.10590977360683751,0.008692831260027732,0.008025000000000001,0.07607142857142855,0.005295488680341876,0.0004346415630013866,0.017385662520055464,0.35,0.37,0.3,1000
0.762,7.199999999999994,0.4946257723316227,0.1905,1.7999999999999985,0.12365644308290567,0.00830835596124641,0.01905,0.17999999999999985,0.012365644308290567,0.000830835596124641,0.03323342384498564,0.379,0.01895,0.17874999999999985,0.014398550474119101,0.0009376975934579212,3.574999999999997,0.287971009482382,0.1895,1.7874999999999985,0.143985504741191,0.009376975934579212,0.009475,0.08937499999999993,0.007199275237059551,0.0004688487967289606,0.018753951869158424,0.383,0.01915,0.18124999999999986,0.014690191940176919,0.0009469288115661993,3.624999999999997,0.2938038388035384,0.1915,1.8124999999999984,0.1469019194017692,0.009469288115661993,0.009575,0.09062499999999993,0.0073450959700884595,0.00047346440578309966,0.018938576231323986,0.37,0.39,0.35,1000
0.925,8.775000000000006,0.5535619258997191,0.23125,2.1937500000000014,0.13839048147492977,0.008946562383311173,0.023125,0.21937500000000015,0.013839048147492978,0.0008946562383311173,0.03578624953324469,0.459,0.02295,0.2175000000000001,0.015805649893900882,0.0010083721110355612,4.350000000000002,0.3161129978780176,0.2295,2.175000000000001,0.1580564989390088,0.010083721110355612,0.011475,0.10875000000000005,0.007902824946950441,0.0005041860555177806,0.020167442220711224,0.466,0.0233,0.22125000000000017,0.016949135987144332,0.00101150043654619,4.425000000000003,0.33898271974288663,0.233,2.2125000000000017,0.16949135987144331,0.0101150043654619,0.01165,0.11062500000000008,0.008474567993572166,0.000505750218273095,0.0202300087309238,0.39,0.41,0.37,1000
1.113,8.925000000000006,0.5465968744359443,0.27825,2.2312500000000015,0.13664921860898607,0.009485748094742813,0.027825,0.22312500000000016,0.013664921860898608,0.0009485748094742813,0.03794299237897125,0.553,0.02765,0.2175000000000001,0.01619663795610316,0.0010719732396970677,4.350000000000002,0.32393275912206315,0.2765,2.175000000000001,0.16196637956103158,0.010719732396970676,0.013825,0.10875000000000005,0.00809831897805158,0.0005359866198485338,0.021439464793941352,0.56,0.028000000000000004,0.2287500000000001,0.01666249009230242,0.001073383506558654,4.575000000000002,0.3332498018460484,0.28,2.287500000000001,0.1666249009230242,0.01073383506558654,0.014000000000000002,0.11437500000000005,0.00833124504615121,0.000536691753279327,0.02146767013117308,0.41,0.43,0.39,1000
1.282,9.399999999999993,0.5618769489004733,0.3205,2.3499999999999983,0.14046923722511834,0.009880656728040772,0.03205,0.23499999999999982,0.014046923722511834,0.0009880656728040772,0.039522626912163086,0.633,0.03165,0.2212499999999998,0.01638610514862948,0.0011144592946893662,4.424999999999996,0.3277221029725896,0.3165,2.212499999999998,0.1638610514862948,0.01114459294689366,0.015825,0.1106249999999999,0.00819305257431474,0.0005572296473446831,0.02228918589378732,0.649,0.03245,0.2487499999999998,0.017571132068884516,0.0011071238517994376,4.974999999999996,0.3514226413776903,0.3245,2.487499999999998,0.17571132068884515,0.011071238517994375,0.016225,0.1243749999999999,0.008785566034442258,0.0005535619258997188,0.02214247703598875,0.43,0.45,0.41,1000
