exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011111111111111111,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0011111111111111111,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0011111111111111111,0.0,0.04,0.0,0.0005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.002,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.002,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,5.555555555555556e-05,0.004999999999999999,5.555555555555556e-05,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.002,5.555555555555556e-05,0.004999999999999999,5.555555555555556e-05,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.002,5.555555555555556e-05,0.004999999999999999,5.555555555555556e-05,0.17999999999999997,2.777777777777778e-05,0.0024999999999999996,2.777777777777778e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,500
0.0,0.03999999999999998,0.0,0.0049999999999999975,0.0,0.0,0.0005555555555555553,0.0,0.0,0.018,0.47999999999999987,0.00025,0.0066666666666666645,8.266263161656538e-05,0.005951709476392708,0.018,0.43999999999999984,0.00025,0.00611111111111111,8.266263161656538e-05,0.005951709476392708,0.018,0.43999999999999984,0.00025,0.00611111111111111,8.266263161656538e-05,0.005951709476392708,0.0,0.0,0.0005555555555555553,0.0,0.01999999999999999,0.0,0.0049999999999999975,0.0,0.0,0.00027777777777777767,0.0,0.0,0.018,0.0005,0.01222222222222222,0.00016532526323313076,0.43999999999999984,0.00025,0.00611111111111111,8.266263161656538e-05,0.005951709476392708,0.018,0.0005,0.011666666666666664,0.00016532526323313076,0.4199999999999998,0.00025,0.005833333333333332,8.266263161656538e-05,0.005951709476392708,0.018,0.0005,0.011666666666666664,0.00016532526323313076,0.4199999999999998,0.00025,0.005833333333333332,8.266263161656538e-05,0.005951709476392708,0.0,0.0,0.0005555555555555553,0.0,0.01999999999999999,0.0,0.0049999999999999975,0.0,0.0,0.00027777777777777767,0.0,0.0,0.0,0.0,0.0011111111111111107,0.0,0.03999999999999998,0.0,0.0005555555555555553,0.0,0.0,0.0,0.0,0.0005555555555555553,0.0,0.01999999999999999,0.0,0.00027777777777777767,0.0,0.0,0.0,0.0,0.0005555555555555553,0.0,0.01999999999999999,0.0,0.00027777777777777767,0.0,0.0,0.1,500
0.004,0.3800000000000001,0.0005,0.047500000000000014,0.0003531989510148579,5.555555555555556e-05,0.005277777777777779,3.9244327890539765e-05,0.002825591608118863,0.05,1.1000000000000003,0.0006944444444444445,0.015277777777777782,0.00013550771921881936,0.009756555783754993,0.046,0.7200000000000001,0.0006388888888888889,0.010000000000000002,0.00013024778126557383,0.009377840251121315,0.046,0.7200000000000001,0.0006388888888888889,0.010000000000000002,0.00013024778126557383,0.009377840251121315,0.002,5.555555555555556e-05,0.0072222222222222245,5.555555555555556e-05,0.2600000000000001,0.0005,0.06500000000000003,0.0005,2.777777777777778e-05,0.0036111111111111122,2.777777777777778e-05,0.002,0.046,0.0012777777777777779,0.02611111111111112,0.00026049556253114766,0.9400000000000002,0.0006388888888888889,0.01305555555555556,0.00013024778126557383,0.009377840251121315,0.044,0.0012222222222222222,0.01888888888888889,0.00025503660047545673,0.68,0.0006111111111111111,0.009444444444444445,0.00012751830023772836,0.009181317617116443,0.044,0.0012222222222222222,0.01888888888888889,0.00025503660047545673,0.68,0.0006111111111111111,0.009444444444444445,0.00012751830023772836,0.009181317617116443,0.002,5.555555555555556e-05,0.0033333333333333344,5.555555555555556e-05,0.12000000000000004,0.0005,0.03000000000000001,0.0005,2.777777777777778e-05,0.0016666666666666672,2.777777777777778e-05,0.002,0.004,0.00011111111111111112,0.004444444444444446,7.848865578107953e-05,0.16000000000000003,5.555555555555556e-05,0.002222222222222223,3.9244327890539765e-05,0.002825591608118863,0.002,5.555555555555556e-05,0.0011111111111111111,5.555555555555556e-05,0.04,2.777777777777778e-05,0.0005555555555555556,2.777777777777778e-05,0.002,0.002,5.555555555555556e-05,0.0011111111111111111,5.555555555555556e-05,0.04,2.777777777777778e-05,0.0005555555555555556,2.777777777777778e-05,0.002,0.15000000000000002,500
0.038,1.1200000000000003,0.00475,0.14000000000000004,0.001233051431069818,0.0005277777777777777,0.015555555555555562,0.0001370057145633131,0.009864411448558544,0.128,1.8400000000000005,0.0017777777777777779,0.025555555555555567,0.0002356235223741454,0.016964893610938468,0.09,0.7200000000000002,0.00125,0.010000000000000002,0.0001864219629546163,0.013422381332732375,0.09,0.7200000000000002,0.00125,0.010000000000000002,0.0001864219629546163,0.013422381332732375,0.026,0.0007222222222222222,0.01444444444444445,0.00021294077572810814,0.5200000000000001,0.0065,0.13000000000000003,0.0019164669815529731,0.0003611111111111111,0.007222222222222225,0.00010647038786405407,0.007665867926211893,0.112,0.0031111111111111114,0.03277777777777779,0.00042978495696197576,1.1800000000000004,0.0015555555555555557,0.016388888888888894,0.00021489247848098788,0.015472258450631127,0.086,0.0023888888888888887,0.01833333333333334,0.0003573944182305314,0.6600000000000001,0.0011944444444444444,0.00916666666666667,0.0001786972091152657,0.01286619905629913,0.086,0.0023888888888888887,0.01833333333333334,0.0003573944182305314,0.6600000000000001,0.0011944444444444444,0.00916666666666667,0.0001786972091152657,0.01286619905629913,0.012,0.0003333333333333333,0.016666666666666673,0.00013539926964624947,0.6000000000000002,0.003,0.15000000000000005,0.0012185934268162453,0.00016666666666666666,0.008333333333333337,6.769963482312474e-05,0.004874373707264981,0.016,0.00044444444444444447,0.01833333333333334,0.0001560287994853321,0.6600000000000003,0.00022222222222222223,0.00916666666666667,7.801439974266605e-05,0.0056170367814719555,0.004,0.00011111111111111112,0.0016666666666666674,7.848865578107953e-05,0.060000000000000026,5.555555555555556e-05,0.0008333333333333337,3.9244327890539765e-05,0.002825591608118863,0.004,0.00011111111111111112,0.0016666666666666674,7.848865578107953e-05,0.060000000000000026,5.555555555555556e-05,0.0008333333333333337,3.9244327890539765e-05,0.002825591608118863,0.2,500
0.116,2.799999999999998,0.0145,0.34999999999999976,0.0023378260974083265,0.0016111111111111111,0.03888888888888886,0.0002597584552675918,0.018702608779266612,0.234,4.299999999999997,0.0032500000000000003,0.059722222222222184,0.0003534943420098819,0.025451592624711496,0.118,1.4999999999999984,0.0016388888888888887,0.02083333333333331,0.00021544942374565612,0.01551235850968724,0.118,1.4999999999999984,0.0016388888888888887,0.02083333333333331,0.00021544942374565612,0.01551235850968724,0.054,0.0015,0.04277777777777774,0.00029185017713081606,1.5399999999999985,0.0135,0.3849999999999996,0.0026266515941773447,0.00075,0.02138888888888887,0.00014592508856540803,0.010506606376709379,0.164,0.004555555555555556,0.08111111111111105,0.0004991147312798716,2.9199999999999973,0.002277777777777778,0.040555555555555525,0.0002495573656399358,0.017968130326075377,0.11,0.0030555555555555557,0.0383333333333333,0.00041223614921247974,1.3799999999999986,0.0015277777777777779,0.01916666666666665,0.00020611807460623987,0.014840501371649271,0.11,0.0030555555555555557,0.0383333333333333,0.00041223614921247974,1.3799999999999986,0.0015277777777777779,0.01916666666666665,0.00020611807460623987,0.014840501371649271,0.062,0.0017222222222222222,0.03499999999999998,0.00033862605750085945,1.2599999999999993,0.0155,0.31499999999999984,0.003047634517507735,0.0008611111111111111,0.01749999999999999,0.00016931302875042973,0.01219053807003094,0.07,0.0019444444444444446,0.038333333333333316,0.00037942161381269415,1.3799999999999992,0.0009722222222222223,0.019166666666666658,0.00018971080690634708,0.01365917809725699,0.008,0.00022222222222222223,0.0033333333333333314,0.00011077660625435939,0.11999999999999994,0.00011111111111111112,0.0016666666666666657,5.5388303127179694e-05,0.003987957825156938,0.008,0.00022222222222222223,0.0033333333333333314,0.00011077660625435939,0.11999999999999994,0.00011111111111111112,0.0016666666666666657,5.5388303127179694e-05,0.003987957825156938,0.25,500
0.318,6.800000000000001,0.03975,0.8500000000000001,0.004160769039251757,0.004416666666666667,0.09444444444444446,0.000462307671027973,0.03328615231401406,0.558,9.76,0.007750000000000001,0.13555555555555554,0.000610025908381608,0.04392186540347578,0.24,2.959999999999999,0.003333333333333333,0.0411111111111111,0.00031849245326507844,0.022931456635085647,0.24,2.959999999999999,0.003333333333333333,0.0411111111111111,0.00031849245326507844,0.022931456635085647,0.18,0.005,0.11222222222222222,0.0005880078527237467,4.04,0.045,1.01,0.00529207067451372,0.0025,0.05611111111111111,0.00029400392636187337,0.02116828269805488,0.404,0.011222222222222224,0.1788888888888889,0.000879979284925851,6.439999999999999,0.005611111111111112,0.08944444444444445,0.0004399896424629255,0.03167925425733063,0.224,0.006222222222222223,0.06666666666666664,0.0005856679961015764,2.3999999999999986,0.0031111111111111114,0.03333333333333332,0.0002928339980507882,0.021084047859656754,0.224,0.006222222222222223,0.06666666666666664,0.0005856679961015764,2.3999999999999986,0.0031111111111111114,0.03333333333333332,0.0002928339980507882,0.021084047859656754,0.138,0.0038333333333333336,0.07666666666666669,0.0004957762169066837,2.7600000000000002,0.0345,0.6900000000000001,0.004461985952160153,0.0019166666666666668,0.038333333333333344,0.00024788810845334183,0.01784794380864061,0.154,0.004277777777777778,0.09222222222222223,0.0005250533226376683,3.3200000000000007,0.002138888888888889,0.04611111111111112,0.0002625266613188341,0.018901919614956058,0.016,0.00044444444444444447,0.015555555555555562,0.0001560287994853321,0.5600000000000002,0.00022222222222222223,0.007777777777777781,7.801439974266605e-05,0.0056170367814719555,0.016,0.00044444444444444447,0.015555555555555562,0.0001560287994853321,0.5600000000000002,0.00022222222222222223,0.007777777777777781,7.801439974266605e-05,0.0056170367814719555,0.30000000000000004,500
0.796,12.220000000000004,0.0995,1.5275000000000005,0.007603626125771903,0.011055555555555556,0.16972222222222227,0.0008448473473079892,0.06082900900617522,1.21,17.360000000000007,0.016805555555555556,0.2411111111111112,0.0010815448070687684,0.07787122610895132,0.414,5.140000000000002,0.00575,0.07138888888888893,0.0004265255364590596,0.03070983862505229,0.414,5.140000000000002,0.00575,0.07138888888888893,0.0004265255364590596,0.03070983862505229,0.458,0.012722222222222223,0.18277777777777782,0.000982475280017527,6.580000000000002,0.1145,1.6450000000000005,0.008842277520157742,0.006361111111111112,0.09138888888888891,0.0004912376400087635,0.03536911008063097,0.808,0.022444444444444447,0.2966666666666668,0.0013548694928609808,10.680000000000003,0.011222222222222224,0.1483333333333334,0.0006774347464304904,0.04877530174299531,0.35,0.009722222222222222,0.11388888888888894,0.0007072685860175488,4.100000000000001,0.004861111111111111,0.05694444444444447,0.0003536342930087744,0.025461669096631757,0.35,0.009722222222222222,0.11388888888888894,0.0007072685860175488,4.100000000000001,0.004861111111111111,0.05694444444444447,0.0003536342930087744,0.025461669096631757,0.338,0.00938888888888889,0.1566666666666667,0.0008790756184467997,5.6400000000000015,0.0845,1.4100000000000004,0.007911680566021198,0.004694444444444445,0.07833333333333335,0.00043953780922339987,0.03164672226408479,0.402,0.011166666666666667,0.18555555555555558,0.0009794487604344263,6.6800000000000015,0.005583333333333333,0.09277777777777779,0.0004897243802172132,0.03526015537563935,0.064,0.0017777777777777779,0.028888888888888895,0.0003043512836380828,1.0400000000000003,0.0008888888888888889,0.014444444444444447,0.0001521756418190414,0.01095664621097098,0.064,0.0017777777777777779,0.028888888888888895,0.0003043512836380828,1.0400000000000003,0.0008888888888888889,0.014444444444444447,0.0001521756418190414,0.01095664621097098,0.35000000000000003,500
1.54,20.280000000000005,0.1925,2.5350000000000006,0.010700069297249055,0.021388888888888888,0.28166666666666673,0.0011888965885832282,0.08560055437799244,2.294,29.180000000000014,0.03186111111111111,0.40527777777777796,0.00158997987732304,0.11447855116725889,0.754,8.900000000000002,0.010472222222222223,0.12361111111111117,0.0006308513422096667,0.045421296639096005,0.754,8.900000000000002,0.010472222222222223,0.12361111111111117,0.0006308513422096667,0.045421296639096005,0.838,0.023277777777777776,0.3016666666666668,0.0013205498481062845,10.860000000000005,0.2095,2.715000000000001,0.01188494863295656,0.011638888888888888,0.1508333333333334,0.0006602749240531422,0.04753979453182624,1.472,0.04088888888888889,0.47944444444444456,0.0018896418790696487,17.260000000000005,0.020444444444444446,0.23972222222222228,0.0009448209395348244,0.06802710764650735,0.634,0.017611111111111112,0.1777777777777778,0.0009917239613658347,6.400000000000003,0.008805555555555556,0.0888888888888889,0.0004958619806829174,0.03570206260917005,0.634,0.017611111111111112,0.1777777777777778,0.0009917239613658347,6.400000000000003,0.008805555555555556,0.0888888888888889,0.0004958619806829174,0.03570206260917005,0.702,0.0195,0.26166666666666677,0.0012467305519638671,9.420000000000003,0.1755,2.355000000000001,0.011220574967674804,0.00975,0.13083333333333338,0.0006233652759819336,0.044882299870699215,0.822,0.02283333333333333,0.33111111111111124,0.0014767447750061381,11.920000000000005,0.011416666666666665,0.16555555555555562,0.0007383723875030691,0.05316281190022097,0.12,0.003333333333333333,0.06944444444444446,0.0004744909285827348,2.500000000000001,0.0016666666666666666,0.03472222222222223,0.0002372454642913674,0.017081673428978452,0.12,0.003333333333333333,0.06944444444444446,0.0004744909285827348,2.500000000000001,0.0016666666666666666,0.03472222222222223,0.0002372454642913674,0.017081673428978452,0.4,500
2.824,25.460000000000015,0.353,3.182500000000002,0.013342152227137275,0.03922222222222222,0.35361111111111126,0.0014824613585708085,0.1067372178170982,4.128,40.08000000000001,0.05733333333333333,0.5566666666666669,0.002201354930946456,0.15849755502814483,1.304,14.620000000000008,0.018111111111111113,0.2030555555555556,0.0010032358147526801,0.07223297866219297,1.304,14.620000000000008,0.018111111111111113,0.2030555555555556,0.0010032358147526801,0.07223297866219297,1.544,0.04288888888888889,0.36777777777777787,0.0015963725921228637,13.240000000000006,0.386,3.3100000000000014,0.014367353329105773,0.021444444444444447,0.18388888888888894,0.0007981862960614319,0.05746941331642309,2.534,0.07038888888888889,0.6244444444444446,0.002497197766442914,22.48000000000001,0.035194444444444445,0.3122222222222223,0.001248598883221457,0.08989911959194491,0.99,0.0275,0.2566666666666667,0.0013518782870111509,9.240000000000002,0.01375,0.12833333333333335,0.0006759391435055754,0.04866761833240143,0.99,0.0275,0.2566666666666667,0.0013518782870111509,9.240000000000002,0.01375,0.12833333333333335,0.0006759391435055754,0.04866761833240143,1.28,0.035555555555555556,0.33944444444444455,0.001543949450432232,12.220000000000002,0.32,3.0550000000000006,0.013895545053890089,0.017777777777777778,0.16972222222222227,0.000771974725216116,0.055582180215560356,1.594,0.04427777777777778,0.48888888888888904,0.0020482607807438356,17.600000000000005,0.02213888888888889,0.24444444444444452,0.0010241303903719178,0.07373738810677809,0.314,0.008722222222222221,0.1494444444444445,0.0008501458492905403,5.380000000000003,0.004361111111111111,0.07472222222222225,0.00042507292464527015,0.030605250574459453,0.314,0.008722222222222221,0.1494444444444445,0.0008501458492905403,5.380000000000003,0.004361111111111111,0.07472222222222225,0.00042507292464527015,0.030605250574459453,0.45,500
