exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.02,0.014135055705578235,0.0,0.0025,0.0017668819631972794,0.0,0.0,0.0002702702702702703,0.00019101426629159778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005405405405405405,0.00038202853258319556,0.0,0.02,0.014135055705578235,0.0,0.005,0.003533763926394559,0.0,0.0,0.0002702702702702703,0.00019101426629159778,0.0,0.0,0.0,0.1,0.0,1000
0.002,0.16,0.03202226452681674,0.00025,0.02,0.004002783065852092,0.00017668819631972793,2.7027027027027027e-05,0.002162162162162162,0.0004327333044164424,1.9101426629159777e-05,0.0014135055705578234,0.0,0.0,0.002837837837837838,0.0006421632652754309,0.0,0.105,0.023760040815190942,0.0,0.02625,0.0059400102037977355,0.0,0.0,0.001418918918918919,0.00032108163263771546,0.0,0.0,0.002,5.4054054054054054e-05,0.0014864864864864865,0.0004459436914334881,3.8202853258319554e-05,0.055,0.01649991658303906,0.0005,0.01375,0.004124979145759765,0.00035337639263945586,2.7027027027027027e-05,0.0007432432432432432,0.00022297184571674406,1.9101426629159777e-05,0.0014135055705578234,0.1,0.2,0.0,1000
0.032,0.8533333333333335,0.09328851586147181,0.004,0.10666666666666669,0.011661064482683977,0.0008005566131704184,0.00043243243243243243,0.011531531531531533,0.001260655619749619,8.654666088328848e-05,0.006404452905363347,0.021,0.0005675675675675676,0.014774774774774777,0.0017961657380843618,0.0001284326530550862,0.5466666666666667,0.06645813230912138,0.00525,0.1366666666666667,0.016614533077280346,0.0011880020407595475,0.0002837837837837838,0.007387387387387388,0.0008980828690421809,6.42163265275431e-05,0.00475200816303819,0.011,0.00029729729729729726,0.008288288288288289,0.0013232874280874282,8.918873828669763e-05,0.3066666666666667,0.048961634839234845,0.00275,0.07666666666666667,0.012240408709808711,0.0008249958291519531,0.00014864864864864863,0.004144144144144144,0.0006616437140437141,4.4594369143348817e-05,0.0032999833166078123,0.2,0.25,0.1,1000
0.13,3.200000000000001,0.2375214020176212,0.01625,0.40000000000000013,0.02969017525220265,0.0017735086221478688,0.0017567567567567568,0.04324324324324326,0.0032097486759138,0.00019173066185382365,0.01418806897718295,0.082,0.0022162162162162164,0.05540540540540542,0.00445123111675888,0.00026942486071265424,2.0500000000000007,0.16469555132007857,0.0205,0.5125000000000002,0.04117388783001964,0.002492179961592052,0.0011081081081081082,0.02770270270270271,0.00222561555837944,0.00013471243035632712,0.009968719846368207,0.048,0.0012972972972972972,0.03108108108108109,0.0031508333785863155,0.00020539429869287907,1.1500000000000004,0.11658083500769367,0.012,0.2875000000000001,0.029145208751923418,0.0018998972629091313,0.0006486486486486486,0.015540540540540545,0.0015754166892931578,0.00010269714934643954,0.007599589051636525,0.25,0.3,0.2,1000
0.352,7.010000000000002,0.3756341318370857,0.044,0.8762500000000002,0.046954266479635715,0.0032566633009655536,0.004756756756756756,0.09472972972972975,0.005076136916717375,0.00035207170821249226,0.02605330640772443,0.226,0.0061081081081081085,0.12081081081081085,0.006473888468604269,0.0004798642668138777,4.4700000000000015,0.23953387333835793,0.0565,1.1175000000000004,0.05988346833458948,0.004438744468028369,0.0030540540540540543,0.06040540540540543,0.0032369442343021344,0.00023993213340693886,0.017754977872113477,0.126,0.0034054054054054052,0.06864864864864867,0.004982246229258164,0.00033787057169015115,2.540000000000001,0.18434311048255206,0.0315,0.6350000000000002,0.046085777620638015,0.0031253027881338984,0.0017027027027027026,0.034324324324324335,0.002491123114629082,0.00016893528584507558,0.012501211152535593,0.3,0.35,0.25,1000
0.831,10.742857142857142,0.5409609608929185,0.103875,1.3428571428571427,0.0676201201116148,0.005571166598861703,0.011229729729729729,0.14517374517374515,0.007310283255309709,0.0006022882809580219,0.044569332790893625,0.529,0.014297297297297298,0.18648648648648647,0.009284805494899335,0.000752854288649446,6.8999999999999995,0.3435378033112754,0.13225,1.7249999999999999,0.08588445082781886,0.0069639021700073755,0.007148648648648649,0.09324324324324323,0.004642402747449668,0.000376427144324723,0.027855608680029502,0.302,0.008162162162162163,0.10386100386100384,0.00729511106957996,0.0005625448471557855,3.842857142857142,0.2699191095744585,0.0755,0.9607142857142855,0.06747977739361463,0.005203539836191016,0.004081081081081081,0.05193050193050192,0.00364755553478998,0.00028127242357789276,0.020814159344764063,0.35,0.37,0.3,1000
1.104,15.524999999999988,0.7803578239072971,0.138,1.9406249999999985,0.09754472798841214,0.006475757518270385,0.01491891891891892,0.20979729729729713,0.010545375998747258,0.0007000818938670687,0.05180606014616308,0.709,0.019162162162162162,0.25472972972972957,0.01350118137078407,0.000865432391641778,9.424999999999994,0.49954371071901055,0.17725,2.3562499999999984,0.12488592767975264,0.008005249622686447,0.009581081081081081,0.12736486486486479,0.006750590685392035,0.000432716195820889,0.032020998490745786,0.395,0.010675675675675676,0.1648648648648647,0.011280804404013802,0.0006540096928001323,6.099999999999994,0.41738976294851066,0.09875,1.5249999999999986,0.10434744073712766,0.0060495896584012235,0.005337837837837838,0.08243243243243235,0.005640402202006901,0.0003270048464000661,0.024198358633604894,0.37,0.39,0.35,1000
1.452,18.025000000000006,0.8300080049543432,0.1815,2.2531250000000007,0.1037510006192929,0.0074027055898536216,0.01962162162162162,0.24358108108108115,0.011216324391274908,0.0008002924962003915,0.05922164471882897,0.906,0.024486486486486488,0.2804054054054056,0.013767713707690858,0.0009618092392632935,10.375000000000007,0.5094054071845617,0.2265,2.5937500000000018,0.12735135179614043,0.008896735463185465,0.012243243243243244,0.1402027027027028,0.006883856853845429,0.00048090461963164676,0.03558694185274186,0.546,0.014756756756756757,0.20675675675675692,0.01243505228533728,0.000774268761133076,7.650000000000006,0.46009693455747935,0.1365,1.9125000000000014,0.11502423363936984,0.007161986040480953,0.007378378378378379,0.10337837837837846,0.00621752614266864,0.000387134380566538,0.028647944161923813,0.39,0.41,0.37,1000
1.825,19.45000000000001,0.8433022344679632,0.228125,2.4312500000000012,0.1054127793084954,0.008170686598719504,0.02466216216216216,0.262837837837838,0.011395976141458961,0.0008833174701318383,0.06536549278975604,1.124,0.03037837837837838,0.3114864864864867,0.014631895962256744,0.0010495858629293569,11.525000000000007,0.5413801506034995,0.281,2.881250000000002,0.13534503765087488,0.009708669232096552,0.01518918918918919,0.15574324324324335,0.007315947981128372,0.0005247929314646784,0.03883467692838621,0.701,0.018945945945945945,0.21418918918918928,0.012692345257422376,0.0008600421327659826,7.925000000000003,0.4696167745246279,0.17525,1.9812500000000008,0.11740419363115698,0.007955389728085339,0.009472972972972973,0.10709459459459464,0.006346172628711188,0.0004300210663829913,0.031821558912341355,0.41,0.43,0.39,1000
2.23,21.44999999999998,0.9093813691045539,0.27875,2.6812499999999977,0.11367267113806924,0.008773206748769611,0.030135135135135136,0.2898648648648646,0.012288937420331809,0.0009484547836507688,0.07018565399015689,1.367,0.03694594594594595,0.33648648648648616,0.015738146410465347,0.0011097538856117536,12.449999999999989,0.5823114171872178,0.34175,3.112499999999997,0.14557785429680445,0.010265223441908722,0.018472972972972974,0.16824324324324308,0.007869073205232674,0.0005548769428058768,0.04106089376763489,0.863,0.023324324324324325,0.24324324324324306,0.01362800832295171,0.000932891552623997,8.999999999999993,0.5042363079492133,0.21575,2.2499999999999982,0.12605907698730331,0.008629246861771972,0.011662162162162162,0.12162162162162153,0.006814004161475855,0.0004664457763119985,0.034516987447087887,0.43,0.45,0.41,1000
