exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1000
0.0,0.085,0.021638928883917597,0.0,0.02125,0.005409732220979399,0.0,0.0,0.000923913043478261,0.00023520574873823474,0.0,0.0,0.0,0.0,0.0013043478260869564,0.0003744540428369369,0.0,0.06,0.017224885970499097,0.0,0.03,0.008612442985249548,0.0,0.0,0.0006521739130434782,0.00018722702141846844,0.0,0.0,0.0,0.0,0.0005434782608695652,0.00024256379074400966,0.0,0.025,0.011157934374224444,0.0,0.0125,0.005578967187112222,0.0,0.0,0.0002717391304347826,0.00012128189537200483,0.0,0.0,0.1,0.2,0.0,1000
0.017,0.42,0.06077796169084614,0.00425,0.105,0.015194490422711536,0.0010819464441958798,0.00018478260869565218,0.004565217391304347,0.0006606300183787624,4.7041149747646946e-05,0.004327785776783519,0.012,0.00026086956521739134,0.005652173913043478,0.0009110689313890908,7.48908085673874e-05,0.26,0.041909170843898176,0.006,0.13,0.020954585421949088,0.0017224885970499103,0.00013043478260869567,0.002826086956521739,0.0004555344656945454,3.74454042836937e-05,0.0034449771940998205,0.005,0.00010869565217391305,0.0034782608695652175,0.0007593352570417576,4.8512758148801957e-05,0.16,0.03492942182392085,0.0025,0.08,0.017464710911960425,0.001115793437422445,5.4347826086956524e-05,0.0017391304347826088,0.0003796676285208788,2.4256379074400978e-05,0.00223158687484489,0.2,0.25,0.1,1000
0.063,1.7200000000000006,0.14853842487270313,0.01575,0.43000000000000016,0.037134606218175784,0.0022791735634067303,0.0006847826086956521,0.01869565217391305,0.0016145480964424254,9.909450275681437e-05,0.009116694253626921,0.039,0.0008478260869565217,0.023043478260869575,0.002204854444686245,0.00013666033970836364,1.0600000000000005,0.10142330445556727,0.0195,0.5300000000000002,0.050711652227783635,0.0031431878132923636,0.00042391304347826086,0.011521739130434788,0.0011024272223431224,6.833016985418182e-05,0.006286375626584727,0.024,0.0005217391304347827,0.014347826086956528,0.0018916756222254662,0.00011390028855626364,0.6600000000000003,0.08701707862237144,0.012,0.3300000000000001,0.04350853931118572,0.002619706636794064,0.00026086956521739134,0.007173913043478264,0.0009458378111127331,5.695014427813182e-05,0.005239413273588128,0.25,0.3,0.2,1000
0.189,3.560000000000001,0.225781702928686,0.04725,0.8900000000000002,0.0564454257321715,0.0039491180069773845,0.0020543478260869564,0.038695652173913055,0.0024541489448770214,0.0001717007829120602,0.015796472027909538,0.118,0.0025652173913043477,0.0465217391304348,0.0031683722960610086,0.00023433148304732933,2.140000000000001,0.1457451256188064,0.059,1.0700000000000005,0.0728725628094032,0.0053896241100885745,0.0012826086956521739,0.0232608695652174,0.0015841861480305043,0.00011716574152366466,0.010779248220177149,0.071,0.0015434782608695651,0.03086956521739131,0.0027325143873075616,0.00019929346260186924,1.4200000000000004,0.12569566181614783,0.0355,0.7100000000000002,0.06284783090807392,0.004583749639842993,0.0007717391304347826,0.015434782608695656,0.0013662571936537808,9.964673130093462e-05,0.009167499279685985,0.3,0.35,0.25,1000
0.419,5.2142857142857135,0.3091275554845371,0.10475,1.3035714285714284,0.07728188887113427,0.006235287989845883,0.004554347826086956,0.05667701863354036,0.0033600821248319247,0.00027109947781938623,0.024941151959383533,0.253,0.0055,0.06739130434782607,0.004480228019623535,0.0003473136485048271,3.0999999999999996,0.2060904889026826,0.1265,1.5499999999999998,0.1030452444513413,0.007988213915611024,0.00275,0.033695652173913036,0.0022401140098117674,0.00017365682425241356,0.015976427831222047,0.166,0.0036086956521739133,0.04596273291925466,0.0037812295959726663,0.00030172521944865757,2.1142857142857143,0.17393656141474265,0.083,1.0571428571428572,0.08696828070737132,0.0069396800473191245,0.0018043478260869566,0.02298136645962733,0.0018906147979863331,0.00015086260972432879,0.013879360094638249,0.35,0.37,0.3,1000
0.554,7.1749999999999945,0.4776217096170327,0.1385,1.7937499999999986,0.11940542740425818,0.006999410099554229,0.0060217391304347835,0.07798913043478255,0.005191540321924268,0.0003043221782414882,0.027997640398216915,0.335,0.007282608695652174,0.08967391304347819,0.0068731187264274825,0.0003931731354187136,4.1249999999999964,0.3161634614156642,0.1675,2.0624999999999982,0.1580817307078321,0.009042982114630413,0.003641304347826087,0.044836956521739094,0.0034365593632137413,0.0001965865677093568,0.018085964229260825,0.219,0.004760869565217391,0.06630434782608689,0.006082132241019383,0.000336274399525334,3.049999999999997,0.2797780830868916,0.1095,1.5249999999999986,0.1398890415434458,0.007734311189082682,0.0023804347826086956,0.033152173913043446,0.0030410661205096915,0.000168137199762667,0.015468622378165363,0.37,0.39,0.35,1000
0.706,8.450000000000005,0.5124549834962193,0.1765,2.112500000000001,0.12811374587405483,0.007804399955067569,0.00767391304347826,0.09184782608695657,0.00557016286408934,0.0003393217371768508,0.031217599820270277,0.418,0.00908695652173913,0.10489130434782616,0.007529536651285569,0.0004269189202768932,4.825000000000004,0.34635868595913616,0.209,2.412500000000002,0.17317934297956808,0.009819135166368544,0.004543478260869565,0.05244565217391308,0.0037647683256427844,0.0002134594601384466,0.019638270332737087,0.288,0.006260869565217391,0.07880434782608702,0.006478961086982569,0.0003848313463173155,3.6250000000000027,0.2980322100011982,0.144,1.8125000000000013,0.1490161050005991,0.008851120965298257,0.0031304347826086954,0.03940217391304351,0.0032394805434912844,0.00019241567315865776,0.017702241930596514,0.39,0.41,0.37,1000
0.892,9.850000000000007,0.5369038701348372,0.223,2.4625000000000017,0.1342259675337093,0.008629627481558546,0.009695652173913044,0.10706521739130442,0.0058359116319004044,0.00037520119485037154,0.03451850992623418,0.528,0.011478260869565217,0.11956521739130442,0.007834532878562329,0.00047113550124352495,5.5000000000000036,0.3603885124138671,0.264,2.7500000000000018,0.18019425620693355,0.010836116528601074,0.005739130434782609,0.05978260869565221,0.003917266439281164,0.00023556775062176248,0.02167223305720215,0.364,0.00791304347826087,0.09456521739130441,0.006872021693000383,0.00041808924542812933,4.350000000000003,0.3161129978780176,0.182,2.1750000000000016,0.1580564989390088,0.009616052644846974,0.003956521739130435,0.047282608695652206,0.0034360108465001913,0.00020904462271406467,0.01923210528969395,0.41,0.43,0.39,1000
1.1,11.974999999999989,0.5810008063134994,0.275,2.9937499999999972,0.14525020157837484,0.009291734839971293,0.011956521739130435,0.13016304347826074,0.006315226155581515,0.0004039884713030997,0.03716693935988517,0.638,0.013869565217391305,0.13586956521739119,0.008344395661631905,0.0005030584584460602,6.249999999999995,0.3838422004350676,0.319,3.1249999999999973,0.1919211002175338,0.011570344544259384,0.0069347826086956525,0.06793478260869559,0.004172197830815952,0.0002515292292230301,0.023140689088518768,0.462,0.010043478260869565,0.12445652173913031,0.007852607686236392,0.0004544429861824807,5.724999999999994,0.36121995356687403,0.231,2.862499999999997,0.18060997678343702,0.010452188682197057,0.005021739130434783,0.062228260869565157,0.003926303843118196,0.00022722149309124036,0.020904377364394114,0.43,0.45,0.41,1000
1.371,14.125000000000007,0.6053724893409439,0.34275,3.5312500000000018,0.15134312233523597,0.00999674308824491,0.014902173913043479,0.15353260869565225,0.006580135753705912,0.0004346410038367352,0.03998697235297964,0.778,0.01691304347826087,0.15652173913043485,0.008751777353163964,0.0005339686804141179,7.200000000000004,0.4025817582455423,0.389,3.600000000000002,0.20129087912277116,0.012281279649524711,0.008456521739130436,0.07826086956521743,0.004375888676581982,0.0002669843402070589,0.024562559299049422,0.593,0.012891304347826087,0.15054347826086964,0.008636406930560184,0.0004927953831294274,6.925000000000003,0.3972747188057684,0.2965,3.4625000000000017,0.1986373594028842,0.011334293811976828,0.006445652173913043,0.07527173913043482,0.004318203465280092,0.0002463976915647137,0.022668587623953657,0.45,0.47,0.43,1000
