exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002181818181818182,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,0.0,0.002181818181818182,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,0.0,0.002181818181818182,0.0,0.12,0.0,0.001090909090909091,0.0,0.0,0.0,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.006,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.006,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.00010909090909090909,0.006181818181818181,6.285731923197034e-05,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.006,0.00010909090909090909,0.006181818181818181,6.285731923197034e-05,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.006,0.00010909090909090909,0.006181818181818181,6.285731923197034e-05,0.33999999999999997,5.4545454545454546e-05,0.0030909090909090903,3.142865961598517e-05,0.003457152557758369,0.05,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.6399999999999999,0.0003090909090909091,0.005818181818181816,7.375391250501976e-05,0.008112930375552174,0.034,0.6399999999999999,0.0003090909090909091,0.005818181818181816,7.375391250501976e-05,0.008112930375552174,0.034,0.6399999999999999,0.0003090909090909091,0.005818181818181816,7.375391250501976e-05,0.008112930375552174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007272727272727269,0.0,0.03999999999999998,0.0,0.00036363636363636345,0.0,0.0,0.0,0.0,0.0007272727272727269,0.0,0.03999999999999998,0.0,0.00036363636363636345,0.0,0.0,0.0,0.0,0.0007272727272727269,0.0,0.03999999999999998,0.0,0.00036363636363636345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0006181818181818182,0.010909090909090906,0.00014750782501003951,0.5999999999999999,0.0003090909090909091,0.005454545454545453,7.375391250501976e-05,0.008112930375552174,0.034,0.0006181818181818182,0.010909090909090906,0.00014750782501003951,0.5999999999999999,0.0003090909090909091,0.005454545454545453,7.375391250501976e-05,0.008112930375552174,0.034,0.0006181818181818182,0.010909090909090906,0.00014750782501003951,0.5999999999999999,0.0003090909090909091,0.005454545454545453,7.375391250501976e-05,0.008112930375552174,0.1,500
0.0,0.02000000000000001,0.0,0.010000000000000005,0.0,0.0,0.00018181818181818192,0.0,0.0,0.07,0.88,0.0006363636363636364,0.008,0.00011003116987830653,0.012103428686613718,0.07,0.86,0.0006363636363636364,0.00781818181818182,0.00011003116987830653,0.012103428686613718,0.07,0.86,0.0006363636363636364,0.00781818181818182,0.00011003116987830653,0.012103428686613718,0.0,0.0,0.00036363636363636383,0.0,0.02000000000000001,0.0,0.02000000000000001,0.0,0.0,0.00018181818181818192,0.0,0.0,0.004,7.272727272727273e-05,0.0032727272727272735,5.137439287488843e-05,0.18000000000000002,3.6363636363636364e-05,0.0016363636363636368,2.5687196437444215e-05,0.0028255916081188636,0.004,7.272727272727273e-05,0.0029090909090909098,5.137439287488843e-05,0.16000000000000003,3.6363636363636364e-05,0.0014545454545454549,2.5687196437444215e-05,0.0028255916081188636,0.004,7.272727272727273e-05,0.0029090909090909098,5.137439287488843e-05,0.16000000000000003,3.6363636363636364e-05,0.0014545454545454549,2.5687196437444215e-05,0.0028255916081188636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0012000000000000001,0.01272727272727273,0.00020853768884995092,0.7,0.0006000000000000001,0.006363636363636365,0.00010426884442497546,0.0114695728867473,0.066,0.0012000000000000001,0.01272727272727273,0.00020853768884995092,0.7,0.0006000000000000001,0.006363636363636365,0.00010426884442497546,0.0114695728867473,0.066,0.0012000000000000001,0.01272727272727273,0.00020853768884995092,0.7,0.0006000000000000001,0.006363636363636365,0.00010426884442497546,0.0114695728867473,0.15000000000000002,500
0.002,0.060000000000000026,0.001,0.030000000000000013,0.001,1.8181818181818182e-05,0.0005454545454545457,1.8181818181818182e-05,0.002,0.122,2.020000000000001,0.001109090909090909,0.01836363636363637,0.00014959271071376859,0.016455198178514544,0.12,1.9600000000000009,0.001090909090909091,0.017818181818181827,0.00014650739379354932,0.016115813317290426,0.12,1.9600000000000009,0.001090909090909091,0.017818181818181827,0.00014650739379354932,0.016115813317290426,0.002,3.6363636363636364e-05,0.0007272727272727276,3.6363636363636364e-05,0.040000000000000015,0.002,0.040000000000000015,0.002,1.8181818181818182e-05,0.0003636363636363638,1.8181818181818182e-05,0.002,0.018,0.00032727272727272726,0.007636363636363639,0.0001082128995707765,0.4200000000000001,0.00016363636363636363,0.0038181818181818195,5.410644978538825e-05,0.005951709476392708,0.016,0.0002909090909090909,0.0069090909090909125,0.00010212794148130829,0.3800000000000001,0.00014545454545454546,0.0034545454545454562,5.106397074065414e-05,0.0056170367814719555,0.016,0.0002909090909090909,0.0069090909090909125,0.00010212794148130829,0.3800000000000001,0.00014545454545454546,0.0034545454545454562,5.106397074065414e-05,0.0056170367814719555,0.0,0.0,0.0003636363636363638,0.0,0.020000000000000007,0.0,0.020000000000000007,0.0,0.0,0.0001818181818181819,0.0,0.0,0.104,0.0018909090909090909,0.029090909090909105,0.0002589065034945971,1.6000000000000005,0.0009454545454545454,0.014545454545454552,0.00012945325174729854,0.014239857692202838,0.104,0.0018909090909090909,0.02872727272727274,0.0002589065034945971,1.5800000000000005,0.0009454545454545454,0.01436363636363637,0.00012945325174729854,0.014239857692202838,0.104,0.0018909090909090909,0.02872727272727274,0.0002589065034945971,1.5800000000000005,0.0009454545454545454,0.01436363636363637,0.00012945325174729854,0.014239857692202838,0.2,500
0.006,0.1999999999999998,0.003,0.0999999999999999,0.0017285762788791848,5.4545454545454546e-05,0.0018181818181818162,3.1428659615985176e-05,0.0034571525577583697,0.272,3.5599999999999983,0.0024727272727272727,0.03236363636363635,0.00023378925125325334,0.025716817637857867,0.266,3.3599999999999985,0.0024181818181818185,0.030545454545454542,0.00022994205793155093,0.025293626372470603,0.266,3.3599999999999985,0.0024181818181818185,0.030545454545454542,0.00022994205793155093,0.025293626372470603,0.004,7.272727272727273e-05,0.000363636363636364,5.137439287488842e-05,0.02000000000000002,0.004,0.02000000000000002,0.002825591608118863,3.6363636363636364e-05,0.000181818181818182,2.568719643744421e-05,0.002825591608118863,0.046,0.0008363636363636364,0.014545454545454539,0.00017810751682707617,0.7999999999999996,0.0004181818181818182,0.007272727272727269,8.905375841353808e-05,0.009795913425489189,0.042,0.0007636363636363637,0.014181818181818172,0.0001711886481495513,0.7799999999999995,0.00038181818181818184,0.007090909090909086,8.559432407477565e-05,0.00941537564822532,0.042,0.0007636363636363637,0.014181818181818172,0.0001711886481495513,0.7799999999999995,0.00038181818181818184,0.007090909090909086,8.559432407477565e-05,0.00941537564822532,0.002,3.6363636363636364e-05,0.0032727272727272687,3.6363636363636364e-05,0.1799999999999998,0.002,0.1799999999999998,0.002,1.8181818181818182e-05,0.0016363636363636344,1.8181818181818182e-05,0.002,0.226,0.0041090909090909095,0.05018181818181816,0.00040445358521747977,2.759999999999999,0.0020545454545454547,0.02509090909090908,0.00020222679260873988,0.02224494718696139,0.224,0.004072727272727273,0.046909090909090886,0.00040025497430080925,2.579999999999999,0.0020363636363636365,0.023454545454545443,0.00020012748715040463,0.022014023586544508,0.224,0.004072727272727273,0.046909090909090886,0.00040025497430080925,2.579999999999999,0.0020363636363636365,0.023454545454545443,0.00020012748715040463,0.022014023586544508,0.25,500
0.022,1.3400000000000005,0.011,0.6700000000000003,0.0032832238909700434,0.00019999999999999998,0.012181818181818188,5.969497983581897e-05,0.006566447781940087,0.478,7.7,0.004345454545454546,0.07,0.0003124674911459926,0.03437142402605919,0.456,6.36,0.004145454545454546,0.05781818181818181,0.00030018019618999994,0.03301982158089999,0.456,6.36,0.004145454545454546,0.05781818181818181,0.00030018019618999994,0.03301982158089999,0.004,7.272727272727273e-05,0.008000000000000005,5.137439287488842e-05,0.44000000000000034,0.004,0.44000000000000034,0.002825591608118863,3.6363636363636364e-05,0.004000000000000003,2.568719643744421e-05,0.002825591608118863,0.098,0.001781818181818182,0.041818181818181824,0.0002527065764667841,2.3000000000000007,0.000890909090909091,0.020909090909090912,0.00012635328823339204,0.013898861705673126,0.094,0.001709090909090909,0.033818181818181824,0.00024304226802507258,1.86,0.0008545454545454545,0.016909090909090912,0.00012152113401253629,0.013367324741378991,0.094,0.001709090909090909,0.033818181818181824,0.00024304226802507258,1.86,0.0008545454545454545,0.016909090909090912,0.00012152113401253629,0.013367324741378991,0.018,0.00032727272727272726,0.01636363636363637,0.0001082128995707765,0.9000000000000002,0.018,0.9000000000000002,0.005951709476392708,0.00016363636363636363,0.008181818181818184,5.410644978538825e-05,0.005951709476392708,0.38,0.006909090909090909,0.09818181818181819,0.0005145170577472274,5.4,0.0034545454545454545,0.049090909090909095,0.0002572585288736137,0.028298438176097507,0.362,0.006581818181818182,0.08181818181818182,0.0004957334653082332,4.500000000000001,0.003290909090909091,0.04090909090909091,0.0002478667326541166,0.027265340591952823,0.362,0.006581818181818182,0.08181818181818182,0.0004957334653082332,4.500000000000001,0.003290909090909091,0.04090909090909091,0.0002478667326541166,0.027265340591952823,0.30000000000000004,500
0.14,2.8400000000000007,0.07,1.4200000000000004,0.008851932750922461,0.0012727272727272728,0.025818181818181827,0.00016094423183495385,0.017703865501844922,1.042,15.600000000000005,0.009472727272727273,0.14181818181818184,0.0005478534725184909,0.060263881977033994,0.902,12.760000000000005,0.0082,0.11600000000000005,0.00047186813194357685,0.051905494513793456,0.902,12.760000000000005,0.0082,0.11600000000000005,0.00047186813194357685,0.051905494513793456,0.048,0.0008727272727272727,0.025454545454545462,0.00017399073814107586,1.4000000000000004,0.048,1.4000000000000004,0.009569490597759172,0.00043636363636363637,0.012727272727272731,8.699536907053793e-05,0.009569490597759172,0.276,0.005018181818181818,0.11163636363636366,0.00048551724086012387,6.1400000000000015,0.002509090909090909,0.05581818181818183,0.00024275862043006194,0.02670344824730681,0.228,0.004145454545454546,0.0861818181818182,0.0004213736734804747,4.740000000000001,0.002072727272727273,0.0430909090909091,0.00021068683674023734,0.023175552041426108,0.228,0.004145454545454546,0.0861818181818182,0.0004213736734804747,4.740000000000001,0.002072727272727273,0.0430909090909091,0.00021068683674023734,0.023175552041426108,0.092,0.0016727272727272728,0.02618181818181819,0.0002352468818368661,1.4400000000000004,0.092,1.4400000000000004,0.012938578501027635,0.0008363636363636364,0.013090909090909096,0.00011762344091843305,0.012938578501027635,0.766,0.013927272727272727,0.17200000000000007,0.0007888169832484361,9.460000000000004,0.006963636363636364,0.08600000000000003,0.00039440849162421807,0.043384934078663985,0.674,0.012254545454545455,0.14581818181818185,0.0007094388391094798,8.020000000000003,0.006127272727272728,0.07290909090909092,0.0003547194195547399,0.039019136151021386,0.674,0.012254545454545455,0.14581818181818185,0.0007094388391094798,8.020000000000003,0.006127272727272728,0.07290909090909092,0.0003547194195547399,0.039019136151021386,0.35000000000000003,500
0.306,4.340000000000002,0.153,2.170000000000001,0.012429440130751179,0.0027818181818181817,0.039454545454545464,0.00022598982055911234,0.024858880261502358,2.038,24.580000000000013,0.018527272727272726,0.22345454545454552,0.0009270011998009149,0.10197013197810063,1.732,20.24000000000001,0.015745454545454545,0.1840000000000001,0.0007987485864738114,0.08786234451211926,1.732,20.24000000000001,0.015745454545454545,0.1840000000000001,0.0007987485864738114,0.08786234451211926,0.144,0.002618181818181818,0.040727272727272744,0.0002857624535586506,2.240000000000001,0.144,2.240000000000001,0.015716934945725784,0.001309090909090909,0.020363636363636372,0.0001428812267793253,0.015716934945725784,0.712,0.012945454545454545,0.18836363636363646,0.0008830506212979842,10.360000000000003,0.006472727272727272,0.09418181818181823,0.0004415253106489921,0.048567784171389135,0.568,0.010327272727272727,0.1476363636363637,0.0007536551980876037,8.120000000000003,0.005163636363636363,0.07381818181818185,0.00037682759904380186,0.0414510358948182,0.568,0.010327272727272727,0.1476363636363637,0.0007536551980876037,8.120000000000003,0.005163636363636363,0.07381818181818185,0.00037682759904380186,0.0414510358948182,0.162,0.0029454545454545454,0.03818181818181819,0.00029989315575315557,2.1000000000000005,0.162,2.1000000000000005,0.016494123566423557,0.0014727272727272727,0.019090909090909096,0.00014994657787657778,0.016494123566423557,1.326,0.02410909090909091,0.25854545454545463,0.001139421718663517,14.220000000000006,0.012054545454545455,0.12927272727272732,0.0005697108593317585,0.06266819452649343,1.164,0.021163636363636364,0.2203636363636364,0.0010156541510982814,12.120000000000005,0.010581818181818182,0.1101818181818182,0.0005078270755491407,0.05586097831040548,1.164,0.021163636363636364,0.2203636363636364,0.0010156541510982814,12.120000000000005,0.010581818181818182,0.1101818181818182,0.0005078270755491407,0.05586097831040548,0.4,500
0.574,7.040000000000003,0.287,3.5200000000000014,0.016148794603135817,0.005218181818181818,0.06400000000000003,0.00029361444732974213,0.03229758920627163,3.5,38.54000000000002,0.031818181818181815,0.3503636363636366,0.0012180428620752629,0.13398471482827892,2.926,31.500000000000007,0.026600000000000002,0.2863636363636365,0.001033124033720297,0.11364364370923268,2.926,31.500000000000007,0.026600000000000002,0.2863636363636365,0.001033124033720297,0.11364364370923268,0.272,0.004945454545454545,0.06254545454545456,0.00036219060381029286,3.4400000000000013,0.272,3.4400000000000013,0.019920483209566107,0.0024727272727272727,0.03127272727272728,0.00018109530190514643,0.019920483209566107,1.312,0.023854545454545455,0.3170909090909092,0.0011880745869964206,17.44000000000001,0.011927272727272727,0.1585454545454546,0.0005940372934982103,0.06534410228480313,1.04,0.01890909090909091,0.25454545454545463,0.0009949940120519713,14.000000000000005,0.009454545454545455,0.12727272727272732,0.0004974970060259857,0.05472467066285842,1.04,0.01890909090909091,0.25454545454545463,0.0009949940120519713,14.000000000000005,0.009454545454545455,0.12727272727272732,0.0004974970060259857,0.05472467066285842,0.302,0.0054909090909090906,0.06545454545454547,0.00037369580316743854,3.600000000000002,0.302,3.600000000000002,0.02055326917420912,0.0027454545454545453,0.03272727272727274,0.00018684790158371927,0.02055326917420912,2.188,0.03978181818181818,0.3836363636363637,0.0014220863609195867,21.10000000000001,0.01989090909090909,0.19181818181818186,0.0007110431804597933,0.07821474985057726,1.886,0.03429090909090909,0.31818181818181834,0.0012685311981392277,17.500000000000007,0.017145454545454544,0.15909090909090917,0.0006342655990696139,0.06976921589765753,1.886,0.03429090909090909,0.31818181818181834,0.0012685311981392277,17.500000000000007,0.017145454545454544,0.15909090909090917,0.0006342655990696139,0.06976921589765753,0.45,500
