exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1000
0.0,0.005,0.005,0.0,0.0025,0.0025,0.0,0.0,4.545454545454546e-05,4.545454545454546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092e-05,9.090909090909092e-05,0.0,0.005,0.005,0.0,0.005,0.005,0.0,0.0,4.545454545454546e-05,4.545454545454546e-05,0.0,0.0,0.1,0.2,0.0,1000
0.001,0.06666666666666667,0.020986672924511892,0.0005,0.03333333333333333,0.010493336462255946,0.0005000000000000001,9.090909090909091e-06,0.0006060606060606061,0.00019078793567738083,9.090909090909093e-06,0.0010000000000000002,0.0,0.0,0.00036363636363636367,0.0002097352914359931,0.0,0.02,0.011535441028979621,0.0,0.02,0.011535441028979621,0.0,0.0,0.00018181818181818183,0.00010486764571799655,0.0,0.0,0.001,1.8181818181818182e-05,0.0008484848484848485,0.00031973262378712496,1.8181818181818185e-05,0.04666666666666667,0.017585294308291873,0.001,0.04666666666666667,0.017585294308291873,0.0010000000000000002,9.090909090909091e-06,0.00042424242424242425,0.00015986631189356248,9.090909090909093e-06,0.0010000000000000002,0.2,0.25,0.1,1000
0.01,0.29000000000000004,0.053091606857569494,0.005,0.14500000000000002,0.026545803428784747,0.0015740004693383918,9.090909090909092e-05,0.0026363636363636368,0.00048265097143244994,2.8618190351607123e-05,0.0031480009386767836,0.003,5.4545454545454546e-05,0.0018181818181818188,0.0005723638070321426,3.1460293715398974e-05,0.10000000000000003,0.03148000938676784,0.003,0.10000000000000003,0.03148000938676784,0.0017303161543469434,2.7272727272727273e-05,0.0009090909090909094,0.0002861819035160713,1.5730146857699487e-05,0.0017303161543469434,0.007,0.00012727272727272728,0.003454545454545456,0.0007853547423473841,4.795989356806874e-05,0.19000000000000006,0.04319451082910613,0.007,0.19000000000000006,0.04319451082910613,0.0026377941462437807,6.363636363636364e-05,0.001727272727272728,0.00039267737117369206,2.397994678403437e-05,0.0026377941462437807,0.25,0.3,0.2,1000
0.03,0.9700000000000002,0.10568949933777846,0.015,0.4850000000000001,0.05284474966888923,0.0026985704145495782,0.00027272727272727274,0.00881818181818182,0.0009608136303434406,4.906491662817415e-05,0.0053971408290991564,0.01,0.00018181818181818183,0.00781818181818182,0.0011669298872363167,5.7236380703214246e-05,0.4300000000000001,0.06418114379799741,0.01,0.4300000000000001,0.06418114379799741,0.0031480009386767836,9.090909090909092e-05,0.00390909090909091,0.0005834649436181583,2.8618190351607123e-05,0.0031480009386767836,0.02,0.00036363636363636367,0.009818181818181823,0.0013001606402355404,8.053461782142416e-05,0.5400000000000003,0.07150883521295473,0.02,0.5400000000000003,0.07150883521295473,0.004429403980178328,0.00018181818181818183,0.0049090909090909116,0.0006500803201177702,4.026730891071208e-05,0.004429403980178328,0.3,0.35,0.25,1000
0.107,2.0857142857142854,0.18117802995883428,0.0535,1.0428571428571427,0.09058901497941714,0.005515266826561356,0.0009727272727272727,0.01896103896103896,0.0016470729996257661,0.00010027757866475193,0.011030533653122713,0.046,0.0008363636363636364,0.01844155844155844,0.002110539855191677,0.00012050572213419417,1.0142857142857142,0.11607969203554223,0.046,1.0142857142857142,0.11607969203554223,0.006627814717380679,0.0004181818181818182,0.00922077922077922,0.0010552699275958384,6.0252861067097085e-05,0.006627814717380679,0.061,0.001109090909090909,0.01948051948051948,0.0021645021645021645,0.00013767411075559047,1.0714285714285714,0.11904761904761904,0.061,1.0714285714285714,0.11904761904761904,0.0075720760915574765,0.0005545454545454545,0.00974025974025974,0.0010822510822510823,6.883705537779524e-05,0.0075720760915574765,0.35,0.37,0.3,1000
0.176,3.6749999999999967,0.30159631187289937,0.088,1.8374999999999984,0.15079815593644968,0.006986043573068007,0.0015999999999999999,0.03340909090909088,0.002741784653389994,0.00012701897405578195,0.013972087146136014,0.081,0.0014727272727272727,0.03136363636363634,0.0036449700228705084,0.00015694765512981796,1.7249999999999985,0.20047335125787796,0.081,1.7249999999999985,0.20047335125787796,0.008632121032139988,0.0007363636363636363,0.01568181818181817,0.0018224850114352542,7.847382756490898e-05,0.008632121032139988,0.095,0.0017272727272727272,0.03545454545454542,0.0038566243318720553,0.0001686710927836973,1.9499999999999982,0.21211433825296305,0.095,1.9499999999999982,0.21211433825296305,0.009276910103103352,0.0008636363636363636,0.01772727272727271,0.0019283121659360277,8.433554639184865e-05,0.009276910103103352,0.37,0.39,0.35,1000
0.254,4.500000000000003,0.3314511424929171,0.127,2.2500000000000013,0.16572557124645854,0.008212090990633168,0.002309090909090909,0.04090909090909094,0.0030131922044810645,0.0001493107452842394,0.016424181981266335,0.115,0.002090909090909091,0.03409090909090911,0.0037878787878787906,0.0001835165017255373,1.8750000000000009,0.20833333333333348,0.115,1.8750000000000009,0.20833333333333348,0.010093407594904551,0.0010454545454545456,0.017045454545454555,0.0018939393939393953,9.175825086276865e-05,0.010093407594904551,0.139,0.0025272727272727274,0.04772727272727276,0.004408600466374984,0.0001990047956553253,2.6250000000000018,0.24247302565062415,0.139,2.6250000000000018,0.24247302565062415,0.010945263761042892,0.0012636363636363637,0.02386363636363638,0.002204300233187492,9.950239782766266e-05,0.010945263761042892,0.39,0.41,0.37,1000
0.356,5.475000000000003,0.3768838235005803,0.178,2.7375000000000016,0.18844191175029015,0.009455443162824545,0.003236363636363636,0.0497727272727273,0.003426216577278003,0.00017191714841499172,0.01891088632564909,0.156,0.0028363636363636364,0.045000000000000026,0.004295112739846704,0.0002087315455658599,2.4750000000000014,0.23623120069156875,0.156,2.4750000000000014,0.23623120069156875,0.011480235006122295,0.0014181818181818182,0.022500000000000013,0.002147556369923352,0.00010436577278292995,0.011480235006122295,0.2,0.0036363636363636364,0.05454545454545458,0.0046733309148852134,0.00023009890806121195,3.0000000000000018,0.25703320031868676,0.2,3.0000000000000018,0.25703320031868676,0.012655439943366657,0.0018181818181818182,0.02727272727272729,0.0023366654574426067,0.00011504945403060597,0.012655439943366657,0.41,0.43,0.39,1000
0.473,6.449999999999995,0.38703655808889303,0.2365,3.2249999999999974,0.19351827904444652,0.010767250516435645,0.0043,0.05863636363636359,0.0035185141644444823,0.0001957681912079208,0.02153450103287129,0.214,0.0038909090909090907,0.0595454545454545,0.004852215838562678,0.00023592432767216085,3.2749999999999972,0.2668718711209473,0.214,3.2749999999999972,0.2668718711209473,0.012975838021968847,0.0019454545454545454,0.02977272727272725,0.002426107919281339,0.00011796216383608042,0.012975838021968847,0.259,0.004709090909090909,0.057727272727272676,0.004788544827661652,0.0002520075501368702,3.174999999999997,0.26336996552139086,0.259,3.174999999999997,0.26336996552139086,0.013860415257527861,0.0023545454545454546,0.028863636363636338,0.002394272413830826,0.0001260037750684351,0.013860415257527861,0.43,0.45,0.41,1000
