exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
0.0,0.019999999999999997,0.0,0.0004166666666666666,0.0,0.0,0.00010416666666666665,0.0,0.0,0.0,0.019999999999999997,0.0,0.00010416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002083333333333333,0.0,0.019999999999999997,0.0,0.0008333333333333332,0.0,0.0,0.00010416666666666665,0.0,0.0,0.0,0.0,0.0002083333333333333,0.0,0.019999999999999997,0.0,0.00010416666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,500
0.002,0.11999999999999995,4.1666666666666665e-05,0.002499999999999999,4.1666666666666665e-05,1.0416666666666666e-05,0.0006249999999999998,1.0416666666666666e-05,0.002,0.002,0.11999999999999995,1.0416666666666666e-05,0.0006249999999999998,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010416666666666662,0.0,0.09999999999999995,0.0,0.004166666666666665,0.0,0.0,0.0005208333333333331,0.0,0.0,0.0,0.0,0.0010416666666666662,0.0,0.09999999999999995,0.0,0.0005208333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.0833333333333333e-05,0.00020833333333333332,2.0833333333333333e-05,0.02,8.333333333333333e-05,0.0008333333333333333,8.333333333333333e-05,1.0416666666666666e-05,0.00010416666666666666,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.00020833333333333332,2.0833333333333333e-05,0.02,1.0416666666666666e-05,0.00010416666666666666,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,500
0.012,0.36000000000000004,0.00025,0.0075000000000000015,0.00010154945223468712,6.25e-05,0.0018750000000000004,2.538736305867178e-05,0.004874373707264981,0.012,0.36000000000000004,6.25e-05,0.0018750000000000004,2.538736305867178e-05,0.004874373707264981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00010416666666666667,0.0008333333333333325,4.63976614278343e-05,0.07999999999999993,0.0004166666666666667,0.00333333333333333,0.0001855906457113372,5.208333333333334e-05,0.00041666666666666626,2.319883071391715e-05,0.004454175497072093,0.01,0.00010416666666666667,0.0008333333333333325,4.63976614278343e-05,0.07999999999999993,5.208333333333334e-05,0.00041666666666666626,2.319883071391715e-05,0.004454175497072093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.0833333333333333e-05,0.0029166666666666685,2.0833333333333333e-05,0.28000000000000014,8.333333333333333e-05,0.011666666666666674,8.333333333333333e-05,1.0416666666666666e-05,0.0014583333333333343,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.0029166666666666685,2.0833333333333333e-05,0.28000000000000014,1.0416666666666666e-05,0.0014583333333333343,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,500
0.038,2.3200000000000007,0.0007916666666666666,0.048333333333333346,0.0001783149779227535,0.00019791666666666666,0.012083333333333337,4.457874448068837e-05,0.008559118940292168,0.038,2.3600000000000008,0.00019791666666666666,0.012291666666666671,4.457874448068837e-05,0.008559118940292168,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.008,8.333333333333333e-05,0.006666666666666669,4.154122734538477e-05,0.6400000000000001,0.0003333333333333333,0.026666666666666675,0.00016616490938153907,4.1666666666666665e-05,0.0033333333333333344,2.0770613672692384e-05,0.003987957825156938,0.008,8.333333333333333e-05,0.006666666666666669,4.154122734538477e-05,0.6400000000000001,4.1666666666666665e-05,0.0033333333333333344,2.0770613672692384e-05,0.003987957825156938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0003125,0.017500000000000005,7.954721670830944e-05,1.6800000000000006,0.00125,0.07000000000000002,0.00031818886683323774,0.00015625,0.008750000000000003,3.977360835415472e-05,0.007636532803997706,0.03,0.0003125,0.01791666666666667,7.954721670830944e-05,1.7200000000000004,0.00015625,0.008958333333333336,3.977360835415472e-05,0.007636532803997706,0.0,0.0,0.0004166666666666668,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.0,0.0,0.0004166666666666668,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.2,500
0.244,10.979999999999988,0.005083333333333333,0.22874999999999976,0.0006518156304670294,0.0012708333333333332,0.05718749999999994,0.00016295390761675735,0.031287150262417414,0.248,11.159999999999988,0.0012916666666666667,0.05812499999999994,0.00016461876431323654,0.03160680274814141,0.004,0.17999999999999983,2.0833333333333333e-05,0.000937499999999999,1.4716622958952413e-05,0.002825591608118863,0.004,0.17999999999999983,2.0833333333333333e-05,0.000937499999999999,1.4716622958952413e-05,0.002825591608118863,0.074,0.0007708333333333333,0.03833333333333329,0.00014487590090984763,3.679999999999996,0.0030833333333333333,0.15333333333333315,0.0005795036036393905,0.00038541666666666667,0.019166666666666644,7.243795045492381e-05,0.013908086487345372,0.074,0.0007708333333333333,0.03916666666666663,0.00014487590090984763,3.7599999999999962,0.00038541666666666667,0.019583333333333314,7.243795045492381e-05,0.013908086487345372,0.0,0.0,0.0008333333333333321,0.0,0.07999999999999989,0.0,0.00041666666666666604,0.0,0.0,0.0,0.0,0.0008333333333333321,0.0,0.07999999999999989,0.0,0.00041666666666666604,0.0,0.0,0.17,0.0017708333333333335,0.0760416666666666,0.00023459814119784655,7.299999999999993,0.007083333333333334,0.3041666666666664,0.0009383925647913862,0.0008854166666666667,0.0380208333333333,0.00011729907059892328,0.02252142155499327,0.174,0.0018124999999999999,0.07708333333333325,0.0002394712169778553,7.399999999999993,0.0009062499999999999,0.03854166666666663,0.00011973560848892765,0.02298923682987411,0.004,4.1666666666666665e-05,0.0010416666666666662,2.9433245917904825e-05,0.09999999999999995,2.0833333333333333e-05,0.0005208333333333331,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.0010416666666666662,2.9433245917904825e-05,0.09999999999999995,2.0833333333333333e-05,0.0005208333333333331,1.4716622958952413e-05,0.002825591608118863,0.25,500
1.136,39.320000000000014,0.023666666666666666,0.8191666666666668,0.001992750164357339,0.005916666666666666,0.2047916666666667,0.0004981875410893348,0.09565200788915228,1.154,39.7,0.0060104166666666665,0.20677083333333338,0.0005045188236502086,0.09686761414084005,0.018,0.37999999999999995,9.374999999999999e-05,0.0019791666666666664,3.099848685621202e-05,0.005951709476392708,0.018,0.37999999999999995,9.374999999999999e-05,0.0019791666666666664,3.099848685621202e-05,0.005951709476392708,0.376,0.003916666666666666,0.1635416666666667,0.0004400739801371642,15.700000000000005,0.015666666666666666,0.6541666666666668,0.0017602959205486569,0.001958333333333333,0.08177083333333335,0.0002200369900685821,0.04224710209316777,0.384,0.004,0.1660416666666667,0.0004474049348014645,15.940000000000003,0.002,0.08302083333333335,0.00022370246740073226,0.042950873740940594,0.008,8.333333333333333e-05,0.0025,4.154122734538477e-05,0.24000000000000002,4.1666666666666665e-05,0.00125,2.0770613672692384e-05,0.003987957825156938,0.008,8.333333333333333e-05,0.0025,4.154122734538477e-05,0.24000000000000002,4.1666666666666665e-05,0.00125,2.0770613672692384e-05,0.003987957825156938,0.76,0.007916666666666667,0.24604166666666671,0.0006232579820069551,23.620000000000005,0.03166666666666667,0.9841666666666669,0.0024930319280278205,0.003958333333333334,0.12302083333333336,0.00031162899100347757,0.05983276627266769,0.77,0.008020833333333333,0.24750000000000003,0.0006299728408205023,23.760000000000005,0.0040104166666666665,0.12375000000000001,0.00031498642041025116,0.06047739271876822,0.01,0.00010416666666666667,0.0014583333333333327,4.63976614278343e-05,0.13999999999999993,5.208333333333334e-05,0.0007291666666666664,2.319883071391715e-05,0.004454175497072093,0.01,0.00010416666666666667,0.0014583333333333327,4.63976614278343e-05,0.13999999999999993,5.208333333333334e-05,0.0007291666666666664,2.319883071391715e-05,0.004454175497072093,0.30000000000000004,500
4.176,73.92000000000003,0.08700000000000001,1.5400000000000005,0.00437729804136668,0.021750000000000002,0.3850000000000001,0.00109432451034167,0.21011030598560063,4.218,74.92000000000003,0.02196875,0.3902083333333335,0.00110965293211238,0.21305336296557695,0.042,1.0000000000000004,0.00021875,0.005208333333333336,5.1207566979334196e-05,0.009831852860032166,0.042,1.0000000000000004,0.00021875,0.005208333333333336,5.1207566979334196e-05,0.009831852860032166,1.644,0.017124999999999998,0.33479166666666677,0.0009989644075505811,32.140000000000015,0.06849999999999999,1.339166666666667,0.003995857630202325,0.008562499999999999,0.16739583333333338,0.0004994822037752906,0.09590058312485579,1.668,0.017374999999999998,0.3412500000000001,0.0010141420272507227,32.76000000000001,0.008687499999999999,0.17062500000000005,0.0005070710136253614,0.09735763461606939,0.024,0.00025,0.006458333333333336,7.722250656336368e-05,0.6200000000000002,0.000125,0.003229166666666668,3.861125328168184e-05,0.007413360630082914,0.024,0.00025,0.006458333333333336,7.722250656336368e-05,0.6200000000000002,0.000125,0.003229166666666668,3.861125328168184e-05,0.007413360630082914,2.532,0.026375,0.4352083333333334,0.0012634422514089397,41.780000000000015,0.1055,1.7408333333333337,0.005053769005635759,0.0131875,0.2176041666666667,0.0006317211257044699,0.12129045613525821,2.55,0.0265625,0.4391666666666668,0.0012766704269013658,42.16000000000001,0.01328125,0.2195833333333334,0.0006383352134506829,0.1225603609825311,0.018,0.00018749999999999998,0.0039583333333333345,6.199697371242404e-05,0.38000000000000017,9.374999999999999e-05,0.0019791666666666673,3.099848685621202e-05,0.005951709476392708,0.018,0.00018749999999999998,0.0039583333333333345,6.199697371242404e-05,0.38000000000000017,9.374999999999999e-05,0.0019791666666666673,3.099848685621202e-05,0.005951709476392708,0.35000000000000003,500
8.528,111.32000000000002,0.17766666666666667,2.3191666666666673,0.006526612103789292,0.04441666666666667,0.5797916666666668,0.001631653025947323,0.313277380981886,8.646,114.12000000000006,0.04503125,0.5943750000000002,0.0016542763255769563,0.3176210545107756,0.118,2.8000000000000007,0.0006145833333333333,0.014583333333333339,8.079353390462105e-05,0.01551235850968724,0.118,2.8000000000000007,0.0006145833333333333,0.014583333333333339,8.079353390462105e-05,0.01551235850968724,3.59,0.03739583333333333,0.5302083333333336,0.001541088544132773,50.90000000000001,0.14958333333333332,2.1208333333333345,0.006164354176531092,0.018697916666666665,0.2651041666666668,0.0007705442720663865,0.1479445002367462,3.66,0.038125,0.5441666666666669,0.0015722737624257641,52.24000000000002,0.0190625,0.27208333333333345,0.0007861368812128821,0.15093828119287336,0.07,0.0007291666666666667,0.013958333333333338,0.00012607738215222622,1.3400000000000003,0.00036458333333333335,0.006979166666666669,6.303869107611311e-05,0.012103428686613718,0.07,0.0007291666666666667,0.013958333333333338,0.00012607738215222622,1.3400000000000003,0.00036458333333333335,0.006979166666666669,6.303869107611311e-05,0.012103428686613718,4.938,0.0514375,0.6293750000000002,0.001766718371128671,60.420000000000016,0.20575,2.517500000000001,0.007066873484514684,0.02571875,0.3146875000000001,0.0008833591855643355,0.16960496362835242,4.986,0.0519375,0.6445833333333335,0.0017792067933067588,61.88000000000002,0.02596875,0.32229166666666675,0.0008896033966533794,0.17080385215744884,0.048,0.0005,0.01520833333333334,0.00010395352274938176,1.4600000000000004,0.00025,0.00760416666666667,5.197676137469088e-05,0.009979538183940649,0.048,0.0005,0.01520833333333334,0.00010395352274938176,1.4600000000000004,0.00025,0.00760416666666667,5.197676137469088e-05,0.009979538183940649,0.4,500
15.308,158.58000000000004,0.3189166666666667,3.303750000000001,0.007485996910494439,0.07972916666666667,0.8259375000000002,0.0018714992276236098,0.3593278517037331,15.63,165.46000000000006,0.08140625,0.8617708333333338,0.0019391194429209202,0.3723109330408167,0.322,6.8800000000000034,0.0016770833333333334,0.03583333333333334,0.00016590494248680404,0.03185374895746638,0.322,6.8800000000000034,0.0016770833333333334,0.03583333333333334,0.00016590494248680404,0.03185374895746638,6.734,0.07014583333333334,0.796041666666667,0.0018337021684458202,76.42000000000002,0.28058333333333335,3.184166666666668,0.007334808673783281,0.03507291666666667,0.3980208333333335,0.0009168510842229101,0.17603540817079874,6.892,0.07179166666666667,0.8262500000000004,0.0018967197436670703,79.32000000000002,0.035895833333333335,0.4131250000000002,0.0009483598718335351,0.18208509539203874,0.158,0.0016458333333333333,0.030208333333333344,0.00019840881660324646,2.900000000000001,0.0008229166666666667,0.015104166666666672,9.920440830162323e-05,0.01904724639391166,0.158,0.0016458333333333333,0.030208333333333344,0.00019840881660324646,2.900000000000001,0.0008229166666666667,0.015104166666666672,9.920440830162323e-05,0.01904724639391166,8.574,0.0893125,0.8558333333333338,0.0019480837159874973,82.16000000000003,0.35725,3.423333333333335,0.007792334863949989,0.04465625,0.4279166666666669,0.0009740418579937487,0.18701603673479975,8.738,0.09102083333333333,0.897291666666667,0.0020124763500769987,86.14000000000004,0.045510416666666664,0.4486458333333335,0.0010062381750384993,0.19319772960739187,0.164,0.0017083333333333334,0.04145833333333335,0.00021323557640391723,3.9800000000000013,0.0008541666666666667,0.020729166666666674,0.00010661778820195862,0.020470615334776055,0.164,0.0017083333333333334,0.04145833333333335,0.00021323557640391723,3.9800000000000013,0.0008541666666666667,0.020729166666666674,0.00010661778820195862,0.020470615334776055,0.45,500
