exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.01,0.010000000000000002,0.0,0.00020833333333333335,0.00020833333333333337,0.0,0.0,5.208333333333334e-05,5.2083333333333343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010416666666666667,0.00010416666666666669,0.0,0.01,0.010000000000000002,0.0,0.0004166666666666667,0.00041666666666666675,0.0,0.0,5.208333333333334e-05,5.2083333333333343e-05,0.0,0.0,0.0,0.1,0.0,1000
0.001,0.22,0.03745668168702352,2.0833333333333333e-05,0.004583333333333333,0.0007803475351463233,2.083333333333334e-05,5.208333333333333e-06,0.0011458333333333333,0.00019508688378658083,5.208333333333335e-06,0.0010000000000000002,0.0,0.0,0.0007291666666666667,0.00019360586188836148,0.0,0.07,0.0185861627412827,0.0,0.002916666666666667,0.0007744234475534459,0.0,0.0,0.00036458333333333335,9.680293094418074e-05,0.0,0.0,0.001,1.0416666666666666e-05,0.0015624999999999999,0.0003258400066050036,1.041666666666667e-05,0.15,0.03128064063408034,4.1666666666666665e-05,0.0062499999999999995,0.0013033600264200143,4.166666666666668e-05,5.208333333333333e-06,0.0007812499999999999,0.0001629200033025018,5.208333333333335e-06,0.0010000000000000002,0.1,0.2,0.0,1000
0.044,1.6066666666666665,0.1551286864309701,0.0009166666666666666,0.033472222222222216,0.003231847633978544,0.00015606950702926468,0.00022916666666666666,0.008368055555555554,0.000807961908494636,3.901737675731617e-05,0.007491336337404704,0.014,0.00014583333333333335,0.005416666666666667,0.0007608399888279472,3.87211723776723e-05,0.52,0.07304063892748293,0.0005833333333333334,0.021666666666666667,0.0030433599553117887,0.0001548846895106892,7.291666666666667e-05,0.0027083333333333334,0.0003804199944139736,1.936058618883615e-05,0.003717232548256541,0.03,0.0003125,0.011319444444444444,0.0011298243943696428,6.516800132100073e-05,1.0866666666666667,0.10846314185948572,0.00125,0.04527777777777778,0.004519297577478571,0.00026067200528400293,0.00015625,0.005659722222222222,0.0005649121971848214,3.2584000660500366e-05,0.00625612812681607,0.2,0.25,0.1,1000
0.242,10.300000000000004,0.6121149276767271,0.0050416666666666665,0.21458333333333343,0.012752394326598483,0.0004850087601129232,0.0012604166666666666,0.05364583333333336,0.0031880985816496207,0.0001212521900282308,0.023280420485420315,0.078,0.0008125,0.038645833333333345,0.0028681173600361865,0.0001141259983241921,3.710000000000001,0.2753392665634739,0.00325,0.15458333333333338,0.011472469440144746,0.0004565039932967684,0.00040625,0.019322916666666672,0.0014340586800180933,5.706299916209605e-05,0.01095609583912244,0.164,0.0017083333333333334,0.06864583333333335,0.004002217260896776,0.00016968918474499024,6.590000000000002,0.38421285704609054,0.006833333333333334,0.2745833333333334,0.016008869043587105,0.000678756738979961,0.0008541666666666667,0.034322916666666675,0.002001108630448388,8.484459237249512e-05,0.016290161735519063,0.25,0.3,0.2,1000
1.074,32.970000000000006,1.2390376565360373,0.022375000000000003,0.6868750000000001,0.025813284511167444,0.0013229669538599408,0.005593750000000001,0.17171875000000003,0.006453321127791861,0.0003307417384649852,0.06350241378527716,0.385,0.0040104166666666665,0.13395833333333337,0.005985284241110973,0.0002941804936132659,12.860000000000003,0.5745872871466534,0.016041666666666666,0.5358333333333335,0.02394113696444389,0.0011767219744530635,0.0020052083333333332,0.06697916666666669,0.0029926421205554864,0.00014709024680663294,0.028241327386873526,0.689,0.007177083333333333,0.2094791666666667,0.007430206921882146,0.0004145601520506757,20.110000000000003,0.713299864500686,0.028708333333333332,0.8379166666666668,0.029720827687528584,0.0016582406082027029,0.0035885416666666665,0.10473958333333334,0.003715103460941073,0.00020728007602533786,0.03979777459686487,0.3,0.35,0.25,1000
3.539,59.61428571428571,1.8673432593927182,0.07372916666666667,1.2419642857142856,0.03890298457068163,0.002781878776404526,0.018432291666666666,0.3104910714285714,0.009725746142670407,0.0006954696941011315,0.13353018126741725,1.364,0.014208333333333335,0.25610119047619045,0.009344363800878929,0.0006342382525035183,24.585714285714282,0.8970589248843771,0.05683333333333334,1.0244047619047618,0.037377455203515715,0.002536953010014073,0.0071041666666666675,0.12805059523809523,0.004672181900439464,0.00031711912625175914,0.06088687224033775,2.175,0.02265625,0.36488095238095225,0.010869240587909133,0.0008023070107018672,35.02857142857142,1.0434470964392768,0.090625,1.459523809523809,0.04347696235163653,0.0032092280428074687,0.011328125,0.18244047619047613,0.005434620293954567,0.0004011535053509336,0.07702147302737924,0.35,0.37,0.3,1000
5.247,95.49999999999991,2.513676305447573,0.10931249999999999,1.9895833333333315,0.0523682563634911,0.003496784433290202,0.027328124999999998,0.49739583333333287,0.013092064090872775,0.0008741961083225505,0.1678456527979297,2.106,0.0219375,0.4385416666666664,0.013141861200281863,0.0008079990704911617,42.09999999999997,1.2616186752270588,0.08775,1.7541666666666655,0.052567444801127454,0.003231996281964647,0.01096875,0.2192708333333332,0.006570930600140932,0.00040399953524558087,0.07756791076715153,3.141,0.03271875,0.5562499999999996,0.0144209960330387,0.0009834808015875337,53.399999999999956,1.3844156191717152,0.130875,2.2249999999999983,0.0576839841321548,0.003933923206350135,0.016359375,0.2781249999999998,0.00721049801651935,0.0004917404007937668,0.09441415695240324,0.37,0.39,0.35,1000
7.359,113.30000000000004,2.6478994262190887,0.1533125,2.3604166666666675,0.05516457137956435,0.00404552150933312,0.038328125,0.5901041666666669,0.013791142844891087,0.00101138037733328,0.19418503244798974,3.048,0.03175,0.5325520833333335,0.014177622283553347,0.0009498040967834952,51.125000000000014,1.3610517392211212,0.127,2.130208333333334,0.056710489134213386,0.003799216387133981,0.015875,0.26627604166666674,0.007088811141776673,0.0004749020483917476,0.09118119329121555,4.311,0.04490625,0.6476562500000003,0.014719937829024629,0.0011119846396564512,62.175000000000026,1.4131140315863644,0.179625,2.590625000000001,0.058879751316098516,0.004447938558625805,0.022453125,0.32382812500000013,0.0073599689145123146,0.0005559923198282256,0.1067505254070193,0.39,0.41,0.37,1000
9.779,132.72500000000005,2.6931770416327225,0.20372916666666666,2.7651041666666676,0.05610785503401505,0.0045757702466834764,0.050932291666666664,0.6912760416666669,0.014026963758503763,0.0011439425616708691,0.21963697184080688,4.151,0.04323958333333333,0.643229166666667,0.01455592715034596,0.0010898813599218467,61.75000000000003,1.397369006433212,0.17295833333333333,2.572916666666668,0.05822370860138384,0.004359525439687387,0.021619791666666666,0.3216145833333335,0.00727796357517298,0.0005449406799609233,0.10462861055249728,5.628,0.058625000000000003,0.7393229166666669,0.014800992212593329,0.001232147145988313,70.97500000000002,1.4208952524089595,0.23450000000000001,2.9572916666666678,0.059203968850373316,0.004928588583953252,0.029312500000000002,0.36966145833333347,0.0074004961062966645,0.0006160735729941565,0.11828612601487805,0.41,0.43,0.39,1000
12.668,148.94999999999987,2.7749500622259555,0.26391666666666663,3.1031249999999972,0.05781145962970741,0.004994147670564002,0.06597916666666666,0.7757812499999993,0.014452864907426852,0.0012485369176410005,0.23971908818707208,5.518,0.057479166666666665,0.7424479166666661,0.01500533198581415,0.0012134968360481525,71.27499999999995,1.4405118706381583,0.22991666666666666,2.9697916666666644,0.0600213279432566,0.00485398734419261,0.028739583333333332,0.37122395833333305,0.007502665992907075,0.0006067484180240762,0.11649569626062264,7.15,0.07447916666666667,0.8091145833333327,0.015079235674190792,0.0013118119624894746,77.67499999999994,1.447606624722316,0.29791666666666666,3.236458333333331,0.060316942696763166,0.005247247849957898,0.03723958333333333,0.4045572916666664,0.007539617837095396,0.0006559059812447373,0.12593394839898955,0.43,0.45,0.41,1000
