exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.1,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.0833333333333333e-05,0.00041666666666666664,2.0833333333333333e-05,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.00041666666666666664,2.0833333333333333e-05,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.00041666666666666664,2.0833333333333333e-05,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.15000000000000002,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.12000000000000004,2.0833333333333333e-05,0.0006250000000000003,1.4716622958952413e-05,0.002825591608118863,0.004,0.12000000000000004,2.0833333333333333e-05,0.0006250000000000003,1.4716622958952413e-05,0.002825591608118863,0.004,0.12000000000000004,2.0833333333333333e-05,0.0006250000000000003,1.4716622958952413e-05,0.002825591608118863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004166666666666668,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.0,0.0,0.0004166666666666668,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.0,0.0,0.0004166666666666668,0.0,0.040000000000000015,0.0,0.0002083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,4.1666666666666665e-05,0.0008333333333333337,2.9433245917904825e-05,0.08000000000000003,2.0833333333333333e-05,0.00041666666666666686,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.0008333333333333337,2.9433245917904825e-05,0.08000000000000003,2.0833333333333333e-05,0.00041666666666666686,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.0008333333333333337,2.9433245917904825e-05,0.08000000000000003,2.0833333333333333e-05,0.00041666666666666686,1.4716622958952413e-05,0.002825591608118863,0.2,500
0.0,0.019999999999999973,0.0,0.004999999999999993,0.0,0.0,0.00010416666666666651,0.0,0.0,0.014,0.3799999999999997,7.291666666666667e-05,0.0019791666666666647,2.7393717565889347e-05,0.005259593772650755,0.014,0.35999999999999976,7.291666666666667e-05,0.0018749999999999988,2.7393717565889347e-05,0.005259593772650755,0.014,0.35999999999999976,7.291666666666667e-05,0.0018749999999999988,2.7393717565889347e-05,0.005259593772650755,0.0,0.0,0.00020833333333333302,0.0,0.019999999999999973,0.0,0.009999999999999986,0.0,0.0,0.00010416666666666651,0.0,0.0,0.004,4.1666666666666665e-05,0.001874999999999998,2.9433245917904825e-05,0.17999999999999983,2.0833333333333333e-05,0.000937499999999999,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.001666666666666665,2.9433245917904825e-05,0.15999999999999986,2.0833333333333333e-05,0.0008333333333333325,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.001666666666666665,2.9433245917904825e-05,0.15999999999999986,2.0833333333333333e-05,0.0008333333333333325,1.4716622958952413e-05,0.002825591608118863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00010416666666666667,0.002083333333333332,4.63976614278343e-05,0.19999999999999984,5.208333333333334e-05,0.001041666666666666,2.319883071391715e-05,0.004454175497072093,0.01,0.00010416666666666667,0.002083333333333332,4.63976614278343e-05,0.19999999999999984,5.208333333333334e-05,0.001041666666666666,2.319883071391715e-05,0.004454175497072093,0.01,0.00010416666666666667,0.002083333333333332,4.63976614278343e-05,0.19999999999999984,5.208333333333334e-05,0.001041666666666666,2.319883071391715e-05,0.004454175497072093,0.25,500
0.002,0.40000000000000024,0.0005,0.10000000000000006,0.0005,1.0416666666666666e-05,0.0020833333333333346,1.0416666666666666e-05,0.002,0.042,1.8400000000000007,0.00021875,0.009583333333333336,4.903841483450687e-05,0.009415375648225319,0.04,1.4400000000000004,0.00020833333333333335,0.007500000000000002,4.800996913657842e-05,0.009217914074223057,0.04,1.4400000000000004,0.00020833333333333335,0.007500000000000002,4.800996913657842e-05,0.009217914074223057,0.002,2.0833333333333333e-05,0.002291666666666668,2.0833333333333333e-05,0.22000000000000008,0.001,0.11000000000000004,0.001,1.0416666666666666e-05,0.001145833333333334,1.0416666666666666e-05,0.002,0.018,0.00018749999999999998,0.008958333333333336,6.199697371242404e-05,0.8600000000000002,9.374999999999999e-05,0.004479166666666668,3.099848685621202e-05,0.005951709476392708,0.016,0.00016666666666666666,0.00666666666666667,5.8510799806999534e-05,0.6400000000000002,8.333333333333333e-05,0.003333333333333335,2.9255399903499767e-05,0.0056170367814719555,0.016,0.00016666666666666666,0.00666666666666667,5.8510799806999534e-05,0.6400000000000002,8.333333333333333e-05,0.003333333333333335,2.9255399903499767e-05,0.0056170367814719555,0.0,0.0,0.001875000000000001,0.0,0.1800000000000001,0.0,0.09000000000000005,0.0,0.0,0.0009375000000000005,0.0,0.0,0.024,0.00025,0.010208333333333335,7.136890341094989e-05,0.9800000000000003,0.000125,0.0051041666666666674,3.5684451705474944e-05,0.00685141472745119,0.024,0.00025,0.008333333333333335,7.136890341094989e-05,0.8000000000000002,0.000125,0.0041666666666666675,3.5684451705474944e-05,0.00685141472745119,0.024,0.00025,0.008333333333333335,7.136890341094989e-05,0.8000000000000002,0.000125,0.0041666666666666675,3.5684451705474944e-05,0.00685141472745119,0.30000000000000004,500
0.04,1.9800000000000009,0.01,0.4950000000000002,0.0029694503313813956,0.00020833333333333335,0.010312500000000002,6.186354857044574e-05,0.011877801325525583,0.198,5.580000000000002,0.00103125,0.029062500000000005,0.00015444712501718627,0.029653848003299763,0.158,3.6000000000000014,0.0008229166666666667,0.018750000000000006,0.00012183118121029961,0.023391586792377524,0.158,3.6000000000000014,0.0008229166666666667,0.018750000000000006,0.00012183118121029961,0.023391586792377524,0.022,0.00022916666666666666,0.012083333333333338,8.011378396510091e-05,1.1600000000000004,0.011,0.5800000000000002,0.0038454616303248436,0.00011458333333333333,0.006041666666666669,4.0056891982550455e-05,0.007690923260649687,0.09,0.0009375,0.028750000000000005,0.00018054244124478236,2.7600000000000007,0.00046875,0.014375000000000002,9.027122062239118e-05,0.017332074359499107,0.068,0.0007083333333333334,0.016666666666666673,0.00014700064830955366,1.6000000000000003,0.0003541666666666667,0.008333333333333337,7.350032415477683e-05,0.014112062237717151,0.068,0.0007083333333333334,0.016666666666666673,0.00014700064830955366,1.6000000000000003,0.0003541666666666667,0.008333333333333337,7.350032415477683e-05,0.014112062237717151,0.018,0.00018749999999999998,0.00854166666666667,7.472091434928708e-05,0.8200000000000003,0.009,0.41000000000000014,0.00358660388876578,9.374999999999999e-05,0.004270833333333335,3.736045717464354e-05,0.00717320777753156,0.108,0.001125,0.029375000000000005,0.00018903614408887103,2.8200000000000007,0.0005625,0.014687500000000003,9.451807204443551e-05,0.01814746983253162,0.09,0.0009375,0.020833333333333343,0.00016011624503418665,2.0000000000000004,0.00046875,0.010416666666666671,8.005812251709332e-05,0.015371159523281918,0.09,0.0009375,0.020833333333333343,0.00016011624503418665,2.0000000000000004,0.00046875,0.010416666666666671,8.005812251709332e-05,0.015371159523281918,0.35000000000000003,500
0.2,7.440000000000003,0.05,1.8600000000000008,0.006170587679031002,0.0010416666666666667,0.03875000000000002,0.00012855390997981256,0.02468235071612401,0.6,19.720000000000006,0.0031249999999999997,0.10270833333333336,0.0003086139473035428,0.05925387788228022,0.4,12.280000000000005,0.0020833333333333333,0.06395833333333334,0.00022070008646904966,0.042374416602057534,0.4,12.280000000000005,0.0020833333333333333,0.06395833333333334,0.00022070008646904966,0.042374416602057534,0.118,0.0012291666666666666,0.040208333333333346,0.00016946907069058457,3.8600000000000008,0.059,1.9300000000000004,0.00813451539314806,0.0006145833333333333,0.020104166666666673,8.473453534529229e-05,0.01626903078629612,0.294,0.0030624999999999997,0.1060416666666667,0.00034631910495383175,10.180000000000005,0.0015312499999999998,0.05302083333333335,0.00017315955247691587,0.03324663407556785,0.176,0.0018333333333333333,0.06583333333333335,0.00024186554597358973,6.320000000000001,0.0009166666666666666,0.03291666666666668,0.00012093277298679487,0.023219092413464613,0.176,0.0018333333333333333,0.06583333333333335,0.00024186554597358973,6.320000000000001,0.0009166666666666666,0.03291666666666668,0.00012093277298679487,0.023219092413464613,0.082,0.0008541666666666667,0.037291666666666674,0.00014088241704729657,3.5800000000000014,0.041,1.7900000000000007,0.006762356018270235,0.00042708333333333335,0.018645833333333337,7.044120852364828e-05,0.01352471203654047,0.306,0.0031875,0.09937500000000005,0.000341513837057598,9.540000000000004,0.00159375,0.04968750000000002,0.000170756918528799,0.032785328357529404,0.224,0.0023333333333333335,0.06208333333333336,0.00027103398096488816,5.960000000000003,0.0011666666666666668,0.03104166666666668,0.00013551699048244408,0.026019262172629263,0.224,0.0023333333333333335,0.06208333333333336,0.00027103398096488816,5.960000000000003,0.0011666666666666668,0.03104166666666668,0.00013551699048244408,0.026019262172629263,0.4,500
0.784,17.820000000000007,0.196,4.455000000000002,0.013436110230131058,0.004083333333333334,0.09281250000000002,0.0002799189631277304,0.05374444092052423,2.17,56.46000000000003,0.011302083333333332,0.29406250000000017,0.00079564641380868,0.15276411145126656,1.386,38.640000000000015,0.0072187499999999995,0.20125000000000007,0.0005684922834372119,0.10915051841994469,1.386,38.640000000000015,0.0072187499999999995,0.20125000000000007,0.0005684922834372119,0.10915051841994469,0.408,0.0042499999999999994,0.09625000000000003,0.00031816699743104465,9.240000000000004,0.204,4.620000000000002,0.015272015876690142,0.0021249999999999997,0.048125000000000015,0.00015908349871552232,0.030544031753380285,1.108,0.011541666666666667,0.2972916666666668,0.0008383719584032072,28.54000000000001,0.0057708333333333335,0.1486458333333334,0.0004191859792016036,0.0804837080067079,0.7,0.007291666666666666,0.20104166666666673,0.0006090711203988021,19.300000000000004,0.003645833333333333,0.10052083333333336,0.00030453556019940107,0.058470827558285005,0.7,0.007291666666666666,0.20104166666666673,0.0006090711203988021,19.300000000000004,0.003645833333333333,0.10052083333333336,0.00030453556019940107,0.058470827558285005,0.376,0.003916666666666666,0.08937500000000002,0.00030600435653979104,8.580000000000002,0.188,4.290000000000001,0.014688209113909969,0.001958333333333333,0.04468750000000001,0.00015300217826989552,0.029376418227819938,1.062,0.011062500000000001,0.29083333333333344,0.000806353392459849,27.92000000000001,0.005531250000000001,0.14541666666666672,0.0004031766962299245,0.0774099256761455,0.686,0.007145833333333334,0.20145833333333338,0.0005904729070905929,19.340000000000003,0.003572916666666667,0.10072916666666669,0.00029523645354529647,0.05668539908069692,0.686,0.007145833333333334,0.20145833333333338,0.0005904729070905929,19.340000000000003,0.003572916666666667,0.10072916666666669,0.00029523645354529647,0.05668539908069692,0.45,500
