exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.1,1000
0.0,0.05000000000000001,0.026423440317229666,0.0,0.012500000000000002,0.006605860079307416,0.0,0.0,0.0002604166666666667,0.00013762208498557118,0.0,0.0,0.0,0.0,0.00041666666666666675,0.00020802028532278393,0.0,0.04000000000000001,0.019969947390987258,0.0,0.020000000000000004,0.009984973695493629,0.0,0.0,0.00020833333333333337,0.00010401014266139197,0.0,0.0,0.0,0.0,0.00010416666666666669,0.0001041666666666667,0.0,0.010000000000000002,0.010000000000000004,0.0,0.005000000000000001,0.005000000000000002,0.0,0.0,5.2083333333333343e-05,5.208333333333335e-05,0.0,0.0,0.25,0.3,0.2,1000
0.005,0.3200000000000001,0.0700178727361986,0.00125,0.08000000000000003,0.01750446818404965,0.0006605860079307418,2.604166666666667e-05,0.0016666666666666672,0.00036467642050103436,1.376220849855712e-05,0.002642344031722967,0.004,4.1666666666666665e-05,0.0016666666666666672,0.0004390073458063021,2.08020285322784e-05,0.16000000000000006,0.042144705197405,0.002,0.08000000000000003,0.0210723525987025,0.0009984973695493632,2.0833333333333333e-05,0.0008333333333333336,0.00021950367290315105,1.04010142661392e-05,0.0019969947390987264,0.001,1.0416666666666666e-05,0.001666666666666667,0.00043900734580630215,1.041666666666667e-05,0.16000000000000003,0.04214470519740501,0.0005,0.08000000000000002,0.021072352598702503,0.0005000000000000001,5.208333333333333e-06,0.0008333333333333335,0.00021950367290315108,5.208333333333335e-06,0.0010000000000000002,0.3,0.35,0.25,1000
0.032,0.9142857142857141,0.1456918806360428,0.008,0.22857142857142854,0.0364229701590107,0.0017504468184049648,0.00016666666666666666,0.0047619047619047615,0.0007588118783127229,3.646764205010343e-05,0.007001787273619859,0.016,0.00016666666666666666,0.0047619047619047615,0.0009053321576405323,4.3900734580630214e-05,0.45714285714285713,0.0869118871334911,0.008,0.22857142857142856,0.04345594356674555,0.00210723525987025,8.333333333333333e-05,0.0023809523809523807,0.00045266607882026613,2.1950367290315107e-05,0.0042144705197405,0.016,0.00016666666666666666,0.0047619047619047615,0.0008805074866368785,4.3900734580630214e-05,0.45714285714285713,0.08452871871714034,0.008,0.22857142857142856,0.04226435935857017,0.00210723525987025,8.333333333333333e-05,0.0023809523809523807,0.00044025374331843923,2.1950367290315107e-05,0.0042144705197405,0.35,0.37,0.3,1000
0.069,2.7749999999999977,0.2902733774110769,0.01725,0.6937499999999994,0.07256834435276922,0.002719804190531891,0.00035937500000000005,0.014453124999999989,0.001511840507349359,5.6662587302747735e-05,0.010879216762127565,0.036,0.00037499999999999995,0.01770833333333332,0.002106663661285725,6.810520445920403e-05,1.6999999999999986,0.2022397114834296,0.018,0.8499999999999993,0.1011198557417148,0.0032690498140417936,0.00018749999999999998,0.00885416666666666,0.0010533318306428625,3.4052602229602014e-05,0.006538099628083587,0.033,0.00034375000000000003,0.011197916666666656,0.0017890871048124237,6.416949816952492e-05,1.074999999999999,0.17175236206199268,0.0165,0.5374999999999995,0.08587618103099634,0.003080135912137196,0.00017187500000000002,0.005598958333333328,0.0008945435524062118,3.208474908476246e-05,0.006160271824274392,0.37,0.39,0.35,1000
0.143,6.075000000000004,0.49392645033277843,0.03575,1.518750000000001,0.12348161258319461,0.003714597654623679,0.0007447916666666666,0.03164062500000002,0.002572533595483221,7.738745113799332e-05,0.014858390618494716,0.084,0.000875,0.03671875000000002,0.003245028606608319,9.828887205088733e-05,3.525000000000002,0.31152274623439863,0.042,1.762500000000001,0.15576137311719931,0.004717865858442592,0.0004375,0.01835937500000001,0.0016225143033041596,4.9144436025443665e-05,0.009435731716885184,0.059,0.0006145833333333333,0.026562500000000013,0.0028012858960522816,8.81366906342539e-05,2.550000000000001,0.26892344602101903,0.0295,1.2750000000000006,0.13446172301050952,0.004230561150444187,0.00030729166666666665,0.013281250000000007,0.0014006429480261408,4.406834531712695e-05,0.008461122300888375,0.39,0.41,0.37,1000
0.312,9.150000000000004,0.6044773716963219,0.078,2.287500000000001,0.15111934292408047,0.005869450608911404,0.001625,0.04765625000000002,0.0031483196442516764,0.0001222802210189876,0.023477802435645616,0.177,0.00184375,0.049218750000000026,0.003787164746068289,0.00014652694756132545,4.725000000000002,0.36356781562255575,0.0885,2.362500000000001,0.18178390781127787,0.007033293482943622,0.000921875,0.024609375000000013,0.0018935823730341446,7.326347378066273e-05,0.014066586965887244,0.135,0.0014062500000000002,0.04609375000000002,0.0036631736890331387,0.0001337801513668342,4.425000000000002,0.35166467414718133,0.0675,2.212500000000001,0.17583233707359067,0.006421447265608041,0.0007031250000000001,0.02304687500000001,0.0018315868445165694,6.68900756834171e-05,0.012842894531216082,0.41,0.43,0.39,1000
0.509,12.87499999999999,0.6903520558099036,0.12725,3.2187499999999973,0.1725880139524759,0.007700924732896806,0.0026510416666666666,0.06705729166666662,0.0035955836240099143,0.00016043593193535013,0.030803698931587225,0.273,0.0028437500000000004,0.07083333333333328,0.004390939313676481,0.0001842259825598717,6.7999999999999945,0.42153017411294214,0.1365,3.3999999999999972,0.21076508705647107,0.008842847162873842,0.0014218750000000002,0.03541666666666664,0.0021954696568382403,9.211299127993585e-05,0.017685694325747684,0.236,0.002458333333333333,0.06328124999999994,0.004184606636135853,0.00017572660063719676,6.074999999999995,0.40172223706904187,0.118,3.0374999999999974,0.20086111853452093,0.008434876830585445,0.0012291666666666666,0.03164062499999997,0.0020923033180679264,8.786330031859838e-05,0.01686975366117089,0.43,0.45,0.41,1000
