exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,1000
0.0,0.006666666666666667,0.006666666666666665,0.0,0.0016666666666666668,0.0016666666666666663,0.0,0.0,3.472222222222222e-05,3.4722222222222215e-05,0.0,0.0,0.0,0.0,6.944444444444444e-05,6.944444444444443e-05,0.0,0.006666666666666667,0.006666666666666665,0.0,0.0033333333333333335,0.0033333333333333327,0.0,0.0,3.472222222222222e-05,3.4722222222222215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.1,1000
0.001,0.06000000000000001,0.024433521993298415,0.00025,0.015000000000000003,0.006108380498324604,0.00025000000000000006,5.208333333333333e-06,0.00031250000000000006,0.00012725792704842924,5.208333333333335e-06,0.0010000000000000002,0.001,1.0416666666666666e-05,0.00020833333333333337,0.00014724016359977333,1.041666666666667e-05,0.020000000000000004,0.014135055705578239,0.0005,0.010000000000000002,0.007067527852789119,0.0005000000000000001,5.208333333333333e-06,0.00010416666666666669,7.362008179988666e-05,5.208333333333335e-06,0.0010000000000000002,0.0,0.0,0.00041666666666666675,0.00020802028532278399,0.0,0.04000000000000001,0.01996994739098726,0.0,0.020000000000000004,0.00998497369549363,0.0,0.0,0.00020833333333333337,0.00010401014266139199,0.0,0.0,0.25,0.3,0.2,1000
0.006,0.3000000000000001,0.060940247076244396,0.0015,0.07500000000000002,0.015235061769061099,0.0006108380498324603,3.125e-05,0.0015625000000000005,0.0003173971201887729,1.2725792704842921e-05,0.002443352199329841,0.002,2.0833333333333333e-05,0.0014583333333333338,0.000387211723776723,1.4724016359977327e-05,0.14000000000000004,0.03717232548256541,0.001,0.07000000000000002,0.018586162741282705,0.0007067527852789117,1.0416666666666666e-05,0.0007291666666666669,0.0001936058618883615,7.362008179988664e-06,0.0014135055705578234,0.004,4.1666666666666665e-05,0.0016666666666666672,0.00041352670732493733,2.0802028532278396e-05,0.16000000000000006,0.039698563903193984,0.002,0.08000000000000003,0.019849281951596992,0.000998497369549363,2.0833333333333333e-05,0.0008333333333333336,0.00020676335366246867,1.0401014266139198e-05,0.001996994739098726,0.3,0.35,0.25,1000
0.031,0.9714285714285713,0.1424819898933707,0.00775,0.24285714285714283,0.03562049747334267,0.0015426656531203767,0.00016145833333333333,0.005059523809523809,0.0007420936973613056,3.2138867773341184e-05,0.006170662612481507,0.015,0.00015625,0.0040178571428571425,0.0007631084894754916,4.005989140107263e-05,0.3857142857142857,0.07325841498964719,0.0075,0.19285714285714284,0.036629207494823596,0.0019228747872514862,7.8125e-05,0.0020089285714285712,0.0003815542447377458,2.0029945700536315e-05,0.0038457495745029724,0.016,0.00016666666666666666,0.006101190476190475,0.0011073505946937463,4.135267073249374e-05,0.5857142857142856,0.10630565709059964,0.008,0.2928571428571428,0.05315282854529982,0.0019849281951596996,8.333333333333333e-05,0.0030505952380952377,0.0005536752973468731,2.067633536624687e-05,0.003969856390319399,0.35,0.37,0.3,1000
0.074,2.5749999999999984,0.3147911505561557,0.0185,0.6437499999999996,0.07869778763903892,0.0026056744884078555,0.00038541666666666667,0.013411458333333326,0.0016395372424799777,5.4284885175163654e-05,0.010422697953631422,0.029,0.00030208333333333335,0.013541666666666658,0.002006313199319805,5.723405170153668e-05,1.2999999999999992,0.19260606713470127,0.0145,0.6499999999999996,0.09630303356735063,0.0027472344816737606,0.00015104166666666667,0.006770833333333329,0.0010031565996599025,2.861702585076834e-05,0.005494468963347521,0.045,0.00046875,0.01328124999999999,0.002024887529084748,8.003500891024113e-05,1.274999999999999,0.19438920279213584,0.0225,0.6374999999999995,0.09719460139606792,0.003841680427691574,0.000234375,0.006640624999999995,0.001012443764542374,4.0017504455120566e-05,0.007683360855383148,0.37,0.39,0.35,1000
0.134,4.700000000000003,0.42935340262346194,0.0335,1.1750000000000007,0.10733835065586549,0.0036764475062574017,0.0006979166666666667,0.02447916666666668,0.002236215638663864,7.659265638036254e-05,0.014705790025029607,0.067,0.0006979166666666667,0.02708333333333335,0.0028204615960381106,9.116076519808503e-05,2.600000000000002,0.2707643132196586,0.0335,1.300000000000001,0.1353821566098293,0.0043757167295080815,0.00034895833333333334,0.013541666666666676,0.0014102307980190553,4.5580382599042516e-05,0.008751433459016163,0.067,0.0006979166666666667,0.02187500000000001,0.0025118674090521664,9.580819167240337e-05,2.100000000000001,0.24113927126900797,0.0335,1.0500000000000005,0.12056963563450399,0.004598793200275362,0.00034895833333333334,0.010937500000000005,0.0012559337045260832,4.790409583620169e-05,0.009197586400550723,0.39,0.41,0.37,1000
0.262,8.625000000000005,0.5758176281957172,0.0655,2.1562500000000013,0.1439544070489293,0.00533743742241895,0.0013645833333333333,0.04492187500000003,0.002999050146852694,0.00011119661296706146,0.0213497496896758,0.133,0.0013854166666666667,0.04765625000000003,0.0037351114735769872,0.00012988145071506923,4.575000000000003,0.35857070146339076,0.0665,2.2875000000000014,0.17928535073169538,0.006234309634323323,0.0006927083333333334,0.023828125000000016,0.0018675557367884936,6.494072535753461e-05,0.012468619268646647,0.129,0.0013437500000000001,0.04218750000000002,0.003512613852618218,0.00013114972919051155,4.050000000000002,0.33721092985134893,0.0645,2.025000000000001,0.16860546492567446,0.006295187001144555,0.0006718750000000001,0.02109375000000001,0.001756306926309109,6.557486459525577e-05,0.01259037400228911,0.41,0.43,0.39,1000
0.479,13.349999999999989,0.7218369265620509,0.11975,3.3374999999999972,0.18045923164051272,0.0073161440297101485,0.0024947916666666664,0.06953124999999995,0.003759567325844015,0.00015241966728562809,0.029264576118840594,0.25,0.0026041666666666665,0.07317708333333327,0.004482914911650468,0.00017732513815386683,7.024999999999994,0.4303598315184449,0.125,3.512499999999997,0.21517991575922246,0.008511606631385608,0.0013020833333333333,0.036588541666666634,0.002241457455825234,8.866256907693342e-05,0.017023213262771217,0.229,0.0023854166666666668,0.06588541666666661,0.004336295407746705,0.0001745653828778437,6.324999999999995,0.41628435914368367,0.1145,3.1624999999999974,0.20814217957184183,0.008379138378136497,0.0011927083333333334,0.032942708333333307,0.0021681477038733524,8.728269143892185e-05,0.016758276756272995,0.43,0.45,0.41,1000
