exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0002083333333333332,0.0,0.01999999999999999,0.0,0.0001041666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.002,0.04,1.0416666666666666e-05,0.00020833333333333332,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,2.0833333333333333e-05,-2.3129646346357423e-19,2.0833333333333333e-05,-2.220446049250313e-17,1.0416666666666666e-05,-1.1564823173178711e-19,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,-2.3129646346357423e-19,2.0833333333333333e-05,-2.220446049250313e-17,1.0416666666666666e-05,-1.1564823173178711e-19,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,-2.3129646346357423e-19,2.0833333333333333e-05,-2.220446049250313e-17,1.0416666666666666e-05,-1.1564823173178711e-19,1.0416666666666666e-05,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041666666666666686,0.0,0.04000000000000002,0.0,0.00020833333333333343,0.0,0.0,0.0,0.0,0.00041666666666666686,0.0,0.04000000000000002,0.0,0.00020833333333333343,0.0,0.0,0.0,0.0,0.00041666666666666686,0.0,0.04000000000000002,0.0,0.00020833333333333343,0.0,0.0,0.15000000000000002,500
0.0,0.040000000000000015,0.0,0.005000000000000002,0.0,0.0,0.0002083333333333334,0.0,0.0,0.004,0.08000000000000003,2.0833333333333333e-05,0.00041666666666666686,1.4716622958952413e-05,0.002825591608118863,0.004,0.04000000000000002,2.0833333333333333e-05,0.00020833333333333343,1.4716622958952413e-05,0.002825591608118863,0.004,0.04000000000000002,2.0833333333333333e-05,0.00020833333333333343,1.4716622958952413e-05,0.002825591608118863,0.0,0.0,0.0002083333333333334,0.0,0.020000000000000007,0.0,0.005000000000000002,0.0,0.0,0.0001041666666666667,0.0,0.0,0.0,0.0,0.0002083333333333334,0.0,0.020000000000000007,0.0,0.0001041666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002083333333333334,0.0,0.020000000000000007,0.0,0.005000000000000002,0.0,0.0,0.0001041666666666667,0.0,0.0,0.004,4.1666666666666665e-05,0.0006250000000000002,2.9433245917904825e-05,0.060000000000000026,2.0833333333333333e-05,0.0003125000000000001,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.0004166666666666668,2.9433245917904825e-05,0.040000000000000015,2.0833333333333333e-05,0.0002083333333333334,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.0004166666666666668,2.9433245917904825e-05,0.040000000000000015,2.0833333333333333e-05,0.0002083333333333334,1.4716622958952413e-05,0.002825591608118863,0.2,500
0.004,0.13999999999999987,0.0005,0.017499999999999984,0.0003531989510148579,2.0833333333333333e-05,0.0007291666666666662,1.4716622958952413e-05,0.002825591608118863,0.01,0.4599999999999995,5.208333333333334e-05,0.0023958333333333305,2.748880741237783e-05,0.005277851023176543,0.006,0.3199999999999996,3.125e-05,0.0016666666666666644,2.3273696033857085e-05,0.00446854963850056,0.006,0.3199999999999996,3.125e-05,0.0016666666666666644,2.3273696033857085e-05,0.00446854963850056,0.002,2.0833333333333333e-05,0.00041666666666666653,2.0833333333333333e-05,0.03999999999999999,0.0005,0.009999999999999997,0.0005,1.0416666666666666e-05,0.00020833333333333327,1.0416666666666666e-05,0.002,0.004,4.1666666666666665e-05,0.002291666666666664,2.9433245917904825e-05,0.21999999999999975,2.0833333333333333e-05,0.001145833333333332,1.4716622958952413e-05,0.002825591608118863,0.002,2.0833333333333333e-05,0.0018749999999999975,2.0833333333333333e-05,0.1799999999999998,1.0416666666666666e-05,0.0009374999999999988,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.0018749999999999975,2.0833333333333333e-05,0.1799999999999998,1.0416666666666666e-05,0.0009374999999999988,1.0416666666666666e-05,0.002,0.002,2.0833333333333333e-05,0.0010416666666666658,2.0833333333333333e-05,0.09999999999999991,0.0005,0.024999999999999977,0.0005,1.0416666666666666e-05,0.0005208333333333329,1.0416666666666666e-05,0.002,0.006,6.25e-05,0.0024999999999999974,3.601200580998301e-05,0.23999999999999969,3.125e-05,0.0012499999999999987,1.8006002904991504e-05,0.003457152557758369,0.004,4.1666666666666665e-05,0.001458333333333331,2.9433245917904825e-05,0.1399999999999998,2.0833333333333333e-05,0.0007291666666666655,1.4716622958952413e-05,0.002825591608118863,0.004,4.1666666666666665e-05,0.001458333333333331,2.9433245917904825e-05,0.1399999999999998,2.0833333333333333e-05,0.0007291666666666655,1.4716622958952413e-05,0.002825591608118863,0.25,500
0.014,0.9600000000000004,0.00175,0.12000000000000005,0.0006574492215813444,7.291666666666667e-05,0.005000000000000003,2.7393717565889347e-05,0.005259593772650755,0.05,2.1000000000000005,0.00026041666666666666,0.010937500000000003,6.057597107387619e-05,0.011630586446184229,0.036,1.1400000000000001,0.00018749999999999998,0.005937500000000001,4.818177294648164e-05,0.009250900405724474,0.036,1.1400000000000001,0.00018749999999999998,0.005937500000000001,4.818177294648164e-05,0.009250900405724474,0.004,4.1666666666666665e-05,0.003958333333333336,2.9433245917904825e-05,0.3800000000000002,0.001,0.09500000000000006,0.0007063979020297158,2.0833333333333333e-05,0.001979166666666668,1.4716622958952413e-05,0.002825591608118863,0.022,0.00022916666666666666,0.010000000000000004,7.448773882565913e-05,0.9600000000000002,0.00011458333333333333,0.005000000000000002,3.724386941282957e-05,0.007150822927263277,0.018,0.00018749999999999998,0.006041666666666667,6.199697371242404e-05,0.5800000000000001,9.374999999999999e-05,0.0030208333333333337,3.099848685621202e-05,0.005951709476392708,0.018,0.00018749999999999998,0.006041666666666667,6.199697371242404e-05,0.5800000000000001,9.374999999999999e-05,0.0030208333333333337,3.099848685621202e-05,0.005951709476392708,0.01,0.00010416666666666667,0.006041666666666669,4.63976614278343e-05,0.5800000000000002,0.0025,0.14500000000000005,0.0011135438742680233,5.208333333333334e-05,0.0030208333333333346,2.319883071391715e-05,0.004454175497072093,0.028,0.0002916666666666667,0.011875000000000004,7.692909834610496e-05,1.1400000000000003,0.00014583333333333335,0.005937500000000002,3.846454917305248e-05,0.0073851934412260765,0.018,0.00018749999999999998,0.0058333333333333345,6.199697371242404e-05,0.56,9.374999999999999e-05,0.0029166666666666672,3.099848685621202e-05,0.005951709476392708,0.018,0.00018749999999999998,0.0058333333333333345,6.199697371242404e-05,0.56,9.374999999999999e-05,0.0029166666666666672,3.099848685621202e-05,0.005951709476392708,0.30000000000000004,500
0.1,4.700000000000002,0.0125,0.5875000000000002,0.0022242739915709926,0.0005208333333333333,0.024479166666666677,9.26780829821247e-05,0.01779419193256794,0.22,8.340000000000003,0.0011458333333333333,0.043437500000000025,0.00014440685102060712,0.027726115395956565,0.12,3.6400000000000015,0.000625,0.018958333333333337,8.773646357557478e-05,0.016845401006510358,0.12,3.6400000000000015,0.000625,0.018958333333333337,8.773646357557478e-05,0.016845401006510358,0.04,0.0004166666666666667,0.023958333333333342,0.00010876219004563396,2.3000000000000007,0.01,0.5750000000000002,0.002610292561095215,0.00020833333333333335,0.011979166666666671,5.438109502281698e-05,0.01044117024438086,0.1,0.0010416666666666667,0.04187500000000002,0.00016813191915884273,4.020000000000001,0.0005208333333333333,0.02093750000000001,8.406595957942136e-05,0.0161406642392489,0.06,0.000625,0.017916666666666674,0.00011833723779157906,1.7200000000000006,0.0003125,0.008958333333333337,5.916861889578953e-05,0.01136037482799159,0.06,0.000625,0.017916666666666674,0.00011833723779157906,1.7200000000000006,0.0003125,0.008958333333333337,5.916861889578953e-05,0.01136037482799159,0.06,0.000625,0.02500000000000001,0.00011833723779157906,2.400000000000001,0.015,0.6000000000000002,0.0028400937069978974,0.0003125,0.012500000000000004,5.916861889578953e-05,0.01136037482799159,0.12,0.00125,0.045000000000000026,0.00017547292715114956,4.320000000000001,0.000625,0.022500000000000013,8.773646357557478e-05,0.016845401006510358,0.06,0.000625,0.020000000000000004,0.00011074344927103465,1.9200000000000004,0.0003125,0.010000000000000002,5.5371724635517324e-05,0.010631371130019326,0.06,0.000625,0.020000000000000004,0.00011074344927103465,1.9200000000000004,0.0003125,0.010000000000000002,5.5371724635517324e-05,0.010631371130019326,0.35000000000000003,500
0.484,15.040000000000006,0.0605,1.8800000000000008,0.006501078991683782,0.0025208333333333333,0.07833333333333338,0.0002708782913201576,0.05200863193347026,0.884,24.52000000000001,0.004604166666666667,0.12770833333333337,0.0004320987806189979,0.08296296587884759,0.4,9.480000000000004,0.0020833333333333333,0.04937500000000003,0.00021521289811804047,0.04132087643866377,0.4,9.480000000000004,0.0020833333333333333,0.04937500000000003,0.00021521289811804047,0.04132087643866377,0.234,0.0024375,0.07666666666666669,0.0003104559065414598,7.360000000000003,0.0585,1.8400000000000007,0.007450941756995035,0.00121875,0.038333333333333344,0.0001552279532707299,0.02980376702798014,0.424,0.004416666666666667,0.12500000000000006,0.0004578966462831484,12.000000000000005,0.0022083333333333334,0.06250000000000003,0.0002289483231415742,0.04395807804318225,0.19,0.001979166666666667,0.04833333333333335,0.0002458231432508699,4.6400000000000015,0.0009895833333333334,0.024166666666666677,0.00012291157162543494,0.023599021752083508,0.19,0.001979166666666667,0.04833333333333335,0.0002458231432508699,4.6400000000000015,0.0009895833333333334,0.024166666666666677,0.00012291157162543494,0.023599021752083508,0.25,0.0026041666666666665,0.08000000000000002,0.00028726610392153446,7.680000000000002,0.0625,1.9200000000000006,0.006894386494116827,0.0013020833333333333,0.04000000000000001,0.00014363305196076723,0.027577545976467308,0.46,0.004791666666666667,0.1304166666666667,0.0004626624962032348,12.520000000000005,0.0023958333333333336,0.06520833333333335,0.0002313312481016174,0.04441559963551054,0.21,0.0021874999999999998,0.05041666666666669,0.0002579100303956177,4.840000000000002,0.0010937499999999999,0.025208333333333346,0.00012895501519780885,0.0247593629179793,0.21,0.0021874999999999998,0.05041666666666669,0.0002579100303956177,4.840000000000002,0.0010937499999999999,0.025208333333333346,0.00012895501519780885,0.0247593629179793,0.4,500
1.604,34.10000000000001,0.2005,4.262500000000001,0.012390785412000827,0.008354166666666668,0.17760416666666676,0.0005162827255000345,0.09912628329600662,2.672,63.46000000000002,0.013916666666666667,0.33052083333333343,0.0009141544186003465,0.17551764837126652,1.068,29.360000000000014,0.005562500000000001,0.1529166666666667,0.0004736805100676008,0.09094665793297936,1.068,29.360000000000014,0.005562500000000001,0.1529166666666667,0.0004736805100676008,0.09094665793297936,0.776,0.008083333333333333,0.17812500000000006,0.0005353122729493989,17.100000000000005,0.194,4.275000000000001,0.012847494550785573,0.0040416666666666665,0.08906250000000003,0.00026765613647469945,0.05138997820314229,1.3,0.013541666666666667,0.3304166666666668,0.0009281875306002021,31.720000000000013,0.0067708333333333336,0.1652083333333334,0.00046409376530010107,0.0891060029376194,0.524,0.005458333333333333,0.15229166666666671,0.0004981980164938313,14.620000000000006,0.0027291666666666666,0.07614583333333336,0.00024909900824691565,0.047827009583407805,0.524,0.005458333333333333,0.15229166666666671,0.0004981980164938313,14.620000000000006,0.0027291666666666666,0.07614583333333336,0.00024909900824691565,0.047827009583407805,0.828,0.008624999999999999,0.1770833333333334,0.0005615970077064125,17.000000000000007,0.207,4.250000000000002,0.013478328184953899,0.0043124999999999995,0.0885416666666667,0.00028079850385320625,0.053913312739815596,1.372,0.014291666666666668,0.33062500000000017,0.0009466997398655973,31.74000000000001,0.007145833333333334,0.16531250000000008,0.0004733498699327987,0.09088317502709735,0.544,0.005666666666666667,0.15354166666666672,0.0005091295220126349,14.740000000000006,0.0028333333333333335,0.07677083333333336,0.00025456476100631746,0.04887643411321295,0.544,0.005666666666666667,0.15354166666666672,0.0005091295220126349,14.740000000000006,0.0028333333333333335,0.07677083333333336,0.00025456476100631746,0.04887643411321295,0.45,500
