exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.016,0.0,0.004,0.0,0.0,0.0004,0.0,0.0,0.0,0.016,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.008,0.0,0.004,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0004,0.0,0.008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.008,0.0,0.004,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0004,0.0,0.008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0004,0.0,0.0001,0.0,9.999999999999999e-05,1e-05,0.0,9.999999999999999e-06,0.00039999999999999996,0.0004,0.0,1e-05,0.0,9.999999999999999e-06,0.00039999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,1e-05,0.0,9.999999999999999e-06,0.0,0.0001,0.0,9.999999999999999e-05,5e-06,0.0,4.9999999999999996e-06,0.00019999999999999998,0.0002,1e-05,0.0,9.999999999999999e-06,0.0,5e-06,0.0,4.9999999999999996e-06,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,1e-05,0.0,9.999999999999999e-06,0.0,0.0001,0.0,9.999999999999999e-05,5e-06,0.0,4.9999999999999996e-06,0.00019999999999999998,0.0002,1e-05,0.0,9.999999999999999e-06,0.0,5e-06,0.0,4.9999999999999996e-06,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.003999999999999991,0.0,0.0009999999999999979,0.0,0.0,9.999999999999975e-05,0.0,0.0,0.0,0.011999999999999988,0.0,0.0002999999999999997,0.0,0.0,0.0,0.007999999999999997,0.0,0.0001999999999999999,0.0,0.0,0.0,0.007999999999999997,0.0,0.0001999999999999999,0.0,0.0,0.0,0.0,0.00019999999999999974,0.0,0.003999999999999996,0.0,0.001999999999999998,0.0,0.0,9.999999999999987e-05,0.0,0.0,0.0,0.0,0.0005999999999999995,0.0,0.011999999999999993,0.0,0.00029999999999999976,0.0,0.0,0.0,0.0,0.0003999999999999998,0.0,0.007999999999999997,0.0,0.0001999999999999999,0.0,0.0,0.0,0.0,0.0003999999999999998,0.0,0.007999999999999997,0.0,0.0001999999999999999,0.0,0.0,0.0,0.0,-1.6263032587282567e-19,0.0,-2.6020852139652106e-18,0.0,-1.3010426069826053e-18,0.0,0.0,-8.131516293641283e-20,0.0,0.0,0.0,0.0,-1.6263032587282567e-19,0.0,-2.6020852139652106e-18,0.0,-8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0006,0.08000000000000003,0.00015,0.020000000000000007,8.658521467248306e-05,1.4999999999999999e-05,0.002000000000000001,8.658521467248306e-06,0.00034634085868993225,0.001,0.09600000000000002,2.5e-05,0.0024000000000000007,1.1175865961794602e-05,0.0004470346384717841,0.0004,0.016,1e-05,0.0004,7.07036052826162e-06,0.0002828144211304648,0.0004,0.016,1e-05,0.0004,7.07036052826162e-06,0.0002828144211304648,0.0004,2e-05,0.0018000000000000004,1.414072105652324e-05,0.03600000000000001,0.0002,0.018000000000000006,0.0001414072105652324,1e-05,0.0009000000000000002,7.07036052826162e-06,0.0002828144211304648,0.0008,4e-05,0.0020000000000000005,1.999399789912958e-05,0.04,2e-05,0.0010000000000000002,9.99699894956479e-06,0.0003998799579825916,0.0004,2e-05,0.00019999999999999968,1.414072105652324e-05,0.003999999999999994,1e-05,9.999999999999984e-05,7.07036052826162e-06,0.0002828144211304648,0.0004,2e-05,0.00019999999999999968,1.414072105652324e-05,0.003999999999999994,1e-05,9.999999999999984e-05,7.07036052826162e-06,0.0002828144211304648,0.0002,1e-05,0.002200000000000001,1e-05,0.04400000000000002,0.0001,0.02200000000000001,0.0001,5e-06,0.0011000000000000005,5e-06,0.0002,0.0002,1e-05,0.002800000000000001,1e-05,0.05600000000000002,5e-06,0.0014000000000000004,5e-06,0.0002,0.0,0.0,0.0006000000000000003,0.0,0.012000000000000005,0.0,0.00030000000000000014,0.0,0.0,0.0,0.0,0.0006000000000000003,0.0,0.012000000000000005,0.0,0.00030000000000000014,0.0,0.0,0.07500000000000001,5000
0.004,0.1920000000000001,0.001,0.04800000000000002,0.00025458390089029293,0.0001,0.004800000000000002,2.5458390089029295e-05,0.0010183356035611717,0.0048,0.2800000000000001,0.00011999999999999999,0.007000000000000003,2.7336229694139933e-05,0.0010934491877655974,0.0008,0.08800000000000002,2e-05,0.0022000000000000006,9.99699894956479e-06,0.0003998799579825916,0.0008,0.08800000000000002,2e-05,0.0022000000000000006,9.99699894956479e-06,0.0003998799579825916,0.0018,8.999999999999999e-05,0.004600000000000002,2.9975985587506346e-05,0.09200000000000003,0.0009,0.04600000000000001,0.00029975985587506345,4.4999999999999996e-05,0.002300000000000001,1.4987992793753173e-05,0.0005995197117501269,0.002,0.0001,0.006200000000000002,3.159429758560848e-05,0.12400000000000003,5e-05,0.003100000000000001,1.579714879280424e-05,0.0006318859517121696,0.0002,1e-05,0.0016000000000000007,9.999999999999999e-06,0.032000000000000015,5e-06,0.0008000000000000004,4.9999999999999996e-06,0.00019999999999999998,0.0002,1e-05,0.0016000000000000007,9.999999999999999e-06,0.032000000000000015,5e-06,0.0008000000000000004,4.9999999999999996e-06,0.00019999999999999998,0.0022,0.00011,0.005000000000000001,3.31330584147009e-05,0.10000000000000003,0.0011,0.05000000000000002,0.000331330584147009,5.5e-05,0.0025000000000000005,1.656652920735045e-05,0.000662661168294018,0.0028,0.00014,0.007800000000000003,3.736789092060684e-05,0.15600000000000006,7e-05,0.0039000000000000016,1.868394546030342e-05,0.0007473578184121367,0.0006,2.9999999999999997e-05,0.002800000000000001,1.7317042934496616e-05,0.05600000000000002,1.4999999999999999e-05,0.0014000000000000004,8.658521467248308e-06,0.0003463408586899323,0.0006,2.9999999999999997e-05,0.002800000000000001,1.7317042934496616e-05,0.05600000000000002,1.4999999999999999e-05,0.0014000000000000004,8.658521467248308e-06,0.0003463408586899323,0.1,5000
0.0102,0.33199999999999985,0.00255,0.08299999999999996,0.00045961043107143457,0.000255,0.008299999999999997,4.5961043107143454e-05,0.0018384417242857383,0.015,0.5359999999999997,0.000375,0.013399999999999995,5.429055620362145e-05,0.002171622248144858,0.0048,0.20399999999999988,0.00011999999999999999,0.005099999999999996,2.544109765497507e-05,0.0010176439061990027,0.0048,0.20399999999999988,0.00011999999999999999,0.005099999999999996,2.544109765497507e-05,0.0010176439061990027,0.005,0.00025,0.008599999999999993,4.987983159073318e-05,0.17199999999999988,0.0025,0.08599999999999994,0.0004987983159073318,0.000125,0.0042999999999999965,2.493991579536659e-05,0.0009975966318146636,0.007,0.00035,0.013799999999999995,6.063196555489034e-05,0.27599999999999986,0.000175,0.006899999999999997,3.031598277744517e-05,0.0012126393110978068,0.002,0.0001,0.005199999999999997,3.159429758560848e-05,0.10399999999999993,5e-05,0.0025999999999999986,1.579714879280424e-05,0.0006318859517121696,0.002,0.0001,0.005199999999999997,3.159429758560848e-05,0.10399999999999993,5e-05,0.0025999999999999986,1.579714879280424e-05,0.0006318859517121696,0.0052,0.00026,0.007999999999999997,5.2792399144966846e-05,0.15999999999999992,0.0026,0.07999999999999996,0.0005279239914496685,0.00013,0.003999999999999998,2.6396199572483423e-05,0.001055847982899337,0.008,0.0004,0.012999999999999998,6.609745664361791e-05,0.2599999999999999,0.0002,0.006499999999999999,3.3048728321808956e-05,0.0013219491328723583,0.0028,0.00014,0.0049999999999999975,3.736789092060684e-05,0.09999999999999995,7e-05,0.0024999999999999988,1.868394546030342e-05,0.0007473578184121367,0.0028,0.00014,0.0049999999999999975,3.736789092060684e-05,0.09999999999999995,7e-05,0.0024999999999999988,1.868394546030342e-05,0.0007473578184121367,0.125,5000
0.0206,0.568,0.00515,0.142,0.0005892919081326317,0.000515,0.014199999999999999,5.892919081326317e-05,0.002357167632530527,0.0316,0.8799999999999999,0.0007900000000000001,0.021999999999999995,7.567248684332378e-05,0.0030268994737329513,0.011,0.31199999999999994,0.00027499999999999996,0.0078,4.0745638311459574e-05,0.0016298255324583828,0.011,0.31199999999999994,0.00027499999999999996,0.0078,4.0745638311459574e-05,0.0016298255324583828,0.0104,0.00052,0.014399999999999998,7.312311124316016e-05,0.288,0.0052,0.144,0.0007312311124316016,0.00026,0.007199999999999999,3.656155562158008e-05,0.0014624622248632032,0.0158,0.0007900000000000001,0.0242,9.261152940684986e-05,0.484,0.00039500000000000006,0.0121,4.630576470342493e-05,0.001852230588136997,0.0054,0.00027,0.0098,5.1826221080050664e-05,0.19599999999999995,0.000135,0.0049,2.5913110540025332e-05,0.0010365244216010133,0.0054,0.00027,0.0098,5.1826221080050664e-05,0.19599999999999995,0.000135,0.0049,2.5913110540025332e-05,0.0010365244216010133,0.0102,0.00051,0.013999999999999999,7.245018844669205e-05,0.2799999999999999,0.0051,0.13999999999999996,0.0007245018844669205,0.000255,0.006999999999999999,3.6225094223346024e-05,0.001449003768933841,0.0158,0.0007900000000000001,0.019799999999999995,9.15251625023098e-05,0.3959999999999999,0.00039500000000000006,0.009899999999999997,4.57625812511549e-05,0.001830503250046196,0.0056,0.00028,0.005799999999999997,5.463439377714994e-05,0.11599999999999996,0.00014,0.0028999999999999985,2.731719688857497e-05,0.0010926878755429987,0.0056,0.00028,0.005799999999999997,5.463439377714994e-05,0.11599999999999996,0.00014,0.0028999999999999985,2.731719688857497e-05,0.0010926878755429987,0.15000000000000002,5000
0.0386,0.8600000000000003,0.00965,0.21500000000000008,0.000847950059768128,0.000965,0.021500000000000012,8.47950059768128e-05,0.003391800239072512,0.059,1.3680000000000005,0.001475,0.03420000000000001,0.00010602888014444431,0.004241155205777772,0.0204,0.5080000000000002,0.00051,0.012700000000000006,5.2426421830420464e-05,0.0020970568732168187,0.0204,0.5080000000000002,0.00051,0.012700000000000006,5.2426421830420464e-05,0.0020970568732168187,0.0194,0.00097,0.021,0.00010253742138632564,0.42000000000000015,0.0097,0.21000000000000008,0.0010253742138632564,0.000485,0.0105,5.126871069316282e-05,0.002050748427726513,0.0312,0.00156,0.033400000000000006,0.0001331045580161436,0.6680000000000001,0.00078,0.016700000000000003,6.65522790080718e-05,0.002662091160322872,0.0118,0.00059,0.012400000000000005,7.636456186780521e-05,0.2480000000000001,0.000295,0.006200000000000002,3.818228093390261e-05,0.0015272912373561042,0.0118,0.00059,0.012400000000000005,7.636456186780521e-05,0.2480000000000001,0.000295,0.006200000000000002,3.818228093390261e-05,0.0015272912373561042,0.0192,0.0009599999999999999,0.022000000000000002,0.00010008837862962583,0.44000000000000017,0.0096,0.22000000000000008,0.0010008837862962583,0.00047999999999999996,0.011000000000000001,5.0044189314812915e-05,0.0020017675725925166,0.0278,0.00139,0.035,0.00012213338328508929,0.7000000000000001,0.000695,0.0175,6.106669164254464e-05,0.0024426676657017857,0.0086,0.00043,0.013000000000000005,6.5298336690569e-05,0.26000000000000006,0.000215,0.006500000000000002,3.26491683452845e-05,0.0013059667338113801,0.0086,0.00043,0.013000000000000005,6.5298336690569e-05,0.26000000000000006,0.000215,0.006500000000000002,3.26491683452845e-05,0.0013059667338113801,0.17500000000000002,5000
0.0636,1.2560000000000007,0.0159,0.31400000000000017,0.0010414676812010044,0.00159,0.03140000000000001,0.00010414676812010043,0.0041658707248040175,0.1,1.9200000000000006,0.0025,0.048000000000000015,0.00014108146864900165,0.005643258745960065,0.0364,0.6640000000000004,0.00091,0.016600000000000007,7.67173846753282e-05,0.0030686953870131283,0.0364,0.6640000000000004,0.00091,0.016600000000000007,7.67173846753282e-05,0.0030686953870131283,0.0314,0.0015699999999999998,0.03040000000000001,0.0001288811160271887,0.6080000000000002,0.0157,0.3040000000000001,0.001288811160271887,0.0007849999999999999,0.015200000000000005,6.444055801359436e-05,0.002577622320543774,0.0492,0.00246,0.047400000000000025,0.00016791461837437728,0.9480000000000005,0.00123,0.023700000000000013,8.395730918718864e-05,0.0033582923674875457,0.0178,0.00089,0.017,9.666151607407131e-05,0.3400000000000001,0.000445,0.0085,4.8330758037035655e-05,0.0019332303214814263,0.0178,0.00089,0.017,9.666151607407131e-05,0.3400000000000001,0.000445,0.0085,4.8330758037035655e-05,0.0019332303214814263,0.0322,0.0016099999999999999,0.03240000000000001,0.00012721956203113057,0.6480000000000004,0.0161,0.3240000000000002,0.0012721956203113056,0.0008049999999999999,0.016200000000000006,6.360978101556528e-05,0.0025443912406226113,0.0508,0.0025399999999999997,0.04860000000000002,0.0001658770117786287,0.9720000000000003,0.0012699999999999999,0.02430000000000001,8.293850588931435e-05,0.003317540235572574,0.0186,0.0009299999999999999,0.016200000000000006,9.761621681440552e-05,0.32400000000000007,0.00046499999999999997,0.008100000000000003,4.880810840720276e-05,0.0019523243362881105,0.0186,0.0009299999999999999,0.016200000000000006,9.761621681440552e-05,0.32400000000000007,0.00046499999999999997,0.008100000000000003,4.880810840720276e-05,0.0019523243362881105,0.2,5000
0.1014,1.9360000000000006,0.02535,0.48400000000000015,0.0013488288875441448,0.002535,0.048400000000000006,0.00013488288875441448,0.005395315550176579,0.155,2.952000000000001,0.003875,0.07380000000000002,0.00018675880372864365,0.007470352149145746,0.0536,1.0160000000000005,0.00134,0.025400000000000006,9.350202417972108e-05,0.003740080967188843,0.0536,1.0160000000000005,0.00134,0.025400000000000006,9.350202417972108e-05,0.003740080967188843,0.0498,0.00249,0.04720000000000003,0.0001614471834334923,0.9440000000000005,0.0249,0.47200000000000025,0.0016144718343349231,0.001245,0.023600000000000013,8.072359171674615e-05,0.0032289436686698462,0.0786,0.00393,0.07340000000000002,0.0002154537167486608,1.4680000000000004,0.001965,0.03670000000000001,0.0001077268583743304,0.004309074334973216,0.0288,0.0014399999999999999,0.026200000000000005,0.00012160689802609678,0.524,0.0007199999999999999,0.013100000000000002,6.080344901304839e-05,0.0024321379605219354,0.0288,0.0014399999999999999,0.026200000000000005,0.00012160689802609678,0.524,0.0007199999999999999,0.013100000000000002,6.080344901304839e-05,0.0024321379605219354,0.0516,0.00258,0.04960000000000002,0.00016332193609849903,0.9920000000000003,0.0258,0.49600000000000016,0.0016332193609849902,0.00129,0.02480000000000001,8.166096804924951e-05,0.0032664387219699803,0.0764,0.0038199999999999996,0.07420000000000004,0.00021328529748584337,1.4840000000000007,0.0019099999999999998,0.03710000000000002,0.00010664264874292169,0.0042657059497168675,0.0248,0.00124,0.02460000000000001,0.00011530454903344258,0.4920000000000002,0.00062,0.012300000000000005,5.765227451672129e-05,0.0023060909806688515,0.0248,0.00124,0.02460000000000001,0.00011530454903344258,0.4920000000000002,0.00062,0.012300000000000005,5.765227451672129e-05,0.0023060909806688515,0.225,5000
