exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,5000
0.0,0.040000000000000015,0.0,0.005000000000000002,0.0,0.0,0.0005882352941176473,0.0,0.0,0.0,0.04400000000000002,0.0,0.000647058823529412,0.0,0.0,0.0,0.004000000000000002,0.0,5.882352941176473e-05,0.0,0.0,0.0,0.004000000000000002,0.0,5.882352941176473e-05,0.0,0.0,0.0,0.0,0.0002352941176470589,0.0,0.008000000000000004,0.0,0.002000000000000001,0.0,0.0,0.00011764705882352946,0.0,0.0,0.0,0.0,0.0002352941176470589,0.0,0.008000000000000004,0.0,0.00011764705882352946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009411764705882356,0.0,0.032000000000000015,0.0,0.008000000000000004,0.0,0.0,0.0004705882352941178,0.0,0.0,0.0,0.0,0.001058823529411765,0.0,0.03600000000000001,0.0,0.0005294117647058825,0.0,0.0,0.0,0.0,0.00011764705882352946,0.0,0.004000000000000002,0.0,5.882352941176473e-05,0.0,0.0,0.0,0.0,0.00011764705882352946,0.0,0.004000000000000002,0.0,5.882352941176473e-05,0.0,0.0,0.1,5000
0.002,0.15599999999999986,0.00025,0.019499999999999983,7.89857439640212e-05,2.9411764705882354e-05,0.0022941176470588215,9.292440466355435e-06,0.0006318859517121696,0.0022,0.1639999999999999,3.235294117647059e-05,0.002411764705882351,9.745017180794382e-06,0.000662661168294018,0.0002,0.007999999999999998,2.9411764705882355e-06,0.00011764705882352939,2.941176470588235e-06,0.00019999999999999998,0.0002,0.007999999999999998,2.9411764705882355e-06,0.00011764705882352939,2.941176470588235e-06,0.00019999999999999998,0.0004,1.1764705882352942e-05,0.001176470588235293,8.318071209719554e-06,0.039999999999999966,0.0001,0.009999999999999992,7.07036052826162e-05,5.882352941176471e-06,0.0005882352941176465,4.159035604859777e-06,0.0002828144211304648,0.0004,1.1764705882352942e-05,0.001176470588235293,8.318071209719554e-06,0.039999999999999966,5.882352941176471e-06,0.0005882352941176465,4.159035604859777e-06,0.0002828144211304648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,4.705882352941177e-05,0.00341176470588235,1.6626153741012657e-05,0.1159999999999999,0.0004,0.028999999999999974,0.00014132230679860758,2.3529411764705884e-05,0.001705882352941175,8.313076870506329e-06,0.0005652892271944303,0.0018,5.294117647058823e-05,0.0036470588235294086,1.7632932698533143e-05,0.1239999999999999,2.6470588235294115e-05,0.0018235294117647043,8.816466349266571e-06,0.0005995197117501269,0.0002,5.882352941176471e-06,0.00023529411764705878,5.88235294117647e-06,0.007999999999999998,2.9411764705882355e-06,0.00011764705882352939,2.941176470588235e-06,0.00019999999999999998,0.0002,5.882352941176471e-06,0.00023529411764705878,5.88235294117647e-06,0.007999999999999998,2.9411764705882355e-06,0.00011764705882352939,2.941176470588235e-06,0.00019999999999999998,0.125,5000
0.0078,0.19599999999999987,0.000975,0.024499999999999984,0.00015949910028773993,0.00011470588235294117,0.0028823529411764687,1.8764600033851756e-05,0.0012759928023019194,0.0082,0.21199999999999986,0.00012058823529411766,0.0031176470588235275,1.9212960245863007e-05,0.0013064812967186845,0.0004,0.016,5.882352941176471e-06,0.00023529411764705883,4.159035604859777e-06,0.0002828144211304648,0.0004,0.016,5.882352941176471e-06,0.00023529411764705883,4.159035604859777e-06,0.0002828144211304648,0.002,5.882352941176471e-05,0.0022352941176470584,1.858488093271087e-05,0.07599999999999998,0.0005,0.018999999999999996,0.0001579714879280424,2.9411764705882354e-05,0.0011176470588235292,9.292440466355435e-06,0.0006318859517121696,0.002,5.882352941176471e-05,0.0022352941176470584,1.858488093271087e-05,0.07599999999999998,2.9411764705882354e-05,0.0011176470588235292,9.292440466355435e-06,0.0006318859517121696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.00017058823529411763,0.0035294117647058794,3.1588600892562084e-05,0.11999999999999988,0.00145,0.02999999999999997,0.0002685031075867777,8.529411764705882e-05,0.0017647058823529397,1.5794300446281042e-05,0.0010740124303471109,0.0062,0.00018235294117647057,0.003999999999999997,3.265313287033418e-05,0.1359999999999999,9.117647058823529e-05,0.0019999999999999983,1.632656643516709e-05,0.0011102065175913622,0.0004,1.1764705882352942e-05,0.00047058823529411766,8.318071209719554e-06,0.016,5.882352941176471e-06,0.00023529411764705883,4.159035604859777e-06,0.0002828144211304648,0.0004,1.1764705882352942e-05,0.00047058823529411766,8.318071209719554e-06,0.016,5.882352941176471e-06,0.00023529411764705883,4.159035604859777e-06,0.0002828144211304648,0.15000000000000002,5000
0.0118,0.5440000000000003,0.001475,0.06800000000000003,0.00022682628823178012,0.00017352941176470587,0.008000000000000004,2.6685445674327073e-05,0.001814610305854241,0.0128,0.6200000000000002,0.00018823529411764707,0.00911764705882353,2.8997112379801977e-05,0.0019718036418265345,0.001,0.07600000000000001,1.4705882352941177e-05,0.0011176470588235299,6.574038801055648e-06,0.0004470346384717841,0.001,0.07600000000000001,1.4705882352941177e-05,0.0011176470588235299,6.574038801055648e-06,0.0004470346384717841,0.0042,0.00012352941176470587,0.004000000000000002,2.69023501350772e-05,0.13600000000000007,0.00105,0.034000000000000016,0.0002286699761481562,6.176470588235294e-05,0.002000000000000001,1.34511750675386e-05,0.0009146799045926248,0.0042,0.00012352941176470587,0.00423529411764706,2.69023501350772e-05,0.14400000000000004,6.176470588235294e-05,0.00211764705882353,1.34511750675386e-05,0.0009146799045926248,0.0,0.0,0.0002352941176470589,0.0,0.008000000000000004,0.0,0.00011764705882352946,0.0,0.0,0.0,0.0,0.0002352941176470589,0.0,0.008000000000000004,0.0,0.00011764705882352946,0.0,0.0,0.0076,0.0002235294117647059,0.012000000000000004,4.063541339470802e-05,0.4080000000000002,0.0019,0.10200000000000005,0.00034540101385501816,0.00011176470588235294,0.006000000000000002,2.031770669735401e-05,0.0013816040554200726,0.0086,0.0002529411764705882,0.014000000000000002,4.580775552175569e-05,0.47600000000000015,0.0001264705882352941,0.007000000000000001,2.2903877760877845e-05,0.0015574636877396934,0.001,2.9411764705882354e-05,0.002000000000000001,1.3148077602111296e-05,0.06800000000000002,1.4705882352941177e-05,0.0010000000000000005,6.574038801055648e-06,0.0004470346384717841,0.001,2.9411764705882354e-05,0.002000000000000001,1.3148077602111296e-05,0.06800000000000002,1.4705882352941177e-05,0.0010000000000000005,6.574038801055648e-06,0.0004470346384717841,0.17500000000000002,5000
0.035,0.8280000000000002,0.004375,0.10350000000000002,0.0004145253203946047,0.0005147058823529412,0.012176470588235299,4.8767684752306434e-05,0.0033162025631568374,0.0392,0.9280000000000003,0.0005764705882352941,0.013647058823529417,5.3782825876875515e-05,0.003657232159627535,0.0042,0.10000000000000005,6.176470588235294e-05,0.0014705882352941183,1.4681386467964268e-05,0.0009983342798215702,0.0042,0.10000000000000005,6.176470588235294e-05,0.0014705882352941183,1.4681386467964268e-05,0.0009983342798215702,0.0088,0.00025882352941176474,0.003882352941176472,4.059348834927935e-05,0.13200000000000006,0.0022,0.033000000000000015,0.0003450446509688745,0.00012941176470588237,0.001941176470588236,2.0296744174639676e-05,0.001380178603875498,0.0092,0.0002705882352941176,0.0044705882352941186,4.1422256919271235e-05,0.15200000000000005,0.0001352941176470588,0.0022352941176470593,2.0711128459635618e-05,0.001408356735255222,0.0004,1.1764705882352942e-05,0.0005882352941176473,8.318071209719554e-06,0.020000000000000007,5.882352941176471e-06,0.00029411764705882367,4.159035604859777e-06,0.0002828144211304648,0.0004,1.1764705882352942e-05,0.0005882352941176473,8.318071209719554e-06,0.020000000000000007,5.882352941176471e-06,0.00029411764705882367,4.159035604859777e-06,0.0002828144211304648,0.0262,0.0007705882352941176,0.02047058823529413,7.61534873945689e-05,0.6960000000000003,0.00655,0.17400000000000007,0.0006473046428538357,0.0003852941176470588,0.010235294117647065,3.807674369728445e-05,0.002589218571415343,0.03,0.0008823529411764705,0.022823529411764715,8.555584761404806e-05,0.7760000000000002,0.00044117647058823526,0.011411764705882357,4.277792380702403e-05,0.002908898818877634,0.0038,0.00011176470588235294,0.0023529411764705893,2.81692772822694e-05,0.08000000000000003,5.588235294117647e-05,0.0011764705882352947,1.40846386411347e-05,0.0009577554275971596,0.0038,0.00011176470588235294,0.0023529411764705893,2.81692772822694e-05,0.08000000000000003,5.588235294117647e-05,0.0011764705882352947,1.40846386411347e-05,0.0009577554275971596,0.2,5000
0.0532,1.552000000000001,0.00665,0.19400000000000012,0.00048471898095504737,0.0007823529411764706,0.022823529411764715,5.702576246529969e-05,0.003877751847640379,0.0592,1.7120000000000006,0.0008705882352941177,0.0251764705882353,6.0887504222433475e-05,0.004140350287125476,0.006,0.1600000000000001,8.823529411764706e-05,0.0023529411764705893,1.606269216303903e-05,0.001092263067086654,0.006,0.1600000000000001,8.823529411764706e-05,0.0023529411764705893,1.606269216303903e-05,0.001092263067086654,0.0108,0.00031764705882352944,0.01294117647058824,4.379406256746642e-05,0.44000000000000017,0.0027,0.11000000000000004,0.00037224953182346456,0.00015882352941176472,0.00647058823529412,2.189703128373321e-05,0.0014889981272938582,0.0118,0.00034705882352941173,0.014352941176470593,4.643567685375976e-05,0.4880000000000001,0.00017352941176470587,0.007176470588235296,2.321783842687988e-05,0.0015788130130278317,0.001,2.9411764705882354e-05,0.0014117647058823533,1.3148077602111296e-05,0.048000000000000015,1.4705882352941177e-05,0.0007058823529411766,6.574038801055648e-06,0.0004470346384717841,0.001,2.9411764705882354e-05,0.0014117647058823533,1.3148077602111296e-05,0.048000000000000015,1.4705882352941177e-05,0.0007058823529411766,6.574038801055648e-06,0.0004470346384717841,0.0424,0.0012470588235294119,0.032705882352941196,9.431277796398478e-05,1.1120000000000003,0.0106,0.2780000000000001,0.0008016586126938706,0.0006235294117647059,0.016352941176470598,4.715638898199239e-05,0.0032066344507754824,0.0474,0.0013941176470588235,0.03600000000000002,0.0001001424875579267,1.2240000000000006,0.0006970588235294117,0.01800000000000001,5.007124377896335e-05,0.0034048445769695075,0.005,0.00014705882352941178,0.0032941176470588254,2.9341077406313637e-05,0.11200000000000006,7.352941176470589e-05,0.0016470588235294127,1.4670538703156819e-05,0.0009975966318146636,0.005,0.00014705882352941178,0.0032941176470588254,2.9341077406313637e-05,0.11200000000000006,7.352941176470589e-05,0.0016470588235294127,1.4670538703156819e-05,0.0009975966318146636,0.225,5000
