exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0065,0.0018022346968403213,0.0,0.0008125,0.00022527933710504017,0.0,0.0,8.552631578947368e-05,2.3713614432109492e-05,0.0,0.0,0.0,0.0,6.578947368421052e-05,2.9419004583402164e-05,0.0,0.0025,0.0011179221741692822,0.0,0.000625,0.00027948054354232056,0.0,0.0,3.289473684210526e-05,1.4709502291701082e-05,0.0,0.0,0.0,0.0,0.00010526315789473685,3.7209632656936587e-05,0.0,0.004,0.0014139660409635904,0.0,0.001,0.0003534915102408976,0.0,0.0,5.2631578947368424e-05,1.8604816328468293e-05,0.0,0.0,0.0,0.1,0.0,20000
0.00065,0.11975,0.005987260578884301,8.125e-05,0.01496875,0.0007484075723605376,2.252793371050401e-05,8.552631578947368e-06,0.001575657894736842,7.877974445900396e-05,2.3713614432109488e-06,0.0001802234696840321,0.00025,6.578947368421053e-06,0.0015789473684210526,0.00010590531033879619,2.9419004583402158e-06,0.06,0.004024401792874255,6.25e-05,0.015,0.0010061004482185638,2.794805435423205e-05,3.2894736842105265e-06,0.0007894736842105263,5.2952655169398094e-05,1.4709502291701079e-06,0.0001117922174169282,0.0004,1.0526315789473684e-05,0.0015723684210526315,0.00010446998821595395,3.720963265693659e-06,0.05975,0.00396985955220625,0.0001,0.0149375,0.0009924648880515626,3.534915102408976e-05,5.263157894736842e-06,0.0007861842105263158,5.2234994107976976e-05,1.8604816328468295e-06,0.00014139660409635905,0.1,0.2,0.0,20000
0.02395,0.6063333333333334,0.017949642321867427,0.00299375,0.07579166666666667,0.0022437052902334284,0.00014968151447210753,0.0003151315789473684,0.007978070175438598,0.00023617950423509773,1.575594889180079e-05,0.0011974521157768602,0.012,0.00031578947368421053,0.008991228070175439,0.0003057026323924344,2.118106206775924e-05,0.3416666666666667,0.011616700030912508,0.003,0.08541666666666667,0.002904175007728127,0.00020122008964371278,0.00015789473684210527,0.004495614035087719,0.0001528513161962172,1.059053103387962e-05,0.0008048803585748511,0.01195,0.00031447368421052635,0.006964912280701755,0.0002684447051629402,2.0893997643190794e-05,0.2646666666666667,0.010200898796191727,0.0029875,0.06616666666666668,0.0025502246990479318,0.00019849297761031254,0.00015723684210526318,0.0034824561403508777,0.0001342223525814701,1.0446998821595397e-05,0.0007939719104412501,0.2,0.25,0.1,20000
0.0916,2.533000000000001,0.04788851861887958,0.01145,0.3166250000000001,0.005986064827359947,0.00033798200631369356,0.0012052631578947368,0.03332894736842106,0.0006301120870905207,3.557705329617827e-05,0.0027038560505095485,0.0515,0.0013552631578947368,0.038368421052631586,0.0007950493625121344,4.6015326070696884e-05,1.4580000000000004,0.030211875775461108,0.012875,0.3645000000000001,0.007552968943865277,0.00043714559767162037,0.0006776315789473684,0.019184210526315793,0.0003975246812560672,2.3007663035348442e-05,0.0017485823906864815,0.0401,0.0010552631578947369,0.028289473684210538,0.0006741423003495539,4.0467470400142663e-05,1.0750000000000004,0.02561740741328305,0.010025,0.2687500000000001,0.006404351853320762,0.00038444096880135527,0.0005276315789473684,0.014144736842105269,0.00033707115017477695,2.0233735200071332e-05,0.001537763875205421,0.25,0.3,0.2,20000
0.27725,6.090000000000002,0.0791574904567772,0.03465625,0.7612500000000002,0.00989468630709715,0.0006412321835595409,0.0036480263157894735,0.08013157894736844,0.0010415459270628577,6.749812458521484e-05,0.005129857468476327,0.1578,0.004152631578947369,0.09192105263157899,0.001267963345072309,8.394475649021381e-05,3.4930000000000017,0.048182607112747744,0.03945,0.8732500000000004,0.012045651778186936,0.0007974751866570312,0.0020763157894736844,0.04596052631578949,0.0006339816725361545,4.1972378245106904e-05,0.0031899007466281246,0.11945,0.0031434210526315788,0.06834210526315791,0.0010859416089920985,7.211419627730167e-05,2.597000000000001,0.041265781141699744,0.0298625,0.6492500000000002,0.010316445285424936,0.0006850848646343659,0.0015717105263157894,0.034171052631578956,0.0005429708044960492,3.6057098138650835e-05,0.0027403394585374637,0.3,0.35,0.25,20000
0.7006,9.232500000000002,0.11988079348511681,0.087575,1.1540625000000002,0.014985099185639601,0.001106245749249635,0.009218421052631579,0.12148026315789476,0.0015773788616462738,0.00011644692097364579,0.00884996599399708,0.4008,0.010547368421052632,0.1385964912280702,0.0019302316361141595,0.00013936035668578523,5.2666666666666675,0.07334880217233807,0.1002,1.3166666666666669,0.018337200543084516,0.0013239233885149596,0.005273684210526316,0.0692982456140351,0.0009651158180570798,6.968017834289262e-05,0.0052956935540598386,0.2998,0.007889473684210526,0.10436403508771933,0.0016843034534603021,0.00011948941715168049,3.965833333333334,0.06400353123149148,0.07495,0.9914583333333336,0.01600088280787287,0.0011351494629409647,0.003944736842105263,0.05218201754385966,0.0008421517267301511,5.9744708575840244e-05,0.004540597851763859,0.35,0.36,0.3,20000
0.8312,13.592499999999989,0.23123823374073996,0.1039,1.6990624999999986,0.028904779217592495,0.0012198878662894866,0.010936842105263158,0.17884868421052616,0.0030426083386939466,0.00012840924908310384,0.009759102930315892,0.4738,0.012468421052631578,0.2028947368421051,0.003827464235512029,0.00015217115188176475,7.709999999999994,0.1454436409494571,0.11845,1.9274999999999984,0.03636091023736428,0.001445625942876765,0.006234210526315789,0.10144736842105255,0.0019137321177560146,7.608557594088238e-05,0.00578250377150706,0.3574,0.009405263157894736,0.15480263157894725,0.003332805300977884,0.0001314196640512418,5.882499999999996,0.12664660143715958,0.08935,1.470624999999999,0.031661650359289896,0.001248486808486797,0.004702631578947368,0.07740131578947362,0.001666402650488942,6.57098320256209e-05,0.004993947233947188,0.36,0.37,0.35,20000
0.97245,14.912499999999989,0.23877807256089637,0.12155625,1.8640624999999986,0.029847259070112046,0.0013248240825631762,0.012795394736842106,0.19621710526315775,0.0031418167442223205,0.0001394551665855975,0.01059859266050541,0.555,0.014605263157894737,0.22078947368421034,0.003939159475372164,0.0001641854237830976,8.389999999999993,0.14968806006414223,0.13875,2.0974999999999984,0.03742201501603556,0.0015597615259394272,0.007302631578947369,0.11039473684210517,0.001969579737686082,8.20927118915488e-05,0.006239046103757709,0.41745,0.010985526315789473,0.1716447368421051,0.0034891976836186867,0.00014214359537019836,6.522499999999994,0.1325895119775101,0.1043625,1.6306249999999984,0.03314737799437752,0.0013503641560168845,0.005492763157894737,0.08582236842105255,0.0017445988418093434,7.107179768509918e-05,0.005401456624067538,0.37,0.38,0.36,20000
1.12945,16.06749999999999,0.2451551085310315,0.14118125,2.0084374999999985,0.03064438856637894,0.0014302326115663965,0.014861184210526316,0.21141447368421037,0.0032257251122504147,0.00015055080121751543,0.011441860892531172,0.6416,0.01688421052631579,0.23763157894736817,0.004054394851547118,0.00017573490670401998,9.02999999999999,0.15406700435879048,0.1604,2.2574999999999976,0.03851675108969762,0.0016694816136881897,0.008442105263157895,0.11881578947368408,0.002027197425773559,8.786745335200999e-05,0.006677926454752759,0.48785,0.012838157894736843,0.18519736842105247,0.003577481678416944,0.00015352352944584998,7.037499999999994,0.13594430377984387,0.1219625,1.7593749999999986,0.03398607594496097,0.001458473529735575,0.0064190789473684215,0.09259868421052624,0.001788740839208472,7.676176472292499e-05,0.0058338941189423,0.38,0.39,0.37,20000
1.2938,17.63749999999998,0.257231390166333,0.161725,2.2046874999999977,0.032153923770791626,0.0015324183939305555,0.017023684210526316,0.2320723684210524,0.003384623554820171,0.0001613071993611111,0.012259347151444444,0.7356,0.019357894736842105,0.2588815789473682,0.0042233536104731,0.000187327326969551,9.837499999999991,0.1604874371979778,0.1839,2.459374999999998,0.04012185929949445,0.0017796096062107345,0.009678947368421053,0.1294407894736841,0.00211167680523655,9.36636634847755e-05,0.007118438424842938,0.5582,0.014689473684210527,0.2052631578947367,0.0037812898038578325,0.00016391500457552935,7.7999999999999945,0.14368901254659763,0.13955,1.9499999999999986,0.03592225313664941,0.0015571925434675288,0.007344736842105263,0.10263157894736835,0.0018906449019289162,8.195750228776467e-05,0.006228770173870115,0.39,0.4,0.38,20000
1.4822,19.367500000000035,0.2705178481779149,0.185275,2.4209375000000044,0.033814731022239364,0.001640659031259342,0.01950263157894737,0.25483552631578993,0.0035594453707620383,0.0001727009506588781,0.013125272250074736,0.83835,0.022061842105263157,0.27940789473684263,0.004371595588028057,0.00019845107848234867,10.617500000000021,0.16612063234506616,0.2095875,2.6543750000000053,0.04153015808626654,0.0018852852455823125,0.011030921052631579,0.13970394736842132,0.0021857977940140283,9.922553924117434e-05,0.00754114098232925,0.64385,0.01694342105263158,0.2302631578947373,0.003990815711407072,0.00017572089005327975,8.750000000000018,0.15165099703346874,0.1609625,2.1875000000000044,0.037912749258367184,0.0016693484555061577,0.00847171052631579,0.11513157894736865,0.001995407855703536,8.786044502663988e-05,0.006677393822024631,0.4,0.41,0.39,20000
1.68115,20.50500000000004,0.27754477171262937,0.21014375,2.563125000000005,0.03469309646407867,0.0017421428349534787,0.022120394736842103,0.2698026315789479,0.0036519048909556496,0.0001833834563108925,0.01393714267962783,0.94795,0.024946052631578945,0.2967763157894742,0.0044803432632493844,0.00020921499521047435,11.277500000000021,0.1702530440034766,0.2369875,2.8193750000000053,0.04256326100086915,0.0019875424544995063,0.012473026315789473,0.1483881578947371,0.0022401716316246922,0.00010460749760523718,0.007950169817998025,0.7332,0.019294736842105264,0.2428289473684215,0.0040916712363790525,0.00018654238454759151,9.227500000000017,0.15548350698240399,0.1833,2.3068750000000042,0.038870876745600996,0.0017721526532021195,0.009647368421052632,0.12141447368421075,0.0020458356181895262,9.327119227379576e-05,0.007088610612808478,0.41,0.42,0.4,20000
1.8923,21.829999999999984,0.2888368507242742,0.2365375,2.728749999999998,0.03610460634053427,0.00183341719900812,0.024898684210526316,0.28723684210526296,0.003800484877950976,0.00019299128410611789,0.01466733759206496,1.0639,0.027997368421052632,0.31118421052631556,0.004594724256904595,0.0002184753986199291,11.82499999999999,0.17459952176237462,0.265975,2.9562499999999976,0.043649880440593654,0.0020755162868893264,0.013998684210526316,0.15559210526315778,0.0022973621284522977,0.00010923769930996455,0.008302065147557306,0.8284,0.0218,0.2632894736842103,0.004274499042499962,0.00019716740425463727,10.004999999999992,0.16243096361499856,0.2071,2.501249999999998,0.04060774090374964,0.001873090340419054,0.0109,0.13164473684210515,0.002137249521249981,9.858370212731864e-05,0.007492361361676216,0.42,0.43,0.41,20000
2.11775,23.552499999999984,0.29639438197945533,0.26471875,2.944062499999998,0.03704929774743192,0.0019219174463944626,0.027865131578947367,0.3099013157894735,0.003899926078677044,0.00020230709962046974,0.015375339571155701,1.18445,0.031169736842105264,0.332565789473684,0.004691671980057164,0.0002271711740085247,12.63749999999999,0.17828353524217222,0.2961125,3.1593749999999976,0.044570883810543055,0.0021581261530809847,0.015584868421052632,0.166282894736842,0.002345835990028582,0.00011358558700426235,0.008632504612323939,0.9333,0.024560526315789474,0.28723684210526296,0.004423640502193356,0.00020722853957103377,10.914999999999992,0.16809833908334754,0.233325,2.728749999999998,0.042024584770836884,0.001968671125924821,0.012280263157894737,0.14361842105263148,0.002211820251096678,0.00010361426978551688,0.007874684503699284,0.43,0.44,0.42,20000
2.36335,24.857499999999977,0.30400017350780323,0.29541875,3.107187499999997,0.038000021688475404,0.0020057308998826366,0.03109671052631579,0.3270723684210523,0.004000002282997411,0.00021112956840869859,0.016045847199061092,1.31665,0.03464868421052632,0.34953947368421023,0.00479219614432223,0.00023530662575570123,13.282499999999988,0.18210345348424473,0.3291625,3.320624999999997,0.04552586337106118,0.0022354129446791617,0.01732434210526316,0.17476973684210512,0.002396098072161115,0.00011765331287785061,0.008941651778716647,1.0467,0.02754473684210526,0.3046052631578945,0.004543949700064239,0.0002169805937391035,11.57499999999999,0.17267008860244107,0.261675,2.8937499999999976,0.04316752215061027,0.0020613156405214833,0.01377236842105263,0.15230263157894725,0.0022719748500321193,0.00010849029686955175,0.008245262562085933,0.44,0.45,0.43,20000
2.6149,25.857499999999977,0.3077425384326935,0.3268625,3.232187499999997,0.03846781730408669,0.0020767827476692287,0.03440657894736842,0.34023026315789445,0.004049243926745967,0.00021860871028097145,0.01661426198135383,1.4501,0.03816052631578947,0.3582894736842102,0.0048520912859558365,0.00024161092873348447,13.614999999999988,0.18437946886632178,0.362525,3.403749999999997,0.046094867216580446,0.0022953038229681024,0.019080263157894736,0.1791447368421051,0.0024260456429779182,0.00012080546436674224,0.00918121529187241,1.1648,0.03065263157894737,0.32217105263157864,0.004645602862524709,0.00022571174942188424,12.242499999999989,0.17653290877593894,0.2912,3.0606249999999973,0.044133227193984735,0.0021442616195079004,0.015326315789473684,0.16108552631578932,0.0023228014312623546,0.00011285587471094212,0.008577046478031602,0.45,0.46,0.44,20000
2.8805,27.152500000000046,0.318077656960204,0.3600625,3.3940625000000058,0.0397597071200255,0.002138415814521883,0.037901315789473686,0.3572697368421059,0.004185232328423737,0.00022509640152861926,0.017107326516175064,1.58895,0.041814473684210526,0.3690789473684218,0.004951582678930034,0.00024648327261723237,14.025000000000029,0.1881601417993413,0.3972375,3.506250000000007,0.04704003544983532,0.0023415910898637077,0.020907236842105263,0.1845394736842109,0.002475791339465017,0.00012324163630861618,0.00936636435945483,1.29155,0.03398815789473684,0.34546052631579005,0.004815060422997492,0.00023399810472597005,13.127500000000023,0.18297229607390472,0.3228875,3.2818750000000056,0.04574307401847618,0.0022229819948967155,0.01699407894736842,0.17273026315789503,0.002407530211498746,0.00011699905236298502,0.008891927979586862,0.46,0.47,0.45,20000
3.15795,27.662500000000048,0.31798287743684805,0.39474375,3.457812500000006,0.03974785967960601,0.0021869834931102774,0.04155197368421053,0.3639802631578954,0.004183985229432211,0.00023020878874845026,0.01749586794488222,1.7306,0.04554210526315789,0.37559210526315867,0.0049894511005505095,0.0002499594053393988,14.27250000000003,0.18959914182091936,0.43265,3.5681250000000073,0.04739978545522984,0.0023746143507242883,0.022771052631578945,0.18779605263157934,0.0024947255502752548,0.0001249797026696994,0.009498457402897153,1.42735,0.03756184210526316,0.3523684210526322,0.0048021492171607325,0.0002407215645382604,13.390000000000024,0.18248167025210785,0.3568375,3.347500000000006,0.04562041756302696,0.002286854863113474,0.01878092105263158,0.1761842105263161,0.0024010746085803662,0.0001203607822691302,0.009147419452453896,0.47,0.48,0.46,20000
3.43375,27.897499999999976,0.3174275707947166,0.42921875,3.487187499999997,0.03967844634933958,0.002219766719305495,0.04518092105263158,0.36707236842105234,0.004176678563088377,0.00023365965466373633,0.01775813375444396,1.8744,0.04932631578947368,0.3785526315789471,0.004971725693037299,0.0002519327155655824,14.38499999999999,0.18892557633541737,0.4686,3.5962499999999973,0.04723139408385434,0.0023933607978730326,0.02466315789473684,0.18927631578947354,0.0024858628465186496,0.0001259663577827912,0.00957344319149213,1.55935,0.041035526315789474,0.3555921052631576,0.004806940063752181,0.0002456593198120673,13.512499999999989,0.18266372242258286,0.3898375,3.378124999999997,0.045665930605645715,0.0023337635382146395,0.020517763157894737,0.1777960526315788,0.0024034700318760903,0.00012282965990603365,0.009335054152858558,0.48,0.49,0.47,20000
3.7159,28.252499999999976,0.3214634180182187,0.4644875,3.531562499999997,0.04018292725227734,0.0022483867003532144,0.04889342105263158,0.37174342105263125,0.004229781816029193,0.00023667228424770678,0.017987093602825716,2.0183,0.05311315789473684,0.3787499999999997,0.0049522175181654525,0.0002531353008493218,14.392499999999988,0.1881842656902872,0.504575,3.598124999999997,0.0470460664225718,0.002404785358068557,0.02655657894736842,0.18937499999999985,0.0024761087590827262,0.0001265676504246609,0.009619141432274228,1.6976,0.04467368421052632,0.36473684210526286,0.00492915700608718,0.0002502245980195348,13.859999999999989,0.18730796623131285,0.4244,3.464999999999997,0.04682699155782821,0.0023771336811855806,0.02233684210526316,0.18236842105263143,0.00246457850304359,0.0001251122990097674,0.009508534724742322,0.49,0.5,0.48,20000
3.9988,28.139999999999976,0.3182563186398937,0.49985,3.517499999999997,0.03978203982998671,0.002252953514828257,0.05261578947368421,0.3702631578947365,0.004187583139998601,0.00023715300156086918,0.018023628118626057,2.16225,0.05690131578947368,0.37572368421052604,0.00495762334582467,0.0002517058438583625,14.27749999999999,0.18838968714133744,0.5405625,3.5693749999999973,0.04709742178533436,0.0023912055166544436,0.02845065789473684,0.18786184210526302,0.002478811672912335,0.00012585292192918124,0.009564822066617774,1.83655,0.04833026315789474,0.36480263157894705,0.004863049110419498,0.00025244141134853564,13.862499999999988,0.1847958661959409,0.4591375,3.465624999999997,0.046198966548985226,0.0023981934078110886,0.02416513157894737,0.18240131578947352,0.002431524555209749,0.00012622070567426782,0.009592773631244354,0.5,0.51,0.49,20000
4.2787,27.819999999999975,0.31538841686510055,0.5348375,3.477499999999997,0.03942355210813757,0.002244881128089294,0.05629868421052631,0.366052631578947,0.004149847590330271,0.00023630327664097834,0.017959049024714353,2.30385,0.06062763157894737,0.3627631578947365,0.004852419561631513,0.0002491894646828776,13.784999999999988,0.1843919433419975,0.5759625,3.446249999999997,0.04609798583549937,0.002367299914487337,0.030313815789473685,0.18138157894736825,0.0024262097808157566,0.0001245947323414388,0.009469199657949349,1.97485,0.05196973684210526,0.3693421052631576,0.004871275977108315,0.0002533576578088256,14.034999999999988,0.18510848713011596,0.4937125,3.508749999999997,0.04627712178252899,0.0024068977491838433,0.02598486842105263,0.1846710526315788,0.0024356379885541574,0.0001266788289044128,0.009627590996735373,0.51,0.52,0.5,20000
