exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013023255813953485,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.0,0.0013023255813953485,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.0,0.0013023255813953485,0.0,0.055999999999999994,0.0,0.0006511627906976743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0014,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0014,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,3.255813953488372e-05,0.001581395348837209,1.2298432865173811e-05,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0014,3.255813953488372e-05,0.001581395348837209,1.2298432865173811e-05,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0014,3.255813953488372e-05,0.001581395348837209,1.2298432865173811e-05,0.06799999999999999,1.627906976744186e-05,0.0007906976744186045,6.1492164325869056e-06,0.0005288326132024738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.11599999999999994,3.953488372093023e-05,0.0013488372093023253,9.573260578618483e-06,0.0008233004097611895,0.0034,0.11599999999999994,3.953488372093023e-05,0.0013488372093023253,9.573260578618483e-06,0.0008233004097611895,0.0034,0.11599999999999994,3.953488372093023e-05,0.0013488372093023253,9.573260578618483e-06,0.0008233004097611895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,7.906976744186047e-05,0.002604651162790696,1.9146521157236967e-05,0.11199999999999996,3.953488372093023e-05,0.001302325581395348,9.573260578618483e-06,0.0008233004097611895,0.0034,7.906976744186047e-05,0.002604651162790696,1.9146521157236967e-05,0.11199999999999996,3.953488372093023e-05,0.001302325581395348,9.573260578618483e-06,0.0008233004097611895,0.0034,7.906976744186047e-05,0.002604651162790696,1.9146521157236967e-05,0.11199999999999996,3.953488372093023e-05,0.001302325581395348,9.573260578618483e-06,0.0008233004097611895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.302325581395344e-05,0.0,0.003999999999999998,0.0,4.651162790697672e-05,0.0,0.0,0.0,0.0,9.302325581395344e-05,0.0,0.003999999999999998,0.0,4.651162790697672e-05,0.0,0.0,0.0,0.0,9.302325581395344e-05,0.0,0.003999999999999998,0.0,4.651162790697672e-05,0.0,0.0,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.176,8.372093023255814e-05,0.002046511627906977,1.3904555593458734e-05,0.0011957917810374512,0.0072,0.176,8.372093023255814e-05,0.002046511627906977,1.3904555593458734e-05,0.0011957917810374512,0.0072,0.176,8.372093023255814e-05,0.002046511627906977,1.3904555593458734e-05,0.0011957917810374512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0001627906976744186,0.004093023255813954,2.742291517509481e-05,0.17600000000000002,8.13953488372093e-05,0.002046511627906977,1.3711457587547406e-05,0.0011791853525290768,0.007,0.0001627906976744186,0.004093023255813954,2.742291517509481e-05,0.17600000000000002,8.13953488372093e-05,0.002046511627906977,1.3711457587547406e-05,0.0011791853525290768,0.007,0.0001627906976744186,0.004093023255813954,2.742291517509481e-05,0.17600000000000002,8.13953488372093e-05,0.002046511627906977,1.3711457587547406e-05,0.0011791853525290768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,4.651162790697674e-06,-1.032765604302471e-19,4.651162790697674e-06,-4.4408920985006255e-18,2.325581395348837e-06,-5.163828021512355e-20,2.325581395348837e-06,0.00019999999999999998,0.0002,4.651162790697674e-06,-1.032765604302471e-19,4.651162790697674e-06,-4.4408920985006255e-18,2.325581395348837e-06,-5.163828021512355e-20,2.325581395348837e-06,0.00019999999999999998,0.0002,4.651162790697674e-06,-1.032765604302471e-19,4.651162790697674e-06,-4.4408920985006255e-18,2.325581395348837e-06,-5.163828021512355e-20,2.325581395348837e-06,0.00019999999999999998,0.07500000000000001,5000
0.0,0.012000000000000004,0.0,0.0015000000000000005,0.0,0.0,0.00013953488372093028,0.0,0.0,0.0122,0.32800000000000007,0.00014186046511627907,0.0038139534883720933,1.8351217703149098e-05,0.0015782047224708225,0.0122,0.31600000000000006,0.00014186046511627907,0.0036744186046511634,1.8351217703149098e-05,0.0015782047224708225,0.0122,0.31600000000000006,0.00014186046511627907,0.0036744186046511634,1.8351217703149098e-05,0.0015782047224708225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.00028372093023255814,0.007348837209302328,3.6702435406298196e-05,0.31600000000000017,0.00014186046511627907,0.003674418604651164,1.8351217703149098e-05,0.0015782047224708225,0.0122,0.00028372093023255814,0.007348837209302328,3.6702435406298196e-05,0.31600000000000017,0.00014186046511627907,0.003674418604651164,1.8351217703149098e-05,0.0015782047224708225,0.0122,0.00028372093023255814,0.007348837209302328,3.6702435406298196e-05,0.31600000000000017,0.00014186046511627907,0.003674418604651164,1.8351217703149098e-05,0.0015782047224708225,0.0,0.0,0.00027906976744186056,0.0,0.012000000000000004,0.0,0.003000000000000001,0.0,0.0,0.00013953488372093028,0.0,0.0,0.0,0.0,0.00027906976744186056,0.0,0.012000000000000005,0.0,0.00013953488372093028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5000
0.0006,0.055999999999999946,7.5e-05,0.006999999999999993,4.329260733624154e-05,6.976744186046511e-06,0.0006511627906976737,4.027219287092236e-06,0.0003463408586899323,0.0236,0.46799999999999986,0.00027441860465116276,0.005441860465116279,2.5394565944313055e-05,0.0021839326712109228,0.023,0.412,0.00026744186046511625,0.004790697674418604,2.5088084482309814e-05,0.002157575265478644,0.023,0.412,0.00026744186046511625,0.004790697674418604,2.5088084482309814e-05,0.002157575265478644,0.0,0.0,0.00027906976744186007,0.0,0.011999999999999981,0.0,0.0029999999999999953,0.0,0.0,0.00013953488372093003,0.0,0.0,0.0228,0.0005302325581395349,0.00883720930232558,4.9970003934097545e-05,0.3799999999999999,0.00026511627906976743,0.00441860465116279,2.4985001967048773e-05,0.0021487101691661944,0.0228,0.0005302325581395349,0.00855813953488372,4.9970003934097545e-05,0.3679999999999999,0.00026511627906976743,0.00427906976744186,2.4985001967048773e-05,0.0021487101691661944,0.0228,0.0005302325581395349,0.00855813953488372,4.9970003934097545e-05,0.3679999999999999,0.00026511627906976743,0.00427906976744186,2.4985001967048773e-05,0.0021487101691661944,0.0006,1.3953488372093022e-05,0.0010232558139534878,8.054438574184473e-06,0.04399999999999997,0.00015,0.010999999999999992,8.658521467248308e-05,6.976744186046511e-06,0.0005116279069767439,4.027219287092236e-06,0.0003463408586899323,0.0008,1.8604651162790697e-05,0.002046511627906975,9.299533906571898e-06,0.08799999999999993,9.302325581395349e-06,0.0010232558139534876,4.649766953285949e-06,0.0003998799579825916,0.0002,4.651162790697674e-06,0.0010232558139534873,4.651162790697674e-06,0.04399999999999995,2.325581395348837e-06,0.0005116279069767437,2.325581395348837e-06,0.00019999999999999998,0.0002,4.651162790697674e-06,0.0010232558139534873,4.651162790697674e-06,0.04399999999999995,2.325581395348837e-06,0.0005116279069767437,2.325581395348837e-06,0.00019999999999999998,0.125,5000
0.0028,0.09199999999999996,0.00035,0.011499999999999995,9.341972730151709e-05,3.255813953488372e-05,0.0010697674418604648,8.6902071908388e-06,0.0007473578184121367,0.0356,0.5919999999999999,0.00041395348837209304,0.006883720930232558,3.134790039901585e-05,0.002695919434315363,0.0328,0.49999999999999994,0.0003813953488372093,0.005813953488372091,2.9659445324389047e-05,0.002550712297897458,0.0328,0.49999999999999994,0.0003813953488372093,0.005813953488372091,2.9659445324389047e-05,0.002550712297897458,0.0006,1.3953488372093022e-05,0.0009302325581395349,8.054438574184471e-06,0.04,0.00015,0.01,8.658521467248306e-05,6.976744186046511e-06,0.00046511627906976747,4.0272192870922355e-06,0.00034634085868993225,0.0312,0.0007255813953488372,0.011627906976744186,5.718529135121304e-05,0.5,0.0003627906976744186,0.005813953488372093,2.859264567560652e-05,0.002458967528102161,0.0306,0.0007116279069767442,0.01069767441860465,5.6650297769757204e-05,0.46,0.0003558139534883721,0.005348837209302325,2.8325148884878602e-05,0.00243596280409956,0.0306,0.0007116279069767442,0.01069767441860465,5.6650297769757204e-05,0.46,0.0003558139534883721,0.005348837209302325,2.8325148884878602e-05,0.00243596280409956,0.0022,5.1162790697674425e-05,0.0012093023255813945,1.541072484404693e-05,0.05199999999999996,0.00055,0.01299999999999999,0.0001656652920735045,2.5581395348837212e-05,0.0006046511627906973,7.705362422023465e-06,0.000662661168294018,0.0044,0.00010232558139534885,0.0021395348837209283,2.2742227335794385e-05,0.09199999999999992,5.1162790697674425e-05,0.0010697674418604641,1.1371113667897193e-05,0.0009779157754391586,0.0022,5.1162790697674425e-05,0.0009302325581395336,1.541072484404693e-05,0.03999999999999994,2.5581395348837212e-05,0.0004651162790697668,7.705362422023465e-06,0.000662661168294018,0.0022,5.1162790697674425e-05,0.0009302325581395336,1.541072484404693e-05,0.03999999999999994,2.5581395348837212e-05,0.0004651162790697668,7.705362422023465e-06,0.000662661168294018,0.15000000000000002,5000
0.0052,0.2600000000000001,0.00065,0.032500000000000015,0.00012715633584980873,6.0465116279069765e-05,0.0030232558139534895,1.1828496358121742e-05,0.0010172506867984698,0.0532,0.9640000000000003,0.0006186046511627907,0.0112093023255814,3.876852169058577e-05,0.003334092865390376,0.048,0.7040000000000003,0.0005581395348837209,0.008186046511627909,3.636609313663591e-05,0.003127484009750689,0.048,0.7040000000000003,0.0005581395348837209,0.008186046511627909,3.636609313663591e-05,0.003127484009750689,0.002,4.651162790697675e-05,0.003069767441860466,1.4695022132841152e-05,0.13200000000000003,0.0005,0.03300000000000001,0.0001579714879280424,2.3255813953488374e-05,0.001534883720930233,7.347511066420576e-06,0.0006318859517121696,0.0478,0.0011116279069767442,0.017953488372093034,7.139541316335515e-05,0.7720000000000004,0.0005558139534883721,0.008976744186046517,3.5697706581677574e-05,0.0030700027660242714,0.0458,0.0010651162790697674,0.014883720930232562,6.969868105243664e-05,0.6400000000000002,0.0005325581395348837,0.007441860465116281,3.484934052621832e-05,0.0029970432852547755,0.0458,0.0010651162790697674,0.014883720930232562,6.969868105243664e-05,0.6400000000000002,0.0005325581395348837,0.007441860465116281,3.484934052621832e-05,0.0029970432852547755,0.0032,7.441860465116279e-05,0.002976744186046513,1.8576717633454268e-05,0.12800000000000006,0.0008,0.032000000000000015,0.0001996997145596334,3.7209302325581394e-05,0.0014883720930232566,9.288358816727134e-06,0.0007987988582385336,0.0054,0.0001255813953488372,0.004465116279069769,2.410521910700031e-05,0.19200000000000006,6.27906976744186e-05,0.0022325581395348845,1.2052609553500154e-05,0.0010365244216010133,0.0022,5.1162790697674425e-05,0.0014883720930232564,1.541072484404693e-05,0.06400000000000003,2.5581395348837212e-05,0.0007441860465116282,7.705362422023465e-06,0.000662661168294018,0.0022,5.1162790697674425e-05,0.0014883720930232564,1.541072484404693e-05,0.06400000000000003,2.5581395348837212e-05,0.0007441860465116282,7.705362422023465e-06,0.000662661168294018,0.17500000000000002,5000
0.0158,0.6000000000000003,0.001975,0.07500000000000004,0.00023152882351712463,0.00018372093023255815,0.006976744186046515,2.1537564978337176e-05,0.001852230588136997,0.0838,1.4560000000000006,0.0009744186046511628,0.016930232558139545,4.922203837247998e-05,0.004233095300033279,0.068,0.8560000000000003,0.0007906976744186047,0.009953488372093028,4.281519707893589e-05,0.0036821069487884867,0.068,0.8560000000000003,0.0007906976744186047,0.009953488372093028,4.281519707893589e-05,0.0036821069487884867,0.0072,0.00016744186046511629,0.00474418604651163,2.8576597954875822e-05,0.2040000000000001,0.0018,0.051000000000000024,0.0003071984280149151,8.372093023255814e-05,0.002372093023255815,1.4288298977437911e-05,0.0012287937120596603,0.0698,0.0016232558139534885,0.02186046511627908,8.63550397998203e-05,0.9400000000000002,0.0008116279069767442,0.01093023255813954,4.317751989991015e-05,0.0037132667113922726,0.0626,0.001455813953488372,0.01711627906976745,8.04887844232121e-05,0.7360000000000004,0.000727906976744186,0.008558139534883725,4.024439221160605e-05,0.0034610177301981205,0.0626,0.001455813953488372,0.01711627906976745,8.04887844232121e-05,0.7360000000000004,0.000727906976744186,0.008558139534883725,4.024439221160605e-05,0.0034610177301981205,0.0086,0.0002,0.009209302325581398,3.0371319390962328e-05,0.39600000000000013,0.00215,0.09900000000000003,0.00032649168345284503,0.0001,0.004604651162790699,1.5185659695481164e-05,0.0013059667338113801,0.014,0.0003255813953488372,0.012000000000000004,3.974897080112531e-05,0.5160000000000002,0.0001627906976744186,0.006000000000000002,1.9874485400562656e-05,0.0017092057444483885,0.0054,0.0001255813953488372,0.002790697674418606,2.410521910700031e-05,0.12000000000000005,6.27906976744186e-05,0.001395348837209303,1.2052609553500154e-05,0.0010365244216010133,0.0054,0.0001255813953488372,0.002790697674418606,2.410521910700031e-05,0.12000000000000005,6.27906976744186e-05,0.001395348837209303,1.2052609553500154e-05,0.0010365244216010133,0.2,5000
0.0352,0.8280000000000002,0.0044,0.10350000000000002,0.0003604219482719653,0.0004093023255813954,0.00962790697674419,3.3527623095066536e-05,0.002883375586175722,0.126,1.7360000000000007,0.0014651162790697675,0.020186046511627916,6.473204556512084e-05,0.005566955918600392,0.0908,0.9080000000000001,0.001055813953488372,0.010558139534883725,5.110320921186797e-05,0.004394875992220645,0.0908,0.9080000000000001,0.001055813953488372,0.010558139534883725,5.110320921186797e-05,0.004394875992220645,0.0122,0.00028372093023255814,0.007348837209302327,3.6702435406298196e-05,0.31600000000000006,0.00305,0.07900000000000001,0.0003945511806177056,0.00014186046511627907,0.0036744186046511634,1.8351217703149098e-05,0.0015782047224708225,0.0948,0.0022046511627906978,0.02437209302325582,0.0001020250377234713,1.0480000000000003,0.0011023255813953489,0.01218604651162791,5.101251886173565e-05,0.004387076622109266,0.0826,0.0019209302325581398,0.017023255813953496,9.359905439731282e-05,0.7320000000000002,0.0009604651162790699,0.008511627906976748,4.679952719865641e-05,0.004024759339084452,0.0826,0.0019209302325581398,0.017023255813953496,9.359905439731282e-05,0.7320000000000002,0.0009604651162790699,0.008511627906976748,4.679952719865641e-05,0.004024759339084452,0.023,0.0005348837209302325,0.011906976744186051,5.27000915177166e-05,0.5120000000000002,0.00575,0.12800000000000006,0.0005665259838154535,0.00026744186046511625,0.0059534883720930255,2.63500457588583e-05,0.002266103935261814,0.0312,0.0007255813953488372,0.016000000000000007,6.260420778148418e-05,0.6880000000000002,0.0003627906976744186,0.008000000000000004,3.130210389074209e-05,0.0026919809346038198,0.0082,0.00019069767441860466,0.0040930232558139545,2.9662582164720536e-05,0.1760000000000001,9.534883720930233e-05,0.0020465116279069773,1.4831291082360268e-05,0.001275491033082983,0.0082,0.00019069767441860466,0.0040930232558139545,2.9662582164720536e-05,0.1760000000000001,9.534883720930233e-05,0.0020465116279069773,1.4831291082360268e-05,0.001275491033082983,0.225,5000
