exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017454545454545453,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,0.0,0.0017454545454545453,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,0.0,0.0017454545454545453,0.0,0.09599999999999999,0.0,0.0008727272727272726,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.10799999999999998,2.1818181818181818e-05,0.0009818181818181816,6.291433167593336e-06,0.0006920576484352669,0.0024,0.10799999999999998,2.1818181818181818e-05,0.0009818181818181816,6.291433167593336e-06,0.0006920576484352669,0.0024,0.10799999999999998,2.1818181818181818e-05,0.0009818181818181816,6.291433167593336e-06,0.0006920576484352669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.272727272727271e-05,0.0,0.003999999999999999,0.0,3.636363636363636e-05,0.0,0.0,0.0,0.0,7.272727272727271e-05,0.0,0.003999999999999999,0.0,3.636363636363636e-05,0.0,0.0,0.0,0.0,7.272727272727271e-05,0.0,0.003999999999999999,0.0,3.636363636363636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,4.3636363636363636e-05,0.0018909090909090904,1.2582866335186671e-05,0.10399999999999998,2.1818181818181818e-05,0.0009454545454545452,6.291433167593336e-06,0.0006920576484352669,0.0024,4.3636363636363636e-05,0.0018909090909090904,1.2582866335186671e-05,0.10399999999999998,2.1818181818181818e-05,0.0009454545454545452,6.291433167593336e-06,0.0006920576484352669,0.0024,4.3636363636363636e-05,0.0018909090909090904,1.2582866335186671e-05,0.10399999999999998,2.1818181818181818e-05,0.0009454545454545452,6.291433167593336e-06,0.0006920576484352669,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.21599999999999991,4.909090909090909e-05,0.001963636363636363,9.422949287281939e-06,0.0010365244216010133,0.0054,0.21599999999999991,4.909090909090909e-05,0.001963636363636363,9.422949287281939e-06,0.0010365244216010133,0.0054,0.21599999999999991,4.909090909090909e-05,0.001963636363636363,9.422949287281939e-06,0.0010365244216010133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,3.6363636363636366e-06,0.00021818181818181808,3.636363636363636e-06,0.011999999999999995,1.8181818181818183e-06,0.00010909090909090904,1.818181818181818e-06,0.00019999999999999998,0.0002,3.6363636363636366e-06,0.00021818181818181808,3.636363636363636e-06,0.011999999999999995,1.8181818181818183e-06,0.00010909090909090904,1.818181818181818e-06,0.00019999999999999998,0.0002,3.6363636363636366e-06,0.00021818181818181808,3.636363636363636e-06,0.011999999999999995,1.8181818181818183e-06,0.00010909090909090904,1.818181818181818e-06,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,9.454545454545454e-05,0.0037090909090909075,1.849546703269945e-05,0.20399999999999996,4.727272727272727e-05,0.0018545454545454538,9.247733516349724e-06,0.0010172506867984696,0.0052,9.454545454545454e-05,0.0037090909090909075,1.849546703269945e-05,0.20399999999999996,4.727272727272727e-05,0.0018545454545454538,9.247733516349724e-06,0.0010172506867984696,0.0052,9.454545454545454e-05,0.0037090909090909075,1.849546703269945e-05,0.20399999999999996,4.727272727272727e-05,0.0018545454545454538,9.247733516349724e-06,0.0010172506867984696,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132,0.372,0.00012,0.0033818181818181824,1.4674634140558668e-05,0.0016142097554614535,0.0132,0.372,0.00012,0.0033818181818181824,1.4674634140558668e-05,0.0016142097554614535,0.0132,0.372,0.00012,0.0033818181818181824,1.4674634140558668e-05,0.0016142097554614535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,1.0909090909090909e-05,0.0002909090909090909,6.297106521635132e-06,0.016,5.4545454545454545e-06,0.00014545454545454546,3.148553260817566e-06,0.00034634085868993225,0.0006,1.0909090909090909e-05,0.0002909090909090909,6.297106521635132e-06,0.016,5.4545454545454545e-06,0.00014545454545454546,3.148553260817566e-06,0.00034634085868993225,0.0006,1.0909090909090909e-05,0.0002909090909090909,6.297106521635132e-06,0.016,5.4545454545454545e-06,0.00014545454545454546,3.148553260817566e-06,0.00034634085868993225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0002290909090909091,0.006472727272727273,2.86831983482935e-05,0.35600000000000004,0.00011454545454545455,0.0032363636363636366,1.434159917414675e-05,0.0015775759091561426,0.0126,0.0002290909090909091,0.006472727272727273,2.86831983482935e-05,0.35600000000000004,0.00011454545454545455,0.0032363636363636366,1.434159917414675e-05,0.0015775759091561426,0.0126,0.0002290909090909091,0.006472727272727273,2.86831983482935e-05,0.35600000000000004,0.00011454545454545455,0.0032363636363636366,1.434159917414675e-05,0.0015775759091561426,0.07500000000000001,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.5160000000000002,0.00021818181818181818,0.004690909090909093,1.984600455372041e-05,0.002183060500909245,0.024,0.5160000000000002,0.00021818181818181818,0.004690909090909093,1.984600455372041e-05,0.002183060500909245,0.024,0.5160000000000002,0.00021818181818181818,0.004690909090909093,1.984600455372041e-05,0.002183060500909245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.8181818181818182e-05,0.0009454545454545458,8.127902517668801e-06,0.052000000000000025,9.090909090909091e-06,0.0004727272727272729,4.063951258834401e-06,0.0004470346384717841,0.001,1.8181818181818182e-05,0.0009454545454545458,8.127902517668801e-06,0.052000000000000025,9.090909090909091e-06,0.0004727272727272729,4.063951258834401e-06,0.0004470346384717841,0.001,1.8181818181818182e-05,0.0009454545454545458,8.127902517668801e-06,0.052000000000000025,9.090909090909091e-06,0.0004727272727272729,4.063951258834401e-06,0.0004470346384717841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0004181818181818182,0.00843636363636364,3.889003366350598e-05,0.4640000000000001,0.0002090909090909091,0.00421818181818182,1.944501683175299e-05,0.002138951851492829,0.023,0.0004181818181818182,0.00843636363636364,3.889003366350598e-05,0.4640000000000001,0.0002090909090909091,0.00421818181818182,1.944501683175299e-05,0.002138951851492829,0.023,0.0004181818181818182,0.00843636363636364,3.889003366350598e-05,0.4640000000000001,0.0002090909090909091,0.00421818181818182,1.944501683175299e-05,0.002138951851492829,0.1,5000
0.0,0.011999999999999981,0.0,0.005999999999999991,0.0,0.0,0.00010909090909090893,0.0,0.0,0.039,0.7159999999999995,0.00035454545454545455,0.006509090909090907,2.5932887772535103e-05,0.0028526176549788615,0.039,0.7039999999999997,0.00035454545454545455,0.006399999999999998,2.5932887772535103e-05,0.0028526176549788615,0.039,0.7039999999999997,0.00035454545454545455,0.006399999999999998,2.5932887772535103e-05,0.0028526176549788615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,5.8181818181818185e-05,0.0020363636363636356,1.4523615604336973e-05,0.11199999999999993,2.9090909090909093e-05,0.0010181818181818178,7.2618078021684865e-06,0.0007987988582385335,0.0032,5.8181818181818185e-05,0.0020363636363636356,1.4523615604336973e-05,0.11199999999999993,2.9090909090909093e-05,0.0010181818181818178,7.2618078021684865e-06,0.0007987988582385335,0.0032,5.8181818181818185e-05,0.0020363636363636356,1.4523615604336973e-05,0.11199999999999993,2.9090909090909093e-05,0.0010181818181818178,7.2618078021684865e-06,0.0007987988582385335,0.0,0.0,0.00021818181818181786,0.0,0.011999999999999981,0.0,0.011999999999999981,0.0,0.0,0.00010909090909090893,0.0,0.0,0.0358,0.0006509090909090909,0.010981818181818176,4.887195962399246e-05,0.6039999999999999,0.00032545454545454544,0.005490909090909088,2.443597981199623e-05,0.0026879577793195854,0.0358,0.0006509090909090909,0.01076363636363636,4.887195962399246e-05,0.5919999999999999,0.00032545454545454544,0.00538181818181818,2.443597981199623e-05,0.0026879577793195854,0.0358,0.0006509090909090909,0.01076363636363636,4.887195962399246e-05,0.5919999999999999,0.00032545454545454544,0.00538181818181818,2.443597981199623e-05,0.0026879577793195854,0.125,5000
0.0006,-2.6645352591003734e-17,0.0003,-1.3322676295501867e-17,0.00017317042934496613,5.4545454545454545e-06,-2.4223047810003397e-19,3.148553260817566e-06,0.00034634085868993225,0.0598,1.0959999999999996,0.0005436363636363637,0.009963636363636359,3.17625922796209e-05,0.003493885150758299,0.0592,1.0959999999999996,0.0005381818181818182,0.009963636363636359,3.1624726567216575e-05,0.0034787199223938236,0.0592,1.0959999999999996,0.0005381818181818182,0.009963636363636359,3.1624726567216575e-05,0.0034787199223938236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.00012,0.0033454545454545447,2.0822352183020128e-05,0.18399999999999994,6e-05,0.0016727272727272723,1.0411176091510064e-05,0.001145229370066107,0.0066,0.00012,0.0033454545454545447,2.0822352183020128e-05,0.18399999999999994,6e-05,0.0016727272727272723,1.0411176091510064e-05,0.001145229370066107,0.0066,0.00012,0.0033454545454545447,2.0822352183020128e-05,0.18399999999999994,6e-05,0.0016727272727272723,1.0411176091510064e-05,0.001145229370066107,0.0006,1.0909090909090909e-05,-4.844609562000679e-19,6.297106521635132e-06,-2.6645352591003734e-17,0.0006,-2.6645352591003734e-17,0.00034634085868993225,5.4545454545454545e-06,-2.4223047810003397e-19,3.148553260817566e-06,0.00034634085868993225,0.0532,0.0009672727272727272,0.01658181818181818,5.8397371170994036e-05,0.9119999999999999,0.0004836363636363636,0.00829090909090909,2.9198685585497018e-05,0.003211855414404672,0.0526,0.0009563636363636364,0.016581818181818184,5.8092800475533215e-05,0.9119999999999999,0.0004781818181818182,0.008290909090909092,2.9046400237766607e-05,0.003195104026154327,0.0526,0.0009563636363636364,0.016581818181818184,5.8092800475533215e-05,0.9119999999999999,0.0004781818181818182,0.008290909090909092,2.9046400237766607e-05,0.003195104026154327,0.15000000000000002,5000
0.0,0.024000000000000007,0.0,0.012000000000000004,0.0,0.0,0.00021818181818181824,0.0,0.0,0.0938,1.8000000000000005,0.0008527272727272727,0.01636363636363637,4.0700803964050505e-05,0.004477088436045555,0.0938,1.7760000000000005,0.0008527272727272727,0.01614545454545455,4.0700803964050505e-05,0.004477088436045555,0.0938,1.7760000000000005,0.0008527272727272727,0.01614545454545455,4.0700803964050505e-05,0.004477088436045555,0.0,0.0,0.000290909090909091,0.0,0.016000000000000007,0.0,0.016000000000000007,0.0,0.0,0.0001454545454545455,0.0,0.0,0.0124,0.00022545454545454545,0.005381818181818183,2.8918545914030157e-05,0.29600000000000004,0.00011272727272727272,0.0026909090909090915,1.4459272957015079e-05,0.0015905200252716587,0.0124,0.00022545454545454545,0.005090909090909093,2.8918545914030157e-05,0.28000000000000014,0.00011272727272727272,0.0025454545454545465,1.4459272957015079e-05,0.0015905200252716587,0.0124,0.00022545454545454545,0.005090909090909093,2.8918545914030157e-05,0.28000000000000014,0.00011272727272727272,0.0025454545454545465,1.4459272957015079e-05,0.0015905200252716587,0.0,0.0,0.0001454545454545455,0.0,0.008000000000000004,0.0,0.008000000000000004,0.0,0.0,7.272727272727276e-05,0.0,0.0,0.0814,0.00148,0.02734545454545455,7.344660536366249e-05,1.5040000000000002,0.00074,0.013672727272727276,3.6723302681831246e-05,0.004039563295001437,0.0814,0.00148,0.027200000000000016,7.344660536366249e-05,1.4960000000000009,0.00074,0.013600000000000008,3.6723302681831246e-05,0.004039563295001437,0.0814,0.00148,0.027200000000000016,7.344660536366249e-05,1.4960000000000009,0.00074,0.013600000000000008,3.6723302681831246e-05,0.004039563295001437,0.17500000000000002,5000
0.0018,0.10400000000000004,0.0009,0.05200000000000002,0.00029975985587506345,1.6363636363636363e-05,0.0009454545454545457,5.450179197728426e-06,0.0005995197117501269,0.1498,1.924000000000001,0.0013618181818181817,0.0174909090909091,5.1713182050101954e-05,0.005688450025511215,0.148,1.8200000000000005,0.0013454545454545453,0.01654545454545455,5.099464653365624e-05,0.005609411118702187,0.148,1.8200000000000005,0.0013454545454545453,0.01654545454545455,5.099464653365624e-05,0.005609411118702187,0.0008,1.4545454545454546e-05,0.0008727272727272731,7.270544690592574e-06,0.048000000000000015,0.0008,0.048000000000000015,0.0003998799579825916,7.272727272727273e-06,0.00043636363636363653,3.635272345296287e-06,0.0003998799579825916,0.0214,0.0003890909090909091,0.008000000000000004,3.791804060727008e-05,0.44000000000000017,0.00019454545454545454,0.004000000000000002,1.895902030363504e-05,0.0020854922333998546,0.0206,0.00037454545454545455,0.00712727272727273,3.652661290429624e-05,0.3920000000000001,0.00018727272727272728,0.003563636363636365,1.826330645214812e-05,0.002008963709736293,0.0206,0.00037454545454545455,0.00712727272727273,3.652661290429624e-05,0.3920000000000001,0.00018727272727272728,0.003563636363636365,1.826330645214812e-05,0.002008963709736293,0.001,1.8181818181818182e-05,0.0010181818181818185,8.127902517668801e-06,0.05600000000000002,0.001,0.05600000000000002,0.0004470346384717841,9.090909090909091e-06,0.0005090909090909092,4.063951258834401e-06,0.0004470346384717841,0.1284,0.002334545454545454,0.02698181818181818,9.124977173318493e-05,1.4840000000000004,0.001167272727272727,0.01349090909090909,4.5624885866592466e-05,0.005018737445325171,0.1274,0.002316363636363637,0.025963636363636373,9.08342232951741e-05,1.4280000000000004,0.0011581818181818184,0.012981818181818186,4.541711164758705e-05,0.004995882281234576,0.1274,0.002316363636363637,0.025963636363636373,9.08342232951741e-05,1.4280000000000004,0.0011581818181818184,0.012981818181818186,4.541711164758705e-05,0.004995882281234576,0.2,5000
0.0052,0.10000000000000003,0.0026,0.05000000000000002,0.0005279239914496685,4.727272727272727e-05,0.0009090909090909094,9.59861802635761e-06,0.001055847982899337,0.19,2.416000000000001,0.0017272727272727272,0.02196363636363637,5.92992897132077e-05,0.006522921868452847,0.1848,2.3160000000000007,0.0016799999999999999,0.021054545454545458,5.782410173861157e-05,0.0063606511912472725,0.1848,2.3160000000000007,0.0016799999999999999,0.021054545454545458,5.782410173861157e-05,0.0063606511912472725,0.0024,4.3636363636363636e-05,0.0008000000000000004,1.2582866335186671e-05,0.04400000000000002,0.0024,0.04400000000000002,0.0006920576484352669,2.1818181818181818e-05,0.0004000000000000002,6.291433167593336e-06,0.0006920576484352669,0.0344,0.0006254545454545455,0.01105454545454546,4.853133247295029e-05,0.6080000000000001,0.00031272727272727273,0.00552727272727273,2.4265666236475144e-05,0.0026692232860122656,0.032,0.0005818181818181818,0.01025454545454546,4.6413532155615714e-05,0.5640000000000003,0.0002909090909090909,0.00512727272727273,2.3206766077807857e-05,0.0025527442685588644,0.032,0.0005818181818181818,0.01025454545454546,4.6413532155615714e-05,0.5640000000000003,0.0002909090909090909,0.00512727272727273,2.3206766077807857e-05,0.0025527442685588644,0.0028,5.090909090909091e-05,0.0010181818181818187,1.3588323971129758e-05,0.05600000000000002,0.0028,0.05600000000000002,0.0007473578184121367,2.5454545454545454e-05,0.0005090909090909093,6.794161985564879e-06,0.0007473578184121367,0.1556,0.0028290909090909087,0.03287272727272729,0.00010097687613427468,1.8080000000000007,0.0014145454545454544,0.016436363636363645,5.048843806713734e-05,0.005553728187385107,0.1528,0.002778181818181818,0.03185454545454546,9.981215297550731e-05,1.7520000000000002,0.001389090909090909,0.01592727272727273,4.990607648775366e-05,0.005489668413652902,0.1528,0.002778181818181818,0.03185454545454546,9.981215297550731e-05,1.7520000000000002,0.001389090909090909,0.01592727272727273,4.990607648775366e-05,0.005489668413652902,0.225,5000
