exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0,0.01600000000000001,0.0,0.00033333333333333354,0.0,0.0,8.333333333333338e-05,0.0,0.0,0.0,0.01600000000000001,0.0,8.333333333333338e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333338e-05,0.0,0.008000000000000005,0.0,0.00033333333333333354,0.0,0.0,4.166666666666669e-05,0.0,0.0,0.0,0.0,8.333333333333338e-05,0.0,0.008000000000000005,0.0,4.166666666666669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333338e-05,0.0,0.008000000000000005,0.0,0.00033333333333333354,0.0,0.0,4.166666666666669e-05,0.0,0.0,0.0,0.0,8.333333333333338e-05,0.0,0.008000000000000005,0.0,4.166666666666669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,5000
0.0008,0.03600000000000001,1.6666666666666667e-05,0.0007500000000000002,8.330832457970658e-06,4.166666666666667e-06,0.00018750000000000006,2.0827081144926644e-06,0.0003998799579825916,0.0008,0.03600000000000001,4.166666666666667e-06,0.00018750000000000006,2.0827081144926644e-06,0.0003998799579825916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,4.166666666666667e-06,0.0,2.9459835534423416e-06,0.0,1.6666666666666667e-05,0.0,1.1783934213769366e-05,2.0833333333333334e-06,0.0,1.4729917767211708e-06,0.0002828144211304648,0.0004,4.166666666666667e-06,0.0,2.9459835534423416e-06,0.0,2.0833333333333334e-06,0.0,1.4729917767211708e-06,0.0002828144211304648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,4.166666666666667e-06,0.0003750000000000001,2.9459835534423416e-06,0.03600000000000001,1.6666666666666667e-05,0.0015000000000000005,1.1783934213769366e-05,2.0833333333333334e-06,0.00018750000000000006,1.4729917767211708e-06,0.0002828144211304648,0.0004,4.166666666666667e-06,0.0003750000000000001,2.9459835534423416e-06,0.03600000000000001,2.0833333333333334e-06,0.00018750000000000006,1.4729917767211708e-06,0.0002828144211304648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5000
0.0018,0.06399999999999996,3.75e-05,0.0013333333333333322,1.2489993994794311e-05,9.375e-06,0.00033333333333333305,3.1224984986985777e-06,0.0005995197117501269,0.0018,0.06399999999999996,9.375e-06,0.00033333333333333305,3.1224984986985777e-06,0.0005995197117501269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020833333333333286,0.0,0.019999999999999955,0.0,0.0008333333333333314,0.0,0.0,0.00010416666666666643,0.0,0.0,0.0,0.0,0.00020833333333333286,0.0,0.019999999999999955,0.0,0.00010416666666666643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,1.875e-05,0.0004583333333333333,6.2449969973971555e-06,0.044,7.5e-05,0.0018333333333333333,2.4979987989588622e-05,9.375e-06,0.00022916666666666666,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.0004583333333333333,6.2449969973971555e-06,0.044,9.375e-06,0.00022916666666666666,3.1224984986985777e-06,0.0005995197117501269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,5000
0.004,0.23600000000000004,8.333333333333333e-05,0.004916666666666667,1.859845460881362e-05,2.0833333333333333e-05,0.0012291666666666668,4.649613652203405e-06,0.0008927258212230538,0.004,0.24400000000000005,2.0833333333333333e-05,0.0012708333333333339,4.649613652203405e-06,0.0008927258212230538,0.0,0.008000000000000005,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.008000000000000005,0.0,4.16666666666667e-05,0.0,0.0,0.0014,1.4583333333333333e-05,0.0008749999999999999,5.508673054192435e-06,0.084,5.833333333333333e-05,0.0034999999999999996,2.203469221676974e-05,7.291666666666667e-06,0.00043749999999999995,2.7543365270962175e-06,0.0005288326132024737,0.0014,1.4583333333333333e-05,0.0009166666666666666,5.508673054192435e-06,0.08800000000000001,7.291666666666667e-06,0.0004583333333333333,2.7543365270962175e-06,0.0005288326132024737,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0026,2.7083333333333332e-05,0.0015833333333333344,7.502544058897177e-06,0.15200000000000008,0.00010833333333333333,0.0063333333333333375,3.001017623558871e-05,1.3541666666666666e-05,0.0007916666666666672,3.7512720294485887e-06,0.000720244229654129,0.0026,2.7083333333333332e-05,0.0016250000000000008,7.502544058897177e-06,0.15600000000000006,1.3541666666666666e-05,0.0008125000000000004,3.7512720294485887e-06,0.000720244229654129,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.15000000000000002,5000
0.0136,0.6840000000000002,0.0002833333333333333,0.014250000000000006,3.610608838980832e-05,7.083333333333332e-05,0.0035625000000000014,9.02652209745208e-06,0.0017330922427107995,0.014,0.7120000000000003,7.291666666666667e-05,0.003708333333333335,9.142689230438928e-06,0.0017553963322442742,0.0004,0.02800000000000001,2.0833333333333334e-06,0.00014583333333333337,1.4729917767211708e-06,0.0002828144211304648,0.0004,0.02800000000000001,2.0833333333333334e-06,0.00014583333333333337,1.4729917767211708e-06,0.0002828144211304648,0.0042,4.375e-05,0.0021666666666666674,9.527915672839842e-06,0.20800000000000007,0.000175,0.00866666666666667,3.811166269135937e-05,2.1875e-05,0.0010833333333333337,4.763957836419921e-06,0.0009146799045926248,0.0044,4.5833333333333334e-05,0.002250000000000001,9.751153225135285e-06,0.21600000000000008,2.2916666666666667e-05,0.0011250000000000006,4.875576612567642e-06,0.0009361107096129874,0.0002,2.0833333333333334e-06,8.333333333333337e-05,2.083333333333333e-06,0.008000000000000004,1.0416666666666667e-06,4.1666666666666686e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,8.333333333333337e-05,2.083333333333333e-06,0.008000000000000004,1.0416666666666667e-06,4.1666666666666686e-05,1.0416666666666665e-06,0.00019999999999999998,0.0094,9.791666666666667e-05,0.004958333333333335,1.5105059419413509e-05,0.4760000000000001,0.0003916666666666667,0.01983333333333334,6.0420237677654035e-05,4.8958333333333335e-05,0.0024791666666666677,7.552529709706754e-06,0.0014500857042636969,0.0096,9.999999999999999e-05,0.005166666666666668,1.5245375833243974e-05,0.4960000000000002,4.9999999999999996e-05,0.002583333333333334,7.622687916621987e-06,0.0014635560799914214,0.0002,2.0833333333333334e-06,0.0002083333333333334,2.083333333333333e-06,0.020000000000000007,1.0416666666666667e-06,0.0001041666666666667,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0002083333333333334,2.083333333333333e-06,0.020000000000000007,1.0416666666666667e-06,0.0001041666666666667,1.0416666666666665e-06,0.00019999999999999998,0.17500000000000002,5000
0.0382,1.6680000000000008,0.0007958333333333333,0.03475000000000001,6.370376184138136e-05,0.00019895833333333332,0.008687500000000003,1.592594046034534e-05,0.0030577805683863054,0.0396,1.7080000000000006,0.00020625000000000003,0.008895833333333337,1.6411088630672452e-05,0.0031509290170891107,0.0014,0.04000000000000001,7.291666666666667e-06,0.00020833333333333337,3.1236105243749642e-06,0.0005997332206799931,0.0014,0.04000000000000001,7.291666666666667e-06,0.00020833333333333337,3.1236105243749642e-06,0.0005997332206799931,0.0118,0.00012291666666666665,0.0050833333333333355,1.7219662268218387e-05,0.48800000000000016,0.0004916666666666666,0.020333333333333342,6.887864907287355e-05,6.145833333333333e-05,0.0025416666666666678,8.609831134109193e-06,0.0016530875777489651,0.0122,0.00012708333333333335,0.005250000000000002,1.7463982525103698e-05,0.5040000000000001,6.354166666666668e-05,0.002625000000000001,8.731991262551849e-06,0.0016765423224099551,0.0004,4.166666666666667e-06,0.00016666666666666672,2.9459835534423416e-06,0.016000000000000007,2.0833333333333334e-06,8.333333333333336e-05,1.4729917767211708e-06,0.0002828144211304648,0.0004,4.166666666666667e-06,0.00016666666666666672,2.9459835534423416e-06,0.016000000000000007,2.0833333333333334e-06,8.333333333333336e-05,1.4729917767211708e-06,0.0002828144211304648,0.0264,0.000275,0.012291666666666671,2.4521719095241294e-05,1.1800000000000004,0.0011,0.049166666666666685,9.808687638096518e-05,0.0001375,0.006145833333333336,1.2260859547620647e-05,0.002354085033143164,0.0274,0.0002854166666666667,0.012541666666666673,2.5282746155686028e-05,1.2040000000000006,0.00014270833333333334,0.006270833333333337,1.2641373077843014e-05,0.0024271436309458586,0.001,1.0416666666666666e-05,0.00025000000000000006,4.656610817414418e-06,0.024000000000000007,5.208333333333333e-06,0.00012500000000000003,2.328305408707209e-06,0.0004470346384717841,0.001,1.0416666666666666e-05,0.00025000000000000006,4.656610817414418e-06,0.024000000000000007,5.208333333333333e-06,0.00012500000000000003,2.328305408707209e-06,0.0004470346384717841,0.2,5000
0.097,3.708000000000001,0.0020208333333333332,0.07725000000000001,0.00011562849257520653,0.0005052083333333333,0.019312500000000003,2.8907123143801633e-05,0.005550167643609914,0.0994,3.768000000000001,0.0005177083333333333,0.019625000000000004,2.9347596396791424e-05,0.0056347385081839535,0.0024,0.060000000000000026,1.2499999999999999e-05,0.0003125000000000001,3.604466918933682e-06,0.0006920576484352669,0.0024,0.060000000000000026,1.2499999999999999e-05,0.0003125000000000001,3.604466918933682e-06,0.0006920576484352669,0.0286,0.00029791666666666665,0.012375000000000004,2.739759887829535e-05,1.1880000000000006,0.0011916666666666666,0.049500000000000016,0.0001095903955131814,0.00014895833333333333,0.006187500000000002,1.3698799439147674e-05,0.0026301694923163534,0.0296,0.00030833333333333337,0.012750000000000004,2.7924060823182468e-05,1.2240000000000006,0.00015416666666666668,0.006375000000000002,1.3962030411591234e-05,0.002680709839025517,0.001,1.0416666666666666e-05,0.0003750000000000001,4.656610817414418e-06,0.03600000000000002,5.208333333333333e-06,0.00018750000000000006,2.328305408707209e-06,0.0004470346384717841,0.001,1.0416666666666666e-05,0.0003750000000000001,4.656610817414418e-06,0.03600000000000002,5.208333333333333e-06,0.00018750000000000006,2.328305408707209e-06,0.0004470346384717841,0.0684,0.0007125,0.026250000000000013,4.3436083051817636e-05,2.5200000000000014,0.00285,0.10500000000000005,0.00017374433220727054,0.00035625,0.013125000000000006,2.1718041525908818e-05,0.004169863972974493,0.0698,0.0007270833333333334,0.026500000000000003,4.3934568306904056e-05,2.5440000000000005,0.0003635416666666667,0.013250000000000001,2.1967284153452028e-05,0.004217718557462789,0.0014,1.4583333333333333e-05,0.0002500000000000001,5.508673054192435e-06,0.02400000000000001,7.291666666666667e-06,0.00012500000000000006,2.7543365270962175e-06,0.0005288326132024737,0.0014,1.4583333333333333e-05,0.0002500000000000001,5.508673054192435e-06,0.02400000000000001,7.291666666666667e-06,0.00012500000000000006,2.7543365270962175e-06,0.0005288326132024737,0.225,5000
