exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,5000
0.0,0.008000000000000005,0.0,0.0020000000000000013,0.0,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.01600000000000001,0.0,8.33333333333334e-05,0.0,0.0,0.0,0.008000000000000005,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.008000000000000005,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.0,8.33333333333334e-05,0.0,0.008000000000000005,0.0,0.004000000000000003,0.0,0.0,4.16666666666667e-05,0.0,0.0,0.0,0.0,0.00012500000000000008,0.0,0.012000000000000007,0.0,6.250000000000004e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.0,0.0,4.16666666666667e-05,0.0,0.004000000000000003,0.0,2.083333333333335e-05,0.0,0.0,0.15000000000000002,5000
0.0004,0.0,0.0001,0.0,7.07036052826162e-05,2.0833333333333334e-06,0.0,1.4729917767211708e-06,0.0002828144211304648,0.0008,0.040000000000000015,4.166666666666667e-06,0.0002083333333333334,2.0827081144926644e-06,0.0003998799579825916,0.0004,0.040000000000000015,2.0833333333333334e-06,0.0002083333333333334,1.4729917767211708e-06,0.0002828144211304648,0.0004,0.040000000000000015,2.0833333333333334e-06,0.0002083333333333334,1.4729917767211708e-06,0.0002828144211304648,0.0004,4.166666666666667e-06,0.0,2.9459835534423416e-06,0.0,0.0002,0.0,0.0001414072105652324,2.0833333333333334e-06,0.0,1.4729917767211708e-06,0.0002828144211304648,0.0006,6.2499999999999995e-06,4.1666666666666686e-05,3.6077172780201276e-06,0.004000000000000002,3.1249999999999997e-06,2.0833333333333343e-05,1.8038586390100638e-06,0.00034634085868993225,0.0002,2.0833333333333334e-06,4.1666666666666686e-05,2.083333333333333e-06,0.004000000000000002,1.0416666666666667e-06,2.0833333333333343e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,4.1666666666666686e-05,2.083333333333333e-06,0.004000000000000002,1.0416666666666667e-06,2.0833333333333343e-05,1.0416666666666665e-06,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2.0833333333333334e-06,0.0003750000000000001,2.083333333333333e-06,0.03600000000000001,1.0416666666666667e-06,0.00018750000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0003750000000000001,2.083333333333333e-06,0.03600000000000001,1.0416666666666667e-06,0.00018750000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0003750000000000001,2.083333333333333e-06,0.03600000000000001,1.0416666666666667e-06,0.00018750000000000006,1.0416666666666665e-06,0.00019999999999999998,0.17500000000000002,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.12800000000000003,1.0416666666666666e-05,0.0006666666666666669,3.29107266516755e-06,0.0006318859517121696,0.002,0.12800000000000003,1.0416666666666666e-05,0.0006666666666666668,3.29107266516755e-06,0.0006318859517121696,0.002,0.12800000000000003,1.0416666666666666e-05,0.0006666666666666668,3.29107266516755e-06,0.0006318859517121696,0.0,0.0,-4.1666666666666686e-05,0.0,-0.004000000000000002,0.0,-0.002000000000000001,0.0,0.0,-2.0833333333333343e-05,0.0,0.0,0.0002,2.0833333333333334e-06,0.0003750000000000001,2.083333333333333e-06,0.03600000000000001,1.0416666666666667e-06,0.00018750000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0004166666666666668,2.083333333333333e-06,0.040000000000000015,1.0416666666666667e-06,0.0002083333333333334,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0004166666666666668,2.083333333333333e-06,0.040000000000000015,1.0416666666666667e-06,0.0002083333333333334,1.0416666666666665e-06,0.00019999999999999998,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,0.002000000000000001,0.0,0.0,2.0833333333333343e-05,0.0,0.0,0.0018,1.875e-05,0.0009583333333333336,6.2449969973971555e-06,0.09200000000000003,9.375e-06,0.0004791666666666668,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.000916666666666667,6.2449969973971555e-06,0.08800000000000002,9.375e-06,0.0004583333333333335,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.000916666666666667,6.2449969973971555e-06,0.08800000000000002,9.375e-06,0.0004583333333333335,3.1224984986985777e-06,0.0005995197117501269,0.2,5000
0.0004,0.020000000000000007,0.0001,0.005000000000000002,7.07036052826162e-05,2.0833333333333334e-06,0.0001041666666666667,1.4729917767211708e-06,0.0002828144211304648,0.0072,0.22400000000000006,3.75e-05,0.0011666666666666672,6.399967250310731e-06,0.0012287937120596603,0.0068,0.2040000000000001,3.541666666666666e-05,0.0010625000000000005,6.053827121756911e-06,0.001162334807377327,0.0068,0.2040000000000001,3.541666666666666e-05,0.0010625000000000005,6.053827121756911e-06,0.001162334807377327,0.0002,2.0833333333333334e-06,0.00016666666666666674,2.083333333333333e-06,0.016000000000000007,0.0001,0.008000000000000004,9.999999999999999e-05,1.0416666666666667e-06,8.333333333333337e-05,1.0416666666666665e-06,0.00019999999999999998,0.0024,2.4999999999999998e-05,0.000916666666666667,7.787876417400794e-06,0.08800000000000002,1.2499999999999999e-05,0.0004583333333333335,3.893938208700397e-06,0.0007476361360704763,0.0022,2.2916666666666667e-05,0.0007500000000000002,6.9027205030626876e-06,0.07200000000000002,1.1458333333333333e-05,0.0003750000000000001,3.4513602515313438e-06,0.000662661168294018,0.0022,2.2916666666666667e-05,0.0007500000000000002,6.9027205030626876e-06,0.07200000000000002,1.1458333333333333e-05,0.0003750000000000001,3.4513602515313438e-06,0.000662661168294018,0.0002,2.0833333333333334e-06,4.1666666666666686e-05,2.083333333333333e-06,0.004000000000000002,0.0001,0.002000000000000001,9.999999999999999e-05,1.0416666666666667e-06,2.0833333333333343e-05,1.0416666666666665e-06,0.00019999999999999998,0.0048,4.9999999999999996e-05,0.0014166666666666672,1.0182701220574831e-05,0.13600000000000007,2.4999999999999998e-05,0.0007083333333333336,5.0913506102874155e-06,0.0009775393171751838,0.0046,4.791666666666667e-05,0.0013750000000000006,9.969306139997034e-06,0.13200000000000003,2.3958333333333334e-05,0.0006875000000000003,4.984653069998517e-06,0.0009570533894397153,0.0046,4.791666666666667e-05,0.0013750000000000006,9.969306139997034e-06,0.13200000000000003,2.3958333333333334e-05,0.0006875000000000003,4.984653069998517e-06,0.0009570533894397153,0.225,5000
