exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20000
0.0,0.0005,0.0003535445512060458,0.0,0.000125,8.838613780151144e-05,0.0,0.0,2.6041666666666666e-06,1.8413778708648217e-06,0.0,0.0,0.0,0.0,5.208333333333333e-06,3.6827557417296435e-06,0.0,0.0005,0.0003535445512060458,0.0,0.00025,0.0001767722756030229,0.0,0.0,2.6041666666666666e-06,1.8413778708648217e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,20000
0.0001,0.007,0.0015267612397907864,2.5e-05,0.00175,0.0003816903099476966,1.7677227560302294e-05,5.208333333333334e-07,3.6458333333333336e-05,7.95188145724368e-06,3.6827557417296444e-07,7.070891024120918e-05,0.0001,1.0416666666666667e-06,4.8611111111111115e-05,1.2987642672319324e-05,7.365511483459289e-07,0.004666666666666667,0.0012468136965426552,5e-05,0.0023333333333333335,0.0006234068482713276,3.535445512060459e-05,5.208333333333334e-07,2.4305555555555558e-05,6.493821336159662e-06,3.6827557417296444e-07,7.070891024120918e-05,0.0,0.0,2.4305555555555554e-05,9.185258328998817e-06,0.0,0.002333333333333333,0.0008817847995838864,0.0,0.0011666666666666665,0.0004408923997919432,0.0,0.0,1.2152777777777777e-05,4.592629164499408e-06,0.0,0.0,0.2,0.25,0.1,20000
0.00105,0.06100000000000001,0.005640526640043362,0.0002625,0.015250000000000003,0.0014101316600108405,5.725354649215448e-05,5.46875e-06,0.0003177083333333334,2.937774291689251e-05,1.1927822185865518e-06,0.00022901418596861793,0.0007,7.291666666666667e-06,0.00039062500000000013,4.5620536468696764e-05,1.9481464008478993e-06,0.03750000000000001,0.004379571500994889,0.00035,0.018750000000000006,0.0021897857504974447,9.351102724069916e-05,3.6458333333333333e-06,0.00019531250000000007,2.2810268234348382e-05,9.740732004239496e-07,0.00018702205448139833,0.00035,3.6458333333333333e-06,0.00024479166666666676,3.5665446168823836e-05,1.3777887493498224e-06,0.023500000000000007,0.0034238828322070885,0.000175,0.011750000000000003,0.0017119414161035442,6.613385996879148e-05,1.8229166666666666e-06,0.00012239583333333338,1.7832723084411918e-05,6.888943746749112e-07,0.00013226771993758295,0.25,0.3,0.2,20000
0.0062,0.4160000000000001,0.017460310510473635,0.00155,0.10400000000000002,0.004365077627618409,0.00014210342947738262,3.229166666666667e-05,0.002166666666666667,9.093911724205018e-05,2.960488114112138e-06,0.0005684137179095305,0.00385,4.010416666666667e-05,0.002562500000000001,0.0001230230710258591,4.620689543473921e-06,0.24600000000000008,0.011810214818482472,0.001925,0.12300000000000004,0.005905107409241236,0.00022179309808674822,2.0052083333333334e-05,0.0012812500000000005,6.151153551292955e-05,2.3103447717369606e-06,0.00044358619617349644,0.00235,2.4479166666666668e-05,0.0017708333333333337,0.0001039372358763535,3.5665446168823836e-06,0.17000000000000004,0.009977974644129936,0.001175,0.08500000000000002,0.004988987322064968,0.0001711941416103544,1.2239583333333334e-05,0.0008854166666666668,5.196861793817675e-05,1.7832723084411918e-06,0.0003423882832207088,0.3,0.35,0.25,20000
0.04265,0.91,0.03360780872912889,0.0106625,0.2275,0.008401952182282223,0.0004402913779673361,0.00022213541666666668,0.0047395833333333335,0.000175040670464213,9.172737040986168e-06,0.0017611655118693443,0.0253,0.00026354166666666664,0.005486111111111113,0.0002293480486137027,1.2448099298456124e-05,0.5266666666666668,0.02201741266691546,0.01265,0.2633333333333334,0.01100870633345773,0.000597508766325894,0.00013177083333333332,0.0027430555555555563,0.00011467402430685135,6.224049649228062e-06,0.001195017532651788,0.01735,0.00018072916666666668,0.003993055555555556,0.00020347479089009315,1.0481566056358894e-05,0.38333333333333336,0.019533579925448942,0.008675,0.19166666666666668,0.009766789962724471,0.0005031151707052269,9.036458333333334e-05,0.001996527777777778,0.00010173739544504657,5.240783028179447e-06,0.0010062303414104538,0.35,0.36,0.3,20000
0.0608,2.092499999999998,0.0839653184132282,0.0152,0.5231249999999995,0.02099132960330705,0.0005376685357845654,0.00031666666666666665,0.01089843749999999,0.00043731936673556355,1.1201427828845113e-05,0.0021506741431382616,0.03545,0.0003692708333333334,0.011901041666666659,0.0005756221507130726,1.47120975074108e-05,1.1424999999999992,0.05525972646845497,0.017725,0.5712499999999996,0.027629863234227486,0.0007061806803557184,0.0001846354166666667,0.005950520833333329,0.0002878110753565363,7.3560487537054e-06,0.0014123613607114368,0.02535,0.00026406250000000003,0.009895833333333324,0.0005329329832103723,1.2802097730276778e-05,0.9499999999999991,0.051161566388195745,0.012675,0.47499999999999953,0.025580783194097872,0.0006145006910532854,0.00013203125000000001,0.004947916666666662,0.00026646649160518617,6.401048865138389e-06,0.0012290013821065707,0.36,0.37,0.35,20000
0.0845,2.8649999999999975,0.09951172734504182,0.021125,0.7162499999999994,0.024877931836260456,0.0006494384553330388,0.0004401041666666667,0.014921874999999987,0.0005182902465887595,1.3529967819438307e-05,0.002597753821332155,0.04815,0.0005015625,0.016406249999999987,0.0006781786560341148,1.7248049786592094e-05,1.5749999999999986,0.06510515097927502,0.024075,0.7874999999999993,0.03255257548963751,0.0008279063897564205,0.00025078125,0.008203124999999993,0.0003390893280170574,8.624024893296047e-06,0.001655812779512841,0.03635,0.0003786458333333333,0.013437499999999991,0.0006177505649333905,1.5508400719095856e-05,1.2899999999999991,0.059304054233605484,0.018175,0.6449999999999996,0.029652027116802742,0.0007444032345166012,0.00018932291666666666,0.0067187499999999956,0.00030887528246669523,7.754200359547928e-06,0.0014888064690332023,0.37,0.38,0.36,20000
0.1181,3.9374999999999964,0.11637968851605905,0.029525,0.9843749999999991,0.029094922129014763,0.0007847416834382421,0.0006151041666666667,0.020507812499999983,0.0006061442110211409,1.6348785071630043e-05,0.0031389667337529685,0.06695,0.0006973958333333333,0.02252604166666665,0.0007854203931856085,2.050146758044955e-05,2.1624999999999983,0.07540035774581842,0.033475,1.0812499999999992,0.03770017887290921,0.0009840704438615784,0.00034869791666666664,0.011263020833333325,0.00039271019659280426,1.0250733790224775e-05,0.001968140887723157,0.05115,0.0005328125,0.01848958333333332,0.0007323380353529054,1.8419660086816232e-05,1.7749999999999986,0.07030445139387892,0.025575,0.8874999999999993,0.03515222569693946,0.0008841436841671792,0.00026640625,0.00924479166666666,0.0003661690176764527,9.209830043408116e-06,0.0017682873683343584,0.38,0.39,0.37,20000
0.16325,5.2549999999999955,0.13627243763455216,0.0408125,1.3137499999999989,0.03406810940863804,0.0009414311216522112,0.0008502604166666667,0.027369791666666643,0.0007097522793466258,1.96131483677544e-05,0.0037657244866088446,0.0914,0.0009520833333333333,0.030364583333333306,0.0009229502484345963,2.407708145959607e-05,2.9149999999999974,0.08860322384972125,0.0457,1.4574999999999987,0.04430161192486062,0.0011556999100606113,0.00047604166666666666,0.015182291666666653,0.00046147512421729816,1.2038540729798035e-05,0.0023113998201212227,0.07185,0.0007484375,0.02437499999999998,0.000834246940731656,2.19606485601848e-05,2.339999999999998,0.08008770631023897,0.035925,1.169999999999999,0.040043853155119484,0.0010541111308888704,0.00037421875,0.01218749999999999,0.000417123470365828,1.09803242800924e-05,0.002108222261777741,0.39,0.4,0.38,20000
