exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,5000
0.0,0.004000000000000002,0.0,0.0005000000000000002,0.0,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.008000000000000004,0.0,4.1666666666666686e-05,0.0,0.0,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,0.0010000000000000005,0.0,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5000
0.0002,0.0040000000000000036,2.5e-05,0.0005000000000000004,2.4999999999999998e-05,1.0416666666666667e-06,2.0833333333333353e-05,1.0416666666666665e-06,0.00019999999999999998,0.0004,0.015999999999999997,2.0833333333333334e-06,8.333333333333332e-05,1.4729917767211708e-06,0.0002828144211304648,0.0002,0.01199999999999999,1.0416666666666667e-06,6.249999999999995e-05,1.0416666666666665e-06,0.00019999999999999996,0.0002,0.01199999999999999,1.0416666666666667e-06,6.249999999999995e-05,1.0416666666666665e-06,0.00019999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2.0833333333333334e-06,9.251858538542965e-20,2.083333333333333e-06,8.881784197001246e-18,1.0416666666666667e-06,4.625929269271482e-20,1.0416666666666665e-06,0.00019999999999999996,0.0002,2.0833333333333334e-06,9.251858538542965e-20,2.083333333333333e-06,8.881784197001246e-18,1.0416666666666667e-06,4.625929269271482e-20,1.0416666666666665e-06,0.00019999999999999996,0.0002,2.0833333333333334e-06,9.251858538542965e-20,2.083333333333333e-06,8.881784197001246e-18,1.0416666666666667e-06,4.625929269271482e-20,1.0416666666666665e-06,0.00019999999999999996,0.0002,2.0833333333333334e-06,4.1666666666666706e-05,2.083333333333333e-06,0.0040000000000000036,5e-05,0.0010000000000000009,4.9999999999999996e-05,1.0416666666666667e-06,2.0833333333333353e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.00016666666666666653,2.083333333333333e-06,0.01599999999999999,1.0416666666666667e-06,8.333333333333326e-05,1.0416666666666665e-06,0.00019999999999999998,0.0,0.0,0.0001249999999999998,0.0,0.011999999999999981,0.0,6.24999999999999e-05,0.0,0.0,0.0,0.0,0.0001249999999999998,0.0,0.011999999999999981,0.0,6.24999999999999e-05,0.0,0.0,0.125,5000
0.0002,0.008000000000000004,2.5e-05,0.0010000000000000005,2.4999999999999998e-05,1.0416666666666667e-06,4.1666666666666686e-05,1.0416666666666665e-06,0.00019999999999999998,0.0008,0.019999999999999993,4.166666666666667e-06,0.00010416666666666663,2.0827081144926644e-06,0.0003998799579825916,0.0006,0.01199999999999999,3.1249999999999997e-06,6.249999999999995e-05,1.803858639010064e-06,0.0003463408586899323,0.0006,0.01199999999999999,3.1249999999999997e-06,6.249999999999995e-05,1.803858639010064e-06,0.0003463408586899323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.166666666666661e-05,0.0,-0.003999999999999995,0.0,-2.0833333333333306e-05,0.0,0.0,0.0,0.0,-4.166666666666661e-05,0.0,-0.003999999999999995,0.0,-2.0833333333333306e-05,0.0,0.0,0.0,0.0,-4.166666666666661e-05,0.0,-0.003999999999999995,0.0,-2.0833333333333306e-05,0.0,0.0,0.0002,2.0833333333333334e-06,8.333333333333337e-05,2.083333333333333e-06,0.008000000000000004,5e-05,0.002000000000000001,4.9999999999999996e-05,1.0416666666666667e-06,4.1666666666666686e-05,1.0416666666666665e-06,0.00019999999999999998,0.0008,8.333333333333334e-06,0.0002499999999999999,4.165416228985329e-06,0.023999999999999987,4.166666666666667e-06,0.00012499999999999995,2.0827081144926644e-06,0.0003998799579825916,0.0006,6.2499999999999995e-06,0.00016666666666666653,3.607717278020128e-06,0.015999999999999983,3.1249999999999997e-06,8.333333333333326e-05,1.803858639010064e-06,0.0003463408586899323,0.0006,6.2499999999999995e-06,0.00016666666666666653,3.607717278020128e-06,0.015999999999999983,3.1249999999999997e-06,8.333333333333326e-05,1.803858639010064e-06,0.0003463408586899323,0.15000000000000002,5000
0.0006,0.012000000000000005,7.5e-05,0.0015000000000000007,4.329260733624154e-05,3.1249999999999997e-06,6.250000000000003e-05,1.803858639010064e-06,0.0003463408586899323,0.0014,0.05200000000000001,7.291666666666667e-06,0.0002708333333333334,2.7543365270962175e-06,0.0005288326132024737,0.0008,0.040000000000000015,4.166666666666667e-06,0.00020833333333333343,2.0827081144926644e-06,0.0003998799579825916,0.0008,0.040000000000000015,4.166666666666667e-06,0.00020833333333333343,2.0827081144926644e-06,0.0003998799579825916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025000000000000006,0.0,0.024000000000000007,0.0,0.00012500000000000003,0.0,0.0,0.0,0.0,0.00025000000000000006,0.0,0.024000000000000007,0.0,0.00012500000000000003,0.0,0.0,0.0,0.0,0.00025000000000000006,0.0,0.024000000000000007,0.0,0.00012500000000000003,0.0,0.0,0.0006,6.2499999999999995e-06,0.00012500000000000006,3.607717278020128e-06,0.012000000000000005,0.00015,0.0030000000000000014,8.658521467248308e-05,3.1249999999999997e-06,6.250000000000003e-05,1.803858639010064e-06,0.0003463408586899323,0.0014,1.4583333333333333e-05,0.00029166666666666675,5.508673054192435e-06,0.02800000000000001,7.291666666666667e-06,0.00014583333333333337,2.7543365270962175e-06,0.0005288326132024737,0.0008,8.333333333333334e-06,0.00016666666666666672,4.165416228985329e-06,0.016000000000000007,4.166666666666667e-06,8.333333333333336e-05,2.0827081144926644e-06,0.0003998799579825916,0.0008,8.333333333333334e-06,0.00016666666666666672,4.165416228985329e-06,0.016000000000000007,4.166666666666667e-06,8.333333333333336e-05,2.0827081144926644e-06,0.0003998799579825916,0.17500000000000002,5000
0.0008,0.04400000000000002,0.0001,0.005500000000000002,4.998499474782395e-05,4.166666666666667e-06,0.00022916666666666674,2.0827081144926644e-06,0.0003998799579825916,0.0034,0.11600000000000003,1.770833333333333e-05,0.0006041666666666669,4.288022967506196e-06,0.0008233004097611895,0.0026,0.07200000000000004,1.3541666666666666e-05,0.0003750000000000001,3.7512720294485887e-06,0.000720244229654129,0.0026,0.07200000000000004,1.3541666666666666e-05,0.0003750000000000001,3.7512720294485887e-06,0.000720244229654129,0.0,0.0,0.00012500000000000003,0.0,0.012000000000000004,0.0,0.003000000000000001,0.0,0.0,6.250000000000001e-05,0.0,0.0,0.0012,1.2499999999999999e-05,0.0004583333333333335,5.100550930107923e-06,0.04400000000000002,6.2499999999999995e-06,0.00022916666666666674,2.5502754650539613e-06,0.0004896528892903606,0.0012,1.2499999999999999e-05,0.0003333333333333335,5.100550930107923e-06,0.032000000000000015,6.2499999999999995e-06,0.00016666666666666674,2.5502754650539613e-06,0.0004896528892903606,0.0012,1.2499999999999999e-05,0.0003333333333333335,5.100550930107923e-06,0.032000000000000015,6.2499999999999995e-06,0.00016666666666666674,2.5502754650539613e-06,0.0004896528892903606,0.0008,8.333333333333334e-06,0.0003333333333333335,4.165416228985329e-06,0.032000000000000015,0.0002,0.008000000000000004,9.99699894956479e-05,4.166666666666667e-06,0.00016666666666666674,2.0827081144926644e-06,0.0003998799579825916,0.0022,2.2916666666666667e-05,0.0007500000000000003,6.9027205030626876e-06,0.07200000000000002,1.1458333333333333e-05,0.00037500000000000017,3.4513602515313438e-06,0.000662661168294018,0.0014,1.4583333333333333e-05,0.00041666666666666675,5.508673054192435e-06,0.040000000000000015,7.291666666666667e-06,0.00020833333333333337,2.7543365270962175e-06,0.0005288326132024737,0.0014,1.4583333333333333e-05,0.00041666666666666675,5.508673054192435e-06,0.040000000000000015,7.291666666666667e-06,0.00020833333333333337,2.7543365270962175e-06,0.0005288326132024737,0.2,5000
0.0028,0.068,0.00035,0.0085,9.341972730151709e-05,1.4583333333333333e-05,0.0003541666666666668,3.892488637563212e-06,0.0007473578184121367,0.0072,0.1760000000000001,3.75e-05,0.0009166666666666672,6.2280821929033915e-06,0.0011957917810374512,0.0044,0.10800000000000004,2.2916666666666667e-05,0.0005625000000000002,4.875576612567642e-06,0.0009361107096129874,0.0044,0.10800000000000004,2.2916666666666667e-05,0.0005625000000000002,4.875576612567642e-06,0.0009361107096129874,0.0006,6.2499999999999995e-06,0.0002083333333333334,3.6077172780201276e-06,0.020000000000000007,0.00015,0.005000000000000002,8.658521467248306e-05,3.1249999999999997e-06,0.0001041666666666667,1.8038586390100638e-06,0.00034634085868993225,0.0022,2.2916666666666667e-05,0.0006250000000000003,6.9027205030626876e-06,0.06000000000000001,1.1458333333333333e-05,0.00031250000000000017,3.4513602515313438e-06,0.000662661168294018,0.0016,1.6666666666666667e-05,0.0004166666666666669,5.888429449941983e-06,0.04000000000000002,8.333333333333334e-06,0.00020833333333333346,2.9442147249709913e-06,0.0005652892271944303,0.0016,1.6666666666666667e-05,0.0004166666666666669,5.888429449941983e-06,0.04000000000000002,8.333333333333334e-06,0.00020833333333333346,2.9442147249709913e-06,0.0005652892271944303,0.0022,2.2916666666666667e-05,0.0005000000000000002,6.9027205030626876e-06,0.04800000000000002,0.00055,0.012000000000000005,0.0001656652920735045,1.1458333333333333e-05,0.0002500000000000001,3.4513602515313438e-06,0.000662661168294018,0.005,5.208333333333334e-05,0.0012083333333333338,1.0391631581402746e-05,0.11600000000000005,2.604166666666667e-05,0.0006041666666666669,5.195815790701373e-06,0.0009975966318146636,0.0028,2.9166666666666666e-05,0.0007083333333333335,7.784977275126425e-06,0.06800000000000002,1.4583333333333333e-05,0.00035416666666666675,3.892488637563212e-06,0.0007473578184121367,0.0028,2.9166666666666666e-05,0.0007083333333333335,7.784977275126425e-06,0.06800000000000002,1.4583333333333333e-05,0.00035416666666666675,3.892488637563212e-06,0.0007473578184121367,0.225,5000
