exact_class_total,exact_class_total_dp,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_stderr,exact_class_total_stderr,exact_error_total,exact_error_total_dp,exact_error_total_norm,exact_error_total_norm_dp,exact_error_total_norm_stderr,exact_error_total_stderr,exact_saved_by_stabilizers_total,exact_saved_by_stabilizers_total_dp,exact_saved_by_stabilizers_total_norm,exact_saved_by_stabilizers_total_norm_dp,exact_saved_by_stabilizers_total_norm_stderr,exact_saved_by_stabilizers_total_stderr,exact_stabilizer_total,exact_stabilizer_total_dp,exact_stabilizer_total_norm,exact_stabilizer_total_norm_dp,exact_stabilizer_total_norm_stderr,exact_stabilizer_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_stderr,exact_x_class_stderr,exact_x_error,exact_x_error_component_norm,exact_x_error_component_norm_dp,exact_x_error_component_norm_stderr,exact_x_error_dp,exact_x_error_norm,exact_x_error_norm_dp,exact_x_error_norm_stderr,exact_x_error_stderr,exact_x_saved_by_stabilizers,exact_x_saved_by_stabilizers_component_norm,exact_x_saved_by_stabilizers_component_norm_dp,exact_x_saved_by_stabilizers_component_norm_stderr,exact_x_saved_by_stabilizers_dp,exact_x_saved_by_stabilizers_norm,exact_x_saved_by_stabilizers_norm_dp,exact_x_saved_by_stabilizers_norm_stderr,exact_x_saved_by_stabilizers_stderr,exact_x_stabilizer,exact_x_stabilizer_component_norm,exact_x_stabilizer_component_norm_dp,exact_x_stabilizer_component_norm_stderr,exact_x_stabilizer_dp,exact_x_stabilizer_norm,exact_x_stabilizer_norm_dp,exact_x_stabilizer_norm_stderr,exact_x_stabilizer_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_stderr,exact_z_class_stderr,exact_z_error,exact_z_error_component_norm,exact_z_error_component_norm_dp,exact_z_error_component_norm_stderr,exact_z_error_dp,exact_z_error_norm,exact_z_error_norm_dp,exact_z_error_norm_stderr,exact_z_error_stderr,exact_z_saved_by_stabilizers,exact_z_saved_by_stabilizers_component_norm,exact_z_saved_by_stabilizers_component_norm_dp,exact_z_saved_by_stabilizers_component_norm_stderr,exact_z_saved_by_stabilizers_dp,exact_z_saved_by_stabilizers_norm,exact_z_saved_by_stabilizers_norm_dp,exact_z_saved_by_stabilizers_norm_stderr,exact_z_saved_by_stabilizers_stderr,exact_z_stabilizer,exact_z_stabilizer_component_norm,exact_z_stabilizer_component_norm_dp,exact_z_stabilizer_component_norm_stderr,exact_z_stabilizer_dp,exact_z_stabilizer_norm,exact_z_stabilizer_norm_dp,exact_z_stabilizer_norm_stderr,exact_z_stabilizer_stderr,p,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07500000000000001,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,2.0833333333333343e-05,0.0,0.0,0.1,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.01599999999999999,1.0416666666666667e-06,8.333333333333326e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,0.01599999999999999,1.0416666666666667e-06,8.333333333333326e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,0.01599999999999999,1.0416666666666667e-06,8.333333333333326e-05,1.0416666666666665e-06,0.00019999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001249999999999998,0.0,0.011999999999999981,0.0,6.24999999999999e-05,0.0,0.0,0.0,0.0,0.0001249999999999998,0.0,0.011999999999999981,0.0,6.24999999999999e-05,0.0,0.0,0.0,0.0,0.0001249999999999998,0.0,0.011999999999999981,0.0,6.24999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2.0833333333333334e-06,4.1666666666666706e-05,2.083333333333333e-06,0.0040000000000000036,1.0416666666666667e-06,2.0833333333333353e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,4.1666666666666706e-05,2.083333333333333e-06,0.0040000000000000036,1.0416666666666667e-06,2.0833333333333353e-05,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,4.1666666666666706e-05,2.083333333333333e-06,0.0040000000000000036,1.0416666666666667e-06,2.0833333333333353e-05,1.0416666666666665e-06,0.00019999999999999998,0.125,5000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.031999999999999994,4.166666666666667e-06,0.00016666666666666663,2.0827081144926644e-06,0.0003998799579825916,0.0008,0.031999999999999994,4.166666666666667e-06,0.00016666666666666663,2.0827081144926644e-06,0.0003998799579825916,0.0008,0.031999999999999994,4.166666666666667e-06,0.00016666666666666663,2.0827081144926644e-06,0.0003998799579825916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,6.2499999999999995e-06,4.166666666666642e-05,3.6077172780201276e-06,0.003999999999999976,3.1249999999999997e-06,2.083333333333321e-05,1.8038586390100638e-06,0.00034634085868993225,0.0006,6.2499999999999995e-06,4.166666666666642e-05,3.6077172780201276e-06,0.003999999999999976,3.1249999999999997e-06,2.083333333333321e-05,1.8038586390100638e-06,0.00034634085868993225,0.0006,6.2499999999999995e-06,4.166666666666642e-05,3.6077172780201276e-06,0.003999999999999976,3.1249999999999997e-06,2.083333333333321e-05,1.8038586390100638e-06,0.00034634085868993225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2.0833333333333334e-06,0.0002916666666666669,2.083333333333333e-06,0.028000000000000018,1.0416666666666667e-06,0.00014583333333333345,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0002916666666666669,2.083333333333333e-06,0.028000000000000018,1.0416666666666667e-06,0.00014583333333333345,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0002916666666666669,2.083333333333333e-06,0.028000000000000018,1.0416666666666667e-06,0.00014583333333333345,1.0416666666666665e-06,0.00019999999999999998,0.15000000000000002,5000
0.0,0.004000000000000002,0.0,0.0005000000000000002,0.0,0.0,2.0833333333333343e-05,0.0,0.0,0.0018,0.09200000000000003,9.375e-06,0.0004791666666666669,3.1224984986985777e-06,0.0005995197117501269,0.0018,0.08800000000000002,9.375e-06,0.0004583333333333335,3.1224984986985777e-06,0.0005995197117501269,0.0018,0.08800000000000002,9.375e-06,0.0004583333333333335,3.1224984986985777e-06,0.0005995197117501269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,2.0833333333333334e-06,0.0002500000000000001,2.083333333333333e-06,0.024000000000000007,1.0416666666666667e-06,0.00012500000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0002500000000000001,2.083333333333333e-06,0.024000000000000007,1.0416666666666667e-06,0.00012500000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0002,2.0833333333333334e-06,0.0002500000000000001,2.083333333333333e-06,0.024000000000000007,1.0416666666666667e-06,0.00012500000000000006,1.0416666666666665e-06,0.00019999999999999998,0.0,0.0,4.1666666666666686e-05,0.0,0.004000000000000002,0.0,0.0010000000000000005,0.0,0.0,2.0833333333333343e-05,0.0,0.0,0.0016,1.6666666666666667e-05,0.0007083333333333336,5.888429449941983e-06,0.06800000000000002,8.333333333333334e-06,0.0003541666666666668,2.9442147249709913e-06,0.0005652892271944303,0.0016,1.6666666666666667e-05,0.0006666666666666668,5.888429449941983e-06,0.06400000000000002,8.333333333333334e-06,0.0003333333333333334,2.9442147249709913e-06,0.0005652892271944303,0.0016,1.6666666666666667e-05,0.0006666666666666668,5.888429449941983e-06,0.06400000000000002,8.333333333333334e-06,0.0003333333333333334,2.9442147249709913e-06,0.0005652892271944303,0.17500000000000002,5000
0.0002,0.012000000000000004,2.5e-05,0.0015000000000000005,2.4999999999999998e-05,1.0416666666666667e-06,6.250000000000001e-05,1.0416666666666665e-06,0.00019999999999999998,0.0054,0.08800000000000002,2.8125000000000003e-05,0.0004583333333333335,5.595987292573546e-06,0.0010744295601741209,0.0052,0.07600000000000004,2.7083333333333332e-05,0.00039583333333333343,5.49920824426738e-06,0.001055847982899337,0.0052,0.07600000000000004,2.7083333333333332e-05,0.00039583333333333343,5.49920824426738e-06,0.001055847982899337,0.0,0.0,8.333333333333337e-05,0.0,0.008000000000000004,0.0,0.002000000000000001,0.0,0.0,4.1666666666666686e-05,0.0,0.0,0.0018,1.875e-05,0.0004166666666666668,6.2449969973971555e-06,0.040000000000000015,9.375e-06,0.0002083333333333334,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.00033333333333333343,6.2449969973971555e-06,0.03200000000000001,9.375e-06,0.00016666666666666672,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.00033333333333333343,6.2449969973971555e-06,0.03200000000000001,9.375e-06,0.00016666666666666672,3.1224984986985777e-06,0.0005995197117501269,0.0002,2.0833333333333334e-06,4.1666666666666686e-05,2.083333333333333e-06,0.004000000000000002,5e-05,0.0010000000000000005,4.9999999999999996e-05,1.0416666666666667e-06,2.0833333333333343e-05,1.0416666666666665e-06,0.00019999999999999998,0.0036,3.75e-05,0.0005000000000000001,9.302774525824603e-06,0.048000000000000015,1.875e-05,0.00025000000000000006,4.651387262912302e-06,0.0008930663544791619,0.0034,3.541666666666666e-05,0.0004583333333333334,9.068123063423925e-06,0.04400000000000001,1.770833333333333e-05,0.0002291666666666667,4.534061531711962e-06,0.0008705398140886968,0.0034,3.541666666666666e-05,0.0004583333333333334,9.068123063423925e-06,0.04400000000000001,1.770833333333333e-05,0.0002291666666666667,4.534061531711962e-06,0.0008705398140886968,0.2,5000
0.0006,0.024000000000000007,7.5e-05,0.003000000000000001,4.329260733624153e-05,3.1249999999999997e-06,0.00012500000000000003,1.8038586390100638e-06,0.00034634085868993225,0.0062,0.09600000000000006,3.229166666666667e-05,0.0005000000000000002,5.782325612455012e-06,0.0011102065175913624,0.0056,0.07200000000000004,2.9166666666666666e-05,0.0003750000000000001,5.4970764161853014e-06,0.0010554386719075779,0.0056,0.07200000000000004,2.9166666666666666e-05,0.0003750000000000001,5.4970764161853014e-06,0.0010554386719075779,0.0004,4.166666666666667e-06,0.00016666666666666674,2.9459835534423416e-06,0.016000000000000007,0.0001,0.004000000000000002,7.07036052826162e-05,2.0833333333333334e-06,8.333333333333337e-05,1.4729917767211708e-06,0.0002828144211304648,0.0022,2.2916666666666667e-05,0.0003750000000000001,6.9027205030626876e-06,0.03600000000000001,1.1458333333333333e-05,0.00018750000000000006,3.4513602515313438e-06,0.000662661168294018,0.0018,1.875e-05,0.00020833333333333337,6.2449969973971555e-06,0.02000000000000001,9.375e-06,0.00010416666666666669,3.1224984986985777e-06,0.0005995197117501269,0.0018,1.875e-05,0.00020833333333333337,6.2449969973971555e-06,0.02000000000000001,9.375e-06,0.00010416666666666669,3.1224984986985777e-06,0.0005995197117501269,0.0002,2.0833333333333334e-06,8.333333333333334e-05,2.083333333333333e-06,0.008000000000000002,5e-05,0.0020000000000000005,4.9999999999999996e-05,1.0416666666666667e-06,4.166666666666667e-05,1.0416666666666665e-06,0.00019999999999999998,0.004,4.1666666666666665e-05,0.0006250000000000003,9.29922730440681e-06,0.06000000000000001,2.0833333333333333e-05,0.00031250000000000017,4.649613652203405e-06,0.0008927258212230538,0.0038,3.958333333333333e-05,0.000541666666666667,9.064675581117085e-06,0.05200000000000003,1.9791666666666665e-05,0.0002708333333333335,4.532337790558543e-06,0.0008702088557872403,0.0038,3.958333333333333e-05,0.000541666666666667,9.064675581117085e-06,0.05200000000000003,1.9791666666666665e-05,0.0002708333333333335,4.532337790558543e-06,0.0008702088557872403,0.225,5000
