exact_class_total,exact_class_total_dp,exact_class_total_dp_stderr,exact_class_total_logical_norm,exact_class_total_logical_norm_dp,exact_class_total_logical_norm_dp_stderr,exact_class_total_logical_norm_stderr,exact_class_total_norm,exact_class_total_norm_dp,exact_class_total_norm_dp_stderr,exact_class_total_norm_stderr,exact_class_total_stderr,exact_x_class,exact_x_class_component_norm,exact_x_class_component_norm_dp,exact_x_class_component_norm_dp_stderr,exact_x_class_component_norm_stderr,exact_x_class_dp,exact_x_class_dp_stderr,exact_x_class_logical_norm,exact_x_class_logical_norm_dp,exact_x_class_logical_norm_dp_stderr,exact_x_class_logical_norm_stderr,exact_x_class_norm,exact_x_class_norm_dp,exact_x_class_norm_dp_stderr,exact_x_class_norm_stderr,exact_x_class_stderr,exact_z_class,exact_z_class_component_norm,exact_z_class_component_norm_dp,exact_z_class_component_norm_dp_stderr,exact_z_class_component_norm_stderr,exact_z_class_dp,exact_z_class_dp_stderr,exact_z_class_logical_norm,exact_z_class_logical_norm_dp,exact_z_class_logical_norm_dp_stderr,exact_z_class_logical_norm_stderr,exact_z_class_norm,exact_z_class_norm_dp,exact_z_class_norm_dp_stderr,exact_z_class_norm_stderr,exact_z_class_stderr,p,p_high,p_low,runs
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,20000
0.0,0.001,0.0004999624967184102,0.0,0.000125,6.249531208980127e-05,0.0,0.0,5.208333333333333e-06,2.603971337075053e-06,0.0,0.0,0.0,0.0,7.8125e-06,4.5103234336790795e-06,0.0,0.00075,0.00043299104963319163,0.0,0.0001875,0.00010824776240829791,0.0,0.0,3.90625e-06,2.2551617168395397e-06,0.0,0.0,0.0,0.0,2.6041666666666666e-06,2.6041666666666666e-06,0.0,0.00025,0.00025,0.0,6.25e-05,6.25e-05,0.0,0.0,1.3020833333333333e-06,1.3020833333333333e-06,0.0,0.0,0.1,0.2,0.0,20000
0.0002,0.010333333333333333,0.0018545289211634119,2.5e-05,0.0012916666666666667,0.00023181611514542648,1.249906241796025e-05,1.0416666666666667e-06,5.3819444444444444e-05,9.659004797726103e-06,5.207942674150105e-07,9.9992499343682e-05,0.00015,1.5624999999999999e-06,6.944444444444444e-05,1.552087180346979e-05,9.02064686735816e-07,0.006666666666666667,0.0014900036931330997,3.75e-05,0.0016666666666666668,0.0003725009232832749,2.1649552481659582e-05,7.812499999999999e-07,3.472222222222222e-05,7.760435901734894e-06,4.51032343367908e-07,8.659820992663833e-05,5e-05,5.208333333333334e-07,3.819444444444445e-05,1.1513178781309423e-05,5.208333333333333e-07,0.003666666666666667,0.0011052651630057047,1.25e-05,0.0009166666666666668,0.00027631629075142617,1.2499999999999999e-05,2.604166666666667e-07,1.9097222222222225e-05,5.7565893906547115e-06,2.604166666666666e-07,4.9999999999999996e-05,0.2,0.25,0.1,20000
0.00155,0.11900000000000002,0.008619493302000947,0.00019375,0.014875000000000003,0.0010774366627501184,3.4772417271813976e-05,8.072916666666667e-06,0.0006197916666666668,4.4893194281254935e-05,1.4488507196589157e-06,0.0002781793381745118,0.001,1.0416666666666666e-05,0.0007343750000000002,6.547060431702841e-05,2.328130770520469e-06,0.07050000000000002,0.0062851780144347275,0.00025,0.017625000000000005,0.0015712945036086819,5.5875138492491255e-05,5.208333333333333e-06,0.0003671875000000001,3.2735302158514203e-05,1.1640653852602345e-06,0.00022350055396996502,0.00055,5.729166666666667e-06,0.0005052083333333334,5.27392749096617e-05,1.7269768171964143e-06,0.04850000000000001,0.005062970391327523,0.0001375,0.012125000000000002,0.0012657425978318808,4.1447443612713944e-05,2.8645833333333334e-06,0.0002526041666666667,2.636963745483085e-05,8.634884085982071e-07,0.00016578977445085578,0.25,0.3,0.2,20000
0.0121,0.8405000000000001,0.028800511470684843,0.0015125,0.10506250000000002,0.0036000639338356053,0.00010844909058061478,6.302083333333333e-05,0.004377604166666668,0.0001500026639098169,4.518712107525616e-06,0.0008675927246449182,0.0072,7.5e-05,0.005000000000000002,0.00018691926843658437,6.608044023180431e-06,0.4800000000000002,0.0179442497699121,0.0018,0.12000000000000005,0.004486062442478025,0.00015859305655633034,3.75e-05,0.002500000000000001,9.345963421829218e-05,3.3040220115902155e-06,0.0006343722262253214,0.0049,5.104166666666666e-05,0.0037552083333333344,0.00016462436056536913,5.299334591824316e-06,0.3605000000000001,0.015803938614275436,0.001225,0.09012500000000002,0.003950984653568859,0.0001271840302037836,2.552083333333333e-05,0.0018776041666666672,8.231218028268457e-05,2.649667295912158e-06,0.0005087361208151343,0.3,0.35,0.25,20000
0.0856,1.8725000000000003,0.05649962751210455,0.0107,0.23406250000000003,0.007062453439013069,0.00036398523220381227,0.0004458333333333333,0.009752604166666668,0.0002942688932922112,1.516605134182551e-05,0.002911881857630498,0.049,0.0005104166666666667,0.010833333333333334,0.00035919153035705496,1.893747494888214e-05,1.04,0.034482386914277276,0.01225,0.26,0.008620596728569319,0.0004544993987731713,0.00025520833333333336,0.005416666666666667,0.00017959576517852748,9.46873747444107e-06,0.0018179975950926852,0.0366,0.00038125,0.008671875,0.00032793334126517696,1.6595384373129248e-05,0.8325,0.031481600761456986,0.00915,0.208125,0.007870400190364247,0.00039828922495510193,0.000190625,0.0043359375,0.00016396667063258848,8.297692186564624e-06,0.0015931568998204077,0.35,0.36,0.3,20000
0.12445,4.564999999999996,0.14162994634640327,0.01555625,0.5706249999999995,0.01770374329330041,0.00045823680105941644,0.0006481770833333334,0.023776041666666647,0.0007376559705541837,1.909320004414235e-05,0.0036658944084753315,0.0696,0.000725,0.025416666666666646,0.0008985057045126187,2.3147602744082636e-05,2.439999999999998,0.08625654763321139,0.0174,0.6099999999999995,0.021564136908302847,0.0005555424658579833,0.0003625,0.012708333333333323,0.00044925285225630934,1.1573801372041318e-05,0.002222169863431933,0.05485,0.0005713541666666667,0.022135416666666647,0.0008746012998244785,2.0969028109247266e-05,2.1249999999999982,0.08396172478314994,0.0137125,0.5312499999999996,0.020990431195787484,0.0005032566746219344,0.00028567708333333337,0.011067708333333324,0.00043730064991223926,1.0484514054623633e-05,0.0020130266984877375,0.36,0.37,0.35,20000
0.1769,6.284999999999994,0.16893450119287243,0.0221125,0.7856249999999992,0.021116812649109053,0.0005717484910381051,0.0009213541666666667,0.03273437499999997,0.0008798671937128772,2.3822853793254378e-05,0.004573987928304841,0.0978,0.00101875,0.035494791666666636,0.0010636339179314607,2.7896674678138696e-05,3.407499999999997,0.10210885612142023,0.02445,0.8518749999999993,0.025527214030355058,0.0006695201922753287,0.000509375,0.017747395833333318,0.0005318169589657303,1.3948337339069348e-05,0.002678080769101315,0.0791,0.0008239583333333333,0.029973958333333304,0.0010102136795942672,2.6202577604336838e-05,2.8774999999999973,0.09698051324104964,0.019775,0.7193749999999993,0.02424512831026241,0.0006288618625040841,0.00041197916666666667,0.014986979166666652,0.0005051068397971336,1.3101288802168419e-05,0.0025154474500163363,0.37,0.38,0.36,20000
0.25015,8.504999999999992,0.19528224575668754,0.03126875,1.063124999999999,0.024410280719585942,0.0007064473827307334,0.0013028645833333332,0.04429687499999996,0.0010170950299827476,2.943530761378056e-05,0.005651579061845867,0.13775,0.0014348958333333334,0.048697916666666625,0.001249259237839073,3.403283077938463e-05,4.674999999999996,0.11992888683255101,0.0344375,1.168749999999999,0.029982221708137753,0.0008167879387052312,0.0007174479166666667,0.024348958333333313,0.0006246296189195365,1.7016415389692317e-05,0.0032671517548209248,0.1124,0.0011708333333333334,0.039895833333333304,0.0011377389993584878,3.173884350687343e-05,3.829999999999997,0.10922294393841483,0.0281,0.9574999999999992,0.02730573598460371,0.0007617322441649624,0.0005854166666666667,0.019947916666666652,0.0005688694996792439,1.5869421753436716e-05,0.0030469289766598497,0.38,0.39,0.37,20000
0.347,11.469999999999988,0.23334454671981109,0.043375,1.4337499999999985,0.029168068339976386,0.0008499251951741809,0.0018072916666666665,0.05973958333333327,0.0012153361808323493,3.54135497989242e-05,0.006799401561393447,0.1913,0.0019927083333333333,0.06388020833333329,0.0014518772095482172,4.079289863850141e-05,6.132499999999995,0.13938021211662885,0.047825,1.5331249999999987,0.03484505302915721,0.0009790295673240339,0.0009963541666666667,0.03194010416666664,0.0007259386047741086,2.0396449319250706e-05,0.003916118269296135,0.1557,0.001621875,0.05559895833333329,0.001356974380731231,3.7519561125318964e-05,5.337499999999996,0.13026954055019818,0.038925,1.334374999999999,0.032567385137549545,0.0009004694670076552,0.0008109375,0.027799479166666644,0.0006784871903656155,1.8759780562659482e-05,0.0036018778680306208,0.39,0.4,0.38,20000
