p,posterior_x_error_mcmc,posterior_x_error_mcmc_stderr,posterior_x_error_component_norm_mcmc,posterior_x_class_mcmc,posterior_x_class_mcmc_stderr,posterior_x_class_component_norm_mcmc,posterior_x_degeneracy_gain_mcmc,posterior_x_degeneracy_gain_mcmc_stderr,posterior_x_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_x_class_component_norm_mcmc_isotonic,posterior_x_class_component_norm_dp_mcmc,scaled_posterior_x_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.3248235553276638,0.1498071089663802,0.007554036170410786,0.1361973398496305,0.07003920796325906,0.003167379996503035,0.1886262154780333,0.0870292410386882,0.004386656173907751,24.0,1.7,0.003167379996503035,0.17209585758847168,0.49840587066153963
0.05,0.6408891812118438,0.19300023353281764,0.014904399563066134,0.38011261845567357,0.12711348167567108,0.008839828336178456,0.2607765627561703,0.09841388805439101,0.006064571226887681,24.0,4.85,0.008839828336178456,0.18359191139070036,0.5316995291188685
0.07500000000000001,0.9295253370167427,0.2240122490772351,0.021616868302714944,0.667617135235451,0.1914620152415242,0.015525979889196535,0.26190820178129154,0.06578101321744136,0.006090888413518408,24.0,9.7,0.015525979889196535,0.1882583037529157,0.5452138424831089
0.1,1.1200845841859415,0.23393953347506563,0.02604847870199864,0.6898059775561565,0.18418292868128805,0.01604199947805015,0.43027860662978484,0.10451876084236612,0.010006479223948485,24.0,8.3,0.01604199947805015,0.2196792558874556,0.6362118898799161
0.125,1.6384966584162282,0.2484910588093751,0.03810457345154019,0.9738545996764689,0.20143673136451745,0.022647781387824858,0.6646420587397595,0.11121185839242737,0.015456792063715336,24.0,20.1,0.022647781387824858,0.2882365898652725,0.8347604093518729
0.15000000000000002,2.215356793227948,0.2039489563560273,0.05151992542390577,1.3480969397642777,0.1812476746435768,0.03135109162242506,0.8672598534636707,0.09787544041424653,0.020168833801480716,24.0,32.75,0.03135109162242506,0.34001556415600803,0.9847172132224634
0.17500000000000002,2.861123051138531,0.2694887191204401,0.06653774537531466,1.8385473697726535,0.21844182573557272,0.04275691557610822,1.0225756813658773,0.10558631426548065,0.023780829799206447,24.0,50.8,0.04275691557610822,0.34529259729635,1.0
0.2,3.4541156913670763,0.20312406019134413,0.0803282718922576,2.3636122981196097,0.1515695229945497,0.05496772786324674,1.090503393247467,0.08524558067037684,0.025360544029010862,24.0,87.6,0.05346623811297792,0.2997869798431877,0.8682114305100299
0.225,3.4361410119633584,0.2161541405223553,0.07991025609217113,2.2344841795964916,0.15750201062385158,0.051964748362709104,1.2016568323668664,0.08745137976145011,0.02794550772946201,24.0,131.9,0.05346623811297792,0.27305310449433257,0.7907876005229927
0.25,4.379614944134104,0.17809662357406278,0.1018515103287001,2.8189278586898183,0.11280297431399995,0.06555646182999578,1.5606870854442856,0.0858021510590292,0.03629504849870432,24.0,191.3,0.06555646182999578,0.2744513993827666,0.7948371946914825
0.275,4.700034701358373,0.2686010929304475,0.1093031325897296,2.912069083620274,0.17137242916700468,0.06772253682837846,1.787965617738098,0.11811238494739018,0.04158059576135112,24.0,272.75,0.06772253682837846,0.2770783520485182,0.8024450979199929
0.30000000000000004,5.939671317568676,0.11885690914257814,0.13813189110624827,3.444871844370835,0.05975413491961181,0.08011329870629849,2.4947994731978422,0.06849943305655748,0.05801859239994982,24.0,410.95,0.08011329870629849,0.25061737488912184,0.7258116068848924
0.325,6.495041794361856,0.09472051795842294,0.1510474835898106,3.6314930472791707,0.031246887311449274,0.08445332668091095,2.8635487470826835,0.0710809193854742,0.06659415690889961,24.0,513.05,0.08445332668091095,0.18682835901798617,0.541072587367517
0.35000000000000003,7.252414284894185,0.10452783286169996,0.16866079732312056,3.7437367627926053,0.04392286269329804,0.08706364564633966,3.50867752210158,0.06649839642990686,0.08159715167678093,24.0,673.25,0.08706364564633966,0.12971451842718545,0.37566550642224456
0.375,8.196412740498431,0.067364926293253,0.19061424977903327,3.8600287074391915,0.015473049097329404,0.08976810947533004,4.336384033059239,0.05325439178255526,0.10084614030370323,24.0,854.6,0.08976810947533004,0.08363670084775618,0.24221979128030466
0.4,8.901273809646131,0.03756874574740426,0.2070063676661891,3.940407521206476,0.0035959969160403826,0.0916373842141041,4.960866288439655,0.03711652551270112,0.11536898345208499,24.0,1026.3,0.0916373842141041,0.055287030275256804,0.16011646559513784
0.42500000000000004,9.659285544195615,0.017881964754317137,0.2246345475394329,3.973902341194988,0.002093773219565021,0.09241633351616252,5.685383203000629,0.018219452951199484,0.13221821402327044,24.0,1242.25,0.09241633351616252,0.031383651681808504,0.09089002175993148
0.45,10.228801562996074,0.011070753192214653,0.23787910611618776,3.9850819011155396,0.0009219821452840468,0.09267632328175673,6.243719661880535,0.010960549019451994,0.14520278283443105,24.0,1462.35,0.09267632328175673,0.015618145049395751,0.0452316243431983
0.47500000000000003,10.639096125292543,0.003565671310151468,0.24742084012308238,3.9908595389479276,0.0007762912130069951,0.09281068695227739,6.648236586344616,0.003916463533725577,0.15461015317080504,24.0,1680.95,0.09281068695227739,0.009208570458953975,0.026668890474505744
0.5,24.0,0.0,0.5581395348837209,4.0,0.0,0.09302325581395349,20.0,0.0,0.46511627906976744,24.0,16.0,0.09302325581395349,0.0,0.0
