p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.7134205478937596,0.21690341058551013,0.015509142345516513,0.008456239478707207,0.008427414856848888,0.00018383129301537406,0.7049643084150524,0.21816663319868654,0.01532531105250114,25.0,3.15,0.00018383129301537406,0.038342948812839964,0.19244672606050744
0.05,1.5682518115458532,0.301855341881164,0.03409243068577942,0.09709195247920696,0.05945918793683931,0.002110694619113195,1.4711598590666461,0.28498873381338685,0.03198173606666622,25.0,9.15,0.002110694619113195,0.07770447193946446,0.390005768674809
0.07500000000000001,1.3377641296623557,0.21591120364847743,0.029081828905703384,0.12703560448113724,0.04445903856815934,0.0027616435756768966,1.2107285251812183,0.1963303764919256,0.026320185330026485,25.0,13.4,0.0027616435756768966,0.12710292467213205,0.6379410682590998
0.1,2.119385281919986,0.260260125291234,0.046073593085217086,0.31161896859027005,0.09202889255695325,0.0067743254041363055,1.807766313329715,0.25837615568541156,0.03929926768108076,25.0,26.05,0.0067743254041363055,0.17914359000533375,0.8991378717253856
0.125,2.8568349689176813,0.2700034675766002,0.0621051080199496,0.7666759899327268,0.12933694779898036,0.016666869346363626,2.090158978984955,0.22342357995724224,0.04543823867358598,25.0,43.55,0.016078905706147974,0.19923928869948404,1.0
0.15000000000000002,3.172096469242452,0.26985821535275084,0.06895861889657504,0.7125833350328867,0.12856119656111722,0.015490942065932321,2.4595131342095646,0.17804263257773,0.053467676830642706,25.0,66.65,0.016078905706147974,0.19093795714978604,0.958334866562292
0.17500000000000002,4.136356416434959,0.21060273211478417,0.08992079166162954,1.2637229633527287,0.12071235368385307,0.02747223833375497,2.8726334530822295,0.14682708583001106,0.06244855332787456,25.0,142.85,0.0262275003604038,0.15512357268484703,0.7785792335307045
0.2,4.44225584394716,0.18920895807057958,0.09657077921624262,1.149207069804421,0.12288544094852956,0.02498276238705263,3.2930487741427386,0.1731824502591698,0.07158801682918997,25.0,169.1,0.0262275003604038,0.11869945945555685,0.5957633167150743
0.225,4.817258275684643,0.2074739517176646,0.10472300599314441,1.4024071195675192,0.08375856902913098,0.03048711129494607,3.4148511561171246,0.1668026703594072,0.07423589469819836,25.0,250.1,0.029480185072033913,0.10562252354844234,0.5301289933219675
0.25,5.039748792825333,0.20661578446712997,0.1095597563657681,1.309769907059601,0.07809408996369593,0.02847325884912176,3.729978885765732,0.15722538289048985,0.08108649751664634,25.0,343.0,0.029480185072033913,0.10818724439067584,0.5430015590642691
0.275,5.997628145242332,0.12878033082994522,0.13038322054874635,1.6645437780813572,0.0454484784195002,0.03618573430611646,4.333084367160976,0.10373190328166976,0.09419748624262991,25.0,471.1,0.03618573430611646,0.11143593375808498,0.5593070246610129
0.30000000000000004,6.333271666077202,0.16649917786867702,0.13767981882776525,1.7106113834600287,0.06473752835580393,0.037187203988261495,4.622660282617174,0.12966724800090504,0.10049261483950378,25.0,583.3,0.037187203988261495,0.09404711589364763,0.47203097595625565
0.325,7.042498226229346,0.13672908811649265,0.1530977875267249,1.820737712167063,0.03884564787518246,0.039581254612327456,5.221760514062282,0.10750621325086428,0.11351653291439744,25.0,689.65,0.039581254612327456,0.07326937033136582,0.36774559279760954
0.35000000000000003,7.565887723030421,0.08443483446621289,0.16447582006587871,1.8748447073709908,0.029867465440375066,0.0407574936384998,5.691043015659433,0.08025418808915805,0.12371832642737898,25.0,849.35,0.0407574936384998,0.05318718192874004,0.26695127389740464
0.375,8.30858000049235,0.06032320612067519,0.18062130435852936,1.9529635560257919,0.009046541130173832,0.04245572947882156,6.355616444466559,0.060482802964244596,0.1381655748797078,25.0,1016.2,0.04245572947882156,0.038756073409515146,0.19452023575516564
0.4,9.04228549992851,0.045588669806466815,0.19657142391148935,1.9674582754620382,0.0062409991207682414,0.0427708320752617,7.07482722446647,0.042866470638852065,0.1538005918362276,25.0,1181.85,0.0427708320752617,0.023353027385781638,0.1172109554205717
0.42500000000000004,9.708328774921137,0.027902826920528544,0.21105062554176385,1.9873729722847984,0.001836444524381646,0.04320376026706083,7.720955802636337,0.027567879215901987,0.16784686527470297,25.0,1358.95,0.04320376026706083,0.012831626037097544,0.06440309098097464
0.45,10.283332112792026,0.007581189852285207,0.22355069810417447,1.9943644466194268,0.0011740888959338304,0.04335574883955275,8.2889676661726,0.00736658876101889,0.18019494926462173,25.0,1536.45,0.04335574883955275,0.006457053938086624,0.032408537393575555
0.47500000000000003,10.672457038193816,0.003311050499327023,0.23200993561290903,1.9962870680378586,0.00082744697000738,0.043397544957344755,8.676169970155957,0.00317994619537296,0.1886123906555643,25.0,1723.35,0.043397544957344755,0.004054039351597897,0.020347589966116936
0.5,25.0,0.0,0.5434782608695652,2.0,0.0,0.043478260869565216,23.0,0.0,0.5,25.0,4.0,0.043478260869565216,0.0,0.0
