p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.16573575709930777,0.08335456183373996,0.0017264141364511227,0.16573575709930777,0.08335456183373996,0.0017264141364511227,0.0,0.0,0.0,61.0,1.95,0.0017264141364511227,0.0703740427531595,0.02346024729562478
0.05,0.36290099380062163,0.1368628698573752,0.003780218685423142,0.36290099380062163,0.1368628698573752,0.003780218685423142,0.0,0.0,0.0,61.0,2.7,0.003780218685423142,0.07588758614972256,0.025298270045180704
0.07500000000000001,0.4156075243382955,0.15483180438530936,0.0043292450451905785,0.4156075243382955,0.15483180438530936,0.0043292450451905785,0.0,0.0,0.0,61.0,2.9,0.0043292450451905785,0.08409659611328014,0.028034867180474064
0.1,0.8201985822614255,0.16777124913851282,0.00854373523188985,0.8201985822614255,0.16777124913851282,0.00854373523188985,0.0,0.0,0.0,61.0,5.1,0.00854373523188985,0.08943139892253399,0.02981330406262789
0.125,0.9724672655678799,0.195050319491979,0.010129867349665415,0.9724672655678799,0.195050319491979,0.010129867349665415,0.0,0.0,0.0,61.0,5.0,0.010129867349665415,0.09091454031943431,0.030307731589943675
0.15000000000000002,1.10491475823495,0.2144275255583277,0.01150952873161406,1.10491475823495,0.2144275255583277,0.01150952873161406,0.0,0.0,0.0,61.0,9.75,0.01150952873161406,0.0909707305576961,0.030326463452341367
0.17500000000000002,1.43142517922495,0.2277964492249918,0.014910678950259895,1.43142517922495,0.2277964492249918,0.014910678950259895,0.0,0.0,0.0,61.0,13.95,0.014910678950259895,0.08036446156324178,0.026790703905791167
0.2,1.8967077246313697,0.2309616234534687,0.01975737213157677,1.8967077246313697,0.2309616234534687,0.01975737213157677,0.0,0.0,0.0,61.0,17.6,0.01759730701958152,0.07213468652771968,0.02404718442094475
0.225,1.657205112136643,0.2136209850968711,0.017262553251423365,1.657205112136643,0.2136209850968711,0.017262553251423365,0.0,0.0,0.0,61.0,22.95,0.01759730701958152,0.10848430845124234,0.036164878474978894
0.25,1.5142775136964732,0.22944184289656477,0.01577372410100493,1.5141115848714648,0.22944941904882948,0.015771995675744426,0.0001659288250084767,0.00011614607162110425,1.7284252605049657e-06,61.0,56.95,0.01759730701958152,0.19113440438987506,0.0637175330315538
0.275,2.403999702965866,0.25822511758726846,0.025041663572561105,2.403999702965866,0.25822511758726846,0.025041663572561105,0.0,0.0,0.0,61.0,89.25,0.025041663572561105,0.29076908886712544,0.09693225604038505
0.30000000000000004,3.8480112178537587,0.225056981258273,0.04008345018597665,3.8462878358467902,0.22482355694613362,0.04006549829007073,0.0017233820069682882,0.0017114024934800833,1.795189590591967e-05,61.0,133.55,0.04006549829007073,0.35199376424612777,0.11734242389195784
0.325,3.946274358827954,0.2998993317214874,0.04110702457112452,3.945222266761553,0.2997501879562402,0.04109606527876618,0.0010520920664003398,0.000658838567170841,1.0959292358336873e-05,61.0,243.3,0.04109606527876618,0.3837639927485611,0.1279335081631841
0.35000000000000003,5.425042308075446,0.18837806437541774,0.0565108573757859,5.424911803242278,0.1883605364693733,0.05650949795044039,0.00013050483316816574,0.00013050483316816574,1.3594253455017264e-06,61.0,401.35,0.05650949795044039,0.41621567764814077,0.1387517661901418
0.375,6.342261854888337,0.16481402390904734,0.06606522765508684,6.341886302996285,0.1647768228840745,0.0660613156562113,0.0003755518920518508,0.000350338405027207,3.9119988755401125e-06,61.0,553.45,0.0660613156562113,0.44516023126965515,0.14840086917267173
0.4,7.235174402019588,0.14084350788830344,0.07536640002103738,7.23492482576587,0.14076478486360858,0.07536380026839448,0.00024957625371806457,0.00019033951134473384,2.599752642896506e-06,61.0,761.85,0.07536380026839448,0.46565056405457794,0.15523163028142378
0.42500000000000004,8.81395243702938,0.05704362027477076,0.09181200455238937,8.813914925057935,0.05704267637788053,0.09181161380268682,3.751197144410412e-05,2.670482352131216e-05,3.9074970254275124e-07,61.0,1026.95,0.09181161380268682,0.7387975694833957,0.2462892993412524
0.45,9.72021931298706,0.0236024668801051,0.10125228451028188,9.719798465055954,0.023609824243531044,0.10124790067766619,0.00042084793110932497,0.0003336478964103564,4.383832615722135e-06,61.0,1305.25,0.10124790067766619,1.5761094967945573,0.5254198439256637
0.47500000000000003,10.527820965403924,0.00558571060354126,0.10966480172295755,10.527496066168673,0.005538383616171161,0.10966141735592368,0.00032489923524900986,0.00014366793548707815,3.3843670338438527e-06,61.0,1641.5,0.10966141735592368,2.9997144474382376,1.0
0.5,61.0,0.0,0.6354166666666666,24.0,0.0,0.25,37.0,0.0,0.3854166666666667,61.0,1048576.0,0.25,0.0,0.0
