p,posterior_z_error_mcmc,posterior_z_error_mcmc_stderr,posterior_z_error_component_norm_mcmc,posterior_z_class_mcmc,posterior_z_class_mcmc_stderr,posterior_z_class_component_norm_mcmc,posterior_z_degeneracy_gain_mcmc,posterior_z_degeneracy_gain_mcmc_stderr,posterior_z_degeneracy_gain_component_norm_mcmc,mean_affine_dimension,mean_list_size,posterior_z_class_component_norm_mcmc_isotonic,posterior_z_class_component_norm_dp_mcmc,scaled_posterior_z_class_component_norm_dp_mcmc
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.025,0.2123013822165623,0.10552083335919527,0.002211472731422524,0.17117538734431467,0.07881040061778291,0.0017830769515032778,0.0411259948722476,0.0333916453168126,0.0004283957799192458,50.0,2.1,0.0017830769515032778,0.051847176240443715,0.2717310677015306
0.05,0.22738416743442152,0.0850958511296257,0.002368585077441891,0.22453001370943454,0.08466784209271372,0.0023388543094732765,0.0028541537249869497,0.0019724187095118465,2.973076796861406e-05,50.0,2.3,0.0023388543094732765,0.04977587568123288,0.26087538079054134
0.07500000000000001,0.2491884325336803,0.10886535650527665,0.0025957128388925032,0.2491540233998868,0.10886927755303649,0.0025953544104154874,3.4409133793528166e-05,3.440913379352817e-05,3.584284770159184e-07,50.0,2.2,0.0025953544104154874,0.05568143116687337,0.29182639903002544
0.1,0.7145618020439908,0.165106006982165,0.007443352104624904,0.6084800930615353,0.14283679234510954,0.006338334302724326,0.10608170898245543,0.039485713177132425,0.0011050178019005774,50.0,4.65,0.006330504062409032,0.05861755968280042,0.3072146495461531
0.125,0.7642272874661789,0.19830399187101225,0.00796070091110603,0.6069766869209989,0.17158439755451516,0.006322673822093739,0.15725060054518006,0.0966302631239525,0.0016380270890122923,50.0,5.05,0.006330504062409032,0.05333473761423665,0.27952737735005867
0.15000000000000002,0.9125430672815602,0.19513929570380179,0.009505656950849586,0.7659350685513594,0.16572928847270366,0.007978490297409994,0.14660799873020053,0.055104642095242025,0.0015271666534395888,50.0,7.3,0.007978490297409994,0.04696744235297631,0.24615638079492674
0.17500000000000002,1.2355633899287557,0.2163865387750847,0.012870451978424539,1.0289269231550153,0.1822267779769104,0.010717988782864743,0.20663646677373998,0.058668651171733095,0.0021524631955597913,50.0,7.6,0.009411407528902942,0.055807799217530124,0.2924886940250137
0.2,0.9893921650601522,0.19013176530140263,0.010306168386043252,0.7780633223943496,0.17273372071932985,0.008104826274941142,0.21132884266580237,0.054200283292603166,0.002201342111102108,50.0,7.25,0.009411407528902942,0.08217534219608354,0.4306809954340788
0.225,1.4983486869602785,0.231898203991377,0.0156077988225029,1.0950806019148032,0.201538673807867,0.0114070896032792,0.40326808504547573,0.07442371357826907,0.0042007092192237055,50.0,17.8,0.0114070896032792,0.10881462899898932,0.5702975063158088
0.25,2.1899265861406683,0.22470806816377545,0.022811735272298628,1.7825803576627663,0.18696788825369667,0.018568545392320484,0.40734622847790175,0.06418703576958751,0.004243189879978143,50.0,30.95,0.018425008165571362,0.11342133817415133,0.5944412706155653
0.275,2.2372806947779087,0.22421786874066704,0.023305007237269883,1.7550212101269351,0.17107207793347232,0.01828147093882224,0.48225948465097374,0.09610111667549454,0.005023536298447643,50.0,36.55,0.018425008165571362,0.10944876852572508,0.573621031783667
0.30000000000000004,2.663236275677976,0.32263291914180203,0.02774204453831225,2.0055043968270234,0.23591821820929998,0.020890670800281494,0.6577318788509525,0.09883609220162072,0.0068513737380307554,50.0,74.5,0.020890670800281494,0.1282426624940598,0.6721198362431718
0.325,3.123317535001489,0.25443248971316756,0.03253455765626551,2.251838019833242,0.19924662826215261,0.023456646039929602,0.8714795151682473,0.08570767054207096,0.009077911616335909,50.0,129.8,0.023456646039929602,0.16637434205906174,0.871967981364873
0.35000000000000003,4.277332035669891,0.27680988064400075,0.044555542038228035,2.8447598613847838,0.15966340916524552,0.029632915222758165,1.4325721742851083,0.12803180361295266,0.014922626815469879,50.0,243.0,0.029632915222758165,0.190803269861629,1.0
0.375,5.8009919349567705,0.14396721442889007,0.06042699932246636,3.5171709948015377,0.05797924475703647,0.03663719786251602,2.2838209401552323,0.09566742108330738,0.023789801459950338,50.0,414.05,0.03663719786251602,0.16673389111472184,0.8738523780836548
0.4,7.106528205638789,0.13810715824092287,0.07402633547540405,3.780921009917422,0.03462219255708083,0.039384593853306483,3.325607195721367,0.11201255969256042,0.03464174162209757,50.0,600.5,0.039384593853306483,0.1119445535700081,0.58670144202031
0.42500000000000004,8.541910313753828,0.057224248910552354,0.0889782324349357,3.9300028657998305,0.009326130833735076,0.040937529852081565,4.611907447953997,0.05174645911008284,0.04804070258285414,50.0,875.55,0.040937529852081565,0.05793843867753104,0.30365537613452925
0.45,9.592601668124328,0.02683317687431795,0.09992293404296175,3.9797565039845515,0.0018336388405945584,0.04145579691650574,5.612845164139774,0.026111867724788067,0.05846713712645598,50.0,1210.8,0.04145579691650574,0.0243788648292923,0.12776963857575352
0.47500000000000003,10.457461011792862,0.005863548218792402,0.10893188553950899,3.9921857068614712,0.00047525986028464697,0.04158526777980699,6.4652753049313905,0.0057582249435467045,0.06734661775970198,50.0,1573.6,0.04158526777980699,0.00997262553397985,0.052266533698358646
0.5,50.0,0.0,0.5208333333333334,4.0,0.0,0.041666666666666664,46.0,0.0,0.4791666666666667,50.0,16.0,0.041666666666666664,0.0,0.0
