p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.000125,0.00023455435994452532,1.5445640055474684e-05,5.58961087084641e-05,0.00025,0.0005851504035326238,0.00010678963454394949,5,7.5e-05,0.00015986468629092506,0.0,4.329910496331917e-05,0.00015,0.0004409636272928435,5.101481799495055e-05,3,5e-05,0.00011929345872942269,0.0,3.535445512060459e-05,0.0001,0.0003645736136206778,2.7424035272726838e-05,2
0.07500000000000001,20000,0.000675,0.0009294412336523379,0.0004205587663476622,0.0001298193414059329,0.00135,0.00196351203514295,0.0009280055236101935,27,0.000325,0.0005016157548747746,0.0001483842451252254,9.011173484201605e-05,0.00065,0.0011118683512116193,0.0003799180580200702,13,0.00035,0.0005332782455491142,0.00016672175445088576,9.351102724069915e-05,0.0007,0.0011747302827432658,0.00041703692288281327,14
0.1,20000,0.0016375,0.0020401845590495436,0.0012348154409504565,0.00020545508092284758,0.0032,0.00408385183726393,0.0025069551880816257,64,0.000575,0.0008098621392276127,0.00034013786077238725,0.00011982982395603968,0.00115,0.0017251348523248564,0.0007664595208507284,23,0.0011,0.00142467365147088,0.0007753263485291201,0.0001656528660893079,0.0022,0.002951864074452466,0.0016393270230052992,44
0.125,20000,0.00395,0.004577991876852658,0.003322008123147342,0.00032040990640959627,0.00765,0.008955654605530654,0.006533443298915568,153,0.0015,0.001878985122590398,0.001121014877409602,0.00019336330951986067,0.003,0.003859306439206685,0.0023315774005613125,60,0.002575,0.0030710167835567813,0.0020789832164432188,0.0002530744378311531,0.00515,0.0062414842252658895,0.004248573859460859,103
0.15000000000000002,20000,0.008025,0.008918296144311624,0.007131703855688374,0.0004557717138466988,0.0155,0.017307415676329495,0.013878667262035887,310,0.00285,0.0033716871058237126,0.0023283128941762876,0.00026617178169533406,0.0057,0.006842480926671937,0.004747365918393096,114,0.00545,0.006169527347477968,0.004730472652522032,0.00036711253530856045,0.0109,0.012435867650256432,0.00955198201982511,218
0.17500000000000002,20000,0.0136125,0.014777148130913024,0.012447851869086975,0.000594219148973971,0.02605,0.028350202428133534,0.023931828549448038,521,0.0049,0.005582634846559618,0.004217365153440382,0.0003482894848804136,0.0098,0.0112624824517421,0.008525789697662874,196,0.0093,0.01023625349968482,0.008363746500315178,0.00047768913463199815,0.0186,0.020567007477183534,0.016817884837633995,372
0.2,20000,0.0220125,0.023485761387491,0.020539238612509003,0.0007516777854653935,0.04195,0.044817477245108386,0.03925844698588907,839,0.00795,0.008816826407049422,0.007083173592950579,0.00044226649769426256,0.0159,0.017728898721409793,0.014257030588110703,318,0.0151,0.016285928528559142,0.013914071471440859,0.0006050766942217279,0.0302,0.03266350396543053,0.027916933112885373,604
0.225,20000,0.0345375,0.036369498150642644,0.03270550184935735,0.0009347101095189575,0.06535,0.06885931285678178,0.06200762408678999,1307,0.012225,0.013295232545233258,0.011154767454766741,0.0005460470466167324,0.02445,0.02668347628471103,0.022399169208250073,489,0.024175,0.025661451762663236,0.02268854823733676,0.0007584076923801559,0.04835,0.05141054191038397,0.04546292425909533,967
0.25,20000,0.0502125,0.052399499486144474,0.048025500513855526,0.0011158365681182157,0.09425,0.09837756075124808,0.09027827650828081,1885,0.01825,0.019549529811856932,0.016950470188143066,0.0006630375976841715,0.0365,0.03918927765249625,0.033988739771512726,730,0.03505,0.036819257674005,0.033280742325995,0.0009026990740445643,0.0701,0.07372160645213224,0.06664350614890652,1402
