p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.000225,0.0003719678949698612,7.803210503013876e-05,7.498499774951236e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9,0.000125,0.0002345543599445253,1.544564005547471e-05,5.589610870846409e-05,0.00025,0.0005851504035326238,0.00010678963454394949,5,0.0001,0.00019799084871888087,2.0091512811191428e-06,4.9996249671841e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4
0.125,20000,0.000675,0.0009294412336523379,0.0004205587663476622,0.0001298193414059329,0.00135,0.00196351203514295,0.0009280055236101935,27,0.000375,0.0005647062613883762,0.0001852937386116238,9.679068742321542e-05,0.00075,0.0012371678111665165,0.00045458019085395195,15,0.0003,0.0004696911734452622,0.0001303088265547377,8.65787202131083e-05,0.0006,0.0010485355459105335,0.0003432700669267663,12
0.15000000000000002,20000,0.002025,0.002465108984786421,0.0015848910152135788,0.0002245495265514798,0.00405,0.0050304898892736295,0.003259990674776548,81,0.001075,0.0013959710152541861,0.0007540289847458139,0.00016376373126545418,0.00215,0.002894550586422709,0.0015966597146406661,43,0.00095,0.001251771195535499,0.0006482288044645009,0.0001539677248744527,0.0019,0.002606656255583147,0.001384650063508281,38
0.17500000000000002,20000,0.00573125,0.006482506195006184,0.004979993804993817,0.00038330102029016664,0.0112,0.012755211085632866,0.009832523362815015,224,0.00325625,0.003818077232536289,0.002694422767463711,0.0002866518145067514,0.00645,0.007658164556007801,0.005431394234973075,129,0.0025875,0.00308652058475721,0.00208847941524279,0.0002546070176255383,0.00515,0.0062414842252658895,0.004248573859460859,103
0.2,20000,0.011809375,0.012902981363795954,0.010715768636204047,0.0005579726833871341,0.02245,0.024596660090022156,0.020486753547163367,449,0.00661875,0.007423993778078832,0.005813506221921168,0.0004108462116806696,0.01295,0.014613056591935195,0.01147400573031632,259,0.00565,0.006392231517736726,0.0049077684822632734,0.0003786965085028876,0.0111,0.012648793339497541,0.009738979516161561,222
0.225,20000,0.02385546875,0.025431615048420803,0.0222793224515792,0.0008041710515362745,0.0438,0.04672493738397496,0.041050276313614895,876,0.01335625,0.014505191475966978,0.012207308524033022,0.0005862054022572266,0.02575,0.02803786413352854,0.02364428206568669,515,0.0121625,0.013260004330811134,0.011064995669188865,0.0005599614786129279,0.02345,0.025640566798027013,0.0214424627670463,469
0.25,20000,0.042177734375,0.04427428046293552,0.04008118828706447,0.0010696860271274436,0.0756,0.07934578897108453,0.07201721123333708,1512,0.02508125,0.026663327543439332,0.023499172456560666,0.0008071972525610464,0.04725,0.050278462719547334,0.04439542592925541,945,0.020925,0.022367055952797935,0.019482944047202064,0.0007357563527558094,0.0398,0.04259884587056873,0.03717790411546997,796
