p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,7.5e-05,0.00015986468629092504,0.0,4.3299104963319164e-05,0.00015,0.0004409636272928435,5.101481799495055e-05,3,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,5e-05,0.00011929345872942269,0.0,3.5354455120604595e-05,0.0001,0.0003645736136206778,2.7424035272726838e-05,2
0.1,20000,0.000225,0.0003719678949698612,7.803210503013876e-05,7.498499774951236e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9,0.0001,0.00019799084871888087,2.009151281119129e-06,4.999624967184101e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4,0.000125,0.0002345543599445253,1.544564005547471e-05,5.589610870846409e-05,0.00025,0.0005851504035326238,0.00010678963454394949,5
0.125,20000,0.00075,0.0010181844663735822,0.00048181553362641787,0.00013683132368195897,0.0015,0.002140510875750374,0.0010509490721859378,30,0.0002,0.0003385661257825662,6.14338742174338e-05,7.069830204817952e-05,0.0004,0.0007891790235140093,0.00020270340374573274,8,0.00055,0.0007797054525901132,0.0003202945474098869,0.00011719881304044382,0.0011,0.001665046853590621,0.0007265667231905742,22
0.15000000000000002,20000,0.0018875,0.002314576517473696,0.001460423482526304,0.00021790018635159682,0.00375,0.00469765720189737,0.0029929385837864702,75,0.000725,0.000988683445125801,0.0004613165548741989,0.00013453484207143725,0.00145,0.0020816636300105057,0.0010098155215314162,29,0.0011625,0.0014989359845263839,0.0008260640154736158,0.0001716541666990558,0.0023,0.0030662490641531785,0.0017249036260933654,46
0.17500000000000002,20000,0.003925,0.004542418770903604,0.003307581229096395,0.00031501536547289905,0.00775,0.00906341495345213,0.006625644543782875,155,0.0013,0.0016528867167434232,0.0009471132832565767,0.00018004755165245318,0.0026,0.0034076419053493887,0.001983395563263493,52,0.002625,0.003132925060595454,0.0021170749394045464,0.00025915020102507076,0.00515,0.0062414842252658895,0.004248573859460859,103
0.2,20000,0.00818125,0.00908736904824862,0.0072751309517513785,0.00046231413199220614,0.0157,0.017518193104520245,0.014067813019422686,314,0.0028,0.0033240350479846305,0.0022759649520153694,0.00026736973338191525,0.0055,0.006624236801258421,0.004565686858229053,110,0.0055625,0.006300397851613869,0.0048246021483861305,0.0003764854137291876,0.0109,0.012435867650256432,0.00955198201982511,218
0.225,20000,0.0157640625,0.017036669965188645,0.014491455034811352,0.000649301454122021,0.0295,0.03193686269918137,0.027243843229613075,590,0.0063375,0.007129938254729812,0.005545061745270189,0.0004043126613450365,0.0123,0.0139239375921767,0.01086337437694775,246,0.01018125,0.011184285414773515,0.009178214585226484,0.0005117621663894492,0.0197,0.02172021062099107,0.017864259214503023,394
0.25,20000,0.02854765625,0.030266089549401774,0.02682922295059823,0.0008767677941822168,0.0523,0.05547233211270684,0.049299616971929236,1046,0.01251875,0.013632793660454438,0.011404706339545562,0.0005684000671654541,0.0241,0.02631856757627269,0.022064212341927687,482,0.018025,0.01935457841500478,0.016695421584995217,0.0006783687993719922,0.0347,0.03732715000632635,0.03225155874748462,694
