p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.125,20000,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.15000000000000002,20000,7.5e-05,0.00015986468629092506,0.0,4.329910496331917e-05,0.00015,0.0004409636272928435,5.101481799495055e-05,3,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,5e-05,0.00011929345872942269,0.0,3.535445512060459e-05,0.0001,0.0003645736136206778,2.7424035272726838e-05,2
0.17500000000000002,20000,0.000225,0.0003719678949698612,7.803210503013876e-05,7.498499774951236e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9,5e-05,0.00011929345872942269,0.0,3.5354455120604595e-05,0.0001,0.0003645736136206778,2.7424035272726838e-05,2,0.000175,0.00030461998369744653,4.5380016302553494e-05,6.613385996879148e-05,0.00035,0.0007223484532697996,0.00016955317759555281,7
0.2,20000,0.000725,0.000988683445125801,0.0004613165548741989,0.00013453484207143725,0.00145,0.0020816636300105057,0.0010098155215314162,29,0.00025,0.00040491388893889707,9.508611106110295e-05,7.903915080115658e-05,0.0005,0.0009202228750329448,0.00027162114501557604,10,0.000475,0.0006884859851412133,0.00026151401485878674,0.00010892342248386374,0.00095,0.0014833803364226327,0.000608290851175394,19
0.225,20000,0.001775,0.002187150553514602,0.0013628494464853985,0.00021028475868209445,0.00355,0.004475033157274009,0.002815639442832274,71,0.0008,0.0010769658557221126,0.0005230341442778875,0.000141311706698074,0.0016,0.002257784278924517,0.0011336372618005737,32,0.000975,0.0012807084269315502,0.0006692915730684497,0.00015597655331574424,0.00195,0.00266442282568779,0.001426864289798028,39
0.25,20000,0.00425,0.004891801381223786,0.003608198618776214,0.00032745570137320576,0.0084,0.009762657698510762,0.0072261521518513045,168,0.00175,0.0021592480595215577,0.0013407519404784424,0.00020880386718820045,0.0035,0.004419278299373869,0.0027714135043380244,70,0.00255,0.0030436154660579318,0.0020563845339420686,0.0002518492533288914,0.0051,0.006186714686127089,0.0042033626022052704,102
0.275,20000,0.0085375,0.009448192998888856,0.0076268070011111435,0.0004646478231601634,0.01675,0.018623626493589892,0.015061976354635227,335,0.003675,0.004266910028561019,0.0030830899714389807,0.0003020004618604882,0.00735,0.008632058097334423,0.006257155028745462,147,0.005025,0.005716199819446233,0.004333800180553767,0.0003526594493053592,0.01005,0.011529518975622181,0.00875865715575474,201
