p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.000175,0.00030461998369744653,4.5380016302553494e-05,6.613385996879148e-05,0.00035,0.0007223484532697996,0.00016955317759555281,7,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.000175,0.00030461998369744653,4.5380016302553494e-05,6.613385996879148e-05,0.00035,0.0007223484532697996,0.00016955317759555281,7
0.125,20000,0.0006375,0.0008883964359738891,0.000386603564026111,0.00012801073792831303,0.00125,0.0018446952464811046,0.000846860719483259,25,0.0002,0.0003385661257825662,6.14338742174338e-05,7.069830204817952e-05,0.0004,0.0007891790235140093,0.00020270340374573274,8,0.00045,0.0006577971990813318,0.00024220280091866812,0.00010602092728254685,0.0009,0.0014222994168362542,0.0005693909743673825,18
0.15000000000000002,20000,0.00235,0.0028352224828622555,0.0018647775171377447,0.00024756704035871493,0.00455,0.005582609388572922,0.003707679139421153,91,0.0007875,0.0010655542300119147,0.0005094457699880853,0.00014186700990690185,0.00155,0.002199215548282407,0.001092225196048294,31,0.0016,0.0019959493055123896,0.0012040506944876103,0.0002020186639323923,0.00315,0.00402778883072501,0.0024630373982261564,63
0.17500000000000002,20000,0.0066375,0.007456847097293983,0.005818152902706018,0.0004180419149315436,0.0127,0.014348134244147675,0.011239024096131893,254,0.0021625,0.002619218479812845,0.001705781520187155,0.00023302391442668437,0.0043,0.005306930099040852,0.0034834544469812723,86,0.00459375,0.005273379904502198,0.003914120095497802,0.00034675632300543884,0.00885,0.010245615682415148,0.007643021335496426,177
0.2,20000,0.018078125,0.01943043060637284,0.01672581939362716,0.0006899645182460766,0.0341,0.03670604124978046,0.03167289794729782,682,0.005925,0.006679655191253854,0.005170344808746145,0.0003850352339157649,0.01175,0.013339990838064104,0.010347532370722064,235,0.012784375,0.013912483536473829,0.011656266463526173,0.0005755761561805239,0.02455,0.02678771471112898,0.0224948923746209,491
0.225,20000,0.04110146484375,0.043168538752712725,0.03903439093478727,0.0010546489248106292,0.0739,0.07760803820965535,0.07035561491735699,1478,0.0142,0.01538274522807751,0.013017254771922492,0.000603452531478564,0.0274,0.029754790613287292,0.025226721866942796,548,0.02984140625,0.0315837289641208,0.028099083535879196,0.0008889564950499209,0.0552,0.05845125795675786,0.052119577318752816,1104
0.25,20000,0.08998971557617187,0.09303325108671759,0.08694618006562616,0.0015528527741084724,0.1529,0.15795436644328903,0.14797894498685876,3058,0.03290859375,0.03472825380668597,0.03108893369331403,0.0009284150479494602,0.0611,0.06450446474077072,0.057864104509277925,1222,0.067257421875,0.06986622796809626,0.06464861578190374,0.0013310479752047398,0.1189,0.12345911729153065,0.11448725259043231,2378
