p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.125,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.15000000000000002,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.17500000000000002,20000,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.2,20000,0.0001,0.00019799084871888087,2.0091512811191428e-06,4.9996249671841e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4,7.5e-05,0.00015986468629092506,0.0,4.329910496331917e-05,0.00015,0.0004409636272928435,5.101481799495055e-05,3,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1
0.225,20000,0.000225,0.0003719678949698612,7.803210503013879e-05,7.498499774951235e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9,0.000125,0.0002345543599445253,1.544564005547471e-05,5.589610870846409e-05,0.00025,0.0005851504035326238,0.00010678963454394949,5,0.0001,0.00019799084871888087,2.0091512811191428e-06,4.9996249671841e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4
0.25,20000,0.00055,0.0007797054525901132,0.0003202945474098869,0.00011719881304044382,0.0011,0.001665046853590621,0.0007265667231905742,22,0.000325,0.0005016157548747746,0.00014838424512522537,9.011173484201606e-05,0.00065,0.0011118683512116193,0.0003799180580200702,13,0.000225,0.0003719678949698612,7.803210503013876e-05,7.498499774951236e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9
0.275,20000,0.0012875,0.001641244972370498,0.0009337550276295022,0.0001804854452228679,0.00255,0.0033509139693707803,0.0019401427028477118,51,0.00075,0.0010181844663735822,0.00048181553362641787,0.00013683132368195897,0.0015,0.002140510875750374,0.0010509490721859378,30,0.00055,0.0007797054525901132,0.0003202945474098869,0.00011719881304044382,0.0011,0.001665046853590621,0.0007265667231905742,22
