p,runs,total_ml_logical_failure,total_ml_logical_failure_ci_high,total_ml_logical_failure_ci_low,total_ml_logical_failure_stderr,total_uncorrectable_rate,total_uncorrectable_rate_ci_high,total_uncorrectable_rate_ci_low,total_uncorrectable_rate_failures,x_ml_logical_failure,x_ml_logical_failure_ci_high,x_ml_logical_failure_ci_low,x_ml_logical_failure_stderr,x_uncorrectable_rate,x_uncorrectable_rate_ci_high,x_uncorrectable_rate_ci_low,x_uncorrectable_rate_failures,z_ml_logical_failure,z_ml_logical_failure_ci_high,z_ml_logical_failure_ci_low,z_ml_logical_failure_stderr,z_uncorrectable_rate,z_uncorrectable_rate_ci_high,z_uncorrectable_rate_ci_low,z_uncorrectable_rate_failures
0.0,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.025,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.05,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.07500000000000001,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.1,20000,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0
0.125,20000,0.0001,0.00019799084871888087,2.009151281119129e-06,4.999624967184101e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.0001,0.00019799084871888087,2.009151281119129e-06,4.999624967184101e-05,0.0002,0.0005141804856319553,7.777875605022839e-05,4
0.15000000000000002,20000,0.000175,0.00030461998369744653,4.5380016302553494e-05,6.613385996879148e-05,0.00035,0.0007223484532697996,0.00016955317759555281,7,0.0,0.0,0.0,0.0,0.0,0.00019203605610462553,0.0,0,0.000175,0.00030461998369744653,4.5380016302553494e-05,6.613385996879148e-05,0.00035,0.0007223484532697996,0.00016955317759555281,7
0.17500000000000002,20000,0.0003,0.0004696911734452622,0.0001303088265547377,8.65787202131083e-05,0.0006,0.0010485355459105335,0.0003432700669267663,12,2.5e-05,7.399909961350135e-05,0.0,2.4999999999999998e-05,5e-05,0.0002831905702260402,8.826282272974824e-06,1,0.000275,0.0004374709934643481,0.00011252900653565195,8.289488722542789e-05,0.00055,0.00098467623450964,0.00030714858193327043,11
0.2,20000,0.000725,0.000988683445125801,0.0004613165548741989,0.00013453484207143725,0.00145,0.0020816636300105057,0.0010098155215314162,29,5e-05,0.00011929345872942269,0.0,3.5354455120604595e-05,0.0001,0.0003645736136206778,2.7424035272726838e-05,2,0.000675,0.0009294412336523379,0.0004205587663476622,0.0001298193414059329,0.00135,0.00196351203514295,0.0009280055236101935,27
0.225,20000,0.00115,0.0014819539641308006,0.0008180460358691993,0.00016936737957901836,0.0023,0.0030662490641531785,0.0017249036260933654,46,7.5e-05,0.00015986468629092504,0.0,4.3299104963319164e-05,0.00015,0.0004409636272928435,5.101481799495055e-05,3,0.001075,0.0013959710152541861,0.0007540289847458139,0.00016376373126545418,0.00215,0.002894550586422709,0.0015966597146406661,43
0.25,20000,0.0018625,0.002286777418326199,0.001438222581673801,0.00021647204829927752,0.0037,0.004642058905930527,0.002948556083358924,74,0.000225,0.0003719678949698612,7.803210503013876e-05,7.498499774951236e-05,0.00045,0.0008550921075141102,0.00023677111614002098,9,0.0016375,0.0020356875266443423,0.001239312473355658,0.00020316063447348747,0.00325,0.004139867824682438,0.0025509199970575078,65
0.275,20000,0.0035875,0.004180019875041849,0.002994980124958151,0.0003023116137416659,0.00705,0.0083079658670005,0.005981362480713051,141,0.000725,0.000988683445125801,0.0004613165548741989,0.00013453484207143725,0.00145,0.0020816636300105057,0.0010098155215314162,29,0.0029,0.003429628005303555,0.0023703719946964446,0.0002702233354700359,0.00575,0.006896991177135669,0.004792836464323753,115
