p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.005294299999999974,0.00767187112168799,0.0036766463832004215,0.1549,0.1551,0.9925,0,0.0015,0.002473584549971443,0.0009092618255931228,15,0.1585,0.1587,0.9915,0,0.0038,0.005211176858280293,0.002769903124779159,38
0.02,10000,0.02347100000000002,0.027996922214432174,0.01967732231092345,0.3287,0.3303,0.9698,0,0.0086,0.010607925193590355,0.0069694684051106025,86,0.3165,0.3183,0.9678,0,0.015,0.01757543593043668,0.012797042489119614,150
0.03,10000,0.04712191999999993,0.05319844165526022,0.04174276210640315,0.4831,0.4859,0.9402,0,0.0144,0.016928417847042746,0.012244521370558361,144,0.4828,0.4884,0.9396,0,0.0332,0.036894590858566924,0.029863910020296733,332
0.04,10000,0.07722192000000005,0.08477618948649013,0.07031970038144109,0.6308,0.6406,0.9029,0,0.0264,0.02972876473034054,0.02343495852636433,264,0.6271,0.6375,0.9036,0,0.0522,0.05673405822532771,0.04800985071545024,522
0.05,10000,0.11590064999999994,0.12485655204454671,0.10753889870047295,0.7805,0.7991,0.8585,0,0.0437,0.04788497062563722,0.03986546628744224,437,0.7893,0.8053,0.8598,0,0.0755,0.08084273332969831,0.07048328128700611,755
0.06,10000,0.1509224,0.16085854489203077,0.14152828617517632,0.9538,0.9822,0.807,0,0.062,0.06689683776858298,0.05743954480412971,620,0.9214,0.9552,0.8213,0,0.0948,0.10069809097929569,0.0892131013003006,948
0.07,10000,0.19345581999999995,0.20426034886616962,0.18313230083758258,1.0703,1.1169,0.7752,0,0.0757,0.0810489428676778,0.07067691814967836,757,1.0702,1.1296,0.7829,0,0.1274,0.13407831139885204,0.12100784418697616,1274
0.08,10000,0.23551992,0.24703358591303703,0.22442617918685526,1.2272,1.2946,0.7318,0,0.1004,0.10644464401393036,0.09466224748391439,1004,1.2006,1.2764,0.7458,0,0.1502,0.15733657792690617,0.14333206733321915,1502
0.09,10000,0.2792497500000001,0.2912856710556515,0.2675722521481728,1.3567,1.4581,0.6875,0,0.1205,0.1270267373169784,0.11426471744636513,1205,1.3328,1.4426,0.7142,0,0.1805,0.1881603260492021,0.17308504890966023,1805
0.1,10000,0.32031154000000006,0.33272148460885687,0.308202401608313,1.4507,1.5911,0.6523,0,0.1489,0.1560120580861708,0.14205758556971831,1489,1.4518,1.5956,0.6783,0,0.2014,0.20937434973535207,0.19365497409161597,2014
0.11,10000,0.35880228000000003,0.371425577197242,0.34642770707009984,1.5913,1.7697,0.5976,0,0.1676,0.1750480233634905,0.16040725875333528,1676,1.5529,1.7633,0.645,0,0.2297,0.23804725534984608,0.22156033416934165,2297
0.12,10000,0.3939496,0.406686698475632,0.38141441024375833,1.6853,1.9101,0.5671,0,0.1876,0.19537098314718895,0.18006893903480972,1876,1.668,1.9122,0.6153,0,0.254,0.2626250245796176,0.24556390261875521,2540
0.13,10000,0.43380532000000005,0.4465808731894103,0.42117963444030004,1.8246,2.1018,0.5284,0,0.2134,0.22153939060110714,0.20548071726496467,2134,1.7622,2.0774,0.5892,0,0.2802,0.2890852534748989,0.27148355220885045,2802
0.14,10000,0.47927206,0.4919694872824726,0.4666671143684259,1.8957,2.2351,0.4997,0,0.2407,0.24917756602691057,0.2324215755281223,2407,1.8856,2.2634,0.5553,0,0.3142,0.32336796327567385,0.30517473051886945,3142
0.15,10000,0.4955537,0.5082028318231868,0.4829765308809615,1.9741,2.3713,0.4722,0,0.2598,0.2684860082737569,0.251298464543516,2598,1.9586,2.4116,0.5474,0,0.3185,0.32769957411715506,0.3094398172914005,3185
0.16,10000,0.5349225200000001,0.5473650571063999,0.5225048745101083,2.0612,2.5534,0.4508,0,0.2804,0.28928709291877375,0.2716815591656273,2804,2.0444,2.5732,0.5238,0,0.3537,0.3631254781167649,0.34438687980649507,3537
0.17,10000,0.5541763200000001,0.5664922091304752,0.5418625891747296,2.1445,2.7069,0.4137,0,0.2999,0.308956270024652,0.2909974061232927,2999,2.097,2.7146,0.503,0,0.3632,0.372676761158097,0.35382830079612004,3632
0.18,10000,0.5705224899999999,0.5827118099147128,0.5583165173165079,2.2154,2.8694,0.3939,0,0.3147,0.32387168527127147,0.3056706245249012,3147,2.1473,2.8745,0.4941,0,0.3733,0.3828269264944055,0.36387037869272393,3733
0.19,10000,0.59880595,0.6107347198383307,0.5868291278697371,2.2766,3.0416,0.379,0,0.3319,0.3411923821135666,0.3227367181386547,3319,2.2008,3.0232,0.4697,0,0.3995,0.40913664384984133,0.3899405398226646,3995
0.2,10000,0.6210158000000001,0.6327112459449238,0.6092482091498499,2.3404,3.1822,0.3644,0,0.357,0.3664437469071793,0.34766607662683413,3570,2.2774,3.216,0.4668,0,0.4106,0.4202744393065509,0.40099421960212606,4106
