p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.001799549999999872,0.003353139274224537,0.0010112012510270496,0.3437,0.3435,0.993,0,0.0003,0.0008817357722363795,0.00010203219941781007,3,0.3386,0.3392,0.986,0,0.0015,0.002473584549971443,0.0009092618255931228,15
0.02,10000,0.014058420000000016,0.017641014952820555,0.011222575036477611,0.6843,0.6825,0.9659,0,0.0042,0.005671895816224385,0.0031088769681385277,42,0.6752,0.6748,0.9486,0,0.0099,0.01203739398115609,0.00813900122178111,99
0.03,10000,0.04396491999999996,0.04989043417242689,0.03874111951854431,1.0248,1.0257,0.9224,0,0.0146,0.01714420225827173,0.01242858335998111,146,1.0206,1.0255,0.8846,0,0.0298,0.03331743271942335,0.026643679348360923,298
0.04,10000,0.09025168000000006,0.0983366772252049,0.08279899988157002,1.3732,1.3765,0.8592,0,0.0328,0.03647428766491334,0.029484520412646858,328,1.3462,1.3676,0.8111,0,0.0594,0.0642041917183187,0.0549341876459215,594
0.05,10000,0.16441088000000004,0.1746204851246329,0.1547245291774555,1.6787,1.6934,0.7988,0,0.0624,0.06731087834411104,0.0578251970299051,624,1.6416,1.6901,0.7303,0,0.1088,0.11505399204185562,0.10284644828336173,1088
0.06,10000,0.2449502,0.25657992642029126,0.2337273774371258,2.0026,2.0365,0.7229,0,0.1022,0.10829052904187099,0.09641498006183931,1022,1.958,2.0555,0.6381,0,0.159,0.1662978831200318,0.15196400376876962,1590
0.07,10000,0.33843808,0.3509273588778169,0.3262262400796694,2.3012,2.3761,0.6423,0,0.1456,0.1526489873505623,0.1388231906945733,1456,2.215,2.3713,0.5596,0,0.2257,0.23399791652728635,0.21761274497886685,2257
0.08,10000,0.43304721999999995,0.4457965951357965,0.4204498962906763,2.6152,2.7438,0.559,0,0.1982,0.20612852199161302,0.19050325942492735,1982,2.4655,2.7146,0.4834,0,0.2929,0.3018978257607228,0.2840612263644113,2929
0.09,10000,0.53361552,0.5460487489970425,0.5212096797532236,2.8764,3.0732,0.4873,0,0.2624,0.27111270918579755,0.2538697668399479,2624,2.6738,3.0486,0.4182,0,0.3677,0.37719966210980044,0.3583019438590806,3677
0.1,10000,0.62114224,0.6328183273149466,0.6093950185573727,3.0973,3.3904,0.4221,0,0.3208,0.3300161140987833,0.3117215109172671,3208,2.8945,3.4172,0.3537,0,0.4422,0.4519544717241287,0.4324899184875214,4422
0.11,10000,0.68937874,0.7001507089774432,0.6784668709361051,3.3232,3.7369,0.3652,0,0.3883,0.39789330240055926,0.3787924828354498,3883,3.0603,3.7352,0.2988,0,0.4922,0.5019997415440887,0.4824062488304938,4922
0.12,10000,0.76418428,0.7735967865218762,0.7545690559193449,3.5291,4.0631,0.3024,0,0.4498,0.45956772649276045,0.4400708269436553,4498,3.2141,4.1037,0.2546,0,0.5714,0.5810701459244164,0.561675019108251,5714
0.13,10000,0.8146688799999999,0.8229150037328133,0.8061877010175705,3.6638,4.3904,0.2687,0,0.5034,0.5131964061461738,0.4936009826649055,5034,3.3516,4.439,0.2146,0,0.6268,0.6362290695816835,0.617273548431513,6268
0.14,10000,0.85986365,0.8668476179914958,0.852626613808333,3.8712,4.7581,0.2122,0,0.5747,0.5843593321472371,0.5649832984961838,5747,3.4344,4.7392,0.1868,0,0.6705,0.6796454430304393,0.6612236135251599,6705
0.15,10000,0.89089312,0.8968670287970113,0.8846618069112837,3.9943,5.0862,0.181,0,0.6169,0.6263816018518892,0.6073286193290467,6169,3.5197,5.1112,0.1647,0,0.7152,0.7239617435485486,0.7062729835527122,7152
0.16,10000,0.92226976,0.9270570179070491,0.9172319159519491,4.096,5.4658,0.1601,0,0.6772,0.6862942005915912,0.667969710385841,6772,3.5871,5.4227,0.1525,0,0.7592,0.7674796505818258,0.7507212846628155,7592
0.17,10000,0.939443,0.9434900313030548,0.9351559642520999,4.2163,5.7843,0.1344,0,0.713,0.7217830072993299,0.7040534093947619,7130,3.6633,5.7817,0.1271,0,0.789,0.7968852723609748,0.7808927765807742,7890
0.18,10000,0.95391834,0.9572698157128356,0.9503421555299598,4.277,6.0739,0.1139,0,0.7541,0.7624413574340491,0.745563494593973,7541,3.7193,6.0933,0.1185,0,0.8126,0.8201278479047479,0.8048320763139051,8126
0.19,10000,0.9675764099999999,0.9701982598297675,0.9647509859882619,4.3453,6.4489,0.0996,0,0.7857,0.7936319306415087,0.7775486526894866,7857,3.7431,6.4534,0.1057,0,0.8487,0.8555893832661554,0.8415428162701346,8487
0.2,10000,0.97531723,0.9774735094895212,0.9729753140750163,4.394,6.8008,0.0866,0,0.8173,0.8247513835111289,0.8096049311228397,8173,3.7895,6.7963,0.0967,0,0.8649,0.8714598097160481,0.8580599482730321,8649
