p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.0009997600000000162,0.0023353071009567516,0.0004305335310775815,0.4294,0.4302,0.9759,0,0.0004,0.0010281283353569795,0.00015556283662307479,4,0.4261,0.4261,0.9924,0,0.0006,0.001308524096300786,0.0002750134763309977,6
0.02,10000,0.009478160000000013,0.012552377807009796,0.007157310612852852,0.8478,0.8487,0.9344,0,0.0039,0.005326642314611441,0.002854360868773877,39,0.8476,0.8486,0.9644,0,0.0056,0.007264430515373014,0.004315267073552004,56
0.03,10000,0.03361326000000009,0.038956017194544224,0.028986965282236987,1.2966,1.3042,0.8757,0,0.0177,0.02047571746830142,0.015294687360053221,177,1.2751,1.2782,0.9114,0,0.0162,0.0188666070416122,0.01390494978185447,162
0.04,10000,0.07359815999999997,0.08109692816344716,0.06675533955586088,1.6881,1.712,0.7981,0,0.0354,0.039203893127095484,0.0319529181589372,354,1.6927,1.7085,0.8404,0,0.0396,0.04360241963583777,0.03595116606388123,396
0.05,10000,0.1336373700000001,0.14317686214710257,0.12466431171276304,2.119,2.1588,0.7156,0,0.0641,0.06906994013842171,0.059464829641134136,641,2.1173,2.1589,0.7532,0,0.0743,0.07960525199895258,0.0693216842138415,743
0.06,10000,0.22503938,0.23645056159137023,0.21406160524287943,2.4828,2.5536,0.6338,0,0.1122,0.11853540781471483,0.1061624213215819,1122,2.5008,2.5732,0.6673,0,0.1271,0.13377185518515922,0.12071453079969137,1271
0.07,10000,0.32083530000000005,0.3332786450046483,0.3086909478602776,2.8558,2.9947,0.5486,0,0.1682,0.17565823389825724,0.1609965874205237,1682,2.8874,3.0199,0.5798,0,0.1835,0.19120760052201088,0.1760354704466274,1835
0.08,10000,0.42371139999999996,0.43651129552310497,0.41107330361757366,3.2055,3.4221,0.4603,0,0.231,0.23936306290357395,0.22284352821985004,2310,3.2395,3.4524,0.4818,0,0.2506,0.2591883499269752,0.24220318846031813,2506
0.09,10000,0.52141952,0.5339578483931463,0.508921226538452,3.5269,3.8691,0.3859,0,0.3056,0.3147020157053666,0.2966472828611524,3056,3.523,3.8461,0.419,0,0.3108,0.3199423283193461,0.30180297666411793,3108
0.1,10000,0.6157334,0.6274917646292024,0.6039082505827306,3.8198,4.3262,0.3197,0,0.3716,0.3811187938412154,0.36217981694037427,3716,3.8186,4.2986,0.3394,0,0.3885,0.3980941226461736,0.37899150899048717,3885
0.11,10000,0.6967586,0.7074193740309744,0.6859507066734334,4.039,4.7013,0.2653,0,0.4316,0.44133212573522607,0.42192040524188235,4316,4.0952,4.736,0.2799,0,0.4665,0.47628879438598176,0.4567369335048535,4665
0.12,10000,0.7657518400000001,0.7751294986488051,0.7561704778797389,4.279,5.1551,0.2145,0,0.5132,0.5229894557370492,0.5034004067059649,5132,4.3105,5.13,0.2336,0,0.5188,0.5285837932604786,0.509001768400784,5188
0.13,10000,0.82852126,0.8363958027446193,0.8204057097026006,4.4641,5.5851,0.1758,0,0.5746,0.5842596663148666,0.5648830411282285,5746,4.5287,5.6275,0.188,0,0.5969,0.6064750422332404,0.5872505388825223,5969
0.14,10000,0.8736590200000001,0.8802008668808373,0.8668622521000175,4.6367,6.0381,0.1413,0,0.6358,0.6451776330963188,0.6263180729462055,6358,4.7008,6.0404,0.156,0,0.6531,0.66236871095648,0.643713708742419,6531
0.15,10000,0.90768201,0.9130337462577071,0.9020761866794192,4.7608,6.4499,0.1136,0,0.6861,0.6951228000112238,0.6769342757952105,6861,4.8519,6.4632,0.1322,0,0.7059,0.7147498935784816,0.6968919758924738,7059
0.16,10000,0.9310575,0.9354662157844148,0.9264041505721144,4.862,6.8486,0.0992,0,0.725,0.7336638655083119,0.7161633352248835,7250,4.982,6.8538,0.1104,0,0.7493,0.7576979768864252,0.7407105615259555,7493
0.17,10000,0.95042666,0.9539454118085119,0.9466800348619278,4.9732,7.3127,0.0829,0,0.7706,0.7787357717710901,0.7622564083106995,7706,5.0937,7.2791,0.0908,0,0.7839,0.7918570545264906,0.7757249111986394,7839
0.18,10000,0.9628907800000001,0.9657658636345495,0.9598051256934543,5.0157,7.6891,0.0749,0,0.7981,0.8058524999329797,0.7901185602384229,7981,5.1994,7.7527,0.0763,0,0.8162,0.8236694453771861,0.808487714053198,8162
0.19,10000,0.9725834,0.9749022087144246,0.9700733511656645,5.0976,8.1735,0.0609,0,0.8318,0.8390034125794763,0.8243417661017427,8318,5.2636,8.1713,0.0641,0,0.837,0.84410979333357,0.8296313917645939,8370
0.2,10000,0.98008384,0.9819266034454424,0.9780700402441481,5.176,8.5922,0.053,0,0.8528,0.8596087674703732,0.8457202832792774,8528,5.3549,8.6181,0.0595,0,0.8647,0.8712640652204289,0.8578558463679997,8647
