p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.00019999999999997797,0.0011127142814677526,5.484892732088298e-05,0.5378,0.5383,0.9865,0,0.0,0.00038399837067659573,0.0,0,0.5796,0.5556,0.9232,0,0.0002,0.0007289958440074673,5.484892732085777e-05,2
0.02,10000,0.0013995200000000985,0.002884409563758017,0.0006803356964910634,1.0852,1.0846,0.9511,0,0.0006,0.001308524096300786,0.0002750134763309977,6,1.1295,1.1021,0.8503,0,0.0008,0.0015779502533866331,0.00040543371989688003,8
0.03,10000,0.007685200000000059,0.0105096920774852,0.005616768619004842,1.6501,1.6518,0.8975,0,0.0037,0.005095508744982636,0.002685648037750953,37,1.6696,1.6504,0.7698,0,0.004,0.005441912645979639,0.002939013737731544,40
0.04,10000,0.016135600000000028,0.020003293615295403,0.013011083096878928,2.1797,2.1851,0.8324,0,0.007,0.008834003083932618,0.005544619309554507,70,2.2189,2.2154,0.6921,0,0.0092,0.011268839494206847,0.007508093306449298,92
0.05,10000,0.03861999999999999,0.04429883765326004,0.03364999967779558,2.7417,2.7623,0.7505,0,0.02,0.022933926760712948,0.01743471167513658,200,2.7381,2.7615,0.6189,0,0.019,0.021866393151606933,0.01650301328098395,190
0.06,10000,0.06994224999999998,0.0772773150496372,0.06326869697315074,3.2875,3.3199,0.6596,0,0.0325,0.036158969758830276,0.02920006871775234,325,3.2473,3.3094,0.5391,0,0.0387,0.04266092021473544,0.03509335668205077,387
0.07,10000,0.1064132000000001,0.1151440584857013,0.09828910440095473,3.7594,3.844,0.574,0,0.0524,0.05694185355061109,0.04820190179081859,524,3.7116,3.8493,0.4727,0,0.057,0.06171645423373034,0.05262376832268912,570
0.08,10000,0.15344302999999992,0.1634873034377573,0.1439359850432228,4.2709,4.408,0.4894,0,0.0747,0.0800177887236421,0.06970884029045543,747,4.1551,4.355,0.4014,0,0.0851,0.09072948769119349,0.07978915415679394,851
0.09,10000,0.21797764000000008,0.22928032622689765,0.20711848001967692,4.7053,4.9237,0.4189,0,0.1084,0.11464429202159011,0.10245645550232378,1084,4.6282,4.9617,0.3347,0,0.1229,0.12948020007355396,0.11660941149761031,1229
0.1,10000,0.28496793,0.2971167896765694,0.2731676121166332,5.1518,5.4894,0.3353,0,0.1517,0.15886464477775003,0.14480284848726327,1517,5.0277,5.5036,0.2799,0,0.1571,0.16436373057020007,0.15009961551240988,1571
0.11,10000,0.34945119999999996,0.36206460307682264,0.33709780198461303,5.5405,6.038,0.2781,0,0.186,0.19374641496757902,0.17849473600920587,1860,5.3894,6.0583,0.2243,0,0.2008,0.20876581665367133,0.1930639679713415,2008
0.12,10000,0.397277,0.41005073008475523,0.3846995109931247,5.905,6.597,0.2221,0,0.215,0.2231606072784553,0.20705827179283035,2150,5.686,6.5858,0.1873,0,0.2322,0.2405775563872442,0.22402811314009013,2322
0.13,10000,0.4622820000000001,0.47504667788739374,0.449629864382313,6.263,7.1775,0.1686,0,0.2634,0.27212287505768235,0.2548588329713218,2634,6.0157,7.1563,0.152,0,0.27,0.2787885425658797,0.2613880966846315,2700
0.14,10000,0.5184498000000001,0.5310041890192772,0.5059390027227111,6.5489,7.6839,0.1378,0,0.302,0.3110733146762281,0.29307874867855976,3020,6.2371,7.6973,0.1292,0,0.3101,0.31923697982418703,0.30110886275699583,3101
0.15,10000,0.56162878,0.5738973436456205,0.5493532683252988,6.7889,8.2351,0.1092,0,0.3294,0.3386757141059703,0.3202553061381045,3294,6.4895,8.2761,0.1007,0,0.3463,0.3556827332020013,0.33703530789714464,3463
0.16,10000,0.5977504600000001,0.6096978694857436,0.5857556539608635,7.0734,8.8533,0.0837,0,0.3609,0.37036471239563273,0.3515421159510894,3609,6.6744,8.8134,0.0905,0,0.3706,0.3801139513649628,0.3611854274133682,3706
0.17,10000,0.61773215,0.6294686179153699,0.6059267544436933,7.2534,9.3202,0.0704,0,0.3765,0.3860418960082638,0.3670529515892933,3765,6.8221,9.3278,0.0735,0,0.3869,0.3964875132756332,0.37739934715581375,3869
0.18,10000,0.65378545,0.6650803871835672,0.6423844045965148,7.419,9.8908,0.0561,0,0.4115,0.4211772808196483,0.40189068689196134,4115,6.9623,9.8992,0.0649,0,0.4117,0.4213779077457439,0.40208990636651754,4117
0.19,10000,0.6752149900000001,0.6862089833421978,0.664093934144695,7.5943,10.4651,0.0473,0,0.4311,0.44083096014179385,0.4214219548336852,4311,7.0742,10.4454,0.0564,0,0.4291,0.4388261969271883,0.41942825404177353,4291
0.2,10000,0.6933518000000001,0.7040677639551016,0.6824917874577934,7.7398,11.0415,0.0424,0,0.4394,0.44914900697873533,0.42969753362379054,4394,7.1842,10.9972,0.0508,0,0.453,0.4627726194668502,0.4432634763799933,4530
