p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.0038970999999999867,0.0059940615002848086,0.0025621851841944876,0.9632,0.9628,0.9876,0,0.001,0.0018399443874379962,0.0005432859864972464,10,0.9663,0.9668,0.9835,0,0.0029,0.004161774546565626,0.0020199966335610452,29
0.02,10000,0.02287304000000001,0.02736574511005474,0.019113334482760425,1.9076,1.9093,0.9319,0,0.0092,0.011268839494206847,0.007508093306449298,92,1.9116,1.9144,0.9159,0,0.0138,0.01628036645230578,0.01169303356334014,138
0.03,10000,0.09191421000000011,0.10008794674937516,0.08436983892273875,2.8576,2.8653,0.8223,0,0.0359,0.039728200036959836,0.03242822725070218,359,2.8599,2.885,0.7896,0,0.0581,0.06285693979010783,0.053682437969896135,581
0.04,10000,0.22879865999999993,0.2402269443471875,0.2177995483309838,3.788,3.8215,0.6791,0,0.0998,0.10582921992023493,0.09407813237565461,998,3.7739,3.8577,0.6318,0,0.1433,0.1503043125776974,0.13656963185994328,1433
0.05,10000,0.40689025999999995,0.4196635095339022,0.3943013129836507,4.7042,4.8155,0.5177,0,0.2042,0.21221381098154762,0.1964133624545446,2042,4.6248,4.8085,0.4736,0,0.2547,0.2633324897594714,0.2462558998411824,2547
0.06,10000,0.59599897,0.6079526769573265,0.5840004593141666,5.4968,5.7502,0.3806,0,0.3243,0.3335407954351618,0.31519414159229386,3243,5.3747,5.7899,0.3265,0,0.4021,0.4117459548050519,0.39252923207592655,4021
0.07,10000,0.7484128000000001,0.75814623531284,0.7384885970012678,6.24,6.7411,0.2569,0,0.4615,0.4712836441394141,0.45174592373512795,4615,5.9954,6.7149,0.2357,0,0.5328,0.542564246393518,0.5230105633133658,5328
0.08,10000,0.86135963,0.8682941053086065,0.8541721060341251,6.8493,7.6717,0.1714,0,0.5897,0.5993045954255882,0.5800265152667123,5897,6.5288,7.6673,0.1541,0,0.6621,0.6713067003319354,0.6527688073962913,6621
0.09,10000,0.93353809,0.9378444355255033,0.9289879548927775,7.3821,8.6533,0.1133,0,0.7099,0.7187125357125295,0.7009262617714604,7099,6.9627,8.6348,0.0958,0,0.7709,0.7790318717830423,0.7625600778997251,7709
0.1,10000,0.96926636,0.9717872914652285,0.9665458795154797,7.7937,9.6097,0.0686,0,0.7986,0.806345025908384,0.7906256502646478,7986,7.3123,9.623,0.061,0,0.8474,0.8543145681276207,0.8402186298044332,8474
0.11,10000,0.98670535,0.9880803438373919,0.9851831293953868,8.1486,10.5979,0.0393,0,0.8685,0.8749823635322467,0.8617346296685646,8685,7.5876,10.5298,0.0405,0,0.8989,0.9046562029215557,0.8928374431783186,8989
0.12,10000,0.99509518,0.9957518962769684,0.9943412900318955,8.4091,11.5078,0.027,0,0.9163,0.9215693260236062,0.9107109569329683,9163,7.8335,11.516,0.0257,0,0.9414,0.9458361951051162,0.9366248111332505,9414
0.13,10000,0.9982864,0.9985826957742476,0.99792975271302,8.6101,12.4251,0.0193,0,0.9496,0.9537177980284025,0.945136910636685,9496,8.0007,12.4865,0.0197,0,0.966,0.9693769059081891,0.9622652076103402,9660
0.14,10000,0.99942472,0.9995524495113398,0.9992611046813692,8.8097,13.5114,0.0132,0,0.9718,0.9748678611034886,0.9683697980339409,9718,8.1506,13.4463,0.0179,0,0.9796,0.982192105076966,0.9766395636858811,9796
0.15,10000,0.99981255,0.9998657663393292,0.9997384372740911,8.9179,14.4524,0.0108,0,0.9837,0.98600256227419,0.9810259577020174,9837,8.2501,14.3306,0.0132,0,0.9885,0.9904101262459462,0.9862147073459029,9885
0.16,10000,0.99995012,0.9999687093409295,0.9999205480468047,9.0303,15.3627,0.0095,0,0.9914,0.9930305315948893,0.9893920748064096,9914,8.3614,15.3248,0.0121,0,0.9942,0.9955103234204238,0.9925101325899993,9942
0.17,10000,0.99998725,0.9999934250682962,0.9999752943933382,9.1427,16.2851,0.0086,0,0.9949,0.9961186889164383,0.9933012294962659,9949,8.4318,16.3627,0.01,0,0.9975,0.9983060023888417,0.9963119192323351,9975
0.18,10000,0.99999664,0.999998654180659,0.9999916177967242,9.1804,17.2751,0.0081,0,0.9976,0.9983866211906022,0.9964312236309004,9976,8.4989,17.2968,0.0108,0,0.9986,0.999165837971125,0.9976512388536363,9986
0.19,10000,0.99999847,0.9999994971997487,0.9999953478492987,9.251,18.3006,0.007,0,0.9983,0.9989382926388795,0.9972790145849042,9983,8.5531,18.2513,0.0115,0,0.9991,0.999526422939415,0.9982902698869756,9991
0.2,10000,0.99999992,0.9999999914675453,0.9999992504987164,9.2998,19.1772,0.0067,0,0.9996,0.9998444371633769,0.9989718716646431,9996,8.5963,19.1432,0.0126,0,0.9998,0.9999451510726791,0.9992710041559925,9998
