p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,9.999999999998899e-05,0.000950049821743959,1.7652673601098456e-05,0.9693,0.9692,0.996,0,0.0001,0.0005662688974013381,1.765267360112231e-05,1,0.9441,0.9439,0.9978,0,0.0,0.00038399837067659573,0.0,0
0.02,10000,0.0012997000000000147,0.002720057814889043,0.0006452627532509414,1.905,1.9008,0.9813,0,0.001,0.0018399443874379962,0.0005432859864972464,10,1.9235,1.922,0.9856,0,0.0003,0.0008817357722363795,0.00010203219941781007,3
0.03,10000,0.005793280000000012,0.008254799206464325,0.0040909469715957325,2.8792,2.8654,0.9425,0,0.0042,0.005671895816224385,0.0031088769681385277,42,2.8794,2.8717,0.9561,0,0.0016,0.002597636916196953,0.0009851326596934777,16
0.04,10000,0.020900640000000026,0.02518969377388247,0.017347823462743772,3.92,3.8675,0.8664,0,0.0138,0.01628036645230578,0.01169303356334014,138,3.8767,3.8406,0.8965,0,0.0072,0.009056774936417673,0.005721693857721179,72
0.05,10000,0.05643244999999997,0.06308097447565397,0.050466405512278434,4.9309,4.8208,0.7622,0,0.0357,0.039518500222069576,0.03223808066494071,357,4.8858,4.7981,0.8083,0,0.0215,0.024531939718810004,0.018835546721927495,215
0.06,10000,0.11917359999999999,0.1282924004587489,0.11064282619095256,5.9955,5.7891,0.6369,0,0.0685,0.0736184245413101,0.06371296605258381,685,5.9866,5.7659,0.6805,0,0.0544,0.05901885072613565,0.05012336862181131,544
0.07,10000,0.20558028000000006,0.21666562413560497,0.19495668873520144,7.0272,6.722,0.5064,0,0.1218,0.128355796394579,0.11553465997300078,1218,7.0047,6.716,0.5603,0,0.0954,0.10131407674799664,0.08979665473355486,954
0.08,10000,0.31991232000000003,0.33234222401132296,0.30778293306725935,8.0472,7.6503,0.3799,0,0.1896,0.1974013974136692,0.1820369887748468,1896,8.1098,7.7131,0.4182,0,0.1608,0.16812990474044456,0.1537305997542224,1608
0.09,10000,0.4383435,0.4511349748437139,0.4256952341173168,9.0714,8.6448,0.2794,0,0.2682,0.27697087738321896,0.25960714426142667,2682,9.0878,8.6573,0.3151,0,0.2325,0.24088116510461116,0.2243242740237008,2325
0.1,10000,0.54598378,0.5583608725996908,0.5336182011248025,9.9477,9.5918,0.1923,0,0.3527,0.3621198459328417,0.34339327998715957,3527,9.9482,9.5695,0.2228,0,0.2986,0.3076456061779094,0.28970906836579896,2986
0.11,10000,0.64179688,0.6532455628242444,0.6302543267131439,10.7068,10.4954,0.1284,0,0.4216,0.4313068936782384,0.4119533172662836,4216,10.787,10.5433,0.1493,0,0.3807,0.39026087476508825,0.37123074724615507,3807
0.12,10000,0.7240626400000001,0.7342570100944883,0.7136972022076954,11.442,11.4794,0.0777,0,0.4936,0.5033995934024327,0.4838053217767118,4936,11.4745,11.5144,0.0932,0,0.4551,0.4648756094940871,0.4453588735595996,4551
0.13,10000,0.79286488,0.8016375565565441,0.7838703100655684,11.9832,12.4743,0.0478,0,0.5663,0.5759859930670226,0.5565630887490258,5663,11.9968,12.4477,0.0606,0,0.5224,0.5321795030351193,0.5126032938378744,5224
0.14,10000,0.8455207,0.852922121417848,0.8378714017703036,12.4563,13.4403,0.027,0,0.6223,0.6317534697895579,0.6127526042089746,6223,12.5401,13.473,0.0339,0,0.591,0.6005994177376188,0.5813306945589181,5910
0.15,10000,0.87001984,0.8766792153845472,0.8631060501772212,12.8153,14.3819,0.0164,0,0.6544,0.6636599827528645,0.6450214385502705,6544,12.8623,14.38,0.0199,0,0.6239,0.6333448941793943,0.6143599510243519,6239
0.16,10000,0.89593818,0.901722635929344,0.8898978666167879,13.07,15.3665,0.0091,0,0.6902,0.699188607211815,0.6810653198079797,6902,13.1285,15.3716,0.0125,0,0.6641,0.6732924136957222,0.6547815580390218,6641
0.17,10000,0.90675624,0.9121429095067003,0.9011152914095159,13.3043,16.2858,0.0048,0,0.7038,0.7126691742741699,0.6947743079899423,7038,13.335,16.304,0.0076,0,0.6852,0.6942301952066481,0.6760275717968534,6852
0.18,10000,0.91521481,0.9202750095018558,0.9099026705175167,13.4074,17.2729,0.0034,0,0.7123,0.7210897192641544,0.7033472350276563,7123,13.4781,17.2522,0.0042,0,0.7053,0.7141554255805604,0.6962869046884399,7053
0.19,10000,0.92285639,0.9276103448103298,0.9178533594021645,13.5486,18.2698,0.0022,0,0.7359,0.7444487866353863,0.7271700429333284,7359,13.5672,18.2193,0.0031,0,0.7079,0.7167313187968058,0.6989090146806667,7079
0.2,10000,0.9305150400000001,0.9349461037199516,0.9258391481045553,13.6399,19.2188,0.0018,0,0.7364,0.7449433469206334,0.7276750986497108,7364,13.6447,19.2581,0.0019,0,0.7364,0.7449433469206334,0.7276750986497108,7364
