p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,0.0002999799999999775,0.0012948519337359077,7.250063269181872e-05,0.9781,0.9769,0.9968,0,0.0002,0.0007289958440074673,5.484892732085777e-05,2,0.9643,0.963,0.9966,0,0.0001,0.0005662688974013381,1.765267360112231e-05,1
0.02,10000,0.0007998399999998851,0.002055199622839843,0.00031110147345003725,1.9034,1.9003,0.982,0,0.0004,0.0010281283353569795,0.00015556283662307479,4,1.9142,1.9114,0.9838,0,0.0004,0.0010281283353569795,0.00015556283662307479,4
0.03,10000,0.005692079999999877,0.008182891220264943,0.003960409450342373,2.9186,2.8994,0.938,0,0.0033,0.004630640571811913,0.002350823409618217,33,2.9063,2.8935,0.9469,0,0.0024,0.0035687763690995114,0.0016133788093978356,24
0.04,10000,0.01930626999999996,0.023495075289989842,0.015855751603766066,3.9112,3.8606,0.8669,0,0.0103,0.012475455730363192,0.008500632273877465,103,3.8858,3.8461,0.8834,0,0.0091,0.01115883106255002,0.0074181785377802605,91
0.05,10000,0.05600569000000011,0.06266960894553952,0.05002439276767523,4.9562,4.8425,0.7577,0,0.0319,0.03552809668694685,0.028631402587680564,319,4.8535,4.7559,0.7929,0,0.0249,0.028141319788952842,0.022023555462864056,249
0.06,10000,0.11980192,0.12894781809886435,0.1112429474200588,5.9908,5.7796,0.6378,0,0.0664,0.07144832319481918,0.06168468019223157,664,5.9476,5.7521,0.6729,0,0.0572,0.0619238501640325,0.05281621879303869,572
0.07,10000,0.20552379999999992,0.2166245351939795,0.1948844455273906,6.9645,6.6807,0.5133,0,0.114,0.12037777725555425,0.1079186694866081,1140,7.0291,6.739,0.5355,0,0.1033,0.10941828827167728,0.09748637603561754,1033
0.08,10000,0.31282955999999995,0.32521431069970963,0.3007548319550768,8.089,7.7025,0.3789,0,0.1794,0.18704279882998825,0.17200342092528959,1794,8.0943,7.6966,0.4166,0,0.1626,0.16996160643003616,0.15549751567049636,1626
0.09,10000,0.43068852000000013,0.44348977934298994,0.4180399975854062,9.0048,8.5937,0.2851,0,0.2513,0.25989595713610175,0.24289504365347273,2513,9.0441,8.6299,0.3027,0,0.2396,0.2480648821974484,0.23133510415399997,2396
0.1,10000,0.5450554000000001,0.557446084179795,0.5326769092184005,9.9296,9.5629,0.1972,0,0.334,0.34330615666284353,0.32482133079622105,3340,9.9435,9.5835,0.2167,0,0.3169,0.3260879170554503,0.3078527031478914,3169
0.11,10000,0.6506406800000001,0.661976909755547,0.6392015205474513,10.7391,10.5541,0.1284,0,0.4188,0.42849910157583804,0.4091632597595598,4188,10.8282,10.6232,0.138,0,0.3989,0.4085344551924469,0.38934318927810374,3989
0.12,10000,0.7313916,0.7414520677315997,0.7211539414407634,11.4158,11.5043,0.0818,0,0.4905,0.5002998181608702,0.4807074778081725,4905,11.4838,11.5402,0.0949,0,0.4728,0.4825938799605329,0.4630270095508318,4728
0.13,10000,0.79284625,0.8016187034776889,0.7838519738352434,11.9863,12.518,0.0493,0,0.5521,0.5618246159918038,0.5423353713779718,5521,12.0353,12.489,0.0592,0,0.5375,0.5472559532951758,0.5277152468270233,5375
0.14,10000,0.83475742,0.8424616681457106,0.8268094900175167,12.4596,13.4368,0.0301,0,0.5998,0.6093625322470314,0.5901608216781816,5998,12.4633,13.4085,0.0322,0,0.5871,0.5967147422890996,0.5774183651947283,5871
0.15,10000,0.867484,0.8742228359420814,0.8604913175017657,12.8364,14.4226,0.0159,0,0.64,0.649352414515081,0.6305400659411297,6400,12.8547,14.3328,0.0201,0,0.6319,0.6413003560712437,0.6223983451585718,6319
0.16,10000,0.8947305,0.9005574912285256,0.8886476345331091,13.0344,15.395,0.0098,0,0.6834,0.6924448669133002,0.6742142824843357,6834,13.0939,15.3659,0.0123,0,0.6675,0.6766676993050166,0.6582036612408068,6675
0.17,10000,0.9051965,0.9106414534299616,0.8994969954731297,13.2717,16.3487,0.006,0,0.6975,0.7064256606345023,0.6884226600090804,6975,13.3197,16.2997,0.0077,0,0.6866,0.69561867442785,0.6774380173802136,6866
0.18,10000,0.91561,0.9206545398808472,0.9103136623258317,13.4326,17.2749,0.0038,0,0.709,0.7178210139584258,0.7000184747226312,7090,13.4722,17.2323,0.0058,0,0.71,0.7188115910677254,0.7010271296165903,7100
0.19,10000,0.9251823,0.9298389113998543,0.9202778895827762,13.5389,18.1916,0.0032,0,0.7299,0.738512956187742,0.7211104813614208,7299,13.6137,18.2457,0.0029,0,0.723,0.7316842640566168,0.7141444726700614,7230
0.2,10000,0.93117628,0.9355789117266575,0.9265292237933839,13.6355,19.2054,0.0017,0,0.7357,0.7442509585196126,0.7269680246484505,7357,13.682,19.2256,0.0016,0,0.7396,0.7481081927015444,0.7309077952792274,7396
