p,runs_per_component,total_independent_logical_failure,total_independent_logical_failure_ci_high,total_independent_logical_failure_ci_low,x_avg_correction_weight,x_avg_error_weight,x_bp_converged_rate,x_decoder_syndrome_failures,x_logical_failure,x_logical_failure_ci_high,x_logical_failure_ci_low,x_logical_failures,z_avg_correction_weight,z_avg_error_weight,z_bp_converged_rate,z_decoder_syndrome_failures,z_logical_failure,z_logical_failure_ci_high,z_logical_failure_ci_low,z_logical_failures
0.0,10000,0.0,0.0007678492866045605,0.0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0,0.0,0.0,1.0,0,0.0,0.00038399837067659573,0.0,0
0.01,10000,9.999999999998899e-05,0.000950049821743959,1.7652673601098456e-05,0.9653,0.965,0.9814,0,0.0,0.00038399837067659573,0.0,0,0.9585,0.9588,0.9975,0,0.0001,0.0005662688974013381,1.765267360112231e-05,1
0.02,10000,0.001999039999999952,0.0036711145799607214,0.0010917596661238482,1.9379,1.9312,0.9573,0,0.0008,0.0015779502533866331,0.00040543371989688003,8,1.9302,1.9276,0.9826,0,0.0012,0.002096472455817011,0.0006866043187699607,12
0.03,10000,0.009975359999999989,0.01312273996238833,0.007580556449016784,2.9113,2.8905,0.9095,0,0.0044,0.0059011781456128655,0.0032794410394017762,44,2.9183,2.9082,0.9443,0,0.0056,0.007264430515373014,0.004315267073552004,56
0.04,10000,0.03420454000000006,0.039585158206191795,0.02953951747896555,3.898,3.8487,0.8379,0,0.0158,0.01843662244770949,0.013535241574453728,158,3.8886,3.8476,0.8755,0,0.0187,0.02154576692869293,0.016223869902920365,187
0.05,10000,0.07927030000000013,0.08700592077547109,0.07218210857923146,4.8872,4.7866,0.7407,0,0.0379,0.04182356979168103,0.03433132150249828,379,4.9248,4.8316,0.7656,0,0.043,0.04715452140058068,0.03919645311021771,430
0.06,10000,0.17221854000000003,0.1826820981604954,0.16226477280980778,5.8966,5.7287,0.6182,0,0.0834,0.08898031799061921,0.07813962945182852,834,5.9589,5.783,0.6312,0,0.0969,0.10285373853087768,0.0912558409555618,969
0.07,10000,0.2889625,0.3011478266538389,0.27712019681999256,6.9613,6.7017,0.4881,0,0.151,0.15815157677831657,0.14411645408441567,1510,6.9498,6.6933,0.5101,0,0.1625,0.1698598535449976,0.1553993453552091,1625
0.08,10000,0.4309620799999999,0.44376392438149714,0.41831259101776674,8.0032,7.6775,0.3647,0,0.2432,0.25170611148293653,0.23489111008024294,2432,7.965,7.6475,0.3786,0,0.2481,0.2566609401009175,0.23973251827822933,2481
0.09,10000,0.57089583,0.5830893458214722,0.5586848105709775,8.9179,8.6239,0.2579,0,0.3377,0.34702992588216597,0.3284947199889555,3377,8.9565,8.6409,0.2631,0,0.3521,0.36151644508092307,0.34279714163712305,3521
0.1,10000,0.7010378500000001,0.711629479608203,0.6902951872617199,9.7961,9.6174,0.1759,0,0.4479,0.4576646286220282,0.43817538400819617,4479,9.7872,9.5847,0.1802,0,0.4585,0.4682800797980372,0.4487517920667289,4585
0.11,10000,0.80328062,0.8118028479894661,0.7945303665451142,10.5359,10.5342,0.1138,0,0.5523,0.5620241279408774,0.5425357058295498,5523,10.5327,10.5378,0.1244,0,0.5606,0.5703024663762094,0.5508509930212645,5606
0.12,10000,0.87268258,0.8792557451326922,0.8658546625912364,11.1476,11.4884,0.0779,0,0.6382,0.6475633177756586,0.6287305450746863,6382,11.1681,11.4669,0.0769,0,0.6481,0.6574015675517886,0.6386846921308169,6481
0.13,10000,0.9223224,0.9270973487960436,0.9172982547844482,11.6526,12.4408,0.0469,0,0.714,0.7227733738021712,0.705062274895179,7140,11.7178,12.5458,0.042,0,0.7284,0.7370286822596429,0.7195959072846322,7284
0.14,10000,0.95270504,0.9561112113425848,0.9490736524218858,12.0655,13.4646,0.0278,0,0.7736,0.7816965037505473,0.7652933723410184,7736,12.1227,13.488,0.0251,0,0.7911,0.7989551729063283,0.7830212632422638,7911
0.15,10000,0.97018241,0.9726446567304385,0.9675234933610563,12.3582,14.3404,0.0161,0,0.8207,0.8280949037029804,0.8130587997420674,8207,12.4088,14.4285,0.0159,0,0.8337,0.840869503820314,0.8262742156670964,8337
0.16,10000,0.98088755,0.9826759205576052,0.9789307557831576,12.5801,15.3448,0.0088,0,0.8579,0.8646058997798965,0.850919234186373,8579,12.6196,15.3037,0.0106,0,0.8655,0.8720470137603349,0.8586722834307006,8655
0.17,10000,0.98721239,0.9885460769481058,0.9857343717278076,12.7593,16.2741,0.0061,0,0.8849,0.8910078239629544,0.8784965740912987,8849,12.8148,16.3668,0.0053,0,0.8889,0.8949105938760131,0.8825907321912747,8889
0.18,10000,0.9911347699999999,0.9921525968336439,0.989992618673419,12.9159,17.2949,0.0029,0,0.9029,0.9085495685631981,0.8969410055497107,9029,12.9844,17.345,0.0029,0,0.9087,0.9141895446192707,0.9028965751125382,9087
0.19,10000,0.9930197000000001,0.9938717146705668,0.9920553348395909,13.0403,18.2542,0.0018,0,0.9159,0.9211812344377116,0.9102993557175597,9159,13.0362,18.2192,0.0025,0,0.917,0.9222483975013511,0.9114313478575047,9170
0.2,10000,0.9944426,0.9951611760774745,0.9936222147233963,13.0992,19.2267,0.0011,0,0.9249,0.9299039605800347,0.9195697176045644,9249,13.0949,19.199,0.0015,0,0.926,0.9309686543980777,0.9207041789901058,9260
